,EMX2 (2018)
ACH-000004,0.016447268985205443
ACH-000005,0.10907494505442343
ACH-000007,0.2379248928626524
ACH-000009,-0.009251567613609313
ACH-000011,0.02496652371004555
ACH-000012,0.06362298610359422
ACH-000013,0.09681601762558699
ACH-000014,-0.1011621569532813
ACH-000015,0.023256388526880004
ACH-000017,0.10239212957980087
ACH-000018,-0.0059110563089254525
ACH-000019,0.3872277915434517
ACH-000021,0.09701807021925743
ACH-000022,0.06508890692991506
ACH-000025,0.1901776282183381
ACH-000028,0.10440526604647403
ACH-000030,-0.02485605705259913
ACH-000035,0.07686041555445647
ACH-000036,0.05807773392096356
ACH-000037,0.15465898677557924
ACH-000039,0.025097211979814
ACH-000040,-0.0331966232922891
ACH-000041,-0.09185820885670773
ACH-000042,-0.08152905432300851
ACH-000045,0.06360803815907702
ACH-000047,0.09338255358471473
ACH-000052,-0.12105531759337013
ACH-000053,0.038539200160073284
ACH-000054,0.04425228344788412
ACH-000055,0.20244892107654966
ACH-000060,-0.0460145008209274
ACH-000067,0.168559316172036
ACH-000070,0.062248787569864725
ACH-000075,-0.019822309542508392
ACH-000078,0.003951503526795769
ACH-000082,0.18266241236265152
ACH-000085,0.058853125178788074
ACH-000086,0.01594970208513325
ACH-000087,-0.13743292323191272
ACH-000092,0.08907719482909451
ACH-000095,0.212863909438187
ACH-000097,0.050063874078284006
ACH-000098,0.06473840096840253
ACH-000099,-0.05183588489585387
ACH-000108,0.09566958193977854
ACH-000113,0.11050007302445457
ACH-000116,0.09419644754253204
ACH-000118,-0.02021721109035362
ACH-000120,-0.04026073970837248
ACH-000123,0.0579501538192578
ACH-000127,0.06579560555340637
ACH-000128,0.011419946267011184
ACH-000132,0.12108309759959393
ACH-000133,0.11691085126862027
ACH-000137,0.032236515137158174
ACH-000138,0.05697645809745412
ACH-000142,-0.007689556946997696
ACH-000143,-0.09316552502389223
ACH-000146,0.07240281754025235
ACH-000148,-0.13275695625011366
ACH-000150,0.023837971864297057
ACH-000152,-0.031100246142978044
ACH-000153,0.15687449647039056
ACH-000159,0.06903896044174182
ACH-000160,0.1332319327722908
ACH-000163,0.0763209305657157
ACH-000167,0.22468929428095988
ACH-000168,0.12420507185534665
ACH-000169,-0.09035414326769238
ACH-000178,0.046649809052492185
ACH-000183,0.09147479134428443
ACH-000188,0.17479028651560385
ACH-000189,-0.11857255146871155
ACH-000190,-0.0288341749854384
ACH-000198,0.0910458214969584
ACH-000203,0.005992757678392489
ACH-000204,-0.034710881729052345
ACH-000206,0.3400901473187604
ACH-000207,0.10224636885329716
ACH-000208,-0.02301375309715034
ACH-000210,0.03449636391613571
ACH-000211,0.03675732944169269
ACH-000215,0.04890217783495659
ACH-000221,0.006849548804798557
ACH-000222,0.17111567529447233
ACH-000223,-0.07669659670421741
ACH-000226,0.06401721863914088
ACH-000227,-0.038684059872773
ACH-000228,-0.07858051420921995
ACH-000231,0.0936520069526696
ACH-000232,-0.009211624671063895
ACH-000233,0.09801548087235316
ACH-000234,0.08209615021794503
ACH-000235,0.11983546565624888
ACH-000237,-0.02668106056091429
ACH-000238,0.09487633693090827
ACH-000242,-0.16864416227643958
ACH-000243,0.10290008406239314
ACH-000244,0.3846515494926485
ACH-000246,0.013434740285055095
ACH-000248,0.0017231164289430627
ACH-000250,0.017721525083244757
ACH-000251,0.0915945240702316
ACH-000252,0.006740511764954896
ACH-000253,0.17684591801699226
ACH-000255,-0.2197849230298254
ACH-000256,0.055661757705828034
ACH-000257,-0.004357417620342557
ACH-000258,0.21272680645355074
ACH-000259,0.13066900378950036
ACH-000260,0.028185360692283782
ACH-000261,0.1387721920792588
ACH-000262,0.015035785490677273
ACH-000263,0.3447581236453039
ACH-000264,0.10236575175959983
ACH-000265,0.02582275693333776
ACH-000266,0.041059144252345976
ACH-000272,0.04760370021970757
ACH-000274,0.09701717630436102
ACH-000277,0.095513221535507
ACH-000278,-0.010827453248822531
ACH-000279,-0.06489054226949555
ACH-000280,0.05557231567014042
ACH-000281,-0.03688412263094477
ACH-000288,0.06665551274981434
ACH-000291,0.08312676441675637
ACH-000293,-0.2638867984797271
ACH-000294,0.09687105241005024
ACH-000295,-0.007703525879642703
ACH-000296,-0.1855898879107012
ACH-000302,0.07280376942047212
ACH-000304,-0.08865166492288902
ACH-000307,0.08060886413036633
ACH-000308,0.009494432255649131
ACH-000310,0.04434107723317386
ACH-000311,0.14565541474439803
ACH-000312,0.14722400102203811
ACH-000315,0.10512545989520193
ACH-000316,-0.002093021207799077
ACH-000317,-0.18636538243928544
ACH-000318,0.1023598415828407
ACH-000319,0.17253571003843138
ACH-000320,0.13373674174204642
ACH-000322,0.1344165578660887
ACH-000323,0.02285544463733296
ACH-000324,-0.012405174049126536
ACH-000329,0.056267709999256094
ACH-000330,0.21273529602477168
ACH-000331,-0.027550483033866462
ACH-000332,0.028093944394936003
ACH-000334,0.2456984864308657
ACH-000335,-0.13736007882431675
ACH-000336,-0.044995671260283365
ACH-000337,0.12678750460936494
ACH-000338,0.19407235404677928
ACH-000339,0.0594964734891275
ACH-000341,0.0020830575566569533
ACH-000348,0.0235527239479334
ACH-000350,0.01078954401777913
ACH-000352,-0.0595843633832371
ACH-000356,0.058490264074875176
ACH-000361,0.06998892217136607
ACH-000362,0.11261734689426027
ACH-000363,0.05116695477687554
ACH-000364,-0.04755044083795793
ACH-000365,0.1429456531081551
ACH-000366,-0.02073276689526808
ACH-000368,0.007221651858551411
ACH-000374,0.08356757314332611
ACH-000375,0.04560473921015915
ACH-000376,0.006722748065611502
ACH-000381,0.01952356044442405
ACH-000383,0.1102442626297236
ACH-000387,0.15623839609175044
ACH-000389,-0.06060962417325694
ACH-000390,0.08741625669865727
ACH-000393,0.14537182730401044
ACH-000395,-0.3010510380060603
ACH-000396,0.08716899369875755
ACH-000397,0.08423763322800723
ACH-000401,0.09503584296486277
