,LONP1 (9361)
ACH-000004,-1.3899292309913251
ACH-000005,-1.5498673783467023
ACH-000007,-1.2533254568589995
ACH-000009,-1.206885750794595
ACH-000011,-1.4009040664422874
ACH-000012,-1.0648571982628516
ACH-000013,-1.3280226213284498
ACH-000014,-1.0873378513873333
ACH-000015,-1.3991137589583236
ACH-000017,-1.3464020386670532
ACH-000018,-1.4993864504385603
ACH-000019,-0.9911981679197144
ACH-000021,-1.0518106124951343
ACH-000022,-0.921031602615145
ACH-000025,-1.0451293034235756
ACH-000028,-1.3858078134598046
ACH-000030,-1.1934673466157972
ACH-000035,-1.592610287013288
ACH-000036,-1.1582010841524275
ACH-000037,-0.7373369759300685
ACH-000039,-1.1347640277180748
ACH-000040,-1.2531708026559152
ACH-000041,-1.1415735931775095
ACH-000042,-0.9540668068109248
ACH-000045,-0.7549362149520319
ACH-000047,-1.118081996273407
ACH-000052,-1.2393623271956842
ACH-000053,-1.0005397446365647
ACH-000054,-0.9766892625951576
ACH-000055,-1.276309118802429
ACH-000060,-1.0048230185867673
ACH-000067,-1.2546869006133023
ACH-000070,-0.9217689228756594
ACH-000075,-0.8685899129025075
ACH-000078,-1.01444025008908
ACH-000082,-1.1602612819489575
ACH-000085,-1.1848241443782177
ACH-000086,-1.1097721811669825
ACH-000087,-1.2193885973117224
ACH-000092,-0.7793537485363415
ACH-000095,-0.8353834029730902
ACH-000097,-1.1650053066016903
ACH-000098,-1.318126169529227
ACH-000099,-1.0458224155864566
ACH-000108,-1.2445988899770746
ACH-000113,-1.0682500297039588
ACH-000116,-1.2542354865180425
ACH-000118,-1.2556444163635858
ACH-000120,-0.9893674819472348
ACH-000123,-1.006912571161567
ACH-000127,-1.1720410429625023
ACH-000128,-1.417949641813235
ACH-000132,-1.0383103779524046
ACH-000133,-1.0593195092666756
ACH-000137,-1.076579836446494
ACH-000138,-1.1920859565655888
ACH-000142,-1.324342028200532
ACH-000143,-1.331660093884979
ACH-000146,-0.6749263990639283
ACH-000148,-1.4413149250358872
ACH-000150,-1.1638923390153109
ACH-000152,-1.224298166859458
ACH-000153,-1.043729051197533
ACH-000159,-0.9526325051704532
ACH-000160,-1.4983068386402305
ACH-000163,-1.364933245903341
ACH-000167,-1.0535647299654174
ACH-000168,-1.0398635145656143
ACH-000169,-1.2844712962534972
ACH-000178,-1.0344923295346942
ACH-000183,-0.9723063890298226
ACH-000188,-1.317184334973473
ACH-000189,-1.2220940706020482
ACH-000190,-1.1694061821471862
ACH-000198,-0.9199298372553184
ACH-000203,-0.7147033828523047
ACH-000204,-1.2250873984801516
ACH-000206,-0.910538941847432
ACH-000207,-0.6668175440723579
ACH-000208,-1.4673779592087894
ACH-000210,-1.1287079163207585
ACH-000211,-1.276999364984772
ACH-000215,-1.1296431149634982
ACH-000221,-1.3623209835327006
ACH-000222,-1.229842725970958
ACH-000223,-1.1663052326151413
ACH-000226,-0.9693344437380296
ACH-000227,-0.6612399122096873
ACH-000228,-1.2169572611722463
ACH-000231,-1.1445926558973665
ACH-000232,-1.1629441789898969
ACH-000233,-1.2291667164220823
ACH-000234,-0.7210275670894871
ACH-000235,-1.0623128823578245
ACH-000237,-1.1703541573845069
ACH-000238,-1.4025041716900115
