,C1QTNF9B (387911)
ACH-000004,-0.3559594390263425
ACH-000005,0.0843223064403992
ACH-000007,-0.24100213305497464
ACH-000009,-0.16554504737781553
ACH-000011,-0.2389356135269667
ACH-000012,-0.27510732593219683
ACH-000013,-0.1781650631174747
ACH-000014,-0.17695015214990525
ACH-000015,-0.24985599563677394
ACH-000017,-0.2184562943177075
ACH-000018,-0.17742253057859536
ACH-000019,-0.02347897665729814
ACH-000021,-0.19653377439810746
ACH-000022,-0.2476796644761486
ACH-000025,-0.2879500722968011
ACH-000028,-0.17469884529001126
ACH-000030,-0.2541609069391371
ACH-000035,-0.4099428185857239
ACH-000036,-0.3043956646670241
ACH-000037,-0.16284055459907465
ACH-000039,-0.1807937925228784
ACH-000040,-0.2775570469605263
ACH-000041,-0.13786357747939726
ACH-000042,-0.2564757407731651
ACH-000045,-0.3023221662231994
ACH-000047,-0.29626849062026
ACH-000052,-0.4758285543844669
ACH-000053,-0.2604792611093012
ACH-000054,-0.24977977504201074
ACH-000055,-0.00982993705394532
ACH-000060,-0.10744769140293667
ACH-000067,-0.3804597498363957
ACH-000070,-0.25318723020497136
ACH-000075,-0.18693364546122726
ACH-000078,-0.2759516572615928
ACH-000082,-0.109867271715146
ACH-000085,-0.15939205934106898
ACH-000086,-0.2401744033761181
ACH-000087,0.03641415428405261
ACH-000092,-0.2167908341434855
ACH-000095,-0.405081605960864
ACH-000097,-0.2961161846579545
ACH-000098,-0.05210578321299717
ACH-000099,-0.2732141879408577
ACH-000108,-0.16600902528842845
ACH-000113,-0.3775239819815584
ACH-000116,-0.15261457902411915
ACH-000118,-0.18291635943041568
ACH-000120,-0.056994600971296126
ACH-000123,-0.1699156332215459
ACH-000127,-0.19532578302474188
ACH-000128,-0.13774641761115847
ACH-000132,-0.24915189106789576
ACH-000133,-0.20263227894236452
ACH-000137,-0.2731322240789352
ACH-000138,-0.13677338244147322
ACH-000142,-0.1868842861047112
ACH-000143,-0.13644938889773847
ACH-000146,-0.2486404101747204
ACH-000148,-0.2010747570365208
ACH-000150,-0.4367163121914
ACH-000152,-0.2853495608376686
ACH-000153,0.005061141245766857
ACH-000159,-0.20106907924918185
ACH-000160,0.0713506616577829
ACH-000163,-0.2433841168448896
ACH-000167,0.007190566890777227
ACH-000168,-0.04935872433359132
ACH-000169,-0.14578897289786014
ACH-000178,-0.13818113406998764
ACH-000183,-0.16505540636535587
ACH-000188,-0.4081620883927042
ACH-000189,-0.13756679406702518
ACH-000190,-0.10606635380387737
ACH-000198,-0.18836977378950975
ACH-000203,-0.4709225762916462
ACH-000204,-0.21082163377768304
ACH-000206,0.008995796865604188
ACH-000207,-0.12401247853371593
ACH-000208,-0.1070760850808688
ACH-000210,-0.12825347267782125
ACH-000211,-0.21548250620547896
ACH-000215,-0.23766221417079206
ACH-000221,-0.1902600486867565
ACH-000222,-0.13564511504702498
ACH-000223,-0.3065544207409513
ACH-000226,-0.1258148882278237
ACH-000227,-0.2494081910178376
ACH-000228,-0.5172047768073492
ACH-000231,-0.16745009186219886
ACH-000232,-0.11007290875529642
ACH-000233,-0.22265134812001616
ACH-000234,-0.16497410254390404
ACH-000235,-0.17538799865759208
ACH-000237,-0.1933355628353616
ACH-000238,-0.20385339975098887
ACH-000242,0.0007606805435861342
ACH-000243,-0.1649160231667997
ACH-000244,-0.20172196941591175
ACH-000246,-0.20324010412405266
ACH-000248,-0.2196518675634098
ACH-000250,-0.10344606656116777
