,PI4KB (5298)
ACH-000004,-0.499229804682407
ACH-000005,-0.0077041212947789066
ACH-000007,-0.4023299816863643
ACH-000009,-0.557901794868586
ACH-000011,-0.3146994633054208
ACH-000012,-0.34827445425553744
ACH-000013,-0.15336959408784714
ACH-000014,-0.6215560561234157
ACH-000015,-0.11815510156517856
ACH-000017,-0.3588780277996316
ACH-000018,-0.6678393023009298
ACH-000019,-0.5066123709234671
ACH-000021,-0.4431826534471704
ACH-000022,-0.42516604504324057
ACH-000025,-0.5690496445796079
ACH-000028,-0.4029980836398521
ACH-000030,-0.2873849753532293
ACH-000035,-0.4255179694673735
ACH-000036,-0.2979591564362296
ACH-000037,-0.26590187885560485
ACH-000039,-0.6178985554765966
ACH-000040,-0.6852687511168652
ACH-000041,-0.4602106198142984
ACH-000042,-0.2267390254764912
ACH-000045,-0.6446289443916723
ACH-000047,-0.1202736717274875
ACH-000052,-0.5419570052893944
ACH-000053,-0.4064821176648933
ACH-000054,-0.4721081312549985
ACH-000055,-0.16974961312998169
ACH-000060,-0.13866950641526055
ACH-000067,-0.5376079362113457
ACH-000070,-0.3227022711547042
ACH-000075,-0.3329598004376484
ACH-000078,-0.3192177563259961
ACH-000082,-0.4718615549294861
ACH-000085,-0.2145322406409527
ACH-000086,-0.4639768264406957
ACH-000087,0.012500079848393368
ACH-000092,-0.7394900768065993
ACH-000095,-0.3185361488591074
ACH-000097,-0.5373564979876234
ACH-000098,-0.5752769052549486
ACH-000099,-0.028879001238699364
ACH-000108,-0.3227056839868575
ACH-000113,-0.6480342033431811
ACH-000116,-0.3285295725342067
ACH-000118,-0.5539440145461629
ACH-000120,-0.2164730217390776
ACH-000123,-0.32500300496105616
ACH-000127,-0.5411196794759101
ACH-000128,-0.16763868187864242
ACH-000132,-0.3678004728738905
ACH-000133,-0.31792930257668434
ACH-000137,-0.575934164900989
ACH-000138,-0.2169284409040631
ACH-000142,-0.34386421279796003
ACH-000143,-0.2277978618005837
ACH-000146,-0.4665838919854399
ACH-000148,-0.4160057785636958
ACH-000150,-0.08389564798351877
ACH-000152,-0.2529012389238989
ACH-000153,-0.3288301226340834
ACH-000159,-0.3504979720784552
ACH-000160,-0.23223349097847884
ACH-000163,-0.7451846290019728
ACH-000167,-0.6491240675268559
ACH-000168,-0.3920060509125153
ACH-000169,-0.06779123311978631
ACH-000178,-0.5104252764699996
ACH-000183,-0.6117725109571115
ACH-000188,-0.33140481284981466
ACH-000189,-0.7301505274444686
ACH-000190,-0.19183010687151755
ACH-000198,-0.4202636512883954
ACH-000203,0.09535332242205397
ACH-000204,-0.6476476083481868
ACH-000206,-0.4914748075849567
ACH-000207,-0.15626738654629252
ACH-000208,0.027663094758083817
ACH-000210,-0.30003307359912057
ACH-000211,-0.2625067808968731
ACH-000215,-0.2446725242244797
ACH-000221,-0.26957508793939383
ACH-000222,-0.2662719718412872
ACH-000223,-0.3475708126113212
ACH-000226,-0.1121783104070218
ACH-000227,0.04251626575156565
ACH-000228,-0.4781559679074366
ACH-000231,-0.29459901279491196
ACH-000232,-0.4186779750092076
ACH-000233,-0.4830566658454717
ACH-000234,-0.3228995818974106
ACH-000235,-0.2464582109320589
ACH-000237,-0.34165780921517513
ACH-000238,-0.14866040408655615
ACH-000242,-0.4123893494150881
ACH-000243,-0.32020986248713296
ACH-000244,-0.6351854151692884
ACH-000246,-0.054178395663187634
ACH-000248,-0.6734256879176339
ACH-000250,-0.29312340794302577
ACH-000251,-0.1958585032947659
ACH-000252,-0.44535184019237817
ACH-000253,-0.2654998329261957
ACH-000255,-0.5458404963600229
ACH-000256,-0.42984892828437066
ACH-000257,-0.8828527717862653
ACH-000258,-0.43921873597161293
ACH-000259,0.32181656337971715
ACH-000260,-0.1872994112849776
ACH-000261,-0.15666341490683944
ACH-000262,-0.5720995047323257
ACH-000263,-0.4007121178309052
ACH-000264,-0.40837534229146205
ACH-000265,-0.12563378838012226
ACH-000266,-0.1363220911023617
ACH-000272,-0.3900790629155378
ACH-000274,-0.0879919528101862
ACH-000277,-0.14146706120668928
ACH-000278,-0.3879543209803861
ACH-000279,-0.1022684558171208
ACH-000280,-0.3090322063920053
ACH-000281,-0.4313522516642848
ACH-000288,-0.5110114793005892
ACH-000291,-0.4360953631256347
ACH-000293,-0.2829934766962027
ACH-000294,-0.970201948505702
ACH-000295,-0.464144741029817
ACH-000296,-0.8955258687592095
ACH-000302,-0.2160536587406328
ACH-000304,-0.3312480909013207
ACH-000307,-0.2946091346479717
ACH-000308,-0.14093768923133904
ACH-000310,-0.2810072652628539
ACH-000311,-0.16623599854259688
ACH-000312,-0.06517639197944537
ACH-000315,-0.7664161816661021
ACH-000316,-0.3798831403285526
ACH-000317,-0.3747485413344009
ACH-000318,-0.5616574724192617
ACH-000319,-0.4760867536963275
ACH-000320,-0.37427689342510606
ACH-000322,-0.2707397032390241
ACH-000323,-0.17319064601702114
ACH-000324,-0.3249944889420874
ACH-000329,-0.2982432872676493
ACH-000330,-0.3969873138220535
ACH-000331,-0.7450316694706597
ACH-000332,-0.2857298998046738
ACH-000334,-0.2393496051839749
ACH-000335,-0.2302123635913169
ACH-000336,-0.3755949953318296
ACH-000337,-0.3352919128726981
ACH-000338,-0.6142249134117217
ACH-000339,-0.4014573560680607
ACH-000341,-0.21643415495568188
ACH-000348,-0.5519768174145021
ACH-000350,-0.09530765623004613
ACH-000352,-0.3839916100302711
ACH-000356,-0.259804889826643
ACH-000361,-0.2263943718787047
ACH-000362,-0.6764216340414659
ACH-000363,-0.5888227498840374
ACH-000364,-0.5312906520684717
ACH-000365,-0.6759451169365644
ACH-000366,-0.09126440385764234
ACH-000368,-0.3217885480601461
ACH-000374,-0.008852241156993538
ACH-000375,-0.3789121406126797
ACH-000376,-0.3403033243811753
ACH-000381,-0.30094500935183555
ACH-000383,-0.4308240084853194
ACH-000387,-0.4158715199757317
ACH-000389,-0.2080636244632554
ACH-000390,-0.18921435350728386
ACH-000393,-0.2748085954819024
ACH-000395,-0.6938009321214872
ACH-000396,-0.4891789930022282
ACH-000397,-0.14455730687790347
ACH-000401,-0.2397626564750533
ACH-000402,-0.3912484214406951
ACH-000403,-0.2932064377039764
ACH-000404,-0.2312720883099336
ACH-000406,-0.4506276527910977
ACH-000407,-0.3710337679499464
ACH-000408,-0.32962008407705184
ACH-000410,-0.12654996450670694
ACH-000411,-0.5815395923638602
ACH-000414,-0.205222771831976
ACH-000415,-0.2852762559873869
ACH-000416,-0.3163146370773425
ACH-000420,-0.5953833949110217
ACH-000421,-0.08837048715829247
ACH-000424,-0.6620942306553967
ACH-000425,-0.2514370882877772
ACH-000426,-0.3059471406174449
ACH-000427,-0.10199496883948636
ACH-000433,-0.3156922376208254
ACH-000435,-0.07511784857646363
ACH-000436,-0.4894882448852616
ACH-000444,-0.4629570333690578
ACH-000445,-0.532752841387942
ACH-000448,-0.3258353663775093
ACH-000450,-0.29258468211793803
ACH-000452,-0.26145820221402544
ACH-000454,-0.7864640600242236
ACH-000458,-0.2304969613310681
ACH-000459,-0.11038336380558728
ACH-000460,-0.1436467942199101
ACH-000461,-0.4199912484066
ACH-000463,-0.0876427299561755
ACH-000464,-0.4501751244747288
ACH-000466,-0.2929017613150089
ACH-000467,-0.4691113527165395
ACH-000468,-0.469280586487745
ACH-000469,-0.6689751415565559
ACH-000470,-0.25936753322974543
ACH-000471,-0.7072652095207652
ACH-000472,-0.20846225651821007
ACH-000473,-0.18258657718916427
ACH-000475,-0.2901413566318596
ACH-000476,-0.10295811801514253
ACH-000477,-0.3803527201507917
ACH-000479,-0.4119912335151617
ACH-000480,-0.5648283235012681
ACH-000481,-0.24722484760159125
ACH-000483,-0.3696890626192577
ACH-000484,-0.31492934674494616
ACH-000485,-0.4387879717501202
ACH-000486,-0.2690691770572413
ACH-000487,-0.3606946643450615
ACH-000488,-0.2327364199298645
ACH-000490,-0.2761952719884793
ACH-000491,-0.3418658572176467
ACH-000495,-0.2395726312720892
ACH-000496,-0.22380135303223533
ACH-000499,-0.5360957005982233
ACH-000500,-0.21089301104537614
ACH-000502,-0.09984130845935504
ACH-000503,-0.5498801833108359
ACH-000505,-0.361458679996734
ACH-000507,-0.19542580444596466
ACH-000510,-0.29575018451019336
ACH-000511,-0.4765814307269332
ACH-000512,-0.4726874286821077
ACH-000516,-0.5422105234125463
ACH-000517,-0.5311840148703029
ACH-000518,-0.1309215761758191
ACH-000520,-0.5746675677567245
ACH-000521,-0.5824423689864967
ACH-000522,-0.7386533458657163
ACH-000524,-0.4545701804164537
ACH-000527,-0.3791059491066395
ACH-000528,-0.27915108683996204
ACH-000537,-0.25440136451385625
ACH-000541,-0.6089287382744437
ACH-000542,-0.4112687969534424
ACH-000544,-0.5034576480581487
ACH-000545,-0.2866112670192441
ACH-000547,-0.5438921301098291
ACH-000548,-0.5281678482488132
ACH-000549,-0.3728103765149404
ACH-000550,-0.5214068698452167
ACH-000552,-0.11688937016463405
ACH-000556,-0.5839428674242341
ACH-000557,-0.8896360299539411
ACH-000569,-0.14744819574189774
ACH-000570,-0.369386114165324
ACH-000571,-0.6273946403257596
ACH-000573,-0.21319407723500453
ACH-000576,-0.4058565748920327
ACH-000579,-0.08787317592414418
ACH-000580,-0.23265752192372766
ACH-000584,-0.4903678864719461
ACH-000585,-0.12192494052996487
ACH-000588,-0.5911168282749736
ACH-000589,-0.0908242350112113
ACH-000591,-0.2097545893110961
ACH-000593,-0.6945725651673083
ACH-000600,-0.4096616996361119
ACH-000601,-0.13642854702957036
ACH-000605,-0.2488434001225571
ACH-000606,-0.12165377889976035
ACH-000608,-0.5136454484884236
ACH-000614,-0.0820667675019579
ACH-000616,-0.4310628010148412
ACH-000618,-0.2577451287527203
ACH-000619,-0.4804364985780532
ACH-000620,-0.4343028231387326
ACH-000621,-0.2765993896791953
ACH-000622,-0.42222648081933706
ACH-000623,-0.3508429376192775
ACH-000624,-0.3359674425576367
ACH-000627,-0.6014955265129969
ACH-000630,-0.2915187003184217
ACH-000631,-0.6110101875067723
ACH-000632,-0.19769496791228972
ACH-000633,-0.4642023402488778
ACH-000637,-0.2383687357876971
ACH-000638,-0.1386263212136359
ACH-000646,-0.18522524601677653
ACH-000647,-0.1513757059546922
ACH-000648,-0.07626949872093587
ACH-000649,-0.4983931347933359
ACH-000651,-0.2840098642571856
