,IMPACT (55364)
ACH-000004,0.04237056994130746
ACH-000005,0.14839810916287002
ACH-000007,-0.26434106866597523
ACH-000009,-0.09387857215752614
ACH-000011,-0.30083459196981976
ACH-000012,-0.14132909949081435
ACH-000013,-0.1294829884405472
ACH-000014,-0.06834511450800168
ACH-000015,-0.08792816460642579
ACH-000017,-0.17135771129453808
ACH-000018,-0.1108986565046416
ACH-000019,-0.2055943506626636
ACH-000021,-0.1452700709627865
ACH-000022,-0.1973495859553928
ACH-000025,-0.2967283645352378
ACH-000028,-0.3340222045557948
ACH-000030,-0.1852394669710758
ACH-000035,-0.06375982074749917
ACH-000036,-0.2633601698207805
ACH-000037,-0.251576825708873
ACH-000039,-0.08134418943319792
ACH-000040,-0.2881662891360723
ACH-000041,-0.16485621462310066
ACH-000042,-0.2227154843924966
ACH-000045,-0.07727274697901684
ACH-000047,0.0187553736966556
ACH-000052,-0.1265263704935289
ACH-000053,-0.08058522879833986
ACH-000054,-0.15320538649624996
ACH-000055,-0.16114351155228873
ACH-000060,-0.26272609527829555
ACH-000067,-0.00956163324625407
ACH-000070,-0.09610788322706257
ACH-000075,-0.15156452826266284
ACH-000078,-0.1397779046557538
ACH-000082,-0.14778243574331068
ACH-000085,-0.14237946952778388
ACH-000086,-0.0745882097169359
ACH-000087,0.07189588367820454
ACH-000092,-0.13515167920017612
ACH-000095,-0.17845870622813767
ACH-000097,-0.2089501640181459
ACH-000098,-0.1444426171763142
ACH-000099,-0.14112227191085053
ACH-000108,0.0631548473489995
ACH-000113,-0.0677307290518792
ACH-000116,-0.21173913361365493
ACH-000118,-0.13327097276397182
ACH-000120,0.07395234187485727
ACH-000123,-0.13830443614052515
ACH-000127,-0.026746215250494882
ACH-000128,0.09942845310132803
ACH-000132,-0.29070293683203474
ACH-000133,-0.1561463337466355
ACH-000137,-0.03432857642150207
ACH-000138,-0.22960335382399516
ACH-000142,-0.17625302750215888
ACH-000143,-0.2159219718284773
ACH-000146,-0.058192349623744775
ACH-000148,-0.013284519801887705
ACH-000150,-0.013642552943050426
ACH-000152,0.008305166211166561
ACH-000153,-0.07231138744420736
ACH-000159,-0.11819990555354355
ACH-000160,-0.01992033173927558
ACH-000163,-0.17563654144944282
ACH-000167,-0.07194340483958622
ACH-000168,-0.17491904335097525
ACH-000169,-0.14217264754818812
ACH-000178,-0.05151710455331565
ACH-000183,-0.1426215862395216
ACH-000188,-0.08742940273993591
ACH-000189,0.016214163305295775
ACH-000190,-0.04892285342865451
ACH-000198,-0.005337983362474648
ACH-000203,-0.2279777168998881
ACH-000204,0.05433673173637567
ACH-000206,-0.13386053639967666
ACH-000207,-0.003919121151745936
ACH-000208,-0.4243894321437216
ACH-000210,-0.24007764086423075
ACH-000211,-0.28555775164235303
ACH-000215,-0.2289618760969416
ACH-000221,0.057247747827207186
ACH-000222,-0.1242118196308398
ACH-000223,-0.19135342576463152
ACH-000226,-0.3676490624187249
ACH-000227,-0.2765813029056969
ACH-000228,-0.24303143617137454
ACH-000231,-0.18497672681691388
ACH-000232,-0.2300529673952006
ACH-000233,-0.018774767671010672
ACH-000234,-0.2446368386975349
ACH-000235,-0.0840887827802969
ACH-000237,-0.11787680346316334
ACH-000238,-0.16766041076317542
ACH-000242,-0.19767028213568305
ACH-000243,-0.08841199003133828
ACH-000244,-0.2697747422055704
ACH-000246,-0.294997598312404
ACH-000248,-0.20407401902957253
ACH-000250,-0.11635980008638162
ACH-000251,-0.11448418406708935
ACH-000252,-0.24245760873971764
ACH-000253,-0.14557894224275136
ACH-000255,-0.20515113279035466
ACH-000256,-0.11361068584682228
ACH-000257,0.08076591921497922
ACH-000258,-0.3100194518728578
ACH-000259,-0.1566051223728993
ACH-000260,-0.14381416481465142
ACH-000261,-0.12643326573636998
ACH-000262,-0.0380359329611419
ACH-000263,-0.19947863537602065
ACH-000264,-0.25171667919460816
ACH-000265,-0.11633561152690505
ACH-000266,-0.13928891922401695
ACH-000272,-0.10624738068655287
ACH-000274,-0.17650549779663746
ACH-000277,-0.2477761931276168
ACH-000278,-0.12561155788702355
ACH-000279,-0.06233001500635516
ACH-000280,-0.15102490147585526
ACH-000281,-0.3082621449355987
ACH-000288,-0.03008129598271153
ACH-000291,-0.1700569885702604
ACH-000293,-0.04392782002197467
ACH-000294,0.031457433111978066
ACH-000295,-0.3231250675602224
ACH-000296,0.06615059029582758
ACH-000302,-0.19301695987581186
ACH-000304,-0.0504391210921253
ACH-000307,-0.05667264388931759
ACH-000308,-0.11559420683828188
ACH-000310,-0.18910396945538324
ACH-000311,-0.14711713381810265
ACH-000312,-0.14660536719206202
ACH-000315,0.0238055222535026
ACH-000316,-0.062123904513083535
ACH-000317,-0.06576942327302396
ACH-000318,-0.06872483888899293
ACH-000319,-0.04749004188154322
ACH-000320,0.0755946234719525
ACH-000322,-0.3049293676438913
ACH-000323,-0.31568602617594
ACH-000324,-0.16382901070822975
ACH-000329,-0.14042788814133791
ACH-000330,-0.1066971174093466
ACH-000331,-0.13404220932480956
ACH-000332,-0.2594277207935515
ACH-000334,-0.1416878128011321
ACH-000335,0.023030129556765675
ACH-000336,-0.26493162550010746
ACH-000337,-0.2792390339079044
ACH-000338,0.280846011640055
ACH-000339,-0.05966669109228399
ACH-000341,-0.17721165812313516
ACH-000348,-0.14257625332485618
ACH-000350,-0.2685321654351782
ACH-000352,-0.0560540121271904
ACH-000356,-0.3084716514469069
ACH-000361,-0.25198283716195585
ACH-000362,-0.07943238935432498
ACH-000363,-0.1443115041192855
ACH-000364,-0.21833585446846526
ACH-000365,-0.020042489062251274
ACH-000366,-0.06535338688604397
ACH-000368,-0.2575424280599242
ACH-000374,0.012739618168334377
ACH-000375,0.07702512115464369
ACH-000376,-0.14305860383098348
ACH-000381,-0.07357214943568684
ACH-000383,-0.14566762515641604
ACH-000387,-0.08303333441645609
ACH-000389,-0.1542608755248527
ACH-000390,-0.13706745565771689
ACH-000393,-0.1751068338375588
ACH-000395,-0.028866098963320663
ACH-000396,-0.4626021675598404
ACH-000397,-0.2699419058982681
ACH-000401,-0.2717360474047328
ACH-000402,0.00954426640152242
ACH-000403,-0.18216659978433145
ACH-000404,0.12727059008278302
ACH-000406,-0.0890408809393939
ACH-000407,-0.12183376468119668
ACH-000408,-0.05173176545801464
ACH-000410,-0.053982436709111736
