,CIR1 (9541)
ACH-000004,-0.25449834316538544
ACH-000005,-0.33200516227563065
ACH-000007,-0.2180504503279627
ACH-000009,-0.2727232612758048
ACH-000011,-0.49117062728642896
ACH-000012,-0.3447818168645016
ACH-000013,-0.26548950737338783
ACH-000014,-0.3260815628990656
ACH-000015,-0.1135215924516034
ACH-000017,-0.3279245626945711
ACH-000018,-0.3828421542260191
ACH-000019,-0.4795846582602157
ACH-000021,-0.15954502061646755
ACH-000022,-0.19930246278139055
ACH-000025,-0.4713873750974706
ACH-000028,-0.36327268118263295
ACH-000030,-0.3241613745858266
ACH-000035,-0.2835436908715905
ACH-000036,-0.32449684524052025
ACH-000037,-0.24638052282818984
ACH-000039,-0.2040751080371688
ACH-000040,-0.23348628074690295
ACH-000041,-0.3446871157677112
ACH-000042,-0.16750022231274353
ACH-000045,-0.19413113530286885
ACH-000047,-0.2006473697138956
ACH-000052,-0.5043509832509484
ACH-000053,-0.10118230486681988
ACH-000054,-0.21256635954859426
ACH-000055,-0.1325067885805489
ACH-000060,-0.21242973506081245
ACH-000067,-0.41156578652976855
ACH-000070,-0.3409454618962177
ACH-000075,-0.3529763704895109
ACH-000078,-0.2695927918287118
ACH-000082,-0.2515764112028265
ACH-000085,-0.10343866077053528
ACH-000086,-0.3970085934628592
ACH-000087,-0.4320032218400329
ACH-000092,-0.5391333448374894
ACH-000095,-0.1672867543265665
ACH-000097,-0.19242920491691148
ACH-000098,-0.2615817448859548
ACH-000099,-0.3354566071604805
ACH-000108,-0.17271967999802346
ACH-000113,-0.3536206086311344
ACH-000116,-0.17612970875365316
ACH-000118,-0.18821373769441485
ACH-000120,-0.27002034184171075
ACH-000123,-0.3224401893355629
ACH-000127,-0.3245751226941926
ACH-000128,-0.21121242220918826
ACH-000132,-0.09308694989899223
ACH-000133,-0.4662292206066538
ACH-000137,-0.3196327185297005
ACH-000138,-0.11798627798586107
ACH-000142,-0.31085227891704603
ACH-000143,-0.3318386783114578
ACH-000146,-0.1644371901370001
ACH-000148,-0.4008388200515377
ACH-000150,-0.31751548373582483
ACH-000152,-0.2578855765371402
ACH-000153,-0.22706621206851585
ACH-000159,-0.2928316720721739
ACH-000160,-0.1326692765537125
ACH-000163,-0.3524570749155322
ACH-000167,-0.17890604652564665
ACH-000168,-0.25949112525179563
ACH-000169,-0.12089239371021325
ACH-000178,-0.0789633689419821
ACH-000183,-0.17981655330930474
ACH-000188,-0.5188011550544666
ACH-000189,-0.2054534810981185
ACH-000190,-0.2328490738247033
ACH-000198,-0.35570656682602664
ACH-000203,-0.12180105671482952
ACH-000204,-0.2508219875378468
ACH-000206,-0.5418231991735275
ACH-000207,-0.20231503818160906
ACH-000208,-0.4568521248686122
