,LARP6 (55323)
ACH-000004,0.1894001763909308
ACH-000005,-0.4899916601951179
ACH-000007,-0.04629120037079575
ACH-000009,-0.17355268974079144
ACH-000011,-0.10006124030634386
ACH-000012,0.022351151978011567
ACH-000013,0.06311481225060296
ACH-000014,-0.08171747178243044
ACH-000015,-0.07674897893124423
ACH-000017,-0.07122147610576912
ACH-000018,-0.009217639094097022
ACH-000019,-0.20303973767662606
ACH-000021,0.033230039284868104
ACH-000022,-0.09797943206943574
ACH-000025,-0.007876084174050231
ACH-000028,-0.25117521066889104
ACH-000030,0.0065359304852859006
ACH-000035,0.032133571183248645
ACH-000036,0.014892368646188009
ACH-000037,-0.010138437616354346
ACH-000039,-0.2089240859796065
ACH-000040,-0.03368200621750647
ACH-000041,-0.046575633731973765
ACH-000042,-0.018870813387514108
ACH-000045,0.03499237002477122
ACH-000047,-0.08080387392198563
ACH-000052,0.018853199738649275
ACH-000053,-0.012830490162929448
ACH-000054,0.034613465166356834
ACH-000055,0.04908588805503115
ACH-000060,-0.05314811129824423
ACH-000067,0.12105618014822644
ACH-000070,-0.2484774852836977
ACH-000075,0.033897124316943465
ACH-000078,0.02618697257971461
ACH-000082,-0.020355696715734124
ACH-000085,0.05594001620701115
ACH-000086,-0.0968197935793012
ACH-000087,0.000936527757522632
ACH-000092,0.04821966209348525
ACH-000095,0.14287497840567515
ACH-000097,-0.014900614529647062
ACH-000098,0.10537249238365376
ACH-000099,-0.10921028553203198
ACH-000108,-0.027950711616874714
ACH-000113,-0.0759794013587431
ACH-000116,-0.1260907876691134
ACH-000118,-0.07751414615061201
ACH-000120,-0.23513769949972985
ACH-000123,-0.09763824340462088
ACH-000127,-0.040700022492253934
ACH-000128,-0.1600136164244683
ACH-000132,-0.1873983347967113
ACH-000133,0.04055222458741725
ACH-000137,-0.07362887585445076
ACH-000138,0.008675844141599241
ACH-000142,-0.048465775970558345
ACH-000143,-0.07033891242069132
ACH-000146,-0.14801847084323266
ACH-000148,-0.0753705810191952
ACH-000150,0.10381129398329422
ACH-000152,0.0400119483680958
ACH-000153,0.053715804804297114
ACH-000159,-0.006417747164876658
ACH-000160,-0.06578267455084617
ACH-000163,-0.16711458782843733
ACH-000167,-0.08007350639564763
ACH-000168,-0.0399260391456345
ACH-000169,-0.08699133945171833
ACH-000178,-0.14032168663502084
ACH-000183,-0.008783925462091351
ACH-000188,-0.06355829245763471
ACH-000189,0.2051985894154052
ACH-000190,-0.2224701809681875
ACH-000198,0.01376065130623213
ACH-000203,-0.22237114627535134
ACH-000204,-0.5431121447968341
ACH-000206,-0.4589048933896682
ACH-000207,0.12632531815749362
ACH-000208,0.011757621612976549
ACH-000210,-0.04657722064329203
ACH-000211,0.035952781997377364
ACH-000215,-0.08001053785304768
ACH-000221,-0.12697088791613184
ACH-000222,0.19108759811423714
ACH-000223,-0.1830912150991944
ACH-000226,0.009293983678608049
ACH-000227,0.0024524950420226235
ACH-000228,0.01959127049832811
ACH-000231,-0.005671415153117335
ACH-000232,0.004196437879077309
ACH-000233,-0.07721343628838424
ACH-000234,-0.18277310352556705
ACH-000235,-0.08472280481015675
ACH-000237,-0.02105736647999111
ACH-000238,-0.00592071892802256
ACH-000242,-0.2471494612348408
ACH-000243,-0.012166405200805338
ACH-000244,-0.4170409277394329
ACH-000246,0.029763771203625743
ACH-000248,-0.14250542638562966
ACH-000250,-0.07209434347877912
ACH-000251,-0.1203215460821694
ACH-000252,0.05452498576607465
ACH-000253,-0.04818126737407742
ACH-000255,-0.023345659199147877
ACH-000256,-0.1751092755322582
ACH-000257,0.1950791737776136
ACH-000258,0.14579003945873564
ACH-000259,0.010922584615672614
ACH-000260,-0.07573523149296976
ACH-000261,-0.13680139648428427
ACH-000262,-0.35147691641912915
ACH-000263,0.059210294016176925
ACH-000264,-0.06042885495750153
ACH-000265,-0.04672845629381246
ACH-000266,-0.00985479483566843
ACH-000272,-0.08287461717918422
ACH-000274,-0.01018573642370105
ACH-000277,-0.005709141863197971
ACH-000278,-0.11710193130510213
ACH-000279,-0.023098372661329285
ACH-000280,-0.06301218460359664
ACH-000281,-0.056609088327548476
ACH-000288,-0.030313756851942555
ACH-000291,-0.2128524936646722
ACH-000293,0.07380019159163306
ACH-000294,-0.02731358830624327
ACH-000295,0.14701278457310102
ACH-000296,0.002531064753006777
ACH-000302,0.0369560617360177
ACH-000304,-0.04692189069841598
ACH-000307,-0.11312199922864995
ACH-000308,0.043754032110997716
ACH-000310,-0.14499057383719274
ACH-000311,0.052691984574100716
ACH-000312,0.060104435088153725
ACH-000315,-0.01174561033125335
