,OTOR (56914)
ACH-000004,0.10082066132295796
ACH-000005,0.04551631755712846
ACH-000007,-0.2548021361526219
ACH-000009,0.008429855533593074
ACH-000011,-0.1160233324112235
ACH-000012,-0.05603065635258238
ACH-000013,-0.046334096749055004
ACH-000014,0.0590031950537629
ACH-000015,-0.04512485366076184
ACH-000017,-0.05010885869884777
ACH-000018,0.01550238193530308
ACH-000019,-0.042511772827889684
ACH-000021,-0.061420236379600326
ACH-000022,-0.04089185274516805
ACH-000025,-0.025622363097223717
ACH-000028,-0.11112865417485374
ACH-000030,-0.006288351911857942
ACH-000035,-0.030504451261379968
ACH-000036,-0.09615912562634912
ACH-000037,-0.017977403185960146
ACH-000039,-0.04585302963953919
ACH-000040,-0.016722192505210554
ACH-000041,-0.04428420399170226
ACH-000042,-0.08474825609974553
ACH-000045,-0.03894590276599056
ACH-000047,-0.11358665277176393
ACH-000052,-0.10153295543831296
ACH-000053,-0.060231491356353764
ACH-000054,-0.1248179882730666
ACH-000055,0.008396142658983688
ACH-000060,-0.11051726310476584
ACH-000067,-0.11373468296131245
ACH-000070,-0.2564028204864497
ACH-000075,-0.08630181653973358
ACH-000078,0.005390340752245589
ACH-000082,-0.028909198544261668
ACH-000085,-0.10136621385051944
ACH-000086,-0.04055741816618458
ACH-000087,-0.08858073481247422
ACH-000092,-0.08862251995445118
ACH-000095,-0.15925092033840565
ACH-000097,-0.12827980050950807
ACH-000098,-0.04220242065791626
ACH-000099,-0.09495077260600623
ACH-000108,-0.122297001740114
ACH-000113,-0.04351809599064263
ACH-000116,-0.0644874761197299
ACH-000118,-0.03604620326498032
ACH-000120,0.015588345155489574
ACH-000123,-0.09830620252717603
ACH-000127,-0.019548940539104186
ACH-000128,-0.10533096744623324
ACH-000132,-0.05019812643891626
ACH-000133,-0.10093357823716144
ACH-000137,-0.12497445812581807
ACH-000138,0.008730532950482641
ACH-000142,0.03547600377535329
ACH-000143,-0.07492781472862563
ACH-000146,-0.0741199260999522
ACH-000148,-0.0450794469527013
ACH-000150,-0.03865652268026122
ACH-000152,-0.00048654158720329104
ACH-000153,-0.07858351285324347
ACH-000159,-0.03527163001472447
ACH-000160,-0.14945399038024915
ACH-000163,-0.1227287120596911
ACH-000167,-0.07223352334044379
ACH-000168,-0.08161876454970557
ACH-000169,-0.006760371817108376
ACH-000178,-0.06981317595244363
ACH-000183,-0.13793030510004134
ACH-000188,0.04397469031059889
ACH-000189,-0.04326086937716591
ACH-000190,-0.16402468660084385
ACH-000198,-0.08804735723854999
ACH-000203,0.15979444704772328
ACH-000204,-0.024994475082842964
ACH-000206,-0.014680004592698128
ACH-000207,-0.02081727740393225
ACH-000208,-0.2613823002359301
ACH-000210,-0.058424709031758185
ACH-000211,-0.04826186726080621
ACH-000215,-0.06204809916127331
ACH-000221,-0.03179959191219225
ACH-000222,-0.01857406212294362
ACH-000223,-0.008358751678714487
ACH-000226,-0.06834091114115523
ACH-000227,-0.1891345814193081
ACH-000228,-0.21344790641749975
ACH-000231,-0.18383764716707132
ACH-000232,-0.13242613427298044
ACH-000233,-0.034665110277986085
ACH-000234,-0.04918031128286905
ACH-000235,-0.09654746159140776
ACH-000237,-0.02703454610712881
ACH-000238,-0.007078290286925494
ACH-000242,-0.028755684822879806
ACH-000243,-0.13007904429068962
ACH-000244,-0.12570368745541638
ACH-000246,-0.12153858246442754
