,CNPY2 (10330)
ACH-000004,-0.2991227151869776
ACH-000005,-0.051804885766258316
ACH-000007,-0.2911386102009665
ACH-000009,-0.17792190438717986
ACH-000011,-0.1816336604037197
ACH-000012,-0.09583115068978824
ACH-000013,-0.13117993410354548
ACH-000014,-0.08757270820204176
ACH-000015,-0.1840581194571312
ACH-000017,-0.1011204185835418
ACH-000018,-0.1882043588406796
ACH-000019,-0.061950878754940375
ACH-000021,-0.06796919965084124
ACH-000022,-0.3691103762443694
ACH-000025,-0.21761440524356898
ACH-000028,-0.14998400004797927
ACH-000030,-0.1789400207502713
ACH-000035,-0.12872793304067173
ACH-000036,-0.25703106336691345
ACH-000037,-0.3208322076054891
ACH-000039,-0.0703728351255405
ACH-000040,-0.3279098029509656
ACH-000041,-0.3834334121659981
ACH-000042,-0.4381417146766399
ACH-000045,0.017996888279800314
ACH-000047,-0.2811120830622697
ACH-000052,-0.3612898964225683
ACH-000053,-0.12071092289450334
ACH-000054,-0.2358435026818157
ACH-000055,-0.3321389284798517
ACH-000060,-0.12010082456845328
ACH-000067,-0.30941608014256106
ACH-000070,-0.10702162485908233
ACH-000075,-0.4195150601286324
ACH-000078,-0.006818065532871498
ACH-000082,-0.3317289804347178
ACH-000085,0.08192169252458857
ACH-000086,-0.4295528227968081
ACH-000087,-0.5099940798131094
ACH-000092,-0.17614233855228018
ACH-000095,-0.3128442094379215
ACH-000097,-0.2469542602421168
ACH-000098,-0.1687363102032923
ACH-000099,-0.3445280674579768
ACH-000108,-0.24537837162983656
ACH-000113,-0.3420418952618291
ACH-000116,-0.09341741156323297
ACH-000118,-0.3084967844328866
ACH-000120,-0.4808198509567084
ACH-000123,-0.1858118433612657
ACH-000127,-0.2546636247660061
ACH-000128,-0.2792184161262897
ACH-000132,-0.21204334214152967
ACH-000133,-0.4176781787174775
ACH-000137,-0.4090051961602253
ACH-000138,-0.1819994183791918
ACH-000142,-0.09067746701675344
ACH-000143,-0.22939110866600046
ACH-000146,-0.18124770227535444
ACH-000148,-0.26232091966843435
ACH-000150,-0.1972221500503624
ACH-000152,-0.3362186575523742
ACH-000153,-0.2623398261216678
ACH-000159,-0.1874465221831683
ACH-000160,-0.20059774791716609
ACH-000163,-0.4719148398364626
ACH-000167,-0.17660092559463486
ACH-000168,-0.2742163049228855
ACH-000169,-0.3663230780296689
ACH-000178,-0.1565486854136341
ACH-000183,-0.6203085266964559
ACH-000188,-0.12466685893460586
ACH-000189,-0.2808882926652173
ACH-000190,-0.3128808139868444
ACH-000198,-0.20489105957181308
ACH-000203,-0.10902931743409247
ACH-000204,-0.6622837157156927
ACH-000206,-0.1711845547185243
ACH-000207,-0.13611836937439376
ACH-000208,-0.1653563133132678
ACH-000210,-0.16536468206969332
ACH-000211,-0.1363793003872428
ACH-000215,-0.1572616421776505
ACH-000221,-0.12814818000110434
ACH-000222,-0.5239716750800733
