,MOB4 (25843)
ACH-000004,-0.2612671937219625
ACH-000005,-0.27498505430903225
ACH-000007,-0.6491205447799385
ACH-000009,-0.4254591255310057
ACH-000011,-0.6759393875986995
ACH-000012,-0.4220839113175453
ACH-000013,-0.4933973402350101
ACH-000014,-0.5781346683465638
ACH-000015,-0.3828896378480947
ACH-000017,-0.3963037677081765
ACH-000018,-0.7943873887603666
ACH-000019,-0.2484771281221337
ACH-000021,-0.5267248956413546
ACH-000022,-0.3136653913357353
ACH-000025,-0.8616432928311011
ACH-000028,-0.26659309597177444
ACH-000030,-0.7640693130070764
ACH-000035,-0.582190883470441
ACH-000036,-0.6633728175880698
ACH-000037,-0.3809908093251823
ACH-000039,-0.4916252630790297
ACH-000040,-0.5571378157470709
ACH-000041,-0.3421913792042679
ACH-000042,-0.6750054088219561
ACH-000045,-0.5167366580682948
ACH-000047,-0.5509795019580133
ACH-000052,-0.6426061150832385
ACH-000053,-0.6334247789154949
ACH-000054,-0.7743073373810139
ACH-000055,-0.15288416508538433
ACH-000060,-0.700358653236323
ACH-000067,-0.5589004561755905
ACH-000070,-0.6078411311678462
ACH-000075,-0.5308809038216695
ACH-000078,-0.319450479169677
ACH-000082,-0.668397758216641
ACH-000085,-0.6882809090111744
ACH-000086,-0.7151974497240896
ACH-000087,-0.5577109475172026
ACH-000092,-0.6095448623733368
ACH-000095,-0.5082316799263872
ACH-000097,-0.29294933616705976
ACH-000098,-0.7492361119441948
ACH-000099,-0.3512291612602158
ACH-000108,-0.6443299828932905
ACH-000113,-0.518701750517711
ACH-000116,-0.521236448960787
ACH-000118,-0.6199048188821462
ACH-000120,-0.6437322031535052
ACH-000123,-0.3959901768822015
ACH-000127,-0.8288751219408005
ACH-000128,-0.409935506091788
ACH-000132,-0.7683539142550652
ACH-000133,-0.6254160476829436
ACH-000137,-0.6482324502453742
ACH-000138,-0.6209418130388353
ACH-000142,-0.5411194395205798
ACH-000143,-0.4742637180125321
ACH-000146,-0.2278068807684257
ACH-000148,-0.4503097659953974
ACH-000150,-0.4169944089118641
ACH-000152,-0.8140308693438155
