,CTTN (2017)
ACH-000004,-0.07156662631099735
ACH-000005,0.10948854070377168
ACH-000007,-0.11187895538651256
ACH-000009,-0.1134427936479093
ACH-000011,-0.03077713041756568
ACH-000012,-0.2159810348275735
ACH-000013,0.02112395068398791
ACH-000014,-0.1217709977458871
ACH-000015,-0.13937726325536162
ACH-000017,-0.2388616766546649
ACH-000018,-0.2705860871925565
ACH-000019,-0.2934947738444027
ACH-000021,-0.15636139942322289
ACH-000022,-0.110647625763317
ACH-000025,-0.1359147077321184
ACH-000028,-0.37540419184392104
ACH-000030,-0.2048344626746431
ACH-000035,0.008530908661332798
ACH-000036,-0.19452037478053205
ACH-000037,-0.2575347312269212
ACH-000039,-0.18810033487490954
ACH-000040,-0.08189938197788277
ACH-000041,-0.08628001261663505
ACH-000042,-0.16293686423249698
ACH-000045,-0.056422327315025486
ACH-000047,-0.2106785473416813
ACH-000052,-0.4321010554353283
ACH-000053,-0.13191940973881155
ACH-000054,-0.11295130489515345
ACH-000055,0.0011685233224088668
ACH-000060,-0.15112582506611225
ACH-000067,0.06313018785007612
ACH-000070,-0.1768946102731432
ACH-000075,-0.24848375340934556
ACH-000078,-0.10658999106293914
ACH-000082,-0.09799984483783344
ACH-000085,-0.1654285610924124
ACH-000086,-0.31292750327553304
ACH-000087,-0.08128700524773994
ACH-000092,-0.11290922139289818
ACH-000095,-0.08419896693032798
ACH-000097,-0.25867517858383593
ACH-000098,-0.08243895079058662
ACH-000099,-0.24922128326415136
ACH-000108,0.0030496586999237177
ACH-000113,-0.16815147545622836
ACH-000116,-0.26311222649951144
ACH-000118,-0.2515443099517593
ACH-000120,-0.08082479828501103
ACH-000123,-0.13377331585662186
ACH-000127,-0.1611129812547949
ACH-000128,0.0015062579501004016
ACH-000132,-0.2509866963939333
ACH-000133,-0.29670494437950684
ACH-000137,-0.2001289002719827
ACH-000138,-0.21590486396009792
ACH-000142,-0.1727848426858893
ACH-000143,0.1977511273805646
ACH-000146,-0.041821610884699385
ACH-000148,0.016444383127895725
ACH-000150,-0.12093921393220855
ACH-000152,-0.0584077358133196
ACH-000153,-0.37636060903425134
ACH-000159,-0.12413614851277226
ACH-000160,-0.8717551151380467
ACH-000163,0.009757747125612013
ACH-000167,-0.0767912204606062
ACH-000168,-0.059392803398506236
ACH-000169,-0.2003837679322822
ACH-000178,-0.25234343738053483
ACH-000183,0.036501355516495165
ACH-000188,-0.3515401869562068
ACH-000189,-0.10888037116471114
ACH-000190,-0.2779278191849656
ACH-000198,-0.19488673738819395
ACH-000203,-0.06727882775652154
ACH-000204,-0.14264125101477898
ACH-000206,0.15072994437317794
ACH-000207,-0.4152701554960679
ACH-000208,0.07685765933694118
ACH-000210,-0.0923764351781704
ACH-000211,-0.09957712242168187
ACH-000215,-0.09093216276676637
ACH-000221,-0.14084320181591042
ACH-000222,-0.3576800832661109
ACH-000223,-0.14435513220599955
ACH-000226,-0.08974287383950243
ACH-000227,0.03423180746405845
ACH-000228,-0.5214403667758747
ACH-000231,-0.08467977130968342
ACH-000232,-0.06427344175748134
ACH-000233,-0.02403476026856427
ACH-000234,-0.09335978545459454
ACH-000235,-0.03930855194676449
ACH-000237,-0.2579067267683619
ACH-000238,0.005544635905387229
ACH-000242,-0.4516808357035104
ACH-000243,-0.07639538023403432
ACH-000244,-0.04825678195575641
