,CARS2 (79587)
ACH-000004,-0.20629296408568495
ACH-000005,-0.2387077097037778
ACH-000007,-0.15333114212231114
ACH-000009,-0.3129107721689569
ACH-000011,-0.09371112483638523
ACH-000012,-0.4776022905008904
ACH-000013,-0.4498324849639507
ACH-000014,-0.43040618535312014
ACH-000015,-0.6197768368137151
ACH-000017,-0.33641876964083645
ACH-000018,-0.3638534822545637
ACH-000019,-0.3110671402829782
ACH-000021,-0.3043280808260621
ACH-000022,-0.3040421462362149
ACH-000025,-0.3621568618644039
ACH-000028,-0.5476942502931982
ACH-000030,-0.2679499800522233
ACH-000035,-0.5083205246993794
ACH-000036,0.032304558926649636
ACH-000037,-0.500835392222698
ACH-000039,-0.2837336581593377
ACH-000040,-0.35886312458649205
ACH-000041,-0.24918597566975145
ACH-000042,-0.3496578803439622
ACH-000045,-0.5933722881408274
ACH-000047,-0.499420730168329
ACH-000052,-0.19170210263419707
ACH-000053,-0.04620874376825028
ACH-000054,-0.15330028211943253
ACH-000055,-0.286916956595481
ACH-000060,-0.2419633522585701
ACH-000067,-0.31687613399565123
ACH-000070,-0.6378232024107753
ACH-000075,-0.2227369042177656
ACH-000078,-0.4238477594292971
ACH-000082,-0.35153154535837705
ACH-000085,-0.43684817283408733
ACH-000086,-0.434099448382885
ACH-000087,-0.4986425828669734
ACH-000092,-0.1972126235472412
ACH-000095,-0.1651409134879552
ACH-000097,-0.2396293289451012
ACH-000098,-0.3929812435802511
ACH-000099,-0.578745360360039
ACH-000108,-0.2221275428112628
ACH-000113,-0.5762721265707951
ACH-000116,-0.28428394193004297
ACH-000118,-0.6657850752389737
ACH-000120,-0.3352041856852606
ACH-000123,-0.2698332101290479
ACH-000127,-0.3546885544222889
ACH-000128,-0.5467534135686102
ACH-000132,-0.43108534969343176
ACH-000133,-0.16760495695741806
ACH-000137,-0.2069207967360708
ACH-000138,-0.5261984837481849
ACH-000142,-0.05997937826892031
ACH-000143,-0.559629487784164
ACH-000146,-0.31515906919254083
ACH-000148,-0.2559470818203018
ACH-000150,-0.478339700531464
ACH-000152,-0.3635860734598392
ACH-000153,-0.260009875959267
ACH-000159,-0.25999596177460843
ACH-000160,-0.5848964646535991
ACH-000163,-0.2683406622877751
ACH-000167,0.06062749940029315
ACH-000168,-0.24479090337171416
ACH-000169,-0.4285895877293955
ACH-000178,-0.23606216094275695
ACH-000183,-0.3600263364445493
ACH-000188,-0.19577882555863665
ACH-000189,-0.3049642349231139
ACH-000190,-0.3474755287450149
ACH-000198,-0.5539976216121225
ACH-000203,-0.04101742406258433
ACH-000204,-0.5492860730584228
ACH-000206,-0.35023505768967844
ACH-000207,-0.6264346365195185
ACH-000208,-0.3760368818311221
ACH-000210,-0.330457197609135
ACH-000211,-0.3283766712673214
ACH-000215,-0.3413087901234257
ACH-000221,-0.6640113927472466
ACH-000222,-0.22648377728480654
ACH-000223,-0.2231908306109682
ACH-000226,-0.09638084559646673
ACH-000227,-0.3412389640226973
ACH-000228,-0.3562231543453558
ACH-000231,-0.22236659697295452
ACH-000232,-0.4707565256502877
ACH-000233,-0.5653345575608255
ACH-000234,-0.3359379239535387
ACH-000235,-0.24369249116210315
ACH-000237,-0.18761367819269492
ACH-000238,-0.30209226157713504
ACH-000242,-0.16818936141288418
ACH-000243,-0.3624419030838308
ACH-000244,-0.2929846898018571
ACH-000246,-0.5680087199657032
ACH-000248,-0.4930003240503165
ACH-000250,-0.09242180435744332
ACH-000251,-0.41100217539424416
ACH-000252,-0.4378759130247749
ACH-000253,-0.1979804853642686
ACH-000255,-0.32123732889192186
ACH-000256,-0.12534868702268673
ACH-000257,-0.7561294098577571
ACH-000258,-0.4995174402254913
ACH-000259,-0.5256625207554304
ACH-000260,-0.14180798346711584
ACH-000261,-0.1356369107648116
ACH-000262,-0.3015586432361674
ACH-000263,-0.2968415263111965
ACH-000264,-0.27003949183431153
ACH-000265,-0.6630354631883159
ACH-000266,-0.37864824518939855
ACH-000272,-0.44439770553777375
ACH-000274,-0.3297770223929267
ACH-000277,-0.44723928652540973
ACH-000278,-0.18821361711895174
ACH-000279,-0.5372879293321718
ACH-000280,-0.39326234755585787
ACH-000281,-0.5459556742878362
ACH-000288,-0.3029707308290737
ACH-000291,-0.3082447646198268
ACH-000293,-0.3511880389547425
ACH-000294,-0.3503984622892992
ACH-000295,-0.5173030921366387
ACH-000296,-0.1416753107899628
ACH-000302,-0.7183364187913674
ACH-000304,-0.3684797746715228
ACH-000307,-0.2550573942762798
ACH-000308,-0.185583861022674
ACH-000310,-0.14340000390800545
ACH-000311,-0.1828002237314545
ACH-000312,-0.2642330203633005
ACH-000315,-0.26025279820640845
ACH-000316,-0.4481308178204563
ACH-000317,-0.7972101320512065
ACH-000318,-0.27326095001616485
ACH-000319,-0.05270067269945767
ACH-000320,-0.5877023606921207
ACH-000322,-0.4367116442185545
ACH-000323,-0.4271212872415335
ACH-000324,-0.2098660780536883
ACH-000329,-0.2773924687289809
ACH-000330,-0.3359056741435665
ACH-000331,-0.2440382259231863
ACH-000332,-0.20500342361029694
ACH-000334,-0.15488459855976916
ACH-000335,-0.5539193662805838
ACH-000336,-0.29697766727769537
ACH-000337,-0.3344418743584969
ACH-000338,-0.4414933011220492
ACH-000339,-0.14831657315331914
ACH-000341,-0.23144912599202225
ACH-000348,-0.4921781277565728
ACH-000350,-0.4982521018532873
ACH-000352,-0.4246000098527923
ACH-000356,-0.061893218740824624
ACH-000361,-0.3211204882130564
ACH-000362,-0.12384925938991052
ACH-000363,-0.2612495043745683
ACH-000364,-0.3433153389236114
ACH-000365,-0.3424366181694675
ACH-000366,-0.2495695264778105
ACH-000368,-0.19364055182875592
ACH-000374,-0.6542921521653855
ACH-000375,-0.26074999973070445
ACH-000376,-0.5316374949774106
ACH-000381,-0.2784291775703141
ACH-000383,-0.26021552716503515
ACH-000387,-0.1827445123708046
ACH-000389,0.21946896123749116
ACH-000390,-0.3724471666547914
ACH-000393,-0.2519048117562114
ACH-000395,-0.27219779402533245
ACH-000396,-0.6181291908382249
ACH-000397,-0.21274533256816328
ACH-000401,-0.40782348596363105
ACH-000402,-0.7913649434946618
ACH-000403,-0.2525955719834964
ACH-000404,-0.4505159702894598
ACH-000406,-0.5385746034441611
ACH-000407,-0.2616779452624524
ACH-000408,-0.7335417842831705
ACH-000410,-0.222024421118328
ACH-000411,-0.2422785273503761
ACH-000414,-0.2507174856257209
ACH-000415,-0.32561789092485355
ACH-000416,-0.17208746453906287
ACH-000420,-0.3344757519269397
ACH-000421,-0.32776940577304536
ACH-000424,-0.4638832326573337
ACH-000425,-0.2316525541047737
ACH-000426,-0.26321254520063675
ACH-000427,-0.14514318353034922
ACH-000433,-0.1783526901500858
ACH-000435,-0.3723519492005057
ACH-000436,-0.08934083362657291
ACH-000444,-0.32616707164217545
ACH-000445,-0.3102562475479179
ACH-000448,-0.2747426210876058
ACH-000450,-0.4034053964507972
ACH-000452,-0.3369832894842001
ACH-000454,-0.87499441042265
ACH-000458,-0.333969026133579
ACH-000459,-1.0207637777706209
ACH-000460,-0.4347246281554946
ACH-000461,-0.8824945599706701
ACH-000463,-0.20734137418613952
ACH-000464,-0.15085629941726467
ACH-000466,-0.4354363598663208
ACH-000467,-0.2973248644450576
ACH-000468,-0.2940219614648646
ACH-000469,-0.35306544337644896
ACH-000470,-0.21192614498200704
ACH-000471,-0.2423059962267491
ACH-000472,-0.2963990805832178
ACH-000473,-0.5331507219428391
ACH-000475,-0.4963925957034096
ACH-000476,-0.35024585671311137
ACH-000477,-0.3382644689487961
ACH-000479,-0.05612691065038844
ACH-000480,-0.7444033966592292
ACH-000481,-0.20569780564711693
ACH-000483,-0.4711961310713218
ACH-000484,-0.4732893730627013
ACH-000485,-0.2043537492714185
ACH-000486,-0.32600008305915595
ACH-000487,-0.7566059175326604
ACH-000488,-0.4472236815840341
ACH-000490,-0.2741991895035231
ACH-000491,-0.29687638497155805
ACH-000495,-0.16571426306889814
ACH-000496,-0.3285826370896946
ACH-000499,-0.9496944840207318
ACH-000500,-0.5814370869343937
ACH-000502,-0.11905987125750385
ACH-000503,-0.4218163162461317
ACH-000505,-0.3450732891021227
ACH-000507,-0.40562527974726303
ACH-000510,-0.35710200851449514
ACH-000511,-0.04536202188941229
ACH-000512,-0.5349044701954394
ACH-000516,-0.20529827070540596
ACH-000517,-0.3648707725469839
ACH-000518,-0.361024837912255
ACH-000520,-0.2984395753205586
ACH-000521,-0.4054219693617251
ACH-000522,-0.4359061186273688
ACH-000524,-0.2886281808240159
ACH-000527,-0.26008882460495497
ACH-000528,-0.4074451201794688
ACH-000537,-0.6869848894997715
ACH-000541,-0.3000481496095916
ACH-000542,-0.28297710478968074
ACH-000544,-0.5081382151981388
ACH-000545,-0.41365898281101704
ACH-000547,-0.7852195147270898
ACH-000548,-0.28552246915038965
ACH-000549,-0.4955243079096402
ACH-000550,-0.3726901760326644
ACH-000552,-0.22112957206363712
ACH-000556,-0.2011144041381287
ACH-000557,-0.3200487009549995
ACH-000569,-0.057200186636048936
ACH-000570,-0.33435743586896594
ACH-000571,-0.30868364311766144
ACH-000573,-0.4045975785691126
ACH-000576,-0.08630722682812812
ACH-000579,-0.43034839119862295
ACH-000580,-0.14995763164016102
ACH-000584,-0.6277937296164242
ACH-000585,-0.3078177379955728
ACH-000588,-0.4264189404586509
ACH-000589,-0.26589972541585893
ACH-000591,-0.3206653426866484
ACH-000593,-0.4818662016354669
ACH-000600,-0.3753576873698981
ACH-000601,-0.4271799461445421
ACH-000605,-0.4620629915783045
ACH-000606,-0.30814583694147
ACH-000608,-0.3340263542583929
ACH-000614,-0.4220565340282989
ACH-000616,-0.5076988110645138
ACH-000618,-0.5965094101881276
ACH-000619,-0.2851439931074185
ACH-000620,-0.3421474484573189
ACH-000621,-0.22959428312088698
ACH-000622,-0.3698815760412268
ACH-000623,-0.3738175745102131
ACH-000624,-0.11989902526606165
ACH-000627,-0.4369443658794265
ACH-000630,-0.3578570704692312
ACH-000631,-0.5723015108200188
ACH-000632,-0.22945830516929494
ACH-000633,-0.4961708709332343
ACH-000637,-0.3848132985477466
ACH-000638,-0.3825609601014503
ACH-000646,-0.3454604645658777
