,PRKAB1 (5564)
ACH-000004,-0.03392020094618321
ACH-000005,-0.10182457274735787
ACH-000007,-0.057818444138335735
ACH-000009,-0.10352133661778204
ACH-000011,-0.11943973213939245
ACH-000012,-0.034823539301369964
ACH-000013,0.08644463793609024
ACH-000014,0.057946380095397126
ACH-000015,0.06813342291451481
ACH-000017,0.005961096356858865
ACH-000018,0.038755043128164635
ACH-000019,0.03304369758809232
ACH-000021,-0.04316091115571406
ACH-000022,-0.05183574351231725
ACH-000025,-0.016753530854581127
ACH-000028,-0.08754952328833178
ACH-000030,0.018046937311164555
ACH-000035,0.0741209512448593
ACH-000036,-0.1365810642862909
ACH-000037,-0.14832409995020573
ACH-000039,-0.2126460449403679
ACH-000040,-0.10788376361731647
ACH-000041,-0.02298064498812321
ACH-000042,-0.11494351117074343
ACH-000045,-0.11434199549834688
ACH-000047,-0.03627405434365577
ACH-000052,-0.0023288484967273816
ACH-000053,0.0991491830002183
ACH-000054,-0.10621043321929603
ACH-000055,0.08187016227512868
ACH-000060,-0.04684075066511365
ACH-000067,-0.18856520260853807
ACH-000070,0.1462108834276039
ACH-000075,-0.11350669416587775
ACH-000078,-0.029523107541537624
ACH-000082,-0.09559745428023914
ACH-000085,0.08055382222055582
ACH-000086,-0.02824629737325284
ACH-000087,-0.2588654169945519
ACH-000092,-0.11748271546687622
ACH-000095,-0.13646899627784626
ACH-000097,-0.041760144301092886
ACH-000098,-0.041898172997748936
ACH-000099,-0.04813507671997293
ACH-000108,-0.1627324432150711
ACH-000113,-0.12068240484360875
ACH-000116,0.00422504455341109
ACH-000118,-0.12917520933371304
ACH-000120,0.00812438112299417
ACH-000123,-0.1592840964257485
ACH-000127,0.006518942721802781
ACH-000128,-0.11358958907958915
ACH-000132,-0.0816567143445812
ACH-000133,-0.13150541241439054
ACH-000137,-0.11189905125759073
ACH-000138,-0.036834246730957705
ACH-000142,-0.06836760873475403
ACH-000143,0.07991222416543534
ACH-000146,-0.1504734991073159
ACH-000148,-0.160861455985474
ACH-000150,-0.09745325936708024
ACH-000152,-0.2022972502302084
ACH-000153,-0.1130670615072693
ACH-000159,-0.006884773403257029
ACH-000160,-0.11428813108284824
ACH-000163,-0.07778855599695203
ACH-000167,-0.3078708876204069
ACH-000168,-0.09623938672799703
ACH-000169,0.0007742797284154367
ACH-000178,-0.010736684030128773
ACH-000183,0.0294359659761194
ACH-000188,-0.012370646957959572
ACH-000189,0.050863758506982194
