,DCAF4L2 (138009)
ACH-000004,0.003188169015418923
ACH-000005,-0.07029047009312786
ACH-000007,-0.2014198591614388
ACH-000009,-0.0017627353787552692
ACH-000011,-0.0076579798591488715
ACH-000012,-0.13147548075173776
ACH-000013,-0.053994890625588925
ACH-000014,-0.10378016841706336
ACH-000015,-0.027216400033249342
ACH-000017,-0.35308816391537623
ACH-000018,-0.052735270961064236
ACH-000019,-0.02431690333333536
ACH-000021,-0.010062009645792942
ACH-000022,-0.11175107983269997
ACH-000025,-0.1141593821311803
ACH-000028,-0.24763703308486945
ACH-000030,-0.0914646096354319
ACH-000035,-0.13858167942533414
ACH-000036,0.08260730617872
ACH-000037,0.057552251452168475
ACH-000039,-0.05099881010010894
ACH-000040,-0.0498163991139039
ACH-000041,0.03675073576447644
ACH-000042,-0.07176107380302814
ACH-000045,0.09249446547732224
ACH-000047,-0.001398272332835493
ACH-000052,0.06182702407137106
ACH-000053,-0.114660548680832
ACH-000054,0.05133248085920643
ACH-000055,-0.17289848591978252
ACH-000060,-0.14632086921876314
ACH-000067,0.09840042071900948
ACH-000070,-0.05349811100903268
ACH-000075,-0.11069706266932958
ACH-000078,-0.1035165616449265
ACH-000082,0.035562198760700214
ACH-000085,0.07265858131583068
ACH-000086,0.09228570777019712
ACH-000087,-0.01904774065991953
ACH-000092,-0.13038521158390845
ACH-000095,0.021287950729571712
ACH-000097,-0.007978275617901598
ACH-000098,-0.04897713460103797
ACH-000099,-0.014687167241455884
ACH-000108,0.064729502641983
ACH-000113,-0.031086331972145595
ACH-000116,0.013875681780070056
ACH-000118,-0.03697957282473397
ACH-000120,0.118407574308867
ACH-000123,-0.0910348117717022
ACH-000127,-0.09261816300529403
ACH-000128,-0.03147652812646694
ACH-000132,-0.1938810070730993
ACH-000133,-0.11765417270711788
ACH-000137,0.10013578761977328
ACH-000138,0.042930164850983235
ACH-000142,0.044614927091596916
ACH-000143,-0.1883480555590988
ACH-000146,0.023117626768512152
ACH-000148,-0.05599920528163618
ACH-000150,-0.1423839283448416
ACH-000152,-0.11825714670608835
ACH-000153,0.037356275583390636
ACH-000159,-0.15113676277410187
ACH-000160,-0.10923232803160793
ACH-000163,0.01110203063268332
ACH-000167,0.4334043902365601
ACH-000168,-0.047765015605641115
ACH-000169,-0.09469319088207058
ACH-000178,0.00024689232915516116
ACH-000183,0.02370230483461011
ACH-000188,0.0220718959007014
ACH-000189,-0.07782800018884639
ACH-000190,-0.019377558909771213
ACH-000198,0.14073605217244733
ACH-000203,-0.04175371441306087
ACH-000204,-0.007908734141275348
ACH-000206,-0.1689235364211489
ACH-000207,-0.12660537625231405
ACH-000208,0.1846000493616593
ACH-000210,-0.02093238376454924
ACH-000211,-0.03449422835923355
ACH-000215,-0.056090386388548207
ACH-000221,-0.020858887226463358
ACH-000222,0.15218261535859615
ACH-000223,-0.033698796187901114
ACH-000226,0.034140786144893985
ACH-000227,-0.2316844978749121
ACH-000228,-0.11957277359794108
ACH-000231,0.0
ACH-000232,0.02522939226252829
ACH-000233,-0.17444825787602494
ACH-000234,-0.03795813420105906
ACH-000235,-0.07528587618784978
ACH-000237,-0.054535574451618385
ACH-000238,0.14563023260380914
ACH-000242,-0.03272500187621845
ACH-000243,-0.056464755981768214
ACH-000244,-0.08612717361392683
ACH-000246,-0.10260001047773744
ACH-000248,-0.6132646035107637
ACH-000250,0.022645908689551526
ACH-000251,0.11427507486412145
ACH-000252,-0.2008175243336561
ACH-000253,-0.04239683516535988
ACH-000255,-0.05345124345769157
ACH-000256,-0.22542976372040985
ACH-000257,-0.06987111909631101
ACH-000258,-0.0745687516530962
ACH-000259,-0.1087526941098375
ACH-000260,0.007196210549370259
ACH-000261,-0.05616571960721442
ACH-000262,-0.11876708592643245
ACH-000263,-0.03383077692464155
ACH-000264,0.005724361486067764
ACH-000265,-0.2687480676848004
ACH-000266,-0.020946613888292977
ACH-000272,-0.025416526759159924
ACH-000274,-0.016759009635248883
ACH-000277,-0.16797408237734693
ACH-000278,0.02557213797180809
ACH-000279,-0.004397483360664978
ACH-000280,-0.028040800161014918
ACH-000281,-0.041992249606541666
ACH-000288,0.016304020210693267
ACH-000291,-0.10170794373397933
ACH-000293,-0.058236784749023475
ACH-000294,-0.1105028543269956
ACH-000295,0.21306863336733736
ACH-000296,0.10741685223021216
ACH-000302,-0.08026873021787742
ACH-000304,4.804430306231958e-05
ACH-000307,-0.08571674171014537
ACH-000308,0.01348005257673425
ACH-000310,-0.05496209342441636
ACH-000311,-0.07869423474537561
ACH-000312,-0.04781051739300948
ACH-000315,0.037815295019855165
ACH-000316,-0.12214491040327805
ACH-000317,0.08446696720498541
ACH-000318,0.03209245936071173
ACH-000319,-0.1720122426991668
ACH-000320,0.22946795496195396
ACH-000322,0.11361414475305955
ACH-000323,0.005026327375391458
ACH-000324,-0.15517818621335747
ACH-000329,-0.017920621500020703
ACH-000330,0.09032818649253316
ACH-000331,-0.10745042374219363
ACH-000332,-0.09575367838438728
ACH-000334,0.0870623358028231
ACH-000335,0.01424640949656985
ACH-000336,-0.19192967683325526
ACH-000337,-0.08906919581681738
ACH-000338,-0.16430576743287922
ACH-000339,-0.055223223719194116
ACH-000341,0.23480591374920365
ACH-000348,0.029818908750055037
ACH-000350,0.02477988300238093
ACH-000352,-0.16508133243340425
ACH-000356,0.021719933327099032
ACH-000361,0.07639580300304119
ACH-000362,0.0920359156480112
ACH-000363,-0.2289845297854649
ACH-000364,-0.09570780073649562
ACH-000365,-0.04520393419152213
ACH-000366,-0.10703863918664856
ACH-000368,0.059352862363971165
ACH-000374,0.05737188114887915
ACH-000375,-0.03848238554651008
ACH-000376,-0.0134400611764987
ACH-000381,-0.18417220815747656
ACH-000383,-0.02875556018807823
ACH-000387,-0.018552053451832203
ACH-000389,0.02043122711178616
ACH-000390,-0.05822568915889595
ACH-000393,-0.05018512601669837
ACH-000395,0.01677711994625975
ACH-000396,-0.15130383524841387
ACH-000397,-0.049379563910729535
ACH-000401,-0.18981050529731186
ACH-000402,0.13075444277429704
ACH-000403,-0.04562527481447088
