,VTI1A (143187)
ACH-000004,-0.04659933979563318
ACH-000005,-0.0941780420234725
ACH-000007,0.05429009474158734
ACH-000009,-0.16251314531882372
ACH-000011,-0.06672367274528086
ACH-000012,-0.14508281965439945
ACH-000013,-0.22182153930217152
ACH-000014,-0.1157700253421708
ACH-000015,-0.23275200349169015
ACH-000017,0.009081157957243673
ACH-000018,-0.009770949004762013
ACH-000019,-0.2330047580288245
ACH-000021,-0.005100952423565562
ACH-000022,-0.18026147328054815
ACH-000025,-0.20821551194088864
ACH-000028,-0.057971362606513865
ACH-000030,-0.15133826370988146
ACH-000035,-0.18213331266404675
ACH-000036,-0.3527819216492508
ACH-000037,-0.10550145879209943
ACH-000039,-0.09642686779257012
ACH-000040,-0.2713352940254201
ACH-000041,-0.09538915014229483
ACH-000042,-0.2059067868738867
ACH-000045,-0.12687680071427326
ACH-000047,-0.020439806160967505
ACH-000052,-0.1889822776584995
ACH-000053,-0.17453993741319665
ACH-000054,-0.2449783701100397
ACH-000055,-0.12939747153140144
ACH-000060,-0.19796719197220053
ACH-000067,-0.22946827908193435
ACH-000070,-0.22856510962169366
ACH-000075,-0.1300762837262618
ACH-000078,-0.11528841687280113
ACH-000082,-0.16544287538693056
ACH-000085,-0.08214199307377701
ACH-000086,-0.12365512766334635
ACH-000087,0.0048925907225718344
ACH-000092,-0.11183376379524704
ACH-000095,-0.1600624926800342
ACH-000097,-0.02319152085511628
ACH-000098,-0.0806160314022152
ACH-000099,-0.4952057083384172
ACH-000108,-0.11819316772823545
ACH-000113,-0.038642722660646465
ACH-000116,-0.04752477888589708
ACH-000118,-0.019229318673114303
ACH-000120,-0.14583378787829895
ACH-000123,-0.055209130516758714
ACH-000127,-0.04617968763220732
ACH-000128,-0.17410545920314094
ACH-000132,-0.15563204962851854
ACH-000133,-0.2903338508861953
ACH-000137,-0.12722648428038238
ACH-000138,-0.13569019454604878
ACH-000142,-0.4549528915303821
ACH-000143,-0.046899235743964006
ACH-000146,-0.07420631917646876
ACH-000148,-0.20769593162911065
ACH-000150,0.008941201680312556
ACH-000152,-0.18589978296106868
ACH-000153,-0.03740631407003927
ACH-000159,-0.14999916267364424
ACH-000160,-0.19239802671451825
ACH-000163,-0.047919468109733285
ACH-000167,-0.1854325431324866
ACH-000168,-0.09474351954881707
ACH-000169,-0.192740318866174
ACH-000178,-0.12161645066230573
ACH-000183,-0.2772875198715851
ACH-000188,-0.0052959953570645
ACH-000189,-0.13790129031778064
ACH-000190,-0.11747724493218545
ACH-000198,-0.014587704066424885
ACH-000203,0.12216409234689267
ACH-000204,-0.16338095340148562
ACH-000206,-0.2278344825892111
ACH-000207,-0.2506424482034482
ACH-000208,-0.21799385929111895
ACH-000210,-0.23011833506417606
ACH-000211,-0.15729729941299342
ACH-000215,-0.08201141512992892
ACH-000221,-0.12271223476544453
ACH-000222,-0.2202416683148098
ACH-000223,-0.11707225558300415
ACH-000226,-0.022071354515660016
ACH-000227,-0.04439565249734323
ACH-000228,-0.08064427046028019
ACH-000231,-0.16746568618851745
ACH-000232,-0.22328871776324594
ACH-000233,-0.2062796519180356
ACH-000234,-0.1298707195908047
ACH-000235,-0.12573114371318864
ACH-000237,-0.22527191298064464
ACH-000238,-0.0722659869293572
ACH-000242,-0.1751363273551218
ACH-000243,-0.07286530530911926
ACH-000244,0.043363992593152614
ACH-000246,-0.16295953352665035
ACH-000248,-0.03913253441405765
ACH-000250,-0.1023011217284594
ACH-000251,-0.07422827144241062
ACH-000252,-0.10292354270843954
ACH-000253,-0.1924364313470072
ACH-000255,-0.18958389288246213
ACH-000256,-0.12904034399387102
ACH-000257,-0.11645272678545605
ACH-000258,-0.2178237121206464
ACH-000259,-0.20000757645499515
ACH-000260,-0.18295043769561328
ACH-000261,-0.14146250315416167
ACH-000262,-0.18667231444532387
ACH-000263,-0.056297725916605534
ACH-000264,-0.15132704587680268
ACH-000265,-0.041941020275033984
ACH-000266,-0.1108594108756864
ACH-000272,-0.1520842276678624
ACH-000274,-0.02140291286826641
ACH-000277,-0.17075974824228116
ACH-000278,-0.15010770413568278
ACH-000279,-0.21450966531726365
ACH-000280,-0.1797268507878973
ACH-000281,-0.2879709185781683
ACH-000288,-0.14193554037966494
ACH-000291,-0.0929409626789657
ACH-000293,-0.19769601896314892
ACH-000294,-0.2814882264724288
ACH-000295,-0.05245675990264245
ACH-000296,-0.1854446604579037
ACH-000302,-0.14676049723123613
ACH-000304,-0.0308221898027836
ACH-000307,-0.12164946288999942
ACH-000308,-0.17759968013913535
ACH-000310,-0.11713458273865585
ACH-000311,-0.08878110027498537
ACH-000312,-0.2956534561136879
ACH-000315,-0.08161380562518578
ACH-000316,-0.1892569542492264
ACH-000317,-0.10552222183216796
ACH-000318,-0.1222066219428609
ACH-000319,-0.16895128482842092
ACH-000320,-0.14896273768885776
ACH-000322,-0.0670637489975212
ACH-000323,-0.24576490300777498
ACH-000324,-0.16756403328748146
ACH-000329,-0.2392033776237877
ACH-000330,-0.15079936693700705
ACH-000331,-0.1052114674721474
ACH-000332,-0.17524755616856227
ACH-000334,-0.01575422053938607
ACH-000335,-0.02403977627307254
ACH-000336,-0.04169654633592459
ACH-000337,-0.25606779152748205
ACH-000338,0.07790117500117795
ACH-000339,-0.09252525040464016
ACH-000341,-0.2055943142922172
ACH-000348,-0.07441494615623402
ACH-000350,-0.12256887647076745
ACH-000352,-0.18851335145314474
ACH-000356,-0.17696633820731064
ACH-000361,-0.1362580363012252
ACH-000362,0.026585350895984117
ACH-000363,-0.12753053576051065
ACH-000364,-0.023657462866956358
ACH-000365,-0.17530795118615586
ACH-000366,-0.2521133582182525
ACH-000368,-0.3089268765013803
ACH-000374,-0.14581256924276298
ACH-000375,-0.19905556404910468
ACH-000376,-0.2051682258015612
ACH-000381,-0.1706874122619217
ACH-000383,-0.1074543156425466
ACH-000387,-0.1229072344278094
ACH-000389,-0.1912491399301016
ACH-000390,-0.10180916802777824
ACH-000393,-0.16077763533832656
ACH-000395,-0.30599740155637434
ACH-000396,-0.22400983962483986
ACH-000397,-0.2696079452178522
ACH-000401,-0.09419288877928356
ACH-000402,0.048687757146516505
ACH-000403,-0.20688326076443345
ACH-000404,-0.11669914922527175
ACH-000406,-0.09803108111337004
ACH-000407,-0.18767204746788466
ACH-000408,-0.06873904670514283
ACH-000410,-0.12223228969413938
ACH-000411,-0.20128546435832756
ACH-000414,-0.02680040467602715
ACH-000415,-0.19252014254465144
ACH-000416,-0.09430080711684234
ACH-000420,-0.06636495403346622
ACH-000421,-0.16610435933047388
ACH-000424,-0.12512398532300786
ACH-000425,-0.12699187283171146
ACH-000426,0.0570495717747715
ACH-000427,-0.19021084427264826
ACH-000433,-0.14168205027480782
ACH-000435,-0.35369308940365096
ACH-000436,-0.16246922767747246
ACH-000444,-0.10439231441536907
ACH-000445,-0.3246399593006395
ACH-000448,-0.09589148516444453
ACH-000450,0.0023811891884589318
ACH-000452,-0.15280233725231304
ACH-000454,-0.26127796812886145
ACH-000458,-0.1271259237274063
ACH-000459,-0.03920613572703726
ACH-000460,-0.14930554175380786
ACH-000461,-0.15666022056795875
ACH-000463,-0.05855593351012385
ACH-000464,-0.30995315977670096
ACH-000466,-0.12741532590906504
ACH-000467,-0.2406425575914428
ACH-000468,-0.18839538555661128
ACH-000469,-0.16960095332802286
ACH-000470,-0.13813270481763326
ACH-000471,-0.12790849480189925
ACH-000472,-0.0768832384412346
ACH-000473,-0.14786194142363385
ACH-000475,-0.1420271548092976
ACH-000476,-0.18454630734048405
ACH-000477,-0.15391970860843845
ACH-000479,-0.4429174857765889
ACH-000480,-0.0253638072424527
ACH-000481,-0.14856347605478995
ACH-000483,-0.18054117634631847
ACH-000484,-0.0988364901894679
ACH-000485,-0.0126945808365935
ACH-000486,-0.12363368534182252
ACH-000487,-0.15143150533438468
ACH-000488,-0.0923243824640966
ACH-000490,-0.07236672271656522
ACH-000491,-0.2019108489523572
ACH-000495,-0.2469398364198101
ACH-000496,-0.26115261934240336
ACH-000499,-0.007818081431114772
ACH-000500,0.05829583257052115
ACH-000502,-0.10435615066554846
ACH-000503,-0.17646761993461396
ACH-000505,-0.14417452745731058
ACH-000507,-0.11870701966438177
ACH-000510,-0.12690233893225186
ACH-000511,-0.022672984021315373
ACH-000512,-0.2080047107374096
ACH-000516,-0.0809767239591686
ACH-000517,-0.18048836534515172
ACH-000518,-0.2628341196053208
ACH-000520,-0.09201692600354057
ACH-000521,-0.07414775288743905
ACH-000522,-0.016016414523180596
ACH-000524,-0.14083312223962222
ACH-000527,-0.11393274989443106
ACH-000528,-0.1440024078982565
ACH-000537,-0.01486779946679602
ACH-000541,-0.10309021280893667
ACH-000542,-0.16573097080847576
ACH-000544,-0.07577596694740944
ACH-000545,-0.07835051833670384
ACH-000547,-0.3019183870179459
ACH-000548,-0.2948816902503245
ACH-000549,-0.13498343364283608
ACH-000550,-0.14574249987455298
ACH-000552,-0.29216738751146426
ACH-000556,-0.10462167441390274
ACH-000557,-0.06770768041443548
ACH-000569,-0.2869677189462559
ACH-000570,-0.19751270023597134
ACH-000571,-0.10180673179353228
ACH-000573,-0.08548493998920538
ACH-000576,-0.17378305382339235
ACH-000579,-0.1853244542447617
ACH-000580,-0.1265891075248393
ACH-000584,-0.08242527972458284
ACH-000585,-0.2725303253006009
ACH-000588,-0.06086954236173616
ACH-000589,-0.032245614218868485
ACH-000591,-0.16787934547516434
ACH-000593,-0.16978576514420396
ACH-000600,-0.1630145301549342
ACH-000601,-0.03064266154337658
ACH-000605,-0.12933282366784665
ACH-000606,-0.06878747182550311
ACH-000608,-0.19351518167558826
ACH-000614,-0.09777964731568
ACH-000616,-0.07180081419332306
ACH-000618,-0.03668215764134797
ACH-000619,-0.004841355464671315
ACH-000620,-0.0937924078915056
ACH-000621,-0.14049939469120795
ACH-000622,-0.2064038428557436
ACH-000623,-0.15009848455816174
ACH-000624,-0.02976817980748381
ACH-000627,-0.12046358004173364
ACH-000630,-0.16563963319020733
ACH-000631,-0.3689097137613547
ACH-000632,-0.060405438442442415
ACH-000633,-0.18763092487804986
ACH-000637,-0.002350366569171434
ACH-000638,-0.21389065427267495
ACH-000646,-0.20979455125056684
ACH-000647,-0.09436307465607503
ACH-000648,-0.20421404416934166
ACH-000649,-0.13165111737986818
ACH-000651,-0.217021660655464
ACH-000652,-0.17155694941719746
ACH-000653,-0.10380690393747223
ACH-000657,-0.14822832269676284
ACH-000658,-0.06344376812568396
ACH-000661,-0.29338223630347404
ACH-000662,-0.21556455054148788
ACH-000663,-0.15617372557828774
ACH-000665,-0.10501600950607606
ACH-000671,-0.18619462046275784
ACH-000672,-0.15549378029104816
ACH-000673,-0.3647263138331782
ACH-000676,-0.14415685189377292
ACH-000677,-0.19090798327672995
ACH-000681,-0.12915556888215493
ACH-000683,-0.09872030789255168
ACH-000684,-0.20994325813117504
ACH-000688,-0.2060318156145704
ACH-000693,-0.03919466964026423
ACH-000694,-0.15656434231236602
ACH-000695,-0.281069045199599
ACH-000696,-0.1123700183018857
ACH-000697,-0.23709347206018774
ACH-000699,-0.06153807948827504
ACH-000701,-0.14689154028351167
ACH-000706,-0.04668479524295845
ACH-000711,-0.2648718839333817
ACH-000713,0.04608525462684317
ACH-000714,-0.06726444305707435
ACH-000718,-0.0867757283721703
ACH-000720,-0.06796810234312697
ACH-000721,-0.1043526411552608
ACH-000724,-0.097504269624348
ACH-000725,-0.2683272131188766
ACH-000732,-0.0772368652191265
ACH-000734,-0.11120430878636647
ACH-000735,-0.12889304391662534
ACH-000736,-0.3352755270131357
ACH-000738,-0.28626097265658995
ACH-000746,-0.013213885748558888
ACH-000747,-0.07139096676668966
ACH-000748,-0.17953334323342424
ACH-000753,-0.0901309701219936
ACH-000756,0.043878844586033035
ACH-000757,-0.13370824981920515
ACH-000758,-0.09383496289215988
ACH-000760,-0.07841612852258095
ACH-000762,-0.18747089040214335
ACH-000763,-0.1993141917219768
ACH-000764,-0.20729306194124425
ACH-000765,-0.04940661713604797
ACH-000766,-0.1364130676630331
ACH-000767,-0.14819244719475475
ACH-000768,0.07422713969773215
ACH-000769,-0.26227013143375894
ACH-000770,-0.13519177824577566
ACH-000771,-0.2455860443142332
ACH-000773,-0.2396453495149368
ACH-000776,-0.22465326241568048
ACH-000777,-0.04250144198102144
ACH-000778,-0.025750013678938397
ACH-000781,-0.12969061002405252
ACH-000782,-0.19985648288498653
ACH-000783,-0.16877765020183674
ACH-000784,-0.2072619836445003
ACH-000785,-0.0851709796059689
ACH-000787,-0.18799396664642687
ACH-000788,-0.16531642926343165
ACH-000791,0.002330600337872129
ACH-000792,-0.07230869007685757
ACH-000794,-0.1513504746869104
ACH-000796,-0.2897095793437338
ACH-000798,-0.28374910379079826
ACH-000799,-0.12815556872641112
ACH-000800,0.021349963985301385
ACH-000802,-0.13875589430676052
ACH-000804,-0.16314100674302853
ACH-000805,-0.22964280252328914
ACH-000809,-0.15839083429920245
ACH-000810,-0.0401706121942392
ACH-000811,-0.15478950659584134
ACH-000817,-0.18345671340634376
ACH-000819,-0.055993702116733865
ACH-000820,-0.08732554732168704
ACH-000821,-0.012468846274648436
ACH-000822,-0.09672913166530624
ACH-000823,-0.10637906346377833
ACH-000824,-0.18554312891608649
ACH-000827,-0.1790209998251143
ACH-000829,-0.13824651932210716
ACH-000831,0.007096798895876236
ACH-000832,-0.12445376530739108
ACH-000833,-0.12252176064985115
ACH-000834,-0.1782525135159913
ACH-000835,-0.11367365213728953
ACH-000836,-0.13088038587381462
ACH-000837,-0.17225631936110486
ACH-000838,-0.305212203650403
ACH-000839,-0.22613724311268496
ACH-000840,-0.06965523678459509
ACH-000841,-0.17058187289725724
ACH-000843,-0.10622686446481402
ACH-000846,-0.08023439898150657
ACH-000847,-0.17160799128113394
ACH-000848,-0.25984192775758114
ACH-000849,-0.1780522531026606
ACH-000851,-0.28321469282065737
ACH-000855,-0.01863216455338192
ACH-000856,-0.04595885577022505
ACH-000858,-0.1268158575041342
ACH-000859,-0.15338731037358713
ACH-000861,-0.2563584244046757
ACH-000862,-0.06535623249171184
ACH-000865,-0.17466358560124887
ACH-000866,-0.09287657436470136
ACH-000867,-0.13130044975963664
ACH-000869,-0.3003782346519123
ACH-000872,0.0037333665841398204
ACH-000873,-0.10511844422224774
ACH-000876,-0.1829468848711919
ACH-000878,-0.16621747853016372
ACH-000880,-0.037876291405171465
ACH-000881,-0.18434853633481726
ACH-000882,-0.2252161354586696
ACH-000884,-0.0802136995542803
ACH-000885,-0.10666266242874292
ACH-000887,-0.134675662381162
ACH-000889,-0.25691222708306244
ACH-000896,-0.17749785849271854
ACH-000898,-0.03659493972546355
ACH-000900,0.06544688178372582
ACH-000901,-0.09651461899946863
ACH-000905,-0.11221546923665664
ACH-000906,-0.10275734145382742
ACH-000907,-0.2790328691320266
ACH-000910,-0.14221363577098184
ACH-000911,-0.11991396281138947
ACH-000912,-0.043085429937714366
ACH-000913,-0.15180162596081176
ACH-000915,-0.03788705498536928
ACH-000916,0.0350811317689858
ACH-000917,-0.09631117660314546
ACH-000920,-0.1749698271354744
ACH-000921,-0.12055169810403756
ACH-000924,-0.24663634455515426
ACH-000926,-0.2736705020913356
ACH-000928,0.02924242590524855
ACH-000929,-0.3964069935885319
ACH-000932,-0.09558982107068843
ACH-000935,-0.28449292089154915
ACH-000936,-0.14385472135397034
ACH-000937,-0.10003211204349076
ACH-000938,-0.04322274727246392
ACH-000939,0.000194336797108218
ACH-000941,-0.058916343820583326
ACH-000943,-0.06728302291520646
ACH-000946,-0.15629813335605666
ACH-000947,-0.2181278297054052
ACH-000948,-0.09108115115244164
ACH-000950,-0.13041645711502758
ACH-000953,-0.08522390963524082
ACH-000954,-0.21189086503213933
ACH-000957,-0.10685016852453792
ACH-000958,-0.18300039491882594
ACH-000960,-0.11623120807816878
ACH-000963,-0.09319929545081346
ACH-000968,-0.17611823815815014
ACH-000969,-0.15102414242489626
ACH-000972,-0.0861265630738306
ACH-000973,-0.08786186821705706
ACH-000974,-0.26429014161148945
ACH-000978,-0.07534810687951365
ACH-000984,-0.07244245379293524
ACH-000986,-0.10640129595890008
ACH-000988,0.04678015382411873
ACH-000993,-0.10551538039102716
ACH-000994,-0.27214854491755264
ACH-000996,-0.0969146399824368
ACH-001001,-0.15009508157134402
ACH-001020,-0.12060089581404172
ACH-001028,-0.19800172752467327
ACH-001031,-0.07460940943016503
ACH-001038,-0.15244702989515005
ACH-001048,-0.2322803155181489
ACH-001050,-0.09367918930411208
ACH-001053,-0.4275378643671168
ACH-001054,-0.1898619728709485
ACH-001061,-0.1099241349183289
ACH-001067,-0.16400877209505796
ACH-001075,-0.2635875519807441
ACH-001096,-0.1866548569823454
ACH-001111,0.002002862627491441
ACH-001119,-0.1871493968774874
ACH-001128,-0.2556181947019857
ACH-001134,0.009748306774554629
ACH-001151,-0.1920558320826128
ACH-001163,-0.07146211485441313
ACH-001164,-0.13847989379478906
ACH-001183,-0.37847683451509706
ACH-001192,-0.16822129142631964
ACH-001193,-0.09298844909683797
ACH-001196,-0.11520724644028485
ACH-001197,-0.331476660310289
ACH-001205,-0.2400025803048764
ACH-001211,-0.1863342636475207
ACH-001212,-0.15911840187207274
ACH-001228,-0.09599564802226324
ACH-001232,-0.10100059690576478
ACH-001239,-0.14712216466981615
ACH-001270,0.11020885725925993
ACH-001274,-0.106251697050021
ACH-001275,-0.16004968356198127
ACH-001277,-0.0657921630019213
ACH-001278,-0.12136107583762401
