,PABPN1 (8106)
ACH-000004,-0.9847241843109024
ACH-000005,-1.4474747553857443
ACH-000007,-0.936570945705596
ACH-000009,-0.9410116971873249
ACH-000011,-1.0044172065339998
ACH-000012,-1.0121678809270038
ACH-000013,-1.0426179945847032
ACH-000014,-1.1883357443228837
ACH-000015,-0.5889635624329153
ACH-000017,-1.2613613271689683
ACH-000018,-0.7520769271924299
ACH-000019,-0.6320578797837842
ACH-000021,-0.8630706249810297
ACH-000022,-1.0170584731799512
ACH-000025,-1.3095472075620007
ACH-000028,-0.9166691304690344
ACH-000030,-0.931442826669702
ACH-000035,-1.2471417145170187
ACH-000036,-1.034553066682112
ACH-000037,-1.4323630932350626
ACH-000039,-1.072120760881881
ACH-000040,-1.2469395389020268
ACH-000041,-0.9870551150382652
ACH-000042,-0.9172558878459788
ACH-000045,-1.0119474839525706
ACH-000047,-1.2051743528826795
ACH-000052,-0.8723181421119344
ACH-000053,-0.8284122428177693
ACH-000054,-0.8840512953971557
ACH-000055,-1.014260773428972
ACH-000060,-1.1682791681549518
ACH-000067,-1.1590809699343665
ACH-000070,-1.100040770231291
ACH-000075,-1.2811526333162049
ACH-000078,-1.0706248315127147
ACH-000082,-1.0976735537166338
ACH-000085,-0.9961221000065896
ACH-000086,-0.9616144827657702
ACH-000087,-0.9858329007965309
ACH-000092,-1.2398714310669727
ACH-000095,-0.7824764123928845
ACH-000097,-0.9502419347856569
ACH-000098,-1.0154239752494238
ACH-000099,-0.8247130738849021
ACH-000108,-1.15872920966863
ACH-000113,-1.0026760960904182
ACH-000116,-0.8566246021270488
ACH-000118,-1.0311161613324342
ACH-000120,-0.8178251154799305
ACH-000123,-0.9700666270778534
ACH-000127,-0.7938187351741721
ACH-000128,-0.9667352020022841
ACH-000132,-1.0874326518469768
ACH-000133,-0.7792722834565328
ACH-000137,-1.0486661239586992
ACH-000138,-0.7236184132439767
ACH-000142,-0.7792787560662192
ACH-000143,-0.901493864356786
ACH-000146,-0.8196264686557829
ACH-000148,-0.8837213429209463
ACH-000150,-0.8823694637678933
ACH-000152,-0.953022236600178
ACH-000153,-1.329679025425502
ACH-000159,-1.014473499273204
ACH-000160,-0.4729136629052382
ACH-000163,-1.0147834086623246
ACH-000167,-0.858422553681393
ACH-000168,-1.3219926952806382
ACH-000169,-1.0920048364297057
ACH-000178,-0.9826843507161872
ACH-000183,-1.239901189558997
ACH-000188,-0.6585573091419709
ACH-000189,-1.2970073536085578
ACH-000190,-0.8199878101603091
ACH-000198,-1.0682996298766765
ACH-000203,-0.6631949133428556
ACH-000204,-1.4511822429166663
ACH-000206,-1.2583033453432622
ACH-000207,-0.5285880451931892
ACH-000208,-0.6480432615116745
ACH-000210,-1.0010327676797202
ACH-000211,-1.0977906489238438
ACH-000215,-0.9143549216829746
ACH-000221,-0.7861033230159399
ACH-000222,-1.121506106834326
ACH-000223,-0.8714651858053782
ACH-000226,-1.2321697699017102
ACH-000227,-0.5762877376637441
ACH-000228,-1.106034765237372
ACH-000231,-0.801275546732652
ACH-000232,-0.9424670441389912
ACH-000233,-0.7494290333011638
ACH-000234,-1.3015442780493798
ACH-000235,-0.9444221225974097
ACH-000237,-0.6031376369057938
ACH-000238,-0.8120588471197909
