,MEX3A (92312)
ACH-000004,-0.5016404398056449
ACH-000005,-0.6201613083770324
ACH-000007,-0.6583955679451727
ACH-000009,-0.34323517857013186
ACH-000011,-0.33930503394707817
ACH-000012,-0.559787665536578
ACH-000013,-0.3784693097335443
ACH-000014,-0.29885756219483617
ACH-000015,-0.40318837850134936
ACH-000017,-0.2336718004871336
ACH-000018,-0.5112942212440642
ACH-000019,-0.16101825473172374
ACH-000021,-0.3697521902547163
ACH-000022,-0.4346725398182505
ACH-000025,-0.4440160698638108
ACH-000028,-0.1994509181169017
ACH-000030,-0.39592517176974495
ACH-000035,-0.4901062206605903
ACH-000036,-0.37075968680214416
ACH-000037,-0.3214467855567801
ACH-000039,-0.3403458686087161
ACH-000040,-0.3911902086308967
ACH-000041,-0.2341306537880101
ACH-000042,-0.4165904532868315
ACH-000045,-0.4190670116374823
ACH-000047,-0.1187088434083503
ACH-000052,-0.4199113344415557
ACH-000053,-0.2686020221482695
ACH-000054,-0.41401781718058706
ACH-000055,-0.5100726701176096
ACH-000060,-0.6300156884214179
ACH-000067,-0.3417207564034054
ACH-000070,-0.2717834286625109
ACH-000075,-0.1812140513089112
ACH-000078,-0.4634207615654862
ACH-000082,-0.20846075247516907
ACH-000085,-0.25054802594164105
ACH-000086,-0.566311969683729
ACH-000087,-0.7494445452487523
ACH-000092,-0.5002136299167919
ACH-000095,-0.3512648196757056
ACH-000097,-0.6064163508203932
ACH-000098,-0.3487523711000282
ACH-000099,-0.4422488380695361
ACH-000108,-0.6227063351270117
ACH-000113,-0.27973834409677545
ACH-000116,-0.3771481406652536
ACH-000118,-0.33680924217941144
ACH-000120,-0.3329042326139613
ACH-000123,-0.2690001423603058
ACH-000127,-0.3627398473709765
ACH-000128,-0.4458913430830906
ACH-000132,-0.373978453160034
ACH-000133,-0.3831874788547915
ACH-000137,-0.34671566417501865
ACH-000138,-0.6104785216955305
ACH-000142,-0.5007544238022777
ACH-000143,-0.15332208585341972
ACH-000146,-0.36753488860528943
ACH-000148,-0.39853855327654203
ACH-000150,-0.4583186827640509
ACH-000152,-0.20260812584064766
ACH-000153,-0.2841684656389459
ACH-000159,-0.3214529870647637
ACH-000160,-0.3869317360637735
ACH-000163,-0.3919899019812824
ACH-000167,-0.3315520495331991
ACH-000168,-0.3038975576358531
ACH-000169,-0.3086751450719527
ACH-000178,-0.3035549064310319
ACH-000183,-0.5217189329402248
ACH-000188,-0.3129625982013859
ACH-000189,-0.6073285086768598
ACH-000190,-0.19059417535601791
ACH-000198,-0.3063867266444501
ACH-000203,-0.23629350008362274
ACH-000204,-0.4261369978649095
ACH-000206,-0.2394820709858981
ACH-000207,-0.3783939218080552
ACH-000208,-0.6538758580560297
ACH-000210,-0.4153059686996564
ACH-000211,-0.4312795821401024
ACH-000215,-0.4257475519493889
ACH-000221,-0.24843899342898398
ACH-000222,-0.7178818285953413
ACH-000223,-0.28606267854916345
ACH-000226,-0.3405146746952465
ACH-000227,-0.4492825253632367
ACH-000228,-0.2823716098697084
ACH-000231,-0.3990582005485569
ACH-000232,-0.4784998684105598
ACH-000233,-0.3593866932397679
ACH-000234,-0.4233829194610516
ACH-000235,-0.484217379239507
ACH-000237,-0.2783370561389573
ACH-000238,-0.3132243426353529
ACH-000242,-0.4066978297791409
ACH-000243,-0.34852634355260553
ACH-000244,-0.18798892507578194
ACH-000246,-0.3868851164209616
ACH-000248,-0.3672287715613423
ACH-000250,-0.3836483213967987
ACH-000251,-0.7576770789751371
ACH-000252,-0.2908508201269767
ACH-000253,-0.3706976105287461
ACH-000255,-0.4029788761742215
ACH-000256,-0.6430116432500261
ACH-000257,-0.2755579156586205
ACH-000258,-0.09313499734994388
ACH-000259,-0.35855287377052797
ACH-000260,-0.5635336466627426
ACH-000261,-0.37826491031766296
ACH-000262,-0.06742239398302131
ACH-000263,-0.34121392961081703
ACH-000264,-0.5398575104222703
ACH-000265,-0.30573572457259834
ACH-000266,-0.4042877009649102
ACH-000272,-0.4079337401517285
ACH-000274,-0.33435406529103284
ACH-000277,-0.3581556687180577
ACH-000278,-0.4233125439205733
ACH-000279,-0.1776611278281681
ACH-000280,-0.4564244413641801
ACH-000281,-0.3077164048435668
ACH-000288,-0.40930998515968203
ACH-000291,-0.42230292304963774
ACH-000293,-0.3600039811683229
ACH-000294,-0.2984639715938371
ACH-000295,-0.2064400830931399
ACH-000296,-0.29868239940880964
ACH-000302,-0.4525350904030439
ACH-000304,-0.4832651800968511
ACH-000307,-0.4016607660956413
ACH-000308,-0.5267661879709719
ACH-000310,-0.5258551925406486
ACH-000311,-0.4820514642542789
ACH-000312,-0.43510356687703255
ACH-000315,-0.2206049141434956
ACH-000316,-0.2655529634805346
ACH-000317,-0.478198441982856
ACH-000318,-0.34980550285071643
ACH-000319,-0.3237871647734589
ACH-000320,-0.28658306196903605
ACH-000322,-0.29538360402978664
ACH-000323,-0.3899968511577015
ACH-000324,-0.45533620572068995
ACH-000329,-0.3167159353115485
ACH-000330,-0.13231889962401794
ACH-000331,-0.22949332351755636
ACH-000332,-0.479392891529087
ACH-000334,-0.3265746179220079
ACH-000335,-0.35174450766207016
ACH-000336,-0.8001794621024514
ACH-000337,-0.3069564652792209
ACH-000338,-0.6831699380220099
ACH-000339,-0.29701180304762986
ACH-000341,-0.11135996749198246
ACH-000348,-0.3807022716847529
ACH-000350,-0.3321805367476367
ACH-000352,-0.40310321956049294
ACH-000356,-0.5816550815326956
ACH-000361,-0.4612792465503278
ACH-000362,-0.33253318793622977
ACH-000363,-0.37547752591595374
ACH-000364,-0.19767674580964004
ACH-000365,-0.3891947975867586
ACH-000366,-0.4605335437481915
ACH-000368,-0.501031466118302
ACH-000374,-0.24701504755854045
ACH-000375,-0.2906231653522465
