,PCBD2 (84105)
ACH-000004,-0.1981869856179731
ACH-000005,-0.07417326261051815
ACH-000007,-0.15528555828236004
ACH-000009,-0.08517137795314869
ACH-000011,-0.023568275222691518
ACH-000012,-0.22386034633642
ACH-000013,-0.05740156689165943
ACH-000014,-0.17246400351133404
ACH-000015,-0.14177551545047765
ACH-000017,-0.15464725567449847
ACH-000018,-0.016640544844573123
ACH-000019,0.05091998866180477
ACH-000021,-0.11630103050160942
ACH-000022,-0.03468795032848376
ACH-000025,-0.0751633809166455
ACH-000028,-0.052207277081996316
ACH-000030,-0.06361134268184226
ACH-000035,-0.10619574889192328
ACH-000036,-0.19030170729515755
ACH-000037,-0.4478471018781391
ACH-000039,-0.12336234470754115
ACH-000040,-0.03377305846865182
ACH-000041,-0.09954356022827067
ACH-000042,-0.14224662089408566
ACH-000045,-0.1693499571811255
ACH-000047,-0.1899994471453144
ACH-000052,-0.02806141532258273
ACH-000053,-0.11616218398916565
ACH-000054,-0.031012794016625562
ACH-000055,-0.21185492875105025
ACH-000060,-0.12397008070946967
ACH-000067,0.05812468151169139
ACH-000070,-0.046656372742378036
ACH-000075,0.21500386852712064
ACH-000078,-0.14057976483145285
ACH-000082,-0.1117507358190096
ACH-000085,-0.04826425359474102
ACH-000086,-0.08432175867241735
ACH-000087,0.013538959651116352
ACH-000092,-0.16373060279716165
ACH-000095,-0.10825949200071393
ACH-000097,-0.13211379077993746
ACH-000098,-0.055631501335270034
ACH-000099,-0.09256066584660262
ACH-000108,-0.1979527112820704
ACH-000113,-0.0601599060251615
ACH-000116,-0.07368402400940993
ACH-000118,-0.0207209361363162
ACH-000120,-0.23288618852558665
ACH-000123,-0.009169831921512573
ACH-000127,-0.1581816123947469
ACH-000128,-0.1837641616201965
ACH-000132,-0.0981533314520268
ACH-000133,-0.11347472156108293
ACH-000137,0.044753600710017785
ACH-000138,-0.07464661516641663
ACH-000142,-0.0006359187123587362
ACH-000143,-0.07941516768072969
ACH-000146,-0.16586675111650712
ACH-000148,-0.1975204299754421
ACH-000150,-0.183659464452754
ACH-000152,-0.10882287364645746
ACH-000153,0.010536108955609745
ACH-000159,-0.12652414085598376
ACH-000160,-0.04566891091011293
ACH-000163,-0.16021207039298355
ACH-000167,-0.1500619595437674
ACH-000168,-0.09207991897751104
ACH-000169,-0.043547375317411034
ACH-000178,-0.11574706018972725
ACH-000183,-0.2342246540031305
ACH-000188,-0.2623707909873804
ACH-000189,-0.005260509281694194
ACH-000190,-0.3448223591782145
ACH-000198,-0.013992416827053586
ACH-000203,-0.563851146190975
ACH-000204,-0.14129919629140175
ACH-000206,-0.06196008252681193
ACH-000207,-0.014478612631257725
ACH-000208,-0.2634602855969306
ACH-000210,0.041491057220423073
ACH-000211,-0.06912677569175958
ACH-000215,-0.086175151217443
ACH-000221,-0.1540553422460156
ACH-000222,-0.31621491077334457
ACH-000223,-0.22527172245086585
ACH-000226,-0.26109478128379104
ACH-000227,0.1138132370740122
ACH-000228,-0.15826039025088134
ACH-000231,-0.0976343480451864
ACH-000232,-0.30184461144649377
ACH-000233,-0.19753860212950453
