,TKT (7086)
ACH-000004,-0.7579938089791037
ACH-000005,-0.3875113662458269
ACH-000007,-0.7226726353004145
ACH-000009,-0.3958321744082988
ACH-000011,-0.8449069482926037
ACH-000012,-0.5743586865041158
ACH-000013,-0.2292762614166905
ACH-000014,-0.4927455928067258
ACH-000015,-0.4499206621619496
ACH-000017,-0.8125726107033141
ACH-000018,-0.6816996021764037
ACH-000019,-0.4584383684920789
ACH-000021,-0.4224860135195767
ACH-000022,-0.22640440595994385
ACH-000025,-0.8875066607355048
ACH-000028,-1.1264950927291848
ACH-000030,-0.9137836914797594
ACH-000035,-0.7743870537030426
ACH-000036,-0.8604693636041051
ACH-000037,-0.5182490581660649
ACH-000039,-0.4423084143777001
ACH-000040,-0.22004534288699493
ACH-000041,-0.513037387506346
ACH-000042,-0.5970440536848656
ACH-000045,-0.7498588994316716
ACH-000047,-0.2840849398667698
ACH-000052,-0.18706720176891647
ACH-000053,-0.2875536851163653
ACH-000054,-0.2603306283742229
ACH-000055,-0.15280333627992204
ACH-000060,-0.30507316255617123
ACH-000067,-0.5827485212602362
ACH-000070,-0.7278958490957371
ACH-000075,-0.3636795892199494
ACH-000078,-0.2391807442877879
ACH-000082,-0.2031051859151388
ACH-000085,-0.5508540378897483
ACH-000086,-0.2408858138103319
ACH-000087,-0.6307222475315282
ACH-000092,-0.2411823941768425
ACH-000095,-0.07906540330760886
ACH-000097,-0.8548802853496601
ACH-000098,-0.33572040993006275
ACH-000099,-0.5968068408095806
ACH-000108,-0.4520664359141909
ACH-000113,-0.03547122461871684
ACH-000116,-0.22424202774563406
ACH-000118,-0.08642898057148281
ACH-000120,-0.14792642667301129
ACH-000123,-0.4761281215773442
ACH-000127,-0.5409703886365779
ACH-000128,-0.16467546074811082
ACH-000132,-0.2993698897295085
ACH-000133,-0.3063460984002981
ACH-000137,-0.2912387527212015
ACH-000138,-0.7108100267314525
ACH-000142,-0.9771703887053798
ACH-000143,-0.4781380979595986
ACH-000146,-0.9670344335371144
ACH-000148,-0.3232612564296165
ACH-000150,-0.3613810316539463
ACH-000152,-0.4850242918276522
ACH-000153,-0.3329312499374975
ACH-000159,-0.7984767109956571
ACH-000160,-0.44016620364484943
ACH-000163,-0.4056069076602633
ACH-000167,-0.3992782221648829
ACH-000168,-0.30124643478116264
ACH-000169,-0.3008013128094971
ACH-000178,-0.8184952852217857
ACH-000183,-0.3718735788053911
ACH-000188,-0.4335256853097289
ACH-000189,-1.0563381880070477
ACH-000190,-0.5124798613723469
ACH-000198,-0.7774575951820187
ACH-000203,0.22885918620035745
ACH-000204,-0.2426983132627744
ACH-000206,-0.4435408984530238
ACH-000207,-0.6029176779879529
ACH-000208,-0.4337983329530223
ACH-000210,-0.581174049524309
ACH-000211,-0.28384893240982784
ACH-000215,-0.470721536606853
ACH-000221,-0.26030784129990514
ACH-000222,-0.4708288336337622
ACH-000223,-0.2842610786817961
ACH-000226,-0.5506058470283954
ACH-000227,-0.3167988241510297
ACH-000228,-0.5154870709370285
ACH-000231,-0.5399422901143204
ACH-000232,-0.28824340312395685
ACH-000233,-0.2796939028982056
ACH-000234,-0.5200802513066671
ACH-000235,-0.9820496714507688
ACH-000237,-0.44274055543026414
ACH-000238,-0.3802260521785487
ACH-000242,-0.07894314260900516
ACH-000243,-0.8132663818718417
ACH-000244,-0.33915668140838223
ACH-000246,-0.5065547284159964
ACH-000248,-0.826104684004398
ACH-000250,-0.8987409199541344
ACH-000251,-0.14900120242198986
ACH-000252,-0.3520406092889679
ACH-000253,-0.337121388574789
ACH-000255,-0.8764586429976384
ACH-000256,-0.4516630249960226
ACH-000257,-0.4230673763151749
ACH-000258,-0.470873678401141
ACH-000259,-0.5832551499645645
ACH-000260,-0.3448848070331271
ACH-000261,-0.1996117443847668
ACH-000262,-0.7532077316916238
ACH-000263,-0.5811284496077562
ACH-000264,-0.3631781725457055
ACH-000265,-0.5555891275051412
ACH-000266,-0.2797635036556355
ACH-000272,-0.3026330487222021
ACH-000274,-0.4211568697214732
ACH-000277,-0.3937286204295815
ACH-000278,-0.4966615208065059
ACH-000279,-0.6876659992664446
ACH-000280,-0.4596830609587218
ACH-000281,-0.7293080003216798
ACH-000288,-0.4780792429930894
ACH-000291,-0.22323271855917234
ACH-000293,-0.2840167694427834
ACH-000294,-0.31064109627585385
ACH-000295,-0.5072733797298801
ACH-000296,-0.29719149696406744
ACH-000302,-0.2996468599769945
ACH-000304,-0.2798230352401051
ACH-000307,-0.98567962742314
ACH-000308,-0.3786863451957898
ACH-000310,-0.12029865896172814
ACH-000311,-0.7019863453221319
ACH-000312,-0.39318208318283454
ACH-000315,-0.35209732049460263
ACH-000316,-0.5296204361595925
ACH-000317,-0.8736891087368523
ACH-000318,-0.4997751374349644
ACH-000319,-0.2991020887140166
ACH-000320,-0.3983566779098133
ACH-000322,-0.4670079321817953
ACH-000323,-0.3551633059685854
ACH-000324,-0.6589367293140483
ACH-000329,-0.38384270338493615
ACH-000330,-0.5958334857192624
ACH-000331,-0.2435365346392017
ACH-000332,-0.32254420343804285
ACH-000334,-0.4663094527189316
ACH-000335,-0.7299390550147262
ACH-000336,-0.3196745248741317
ACH-000337,-0.7791757213346583
ACH-000338,-0.32438108193190435
ACH-000339,-0.934903213030891
ACH-000341,-0.3594662308961904
ACH-000348,-0.3424340483396299
ACH-000350,-0.17713129308058406
ACH-000352,-0.42117456281680704
ACH-000356,-0.6938509245841904
ACH-000361,-0.022778876677228225
ACH-000362,-0.2179113521240254
ACH-000363,-0.4220593187341989
ACH-000364,-0.4277053414852977
ACH-000365,-0.4137601803990197
ACH-000366,-0.6163481932648497
ACH-000368,-0.27192267749311355
ACH-000374,-0.4011806677114656
ACH-000375,-0.4484397423716372
ACH-000376,-0.6158357800268709
ACH-000381,-0.7272560702975017
ACH-000383,-0.6885921521635723
ACH-000387,-0.7748907250530754
ACH-000389,-0.9423297839690986
ACH-000390,-0.6267114073563504
ACH-000393,-0.3137207528635501
ACH-000395,-0.5458104673045361
ACH-000396,-0.4403764394635248
ACH-000397,-0.3821507291156251
ACH-000401,-1.1477412406976142
ACH-000402,-0.3976631390876037
ACH-000403,-0.24309445954417466
ACH-000404,-0.6804901468886926
ACH-000406,-0.4180719435872665
ACH-000407,-0.4087631676337824
ACH-000408,-1.0639658331822992
ACH-000410,-0.3210993753237817
ACH-000411,-0.6714962300925418
ACH-000414,-0.3970735458088471
ACH-000415,-0.6009100776970451
ACH-000416,-0.4618690936190384
ACH-000420,-0.35016773300733106
ACH-000421,-0.6416852965747312
ACH-000424,-0.4257824464872816
ACH-000425,-0.2951222445925695
ACH-000426,-0.5238551186409311
ACH-000427,-0.4196530179429184
ACH-000433,-0.22300335002040625
ACH-000435,-0.665451782871158
ACH-000436,-0.2884097303515978
ACH-000444,-0.24762617876674575
ACH-000445,-0.450511879835087
ACH-000448,-0.4884625073880717
ACH-000450,-0.4488434017253505
ACH-000452,-0.3620974043101236
ACH-000454,-1.0205822680705567
ACH-000458,-0.5693041918909211
ACH-000459,-0.7541666618819587
ACH-000460,-0.5439811100221146
ACH-000461,-0.6051175634284944
ACH-000463,-0.15055629990375646
ACH-000464,-0.5746957441398659
ACH-000466,-0.3594131577929143
ACH-000467,-0.09252505776030856
ACH-000468,-0.46652893475175394
ACH-000469,-0.3054267395597408
ACH-000470,-0.3394358133533081
ACH-000471,-0.2803803713594676
ACH-000472,-0.4947872499883122
ACH-000473,-0.3009677958283887
ACH-000475,-0.5052632247240706
ACH-000476,-0.1750629490886662
ACH-000477,-0.8923045581385812
ACH-000479,-0.2838636337436156
ACH-000480,-0.4252405897611634
ACH-000481,-0.5070793643976236
ACH-000483,-0.4773530194272408
ACH-000484,-0.5443170111096931
ACH-000485,-0.45808921082510606
ACH-000486,-0.9416956455329772
ACH-000487,-0.5762807003471797
ACH-000488,-0.634893906842058
ACH-000490,-0.1829556749296579
ACH-000491,-0.20412240636012047
ACH-000495,-1.0237269500456725
ACH-000496,-0.6000201340576445
ACH-000499,-0.2754236060497429
ACH-000500,-0.6544086041733088
ACH-000502,-0.6668783730125883
ACH-000503,-0.7768606590320316
ACH-000505,-0.33418703257622
ACH-000507,-0.8573671651864496
ACH-000510,-0.5012879132609627
ACH-000511,-0.8028956784591206
ACH-000512,-0.8397132131887899
ACH-000516,-0.31538852254205263
ACH-000517,-0.3982844660719809
ACH-000518,-0.2616584521734421
ACH-000520,-0.8437521261282767
ACH-000521,-0.49714236262327394
ACH-000522,-1.0028480762635914
ACH-000524,-0.17245809022802733
ACH-000527,-0.09301301876064504
ACH-000528,-0.16972345516952367
ACH-000537,-0.2718826723420196
ACH-000541,-0.3001867859597732
ACH-000542,-0.5142266365264873
ACH-000544,-0.8160226498681403
ACH-000545,-0.5160946672856234
ACH-000547,-0.22941076801820506
ACH-000548,-0.5508558391664218
ACH-000549,-0.4941317893133977
ACH-000550,-0.5224640372955056
ACH-000552,-0.5062414949942771
ACH-000556,-0.3472457732722124
ACH-000557,-0.5296444854838245
