,IL17F (112744)
ACH-000004,-0.08216559288256219
ACH-000005,0.07820845468248856
ACH-000007,0.131813957502547
ACH-000009,0.11953704253435828
ACH-000011,-0.12899858008272186
ACH-000012,-0.0363884732171276
ACH-000013,-0.19573247361999904
ACH-000014,-0.11498589674769398
ACH-000015,-0.06226174726524102
ACH-000017,-0.11977234094506845
ACH-000018,-0.10089106968082062
ACH-000019,0.07037230075914393
ACH-000021,-0.0441089531750878
ACH-000022,-0.11402141869172144
ACH-000025,-0.089147273205966
ACH-000028,-0.05751127074583351
ACH-000030,-0.06622310970977474
ACH-000035,-0.021428067551726653
ACH-000036,-0.009364611559394102
ACH-000037,0.025916510902896428
ACH-000039,-0.20736266191337094
ACH-000040,-0.08583777713759079
ACH-000041,-0.002164610050065326
ACH-000042,-0.03187987933897928
ACH-000045,-0.09126635161695903
ACH-000047,0.003420841713030153
ACH-000052,0.006088254117896171
ACH-000053,0.017742347013251582
ACH-000054,-0.1377006783857876
ACH-000055,-0.21733311216181808
ACH-000060,-0.2279111490531541
ACH-000067,-0.09920278101631456
ACH-000070,-0.1326113293691535
ACH-000075,-0.11553173502187047
ACH-000078,-0.1449292835686022
ACH-000082,-0.14879478536052973
ACH-000085,-0.08518168596741596
ACH-000086,-0.013536011732408513
ACH-000087,-0.03937716400296815
ACH-000092,-0.044878842528064684
ACH-000095,-0.049686444366608566
ACH-000097,-0.0927382692021105
ACH-000098,-0.08954024773770768
ACH-000099,-0.1024863758352864
ACH-000108,-0.17147517979435256
ACH-000113,-0.2770535844848928
ACH-000116,-0.03594957340090208
ACH-000118,-0.08931470933001695
ACH-000120,-0.15005243413731265
ACH-000123,-0.09726861129793032
ACH-000127,-0.1104079468771778
ACH-000128,-0.13220103050618526
ACH-000132,-0.09991196874428143
ACH-000133,-0.056534693342132764
ACH-000137,0.04472221316899763
ACH-000138,-0.04142930580446578
ACH-000142,-0.056240064196494965
ACH-000143,0.002577599047654197
ACH-000146,-0.04281037083314015
ACH-000148,0.0030855719713629073
ACH-000150,0.02207616590707273
ACH-000152,-0.10248536905343704
ACH-000153,0.003066589340788032
ACH-000159,-0.1141694032060206
ACH-000160,-0.07353207567482728
ACH-000163,-0.011620104154067154
ACH-000167,0.215278503042118
ACH-000168,-0.036006479251665675
ACH-000169,-0.01736863586120041
ACH-000178,-0.07454221773719434
ACH-000183,-0.09584295890039486
ACH-000188,-0.10735841380569024
ACH-000189,-0.018286565549881485
ACH-000190,-0.06394790703518455
ACH-000198,-0.052919414033772816
ACH-000203,-0.06392000771001517
ACH-000204,-0.09011568976022656
ACH-000206,-0.12103547839474905
ACH-000207,-0.1832381261895648
ACH-000208,-0.21584500795208744
ACH-000210,-0.07228619205219472
ACH-000211,-0.07730008336343028
ACH-000215,-0.010861785842696882
ACH-000221,-0.1296208615543236
ACH-000222,-0.0635916507049771
ACH-000223,-0.08211651979089643
ACH-000226,0.014179713099780855
ACH-000227,-0.10195327215281236
ACH-000228,-0.14610608690671129
ACH-000231,-0.16548387450850946
ACH-000232,-0.12266360398264085
ACH-000233,-0.0744671338089928
ACH-000234,-0.065551561724523
ACH-000235,-0.12450855255764165
ACH-000237,-0.013056488231571534
ACH-000238,-0.18884209358287635
ACH-000242,-0.17075091138208115
ACH-000243,-0.044876893594126666
ACH-000244,0.008714955039700274
ACH-000246,-0.0979290299603168
ACH-000248,-0.20406347623422744
ACH-000250,-0.04664283978603523
ACH-000251,-0.17298186151504527
