,FIS1 (51024)
ACH-000004,-0.7830373817333502
ACH-000005,-0.6153537604916521
ACH-000007,-0.14011287044058848
ACH-000009,-0.2614606194493965
ACH-000011,-0.1972209097262776
ACH-000012,-0.4655764597941288
ACH-000013,-0.20402649997968772
ACH-000014,-0.14071927637321438
ACH-000015,-0.24610007120738436
ACH-000017,-0.1893528184797788
ACH-000018,-0.5852077539767371
ACH-000019,-0.1969125798602193
ACH-000021,-0.38668717262832775
ACH-000022,-0.2585772808737941
ACH-000025,-0.2717378010338237
ACH-000028,-0.5576884173282948
ACH-000030,-0.7056090074708613
ACH-000035,-0.2740126109464849
ACH-000036,-0.2711410346000369
ACH-000037,-0.2939805202696955
ACH-000039,-0.4291088042111558
ACH-000040,-0.20565929627709084
ACH-000041,-0.5220832950962557
ACH-000042,-0.307343407901323
ACH-000045,-0.3677453956457124
ACH-000047,-0.3475870492677572
ACH-000052,-0.1356792314814428
ACH-000053,-0.3070336045826936
ACH-000054,-0.44663005635847614
ACH-000055,-0.4554964445233045
ACH-000060,-0.21557130050717005
ACH-000067,-0.3398813807629429
ACH-000070,-0.16949615884678734
ACH-000075,-0.31690547116968737
ACH-000078,-0.3200157872112622
ACH-000082,-0.25711473482456554
ACH-000085,-1.1716991560362824
ACH-000086,-0.03480563202884076
ACH-000087,-0.3564931420266418
ACH-000092,-0.16452900255477612
ACH-000095,-0.5327367314784066
ACH-000097,-0.39279931746261815
ACH-000098,-0.08004329383218886
ACH-000099,-0.2952524178082166
ACH-000108,-0.19734262768212535
ACH-000113,-0.7796023874923197
ACH-000116,-0.2637743803694745
ACH-000118,-0.18836333459870536
ACH-000120,-0.271743371392317
ACH-000123,-0.7719377099007391
ACH-000127,-0.30935442643307376
ACH-000128,-0.6191133418623528
ACH-000132,-0.5165443407045002
ACH-000133,-0.18809533678252166
ACH-000137,-0.4776586394034923
ACH-000138,-0.113959720539363
ACH-000142,-0.3618766515889877
ACH-000143,-0.8480161078761357
ACH-000146,-1.0347071660808569
ACH-000148,-0.2634749856593185
ACH-000150,-0.8529161619083109
ACH-000152,-0.4731210508614588
ACH-000153,-0.2513865838844515
ACH-000159,-0.2354659260007856
ACH-000160,-1.0616421077046805
ACH-000163,-0.25177259622245274
ACH-000167,-0.2209315619641747
ACH-000168,-0.8553936123559651
ACH-000169,-0.35901439889621795
ACH-000178,-0.16727841670242888
ACH-000183,-0.08778110464946512
ACH-000188,-0.7594692317511261
ACH-000189,-0.30171645839307604
ACH-000190,-0.2684591562686229
ACH-000198,-0.28399358902204136
ACH-000203,-0.5080579253646716
ACH-000204,-0.4493420136624467
ACH-000206,-0.2912203094203292
ACH-000207,-0.4688740584988548
ACH-000208,-0.4373826115555575
ACH-000210,0.0870660140660131
ACH-000211,-0.21939373895779432
ACH-000215,-0.16330403990141132
ACH-000221,-0.2867836674006857
ACH-000222,-0.23973139766127516
ACH-000223,-0.5741794238271957
ACH-000226,-0.4854297555976121
ACH-000227,-0.5329823187036598
ACH-000228,-0.8850635574544541
ACH-000231,-0.14874971446611773
ACH-000232,-0.2827308982973278
ACH-000233,-0.1725883896948897
ACH-000234,-0.2969058043611614
ACH-000235,-0.4870309654199018
ACH-000237,-0.3224361342492201
ACH-000238,-0.7247415894750194
ACH-000242,-0.9666746853587668
ACH-000243,-0.7926041117744181
ACH-000244,-0.7486264963851014
ACH-000246,-0.16212665234379267
ACH-000248,-0.4141656676815708
ACH-000250,-0.18713813490608794
ACH-000251,-0.3849621375586719
ACH-000252,-0.4517592879738466
ACH-000253,-0.3612471932749642
ACH-000255,-0.22189639195176766
ACH-000256,-0.3803683185590353
ACH-000257,-0.5408872514165558
