,SCLY (51540)
ACH-000004,0.037471195685350116
ACH-000005,0.12767326273839474
ACH-000007,-0.07317974064357775
ACH-000009,-0.047718522489430634
ACH-000011,-0.021975536665087936
ACH-000012,-0.1047085884236092
ACH-000013,-0.06854077193478655
ACH-000014,-0.04923348754596893
ACH-000015,-0.10169696115975263
ACH-000017,-0.05773701497284853
ACH-000018,-0.07858720106646637
ACH-000019,-0.031457790498182495
ACH-000021,-0.3614618990365471
ACH-000022,-0.03687288132384061
ACH-000025,-0.07539668895885622
ACH-000028,0.006648524878496582
ACH-000030,0.007688918439871214
ACH-000035,-0.08551234096933237
ACH-000036,-0.03628346899302423
ACH-000037,-0.1933588217645092
ACH-000039,-0.22314994445847108
ACH-000040,-0.09565184918652304
ACH-000041,-0.1578451887652436
ACH-000042,-0.12690968676369546
ACH-000045,0.0001989670572694621
ACH-000047,-0.21439093895595945
ACH-000052,0.11153162711934396
ACH-000053,-0.01795010247720319
ACH-000054,-0.13256007068511855
ACH-000055,-0.1636687557020254
ACH-000060,0.015918431364471766
ACH-000067,0.024920221209856052
ACH-000070,-0.2998943645773093
ACH-000075,-0.07834145054069043
ACH-000078,-0.14173029906087214
ACH-000082,-0.08158013217561683
ACH-000085,-0.06317270120966932
ACH-000086,-0.10238045101886266
ACH-000087,-0.05264143138025997
ACH-000092,-0.07960001117234268
ACH-000095,-0.09668632016399513
ACH-000097,-0.11310524177237725
ACH-000098,-0.15389668036699367
ACH-000099,-0.10698277242633013
ACH-000108,-0.10437045011957413
ACH-000113,-0.08835905117262052
ACH-000116,-0.029530172416398576
ACH-000118,-0.008880975148910134
ACH-000120,-0.029996585772704476
ACH-000123,-0.12465806330237375
ACH-000127,-0.15996256391395186
ACH-000128,-0.1713873857487015
ACH-000132,-0.01976543678798456
ACH-000133,-0.13551057848509368
ACH-000137,0.014024484889736951
ACH-000138,0.00588926447388932
ACH-000142,0.05955596891692357
ACH-000143,0.0972976295533397
ACH-000146,0.0528099818314477
ACH-000148,-0.06155705888262253
ACH-000150,-0.34895292175023696
ACH-000152,0.019081886870123403
ACH-000153,-0.10968582540148543
ACH-000159,-0.08921362280672476
ACH-000160,0.02088670214165449
ACH-000163,-0.03560417628313792
ACH-000167,-0.1286968531771142
ACH-000168,-0.07863271402476746
ACH-000169,0.07584565131281945
ACH-000178,-0.037842984455468194
ACH-000183,-0.1197581174048988
ACH-000188,-0.08338118496304173
ACH-000189,-0.01964803405133689
ACH-000190,-0.05524529591216711
ACH-000198,-0.02342387565395452
ACH-000203,0.2457511180616864
ACH-000204,-0.056552922063315025
ACH-000206,0.10528774323177563
ACH-000207,-0.2662813358518657
ACH-000208,-0.06158414105486733
ACH-000210,0.23466195489898897
ACH-000211,-0.21026065504511907
ACH-000215,-0.13040261508571865
ACH-000221,-0.14651669884285293
ACH-000222,-0.15496134309540274
ACH-000223,-0.11240651282661307
ACH-000226,-0.15956944891463312
ACH-000227,0.005409441722236068
ACH-000228,-0.2099972071453412
ACH-000231,-0.05596718740491219
ACH-000232,-0.04075039748562999
ACH-000233,-0.1528432016054509
ACH-000234,-0.06416252878162698
ACH-000235,-0.04118228813927618
ACH-000237,-0.037594125947585835
ACH-000238,-0.04092084590043735
ACH-000242,0.16869401117296884
ACH-000243,-0.05782845866720637
ACH-000244,0.0974292560098436
ACH-000246,0.044596380602211966
ACH-000248,0.08929856665326029
ACH-000250,-0.09901184952367012
ACH-000251,-0.2009200749856456
ACH-000252,0.08436410095064115
ACH-000253,-0.08203130054832779
ACH-000255,-0.07645072606043679
ACH-000256,-0.10408466554758493
ACH-000257,-0.02520927910518887
ACH-000258,-0.00657581184082019
ACH-000259,-0.06341207208429123
ACH-000260,-0.1674502185009227
ACH-000261,-0.2269141346649525
ACH-000262,0.1482016002793483
ACH-000263,0.24032280576564435
ACH-000264,0.02944033086116614
ACH-000265,-0.02718639741499812
ACH-000266,-0.08924535303254186
ACH-000272,-0.11261049164969572
ACH-000274,-0.05970005786592272
ACH-000277,-0.16035444474674826
ACH-000278,0.0863551431671711
ACH-000279,0.06702901792132218
ACH-000280,-0.05951178018440175
ACH-000281,-0.05112313170157251
ACH-000288,-0.043497935006439864
ACH-000291,-0.1260797426836026
ACH-000293,-0.10200389786501483
ACH-000294,-0.05447288944050389
ACH-000295,-0.1309814126823356
ACH-000296,-0.06698607427396569
ACH-000302,-0.0012478253610953495
ACH-000304,0.06637815935541509
ACH-000307,0.11584208946350595
ACH-000308,-0.12324579031295638
ACH-000310,0.016135449978018142
ACH-000311,0.04884209434451462
