,NUMA1 (4926)
ACH-000004,-0.5059419369744116
ACH-000005,-0.43185460461738495
ACH-000007,-0.5495608712077197
ACH-000009,-0.10438369866588336
ACH-000011,-0.5654340991487369
ACH-000012,-0.5559646985493003
ACH-000013,-0.5290702523478347
ACH-000014,-0.2605622849084855
ACH-000015,-0.5338556834149185
ACH-000017,-0.4014615725929383
ACH-000018,-0.3351930280792452
ACH-000019,-0.7925344341692979
ACH-000021,-0.6027081834569215
ACH-000022,-0.20354372161109704
ACH-000025,-0.3279175413253981
ACH-000028,-0.6078864638470732
ACH-000030,-0.2578045663461743
ACH-000035,-0.5783394496669512
ACH-000036,-0.4554262613667754
ACH-000037,-0.6495726867089039
ACH-000039,-0.2922888485628742
ACH-000040,-0.2978178686111132
ACH-000041,-0.24664013273802216
ACH-000042,-0.6730699806216041
ACH-000045,-0.34243539191960337
ACH-000047,-0.6711014715969436
ACH-000052,-0.6075041981235562
ACH-000053,-0.7125543781633218
ACH-000054,-0.25664649702990794
ACH-000055,-0.5146101344754456
ACH-000060,-0.3373337461748224
ACH-000067,-0.12443832259351698
ACH-000070,-0.3972087420906289
ACH-000075,-0.5011566598306813
ACH-000078,-0.23275750695853284
ACH-000082,-0.4102615698770421
ACH-000085,-0.7017440496521679
ACH-000086,-0.6647958430304464
ACH-000087,-0.7504500786619447
ACH-000092,-0.4237790915143543
ACH-000095,-0.4168870201254055
ACH-000097,-0.5374701453965829
ACH-000098,-0.4529952927875924
ACH-000099,-0.3560389786370386
ACH-000108,-0.7925912974004165
ACH-000113,-0.4124590199779973
ACH-000116,-0.5639577747409464
ACH-000118,-0.6639833237362567
ACH-000120,-0.3710691103458911
ACH-000123,-0.4646654612988451
ACH-000127,-0.11457313725130595
ACH-000128,-0.4750029013280626
ACH-000132,-0.37493181583921065
ACH-000133,-0.4995026759761799
ACH-000137,-0.4380464095154159
ACH-000138,-0.4884191874832563
ACH-000142,-0.4200762449094193
ACH-000143,-0.5384634516690711
ACH-000146,-0.6697248050093149
ACH-000148,-0.3714910867124687
ACH-000150,-0.5485621738695446
ACH-000152,-0.4516888144858857
ACH-000153,-0.3221690578410592
ACH-000159,-0.5364360296811219
ACH-000160,-0.4753831056637794
ACH-000163,-0.3245057214900244
ACH-000167,-0.419588144023076
ACH-000168,-0.3848284968038858
ACH-000169,-0.6505208187878555
ACH-000178,-0.6032927701780586
ACH-000183,-0.5500265400417585
ACH-000188,-0.3538640860671737
ACH-000189,-0.25089488067571003
ACH-000190,-0.6723438358861482
ACH-000198,-0.2776031527945786
ACH-000203,-0.6746210817237928
ACH-000204,-0.8066285428451351
ACH-000206,-0.43421642670213023
ACH-000207,-0.40922768715733054
ACH-000208,-0.3054378778240208
ACH-000210,-0.5172383749807308
ACH-000211,-0.5614535599230888
ACH-000215,-0.3322448222649875
ACH-000221,-0.7723007323351427
ACH-000222,-0.4073461622800352
ACH-000223,-0.4093764853579088
ACH-000226,-0.4625549604184838
ACH-000227,-0.4882459081827397
ACH-000228,-0.6598000021710667
ACH-000231,-0.42093138435436
ACH-000232,-0.3243498857802583
ACH-000233,-0.7150263205827315
ACH-000234,-0.4106750508255588
ACH-000235,-0.5337852987542994
ACH-000237,-0.4056021248865808
ACH-000238,-0.4117593333287713
ACH-000242,-0.39666826329005583
ACH-000243,-0.4137238262718345
ACH-000244,-0.4684536001385498
ACH-000246,-0.6010497809019207
ACH-000248,-0.28031401645719256
ACH-000250,-0.34232390220878545
ACH-000251,-0.3348047631657775
ACH-000252,-0.5818281000006744
ACH-000253,-0.5265711404798591
ACH-000255,-0.5783117032171252
ACH-000256,-0.5176250749863897
ACH-000257,-0.5019052693808282
ACH-000258,-0.3502822638884098
ACH-000259,-0.4312234042161322
ACH-000260,-0.8803232365913619
ACH-000261,-0.2628775200326741
ACH-000262,-0.33996102883207685
ACH-000263,-0.6980612472589894
ACH-000264,-0.4552507530494868
ACH-000265,-0.3675627384942992
ACH-000266,-0.5939174707715916
ACH-000272,-0.3644622858701079
ACH-000274,-0.598345874341789
ACH-000277,-0.16696398546864946
ACH-000278,-0.43565732261328816
ACH-000279,-0.3263537669243982
ACH-000280,-0.3807078428992921
ACH-000281,-0.2324406739226463
ACH-000288,-0.4315203395699657
ACH-000291,-0.5204637318427332
ACH-000293,-0.5497424382203413
ACH-000294,-0.7012638096516777
ACH-000295,-0.7329780600119087
ACH-000296,-0.5572537229181861
ACH-000302,-0.3671627959593309
ACH-000304,-0.3853599580184966
ACH-000307,-0.5755884018836164
ACH-000308,-0.4881581447743247
ACH-000310,-0.31774409341592663
ACH-000311,-0.6001441218045109
ACH-000312,-0.4424084175587704
ACH-000315,-0.6784425242470868
ACH-000316,-0.8432613048328517
ACH-000317,-0.4739947371906246
ACH-000318,-0.536478263016923
ACH-000319,-0.5944508820869453
ACH-000320,-0.4049653858621903
ACH-000322,-0.5898796992038506
ACH-000323,-0.3805342194437219
ACH-000324,-0.32329160723571193
ACH-000329,-0.3320809220238643
ACH-000330,-0.8031476386431379
ACH-000331,-0.5144114118314497
ACH-000332,-0.4810357939418224
ACH-000334,-0.645809331996349
ACH-000335,-0.4036756438697333
ACH-000336,-0.25414149926224144
ACH-000337,-0.5562372012236255
ACH-000338,-0.1716832616274041
ACH-000339,-0.4642263879288262
ACH-000341,-0.4385632468240247
ACH-000348,-0.3949507376550901
ACH-000350,-0.4179092810282672
ACH-000352,-0.5741068032093907
ACH-000356,-0.3708686429214909
ACH-000361,-0.4391903148122837
ACH-000362,-0.3130506268486283
ACH-000363,-0.5075180843320677
ACH-000364,-0.5899187521358137
ACH-000365,-0.6730608914910942
ACH-000366,-0.4403393942362101
ACH-000368,-0.6285541310977972
ACH-000374,-0.2814940319879133
ACH-000375,-0.4711094542401897
ACH-000376,-0.5552817624463413
ACH-000381,-0.4093638551533323
ACH-000383,-0.3929265154230092
ACH-000387,-0.2791299904733306
ACH-000389,-0.3581967613449911
ACH-000390,-0.21357754996462372
ACH-000393,-0.5787253681555896
ACH-000395,-0.37507395307758296
ACH-000396,-0.22732172600442802
ACH-000397,-0.39871388471314856
ACH-000401,-0.5176689776789845
ACH-000402,-0.5531836665748235
ACH-000403,-0.21940160131792708
