,CACNA1G (8913)
ACH-000004,-0.17559131897826294
ACH-000005,-0.3910913493695558
ACH-000007,0.04672958675775495
ACH-000009,-0.4227025808672561
ACH-000011,-0.20133334131510872
ACH-000012,-0.3038625649702662
ACH-000013,-0.089561883932004
ACH-000014,-0.22484186345339727
ACH-000015,-0.2363703116827436
ACH-000017,-0.3981628676775567
ACH-000018,-0.15595339446892326
ACH-000019,-0.3041650637435983
ACH-000021,-0.26020417893524056
ACH-000022,-0.2954289012873087
ACH-000025,-0.2560494030542074
ACH-000028,-0.0947834571126359
ACH-000030,-0.29587407007349736
ACH-000035,-0.2395025191533943
ACH-000036,-0.2405396606381225
ACH-000037,-0.4433344880359557
ACH-000039,-0.2035187829797198
ACH-000040,-0.12618048546522295
ACH-000041,-0.2389033087390512
ACH-000042,-0.305897774717846
ACH-000045,0.047250629777468786
ACH-000047,-0.141908373046011
ACH-000052,-0.08662140560843361
ACH-000053,-0.2414350535066108
ACH-000054,-0.22662421873518
ACH-000055,-0.14252269373026016
ACH-000060,-0.11781530614212887
ACH-000067,-0.22152904678090607
ACH-000070,-0.29946463965347137
ACH-000075,-0.23032678514526475
ACH-000078,-0.20976391389620688
ACH-000082,-0.28346698609748183
ACH-000085,-0.20942369409282754
ACH-000086,-0.11943678400741373
ACH-000087,-0.4135304738797079
ACH-000092,-0.2368424897959813
ACH-000095,-0.25156022344423434
ACH-000097,-0.10245728998849096
ACH-000098,-0.17701893671944227
ACH-000099,-0.24291090918524305
ACH-000108,-0.18324416456487416
ACH-000113,-0.15726525568064922
ACH-000116,-0.23775040660922625
ACH-000118,-0.15786960528606225
ACH-000120,-0.16323573820089424
ACH-000123,-0.20002436586544756
ACH-000127,-0.12393451634606145
ACH-000128,-0.3626047194462189
ACH-000132,-0.11304028235920148
ACH-000133,-0.26727470232997885
ACH-000137,-0.16724335698820472
ACH-000138,-0.2317228471025737
ACH-000142,-0.3915140083334599
ACH-000143,0.1505809328360178
ACH-000146,-0.26634088641169634
ACH-000148,-0.28168686508001545
ACH-000150,-0.3801553775471779
ACH-000152,-0.22403351114838874
ACH-000153,-0.03776167830479205
ACH-000159,-0.3132694531073328
ACH-000160,-0.20403168584675574
ACH-000163,-0.3374757874039806
ACH-000167,-0.7656307922560249
ACH-000168,-0.2367612141759068
ACH-000169,-0.04977902729342362
ACH-000178,-0.2437815227940633
ACH-000183,-0.23569230050319484
ACH-000188,-0.23527017849710946
ACH-000189,-0.3897580351954111
ACH-000190,-0.13384021395447515
ACH-000198,-0.13147812072790446
ACH-000203,0.45971139468790395
ACH-000204,-0.1204377951015434
ACH-000206,-0.1427980811727085
ACH-000207,-0.2393446398295924
ACH-000208,-0.3538779488392433
ACH-000210,0.13683397612712894
ACH-000211,-0.2925964118602543
ACH-000215,-0.21233676173773972
ACH-000221,-0.043332781591626436
ACH-000222,-0.42019223260964705
ACH-000223,-0.06210734800295554
