,GBP2 (2634)
ACH-000004,0.32551293263091274
ACH-000005,-0.15899878364871034
ACH-000007,0.10783302705117864
ACH-000009,0.030016829100998458
ACH-000011,-0.08994730342643148
ACH-000012,0.031043296957093368
ACH-000013,-0.101077588476113
ACH-000014,-0.021246003211397912
ACH-000015,-0.007800023802073935
ACH-000017,0.12906141196519638
ACH-000018,-0.13607277647101876
ACH-000019,-0.1301037013149545
ACH-000021,0.01890601798055679
ACH-000022,0.011475533416768142
ACH-000025,-0.1545567805293292
ACH-000028,0.0292363255364743
ACH-000030,-0.057163340979239585
ACH-000035,-0.05274917421780413
ACH-000036,-0.1419299708764314
ACH-000037,0.03951569365618091
ACH-000039,0.018181106522788613
ACH-000040,-0.07871372315943778
ACH-000041,-0.08648281182186872
ACH-000042,-0.046784883198054815
ACH-000045,0.08436122057095002
ACH-000047,-0.214323615032663
ACH-000052,-0.1684266601614765
ACH-000053,0.008605761807874283
ACH-000054,-0.060983610706183
ACH-000055,-0.02202988439782392
ACH-000060,-0.2527514038036377
ACH-000067,-0.07342713284506851
ACH-000070,-0.0375710786266844
ACH-000075,-0.14531371109774724
ACH-000078,-0.2379485017165333
ACH-000082,-0.13927943927248246
ACH-000085,-0.28544024418834474
ACH-000086,-0.06666223601430223
ACH-000087,0.03428569124380268
ACH-000092,0.0009019826259894564
ACH-000095,-0.051464891837621145
ACH-000097,-0.004722208576770804
ACH-000098,-0.060138984280548265
ACH-000099,-0.030178327077731368
ACH-000108,-0.05709180443551114
ACH-000113,0.01705219925307468
ACH-000116,-0.1700128547822586
ACH-000118,-0.026170536749136903
ACH-000120,-0.039836403592598636
ACH-000123,-0.02700893449903938
ACH-000127,-0.057472359281281235
ACH-000128,-0.016625197802483768
ACH-000132,-0.03802288437001223
ACH-000133,-0.10873179616337583
ACH-000137,-0.30756052153685226
ACH-000138,0.07455586915032149
ACH-000142,0.003319916224340376
ACH-000143,0.04672250765432303
ACH-000146,0.010302826010647064
ACH-000148,0.0315020052237334
ACH-000150,-0.2613343489614646
ACH-000152,-0.12984432439835336
ACH-000153,0.07204017365093253
ACH-000159,-0.11811638060027445
ACH-000160,-0.12469464215559548
ACH-000163,0.0052625076440366595
ACH-000167,0.1357420557294761
ACH-000168,-0.03760024901112292
ACH-000169,0.12710272667429154
ACH-000178,-0.040911872742383656
ACH-000183,-0.024669975820759117
ACH-000188,0.0034737373136994407
ACH-000189,-0.13842008734967706
ACH-000190,-0.18801758692666767
ACH-000198,0.1317319418259978
ACH-000203,-0.3985794106715129
ACH-000204,-0.3835424913844104
ACH-000206,-0.09508103418579887
ACH-000207,-0.2250084317223912
ACH-000208,-0.12586361439106286
ACH-000210,0.09607271658022158
ACH-000211,-0.04880631333092538
ACH-000215,0.0072742475576659206
ACH-000221,-0.06674671563574026
ACH-000222,-0.17298841282213304
ACH-000223,-0.1239565081340572
ACH-000226,-0.009842959683920294
ACH-000227,-0.2325426181742073
ACH-000228,0.0427022476857788
ACH-000231,0.06428427471326963
ACH-000232,-0.05088152990450412
ACH-000233,-0.050650298446783634
ACH-000234,0.2295190912266571
ACH-000235,-0.0304057716821852
