,SFSWAP (6433)
ACH-000004,-0.8059373364766012
ACH-000005,-0.9851220275711304
ACH-000007,-0.435307696567488
ACH-000009,-0.7802177129745316
ACH-000011,-0.824267755173091
ACH-000012,-0.651584762664306
ACH-000013,-0.5612182184122055
ACH-000014,-0.5234829622843975
ACH-000015,-0.6426364679892249
ACH-000017,-0.4739152013170357
ACH-000018,-0.6170920396098148
ACH-000019,-0.4959177093571008
ACH-000021,-0.8012071551726443
ACH-000022,-0.4785626474223588
ACH-000025,-0.5741572804422164
ACH-000028,-0.6691105711747267
ACH-000030,-0.6388354050482777
ACH-000035,-0.5430669681536153
ACH-000036,-0.7916853367917733
ACH-000037,-0.5861549378867195
ACH-000039,-0.3776200421899839
ACH-000040,-0.6832335380138476
ACH-000041,-0.5302818127272261
ACH-000042,-0.7455903711924201
ACH-000045,-0.7423584317300784
ACH-000047,-0.5151237932045504
ACH-000052,-0.6211940584419837
ACH-000053,-0.5934664970629274
ACH-000054,-0.4993571475424792
ACH-000055,-0.5131345623715294
ACH-000060,-0.5175250396620282
ACH-000067,-0.7588320731981126
ACH-000070,-0.5676821924323217
ACH-000075,-0.4461562532936609
ACH-000078,-0.7218940725232468
ACH-000082,-0.5889934006161267
ACH-000085,-0.8321785221000085
ACH-000086,-0.6506675189949336
ACH-000087,-0.6910920073235649
ACH-000092,-0.5285607338971486
ACH-000095,-0.5850618615498063
ACH-000097,-0.6777749174171322
ACH-000098,-0.4823290193527998
ACH-000099,-0.5674395800251902
ACH-000108,-0.7571126910281389
ACH-000113,-0.562090796099804
ACH-000116,-0.6052116778684337
ACH-000118,-0.6992560295798694
ACH-000120,-0.6906796899605087
ACH-000123,-0.6781553687321946
ACH-000127,-0.6544688519020155
ACH-000128,-0.5494420699204426
ACH-000132,-0.4905254660186914
ACH-000133,-0.7146539100347639
ACH-000137,-0.8255604753146717
ACH-000138,-0.5464863632044625
ACH-000142,-0.5015014322184997
ACH-000143,-0.5865474926640767
ACH-000146,-0.7801636503361777
ACH-000148,-0.5638936635902122
ACH-000150,-0.7500937132860028
ACH-000152,-0.9994943519504568
ACH-000153,-0.5267980597433071
ACH-000159,-0.4632352089511979
ACH-000160,-0.5827528578250001
ACH-000163,-0.8995348455579272
ACH-000167,-0.652763642545157
ACH-000168,-0.8314335643690101
ACH-000169,-0.5953688468562043
ACH-000178,-0.5621604314262176
ACH-000183,-0.5992501734030325
ACH-000188,-0.6212747590937091
ACH-000189,-0.8390302824419272
ACH-000190,-0.6587798863359642
ACH-000198,-0.6184946465125846
ACH-000203,-0.99297409730124
ACH-000204,-0.5512323870184709
ACH-000206,-0.7041560837231781
ACH-000207,-0.4557611857774535
ACH-000208,-0.5514166768534933
ACH-000210,-0.5401535269432892
ACH-000211,-0.5746278876525321
ACH-000215,-0.7345625574390171
ACH-000221,-0.6399311583268819
ACH-000222,-0.5003699574630228
