,ASS1 (445)
ACH-000004,-0.469457505767566
ACH-000005,-0.06651727837546025
ACH-000007,-0.19700012138849185
ACH-000009,-0.4621312925071579
ACH-000011,-0.4733680227085169
ACH-000012,-0.3778800976599763
ACH-000013,-0.2764967667940509
ACH-000014,-0.3956333064400184
ACH-000015,-0.3173946747802641
ACH-000017,-0.10760968571739
ACH-000018,-0.3693455726300282
ACH-000019,-0.4148385043799915
ACH-000021,-0.2853058477973524
ACH-000022,-0.4210450103375837
ACH-000025,-0.4904157505129506
ACH-000028,-0.09142129636282496
ACH-000030,-0.3434868155020234
ACH-000035,-0.19801292551164285
ACH-000036,-0.4316428394859339
ACH-000037,-0.24231635546611116
ACH-000039,-0.15844751624805134
ACH-000040,-0.2727356805347374
ACH-000041,-0.20666558525858206
ACH-000042,-0.4001868369067418
ACH-000045,-0.07793417210063251
ACH-000047,-0.1684039653958084
ACH-000052,-0.5169772863024583
ACH-000053,-0.2923188125546159
ACH-000054,-0.46953843483899393
ACH-000055,-0.2205481969729416
ACH-000060,-0.3307864829282585
ACH-000067,-0.2108429070087522
ACH-000070,-0.4209053850894559
ACH-000075,-0.28722368520663943
ACH-000078,-0.4235462873547061
ACH-000082,-0.18511241050640065
ACH-000085,-0.4820009975064081
ACH-000086,-0.33539055280605823
ACH-000087,-0.2675847963231657
ACH-000092,-0.21722763498645306
ACH-000095,-0.3158945241801195
ACH-000097,-0.12382364624811235
ACH-000098,-0.327986236771264
ACH-000099,-0.3663026255829232
ACH-000108,-0.2845107440793085
ACH-000113,-0.19708345731047666
ACH-000116,-0.2677494106739535
ACH-000118,-0.2569628305980682
ACH-000120,-0.184735234405068
ACH-000123,-0.3737465960166858
ACH-000127,-0.2584113349218635
ACH-000128,-0.1506583559769098
ACH-000132,-0.399205135154488
ACH-000133,-0.4537831552359989
ACH-000137,-0.3924484180073798
ACH-000138,-0.013521999832714795
ACH-000142,-0.24482621069156765
ACH-000143,-0.40896572799565206
ACH-000146,-0.12659067109587244
ACH-000148,-0.3784386005867436
ACH-000150,-0.3671041798316095
ACH-000152,-0.24449480687782346
ACH-000153,-0.07464043961269523
ACH-000159,-0.23452895504051374
ACH-000160,-0.19192565094756173
ACH-000163,-0.5463492989795647
ACH-000167,-0.15923118341441336
ACH-000168,-0.3131268012961342
ACH-000169,-0.5349312343047242
ACH-000178,-0.28716315776073353
ACH-000183,-0.3122074896556995
ACH-000188,-0.19278486617324528
ACH-000189,-0.28243952532744104
ACH-000190,-0.34938097190231393
ACH-000198,-0.24171652477672104
ACH-000203,-0.17823381535027408
ACH-000204,-0.2540188311541453
ACH-000206,-0.35790675907282465
ACH-000207,-0.4063276005565034
ACH-000208,-0.332942043236426
ACH-000210,-0.4514291731962576
ACH-000211,-0.3001025098712382
ACH-000215,-0.267355184511749
ACH-000221,-0.34264880553037697
ACH-000222,-0.024932066837266537
ACH-000223,-0.4128127365638756
ACH-000226,-0.3926402437263602
ACH-000227,-0.4797376614863715
ACH-000228,-0.25788173269721604
ACH-000231,-0.2639120831556868
ACH-000232,-0.4961981410047903
ACH-000233,-0.12354093943158725
ACH-000234,-0.3723153852850432
ACH-000235,-0.1230696868116514
ACH-000237,-0.23915885704080225
ACH-000238,-0.336591363645487
ACH-000242,-0.0950520702328213
ACH-000243,-0.1953730679875672
ACH-000244,-0.374322419141334
ACH-000246,-0.20092161814856094
