,PARN (5073)
ACH-000004,-0.5613938488554906
ACH-000005,-0.572309421422802
ACH-000007,-0.6910159832537239
ACH-000009,-0.3033171946305448
ACH-000011,-0.730686786983501
ACH-000012,-0.4826575547208992
ACH-000013,-0.18713643326069573
ACH-000014,-0.5033693123451118
ACH-000015,-0.6299649346141901
ACH-000017,-0.22692243957195776
ACH-000018,-0.5664373134026213
ACH-000019,-0.3210588722319223
ACH-000021,-0.3929781121019433
ACH-000022,-0.24855734802392496
ACH-000025,-0.4400183398137933
ACH-000028,-0.33571009074362723
ACH-000030,-0.21112232326969335
ACH-000035,-0.5069481527054865
ACH-000036,-0.3999898449138417
ACH-000037,-0.3966535726361337
ACH-000039,-0.14686952696552735
ACH-000040,-0.4156606401728501
ACH-000041,-0.2275080376470688
ACH-000042,-0.4175355730185104
ACH-000045,-0.4719107376902542
ACH-000047,-0.3755338995435112
ACH-000052,-0.5011341942432276
ACH-000053,-0.2404598098464968
ACH-000054,-0.32218647303413633
ACH-000055,-0.29384104377063325
ACH-000060,-0.3244096736421421
ACH-000067,-0.6457496391944153
ACH-000070,-0.31051725543383313
ACH-000075,-0.3741476224187554
ACH-000078,-0.4075623200319569
ACH-000082,-0.404108711884534
ACH-000085,-0.6721375078018721
ACH-000086,-0.3602649871357339
ACH-000087,-0.6666336946157086
ACH-000092,-0.4694725576724692
ACH-000095,-0.5507656549560852
ACH-000097,-0.4776530173991019
ACH-000098,-0.5230079999279215
ACH-000099,-0.4659152825362647
ACH-000108,-0.2435802697243288
ACH-000113,-0.1187675042588673
ACH-000116,-0.4626883836439595
ACH-000118,-0.1926298489744336
ACH-000120,-0.3228339842420159
ACH-000123,-0.4062147011637464
ACH-000127,-0.3943548341381269
ACH-000128,-0.5026087471732749
ACH-000132,-0.5813913874006801
ACH-000133,-0.3999460036970399
ACH-000137,-0.3557987723110197
ACH-000138,-0.37025102249188696
ACH-000142,-0.4070508764216877
ACH-000143,-0.19586778767392474
ACH-000146,-0.34608244175234554
ACH-000148,-0.4225830739436013
ACH-000150,-0.24078765902125115
ACH-000152,-0.4976700724943348
ACH-000153,-0.6982642117006757
ACH-000159,-0.313486209351282
ACH-000160,-0.39263728500153294
ACH-000163,-0.5076928444744818
ACH-000167,-0.3819220716149296
ACH-000168,-0.20138144320008575
ACH-000169,-0.31446094524682444
ACH-000178,-0.4232031067064228
ACH-000183,-0.3834688952572775
ACH-000188,-0.369712866107748
ACH-000189,-0.6027479762442199
ACH-000190,-0.6908221111896375
ACH-000198,-0.6053184933685105
ACH-000203,-0.6315400514782222
ACH-000204,-0.18436482750884928
ACH-000206,-0.5270715247038456
ACH-000207,-0.2407178957672251
ACH-000208,-0.28988565803217714
ACH-000210,-0.5740168880802895
ACH-000211,-0.2788852324437696
ACH-000215,-0.5100589206187456
ACH-000221,-0.2900222762986659
ACH-000222,-0.5171643883013074
ACH-000223,-0.2728340830196707
ACH-000226,-0.3169121894348693
ACH-000227,-0.2764518185835817
ACH-000228,-0.4007557120023773
ACH-000231,-0.3668029126182846
ACH-000232,-0.6329057964937713
ACH-000233,-0.2228355701146333
ACH-000234,-0.3528953890835249
ACH-000235,-0.2952141910084389
ACH-000237,-0.4564808798857761
ACH-000238,-0.3633379432332832
ACH-000242,-0.7987682554302427
ACH-000243,-0.5774228905287868
ACH-000244,-0.3708604576204784
ACH-000246,-0.12088240546207275
ACH-000248,-0.1223955197772838
ACH-000250,-0.4930246150993327
ACH-000251,-0.2901624893674496
ACH-000252,-0.30945956515698114
ACH-000253,-0.3544315277339271
ACH-000255,-0.4491883669307792
ACH-000256,-0.3621972265511286
ACH-000257,-0.3589747524237191
ACH-000258,-0.11747021860920237
ACH-000259,-0.18929480562507855
ACH-000260,-0.4612097957748363
ACH-000261,-0.27402431311003783
ACH-000262,-0.5115685540888686
ACH-000263,-0.055836194008927344
ACH-000264,-0.2976899800179465
ACH-000265,-0.4918033624766301
ACH-000266,-0.2475441388422197
ACH-000272,-0.21653995951285976
ACH-000274,-0.4139952639195724
ACH-000277,-0.2214903453776404
ACH-000278,-0.3286885178509059
ACH-000279,-0.30194048528980144
ACH-000280,-0.4276792285251548
ACH-000281,-0.4327353053548844
ACH-000288,-0.2985196399176741
ACH-000291,-0.5492203698964804
ACH-000293,-0.2506658070780438
ACH-000294,-0.40526062400399604
ACH-000295,-0.3991541168455339
ACH-000296,-0.2642188563055945
ACH-000302,-0.30305570355844497
ACH-000304,-0.19514434852905072
ACH-000307,-0.37024535341916187
ACH-000308,-0.30777153616633524
ACH-000310,-0.32348734882777863
ACH-000311,-0.6773253085491874
ACH-000312,-0.3294898909176012
ACH-000315,-0.14309818221100715
ACH-000316,-0.5610043954008068
ACH-000317,-0.2043856709472494
ACH-000318,-0.44115962606449416
ACH-000319,-0.4087586477184899
ACH-000320,-0.4035368148398256
ACH-000322,-0.4318709756831585
ACH-000323,-0.6532300097573362
ACH-000324,-0.3869251789778129
ACH-000329,-0.327673382856058
ACH-000330,-0.3108919165498443
ACH-000331,-0.5525307097644675
ACH-000332,-0.4589723508333706
ACH-000334,-0.3665626309111911
ACH-000335,-0.7779428363469428
ACH-000336,-0.2380586455561348
ACH-000337,-0.4712840891549213
ACH-000338,-0.4856963064849405
ACH-000339,-0.4271510223626024
ACH-000341,-0.2715125053316005
ACH-000348,-0.3517865719715144
ACH-000350,-0.3346869066046678
ACH-000352,-0.19340185746775032
ACH-000356,-0.3518971494471049
ACH-000361,-0.5156290329078379
ACH-000362,-0.4550968249446318
ACH-000363,-0.13352326699500766
ACH-000364,-0.7021772275732966
ACH-000365,-0.16242110768325366
ACH-000366,-0.20783473823869025
ACH-000368,-0.4107865111675858
ACH-000374,-0.2979968082161075
ACH-000375,-0.2857792027708106
ACH-000376,-0.4795245610883404
ACH-000381,-0.2436625472720399
ACH-000383,-0.3735207408437699
ACH-000387,-0.4314292091875673
ACH-000389,-0.4750832196168864
ACH-000390,-0.37052626310562176
ACH-000393,-0.23113840827577894
ACH-000395,-0.3365613702321887
ACH-000396,-0.15534953440062976
ACH-000397,-0.42030403640363456
ACH-000401,-0.3275978584869623
ACH-000402,-0.08864068281139183
ACH-000403,-0.19882255565277165
ACH-000404,-0.4870622950931503
ACH-000406,-0.3388492915086147
ACH-000407,-0.2344296432842019
ACH-000408,-0.4804359085274349
ACH-000410,-0.4189588297945053
ACH-000411,-0.3691559218386022
ACH-000414,-0.3997186853959986
ACH-000415,-0.4043437715932902
ACH-000416,-0.4193063229958054
ACH-000420,-0.42211835092702943
ACH-000421,-0.4343075826019065
ACH-000424,-0.4635730026948476
ACH-000425,-0.5262823096168312
ACH-000426,-0.4238462723878521
ACH-000427,-0.3247217073940981
ACH-000433,-0.4567302062465244
ACH-000435,-0.16128941434979624
ACH-000436,-0.4927590920974057
ACH-000444,-0.6074227188368404
ACH-000445,-0.511296587901404
ACH-000448,-0.2967781933884366
ACH-000450,-0.228600710693638
ACH-000452,-0.4553666431861816
ACH-000454,-0.470509228461184
ACH-000458,-0.8753062437973337
ACH-000459,-0.4579052569955024
ACH-000460,-0.2962667340218188
ACH-000461,-0.1917048023606196
ACH-000463,-0.3119656776802085
ACH-000464,-0.3664679218683221
ACH-000466,-0.3153856608622877
ACH-000467,-0.21818445427301567
ACH-000468,-0.3914439550893543
ACH-000469,-0.6791164118454117
ACH-000470,-0.1835467231754691
ACH-000471,-0.5042745847867787
ACH-000472,-0.32087051815547346
ACH-000473,-0.3783064833496659
ACH-000475,-0.30374757599957297
ACH-000476,-0.2497826296240788
ACH-000477,-0.3813303835657985
ACH-000479,-0.5230697018388396
ACH-000480,-0.4830833669188378
ACH-000481,-0.403261540295675
ACH-000483,-0.4349482767709909
ACH-000484,-0.3168926681967737
ACH-000485,-0.4043365352552882
ACH-000486,-0.3270778144012053
ACH-000487,-0.13357665136608407
ACH-000488,-0.10880603884262262
ACH-000490,-0.4344967108602457
ACH-000491,-0.4647186780650085
ACH-000495,-0.2727466441191721
ACH-000496,-0.3269566345491809
ACH-000499,-0.8483585180232583
ACH-000500,-0.3516019280243488
ACH-000502,-0.36660364218927616
ACH-000503,-0.28569031497550396
ACH-000505,-0.5267883665319293
ACH-000507,-0.23886206898994405
ACH-000510,-0.3893890460284968
ACH-000511,-0.3538971712547574
ACH-000512,-0.04834187955913705
ACH-000516,-0.5838961235877401
ACH-000517,-0.273071587393086
ACH-000518,-0.3047753165598792
ACH-000520,-0.6692332360418198
ACH-000521,-0.16678148364220288
ACH-000522,-0.7512728473679138
ACH-000524,-0.32747048185698663
ACH-000527,-0.3641939998385024
ACH-000528,-0.21368984057300786
ACH-000537,-0.07092537277095973
ACH-000541,-0.12151850563589706
ACH-000542,-0.6045350140087815
ACH-000544,-0.4244945128054287
