,ITPKC (80271)
ACH-000004,0.01916997928728819
ACH-000005,0.3584817082068762
ACH-000007,-0.14764070643307814
ACH-000009,0.025704657804544985
ACH-000011,-0.10896865434562564
ACH-000012,0.02255564224027255
ACH-000013,-0.19146966968391413
ACH-000014,0.202298984967502
ACH-000015,-0.17050207889199712
ACH-000017,-0.15488584670759256
ACH-000018,-0.2472602064882692
ACH-000019,-0.058549488941281126
ACH-000021,-0.1189266820802724
ACH-000022,0.06542712367836385
ACH-000025,0.09577792513353826
ACH-000028,-0.14189486658792974
ACH-000030,-0.09608174204235884
ACH-000035,0.0779925881342747
ACH-000036,-0.004854987634584615
ACH-000037,0.02599914868355748
ACH-000039,-0.040090483964894265
ACH-000040,0.058955191092796774
ACH-000041,-0.1792128785732083
ACH-000042,-0.1018440992304122
ACH-000045,-0.3714479582851349
ACH-000047,0.03322560872087079
ACH-000052,-0.15072675377861156
ACH-000053,0.009096757455905
ACH-000054,-0.0945651635273186
ACH-000055,0.030492116745691838
ACH-000060,0.0607869280337541
ACH-000067,0.032851020701620506
ACH-000070,-0.014038265555911946
ACH-000075,0.07398166708650132
ACH-000078,-0.1269617549646291
ACH-000082,-0.04417125718709467
ACH-000085,-0.30544332126017243
ACH-000086,-0.07019092866287026
ACH-000087,-0.2380087490404183
ACH-000092,-0.042188045074506346
ACH-000095,-0.06606096335406099
ACH-000097,-0.21103287579460644
ACH-000098,-0.10393849621851343
ACH-000099,-0.11616195073502485
ACH-000108,-0.15087486935181688
ACH-000113,-0.01824158647824466
ACH-000116,-0.043786434765189175
ACH-000118,-0.03322531371859306
ACH-000120,-0.017775826586091857
ACH-000123,-0.05608412274645799
ACH-000127,-0.09665337660587377
ACH-000128,0.055938737772097236
ACH-000132,-0.08046587343792233
ACH-000133,-0.08047107810948406
ACH-000137,-0.27021368452301225
ACH-000138,-0.1038692391975122
ACH-000142,-0.17698494113026494
ACH-000143,-0.11443876549285965
ACH-000146,-0.10538690911468636
ACH-000148,0.01265660451405629
ACH-000150,-0.11498235679319894
ACH-000152,-0.04143324724369947
ACH-000153,-0.21444764651068565
ACH-000159,-0.18730888190217054
ACH-000160,-0.03013625405852565
ACH-000163,-0.16364134449562476
ACH-000167,-0.37659882985948206
ACH-000168,-0.01984877295665857
ACH-000169,-0.027385796513606387
ACH-000178,-0.08221844124915023
ACH-000183,0.03166722757440432
ACH-000188,-0.09350968603899253
ACH-000189,-0.2584426663387345
ACH-000190,-0.13219203041700667
ACH-000198,-0.055232253159141424
ACH-000203,0.13688058647722154
ACH-000204,-0.09214039265648613
