,SCNM1 (79005)
ACH-000004,-0.2523175215328628
ACH-000005,0.04884461864164258
ACH-000007,-0.34791328127880544
ACH-000009,-0.4363723344277877
ACH-000011,-0.3251183175275824
ACH-000012,-0.5232785649613606
ACH-000013,-0.37623317662505296
ACH-000014,-0.3868807795103031
ACH-000015,-0.3955488431989903
ACH-000017,-0.17628325701229886
ACH-000018,-0.5099993079519644
ACH-000019,-0.5451303644104026
ACH-000021,-0.199775832688632
ACH-000022,-0.395610850547758
ACH-000025,-0.395207819960728
ACH-000028,-0.5182480917907586
ACH-000030,-0.2584615424158109
ACH-000035,-0.2678670680104007
ACH-000036,-0.4055444847986782
ACH-000037,-0.24181503108233984
ACH-000039,-0.5004984610223656
ACH-000040,-0.5252016915545425
ACH-000041,-0.34856144418310314
ACH-000042,-0.335020187190762
ACH-000045,-0.2541272886646248
ACH-000047,-0.4207001284765004
ACH-000052,-0.5132989728961935
ACH-000053,-0.4813062937763667
ACH-000054,-0.21579458465128815
ACH-000055,-0.32547705892926143
ACH-000060,-0.3958322944492512
ACH-000067,-0.3893049340245246
ACH-000070,-0.1872623979092927
ACH-000075,-0.3507690993716073
ACH-000078,-0.26629705756180355
ACH-000082,-0.35461876942236104
ACH-000085,-0.5611651717053635
ACH-000086,-0.5196084408107611
ACH-000087,-0.4753668436279533
ACH-000092,-0.29456735128584105
ACH-000095,-0.369481903794743
ACH-000097,-0.5808033728144149
ACH-000098,-0.5404922375311039
ACH-000099,-0.18794507937621216
ACH-000108,-0.3298199718764719
ACH-000113,-0.1613690426891609
ACH-000116,-0.4239953842984856
ACH-000118,-0.32764164688218456
ACH-000120,-0.4802777678366778
ACH-000123,-0.2602933433632815
ACH-000127,-0.40213497872549697
ACH-000128,-0.2308473359710317
ACH-000132,-0.18670116039285445
ACH-000133,-0.5916149482399068
ACH-000137,-0.3815942306300101
ACH-000138,-0.3758438265882493
ACH-000142,-0.4477805418558813
ACH-000143,-0.530124221018319
ACH-000146,-0.2573607509236609
ACH-000148,-0.5069489690854804
ACH-000150,-0.1040353308623472
ACH-000152,-0.3816091835270491
ACH-000153,-0.4982453327122067
ACH-000159,-0.2902204549056623
ACH-000160,-0.36759432686000704
ACH-000163,-0.4298926455901114
ACH-000167,-0.2570498738550031
ACH-000168,-0.3710833050212025
ACH-000169,-0.4444239315488016
ACH-000178,-0.15780907790314788
ACH-000183,-0.4695287488676327
ACH-000188,-0.3774068923323778
ACH-000189,-0.3785853620391063
ACH-000190,-0.12233359084320558
ACH-000198,-0.26034736597305386
ACH-000203,-0.5643343521408068
ACH-000204,-0.5497492397276659
ACH-000206,-0.2320494727053701
ACH-000207,-0.21319794624381636
ACH-000208,-0.2733183527819836
ACH-000210,-0.3668642610289667
ACH-000211,-0.6392965621252739
ACH-000215,-0.5126610403042837
ACH-000221,-0.2468681573936952
ACH-000222,-0.322777802416066
ACH-000223,-0.3155433732985861
ACH-000226,-0.4191226092827085
ACH-000227,-0.3367412862370492
ACH-000228,-0.3677816874402317
ACH-000231,-0.3305858861555057
ACH-000232,-0.4359005437824289
ACH-000233,-0.2838705270166625
ACH-000234,-0.4318510000100804
ACH-000235,-0.3253404303875058
ACH-000237,-0.5065926682262988
ACH-000238,-0.1481341565653453
ACH-000242,-0.20271371850101103
ACH-000243,-0.4049855950470225
ACH-000244,-0.4999036957705346
ACH-000246,-0.2728617211447241
ACH-000248,-0.3833923051821261
ACH-000250,-0.6667116139592738
ACH-000251,-0.4859728909696895
ACH-000252,-0.33761387865003023
ACH-000253,-0.2579704457085505
ACH-000255,-0.3300926609743051
ACH-000256,-0.22404616667746569
ACH-000257,-0.21434332125066455
ACH-000258,-0.258460409369838
ACH-000259,-0.3432556213089288
ACH-000260,-0.5101394355621828
ACH-000261,-0.3011457909775525
ACH-000262,-0.6345568653876149
ACH-000263,-0.17072855033790346
ACH-000264,-0.4367722904306698
ACH-000265,-0.30190151509680896
ACH-000266,-0.264935493193352
ACH-000272,-0.27550624786832084
ACH-000274,-0.2836434045337182
ACH-000277,-0.5934065512553787
ACH-000278,-0.4203800508587824
ACH-000279,-0.22794365107067555
ACH-000280,-0.2706825892971644
ACH-000281,-0.2448480030288664
ACH-000288,-0.34302668193780456
ACH-000291,-0.2690113164435709
ACH-000293,-0.3908550403797179
ACH-000294,-0.19651596666414275
ACH-000295,-0.3636699632497459
ACH-000296,-0.4120168644532735
ACH-000302,-0.3562942374355817
ACH-000304,-0.3375511564985889
ACH-000307,-0.3117112140002037
ACH-000308,-0.44776442957909707
ACH-000310,-0.19317769699258672
ACH-000311,-0.34720759589423633
ACH-000312,-0.3889787624974089
ACH-000315,-0.2663286153300213
ACH-000316,-0.3317747495324965
ACH-000317,-0.20025029604468272
ACH-000318,-0.3767067944631288
ACH-000319,-0.3168440968842642
ACH-000320,-0.20189862607487136
ACH-000322,-0.6436281847815611
ACH-000323,-0.4336991522708148
ACH-000324,-0.3716767988174632
ACH-000329,-0.5147045963465176
ACH-000330,-0.48481890255229293
ACH-000331,-0.5675438718952673
ACH-000332,-0.2711700182432356
ACH-000334,-0.29916000023655176
ACH-000335,-0.12772888224180326
ACH-000336,-0.07598276176908471
ACH-000337,-0.4687804248626714
ACH-000338,-0.6824654955040675
ACH-000339,-0.2475283551686648
ACH-000341,-0.4375958748875977
ACH-000348,-0.18335114658635568
ACH-000350,-0.3420761743268601
ACH-000352,-0.2660030247977425
ACH-000356,-0.4210317440177909
ACH-000361,-0.39924501409421503
ACH-000362,-0.19514847188432327
ACH-000363,-0.2481068495497637
ACH-000364,-0.4932269102132241
ACH-000365,-0.25235300950890943
ACH-000366,-0.3204283410047714
ACH-000368,-0.4279415440543549
ACH-000374,-0.37518906020029696
ACH-000375,-0.2508594552788448
ACH-000376,-0.4514404845440856
ACH-000381,-0.2928467530003541
ACH-000383,-0.3211076494223611
ACH-000387,-0.1295486131190605
ACH-000389,-0.41486889112404496
ACH-000390,-0.2886181880574214
ACH-000393,-0.33880890823205084
ACH-000395,-0.3492014643316445
ACH-000396,-0.4555340953581441
ACH-000397,-0.4166046620628105
ACH-000401,-0.372424104042755
ACH-000402,0.4208530285090536
ACH-000403,-0.3555687876913381
ACH-000404,-0.3309246638796691
ACH-000406,-0.22109094175813676
ACH-000407,-0.2496173761944422
ACH-000408,-0.2847768267535739
ACH-000410,-0.568355607977969
ACH-000411,-0.43107221376162186
ACH-000414,-0.4507515722436205
ACH-000415,-0.3439108938900767
ACH-000416,-0.3719352750968704
ACH-000420,-0.3258509312217961
ACH-000421,-0.3246958913378378
ACH-000424,-0.24766567336842835
ACH-000425,-0.5496415593881798
ACH-000426,-0.37282404137412745
ACH-000427,-0.2909592268598596
ACH-000433,-0.5087392451873983
ACH-000435,-0.18690952498294267
ACH-000436,-0.4547069376714086
ACH-000444,-0.2417181797192009
ACH-000445,-0.4021573451424804
ACH-000448,-0.15675430058606524
ACH-000450,-0.4271402985593857
ACH-000452,-0.4778611385627519
ACH-000454,-0.3835551286865734
ACH-000458,-0.3747273367623151
ACH-000459,-0.10796339299232206
ACH-000460,-0.24005333931284376
ACH-000461,-0.3832766787544075
ACH-000463,-0.2280819110767283
ACH-000464,-0.3716911772432919
ACH-000466,-0.1706789091600403
ACH-000467,-0.24917041765632256
ACH-000468,-0.2679050867114106
ACH-000469,-0.43745221420736136
ACH-000470,-0.251150205987684
ACH-000471,-0.5812746730545043
ACH-000472,-0.16528139782405388
ACH-000473,-0.2422450926998579
ACH-000475,-0.3223577927413816
ACH-000476,-0.2574329010686156
ACH-000477,-0.4238154224835721
ACH-000479,-0.6546414612923447
ACH-000480,-0.3800341055797869
ACH-000481,-0.38790832109564816
ACH-000483,-0.3531683843420026
ACH-000484,-0.2425168153535272
ACH-000485,-0.38860415006384297
ACH-000486,-0.3190894159007983
ACH-000487,-0.5678302833488492
ACH-000488,-0.4701202393485299
ACH-000490,-0.28222153954324936
ACH-000491,-0.2478180301297174
ACH-000495,-0.39632752652320746
ACH-000496,-0.15751100752552882
ACH-000499,-0.3233853120419361
ACH-000500,-0.8715416132419154
ACH-000502,-0.29484024833565753
ACH-000503,-0.38888822219542735
ACH-000505,-0.24599121190068016
ACH-000507,-0.34611032880043546
ACH-000510,-0.5680200091669317
ACH-000511,-0.35151078711736244
ACH-000512,-0.575267580226575
ACH-000516,-0.3120119316370976
ACH-000517,-0.41229937643631137
ACH-000518,-0.3016882571098946
ACH-000520,-0.4093094755343664
ACH-000521,-0.40483836078912416
ACH-000522,-0.4146865598454103
ACH-000524,-0.3436549389195383
ACH-000527,-0.26554778097966125
ACH-000528,-0.3526420932122636
ACH-000537,-0.2463681549511829
ACH-000541,-0.3157273682423114
ACH-000542,-0.29094173564845704
ACH-000544,-0.4714514403862658
ACH-000545,-0.4994193610234513
ACH-000547,-0.3944315980381036
ACH-000548,-0.4872515044879221
ACH-000549,-0.3251697418972598
ACH-000550,-0.3470400908182001
ACH-000552,-0.2727070955584489
ACH-000556,-0.5108222267237539
ACH-000557,-0.2500147905270442
ACH-000569,-0.4309863547386002
ACH-000570,-0.16418307441907565
ACH-000571,-0.35125622452584143
ACH-000573,-0.341777920158235
ACH-000576,-0.5111871535314862
ACH-000579,-0.4681411364534969
ACH-000580,-0.5079544074916529
ACH-000584,-0.4662023684267106
ACH-000585,-0.24506961155792506
ACH-000588,-0.4303396298275497
ACH-000589,-0.24006934835484256
ACH-000591,-0.13099308413208574
ACH-000593,-0.29112688577670737
ACH-000600,-0.3942166601887909
ACH-000601,-0.35452993489176976
ACH-000605,-0.1937999637477701
ACH-000606,-0.4528964765384037
ACH-000608,-0.3047177295344564
ACH-000614,-0.27845162816233515
ACH-000616,-0.5922237633523367
ACH-000618,-0.332558138596112
ACH-000619,-0.31394447317674656
ACH-000620,-0.21244668292381064
ACH-000621,-0.2390934244086896
ACH-000622,-0.3514369269536352
ACH-000623,-0.4310702309636887
ACH-000624,-0.30310655483730903
ACH-000627,-0.3526890613709617
ACH-000630,-0.3385166171761295
ACH-000631,-0.3033440152553216
ACH-000632,-0.2840340796393529
ACH-000633,-0.40978500082720304
ACH-000637,-0.3041272628513239
ACH-000638,-0.459576201792875
ACH-000646,-0.3531761339067394
ACH-000647,-0.3742025387159308
ACH-000648,-0.4070931863731772
ACH-000649,-0.24792288059009224
ACH-000651,-0.2406631189773101
ACH-000652,-0.38834053382694494
ACH-000653,-0.3453219413601672
ACH-000657,-0.4289309934506488
ACH-000658,-0.4146654547341961
ACH-000661,-0.2716430753010972
ACH-000662,-0.2659201027461198
ACH-000663,-0.2405394013214955
ACH-000665,-0.3961933709886183
ACH-000671,-0.42391810754224746
ACH-000672,-0.35164352265147997
ACH-000673,-0.4081591891673273
ACH-000676,-0.2878842446080044
ACH-000677,-0.20652594044865813
ACH-000681,-0.20347889188163573
ACH-000683,-0.4841618329479669
ACH-000684,-0.35621151658712297
ACH-000688,-0.2711645859276807
ACH-000693,-0.372428267888234
ACH-000694,-0.22364477470429814
ACH-000695,-0.27658534446800914
ACH-000696,-0.5336025906997479
ACH-000697,-0.20175969805984306
ACH-000699,-0.4599188386489421
ACH-000701,-0.27185327528259995
ACH-000706,-0.2496584285135233
ACH-000711,-0.326923586596768
ACH-000713,-0.6356232754607191
ACH-000714,-0.2669472016028075
ACH-000718,-0.31497685244083745
ACH-000720,-0.3325601818299586
ACH-000721,-0.4163070199760022
ACH-000724,-0.30505054840259865
ACH-000725,-0.6833329144580605
ACH-000732,-0.15968694656818308
ACH-000734,-0.3187355121240792
ACH-000735,-0.4668165365803335
ACH-000736,-0.3745760561361123
ACH-000738,-0.19980213256632998
ACH-000746,-0.4132992971599156
ACH-000747,-0.6774165330027186
ACH-000748,-0.31651765394582737
ACH-000753,-0.3772279195290981
ACH-000756,-0.22205431115213545
ACH-000757,-0.4469489525845081
ACH-000758,-0.345111805055421
ACH-000760,-0.4495779067456211
ACH-000762,-0.4287159016033791
ACH-000763,-0.26533010203992025
ACH-000764,-0.3815262278106897
ACH-000765,-0.486373919202008
ACH-000766,-0.3710117173882863
ACH-000767,-0.5714060522596911
ACH-000768,-0.25257062624238963
ACH-000769,-0.5677309673754274
ACH-000770,-0.2192636190878218
ACH-000771,-0.5903755432958927
ACH-000773,-0.41971116868098995
ACH-000776,-0.21012479983864205
ACH-000777,-0.3650720002323383
ACH-000778,-0.26219101496539704
ACH-000781,-0.335462171851632
ACH-000782,-0.4135735782922488
ACH-000783,-0.365899915708804
ACH-000784,-0.21719514043540328
ACH-000785,-0.4279607198358355
ACH-000787,-0.6558753044122541
ACH-000788,-0.2856950819486013
ACH-000791,-0.3428309723301071
ACH-000792,-0.3611164740399552
ACH-000794,-0.2657665753566064
ACH-000796,-0.30083112665875084
ACH-000798,-0.4606810209229898
ACH-000799,-0.4662262297961608
ACH-000800,-0.5022355299060918
ACH-000802,-0.38142806835385584
ACH-000804,-0.4913434786483103
ACH-000805,-0.19757999012880612
ACH-000809,-0.3328034480365613
ACH-000810,-0.3118110040086307
