,SMAGP (57228)
ACH-000004,-0.236914724143526
ACH-000005,-0.4528336374607122
ACH-000007,-0.15491938556821416
ACH-000009,-0.3474440469557352
ACH-000011,-0.16873539327307646
ACH-000012,-0.4532335434122973
ACH-000013,-0.3516218463181563
ACH-000014,-0.311712241331069
ACH-000015,-0.3865429231061501
ACH-000017,-0.3756528011488824
ACH-000018,-0.27092989889172736
ACH-000019,-0.38065407388535405
ACH-000021,-0.3248175740053149
ACH-000022,-0.2654054974650469
ACH-000025,-0.3694415949330088
ACH-000028,-0.32210694281201596
ACH-000030,-0.2733506237196689
ACH-000035,-0.3346429082944289
ACH-000036,-0.21617595303788428
ACH-000037,-0.314700437228495
ACH-000039,-0.33916429438293005
ACH-000040,-0.4577381751800634
ACH-000041,-0.4166647901028586
ACH-000042,-0.28430489685599825
ACH-000045,-0.25951924797988224
ACH-000047,-0.35330587716248485
ACH-000052,-0.3319726427101008
ACH-000053,-0.2538055630581207
ACH-000054,-0.3982204220080271
ACH-000055,-0.21691286585395395
ACH-000060,-0.3438948972061248
ACH-000067,-0.43753495214440974
ACH-000070,-0.4385686588795775
ACH-000075,-0.4581337026470333
ACH-000078,-0.3158617004758925
ACH-000082,-0.2480829629209876
ACH-000085,-0.35078502260822764
ACH-000086,-0.5106887548262117
ACH-000087,-0.274265548130708
ACH-000092,-0.3771090836653948
ACH-000095,-0.4396574927247246
ACH-000097,-0.4737609104349412
ACH-000098,-0.2064029595875748
ACH-000099,-0.41553723496292266
ACH-000108,-0.1783112533813451
ACH-000113,-0.3188959691507951
ACH-000116,-0.30695911294636097
ACH-000118,-0.3117147391829682
ACH-000120,-0.3008555743981089
ACH-000123,-0.3191009263498352
ACH-000127,-0.34531202659005744
ACH-000128,-0.4720113849487949
ACH-000132,-0.21988665923727985
ACH-000133,-0.3737193042436765
ACH-000137,-0.3758883971320401
ACH-000138,-0.29936290673537685
ACH-000142,-0.31050165579400324
ACH-000143,-0.3567219567923642
ACH-000146,-0.2958236154643748
ACH-000148,-0.25868236367778485
ACH-000150,-0.32512745770285106
ACH-000152,-0.4042641836058504
ACH-000153,-0.3011496852690869
ACH-000159,-0.34644404219226704
ACH-000160,-0.3365612771795221
ACH-000163,-0.3465425036996549
ACH-000167,-0.309948686813742
ACH-000168,-0.2682319755074743
ACH-000169,-0.28204845910206144
ACH-000178,-0.3324492201245326
ACH-000183,-0.2589764512979998
ACH-000188,-0.32660217847481154
ACH-000189,-0.4606973336349452
ACH-000190,-0.11356350033453265
ACH-000198,-0.3912852459600845
ACH-000203,-0.6561646032087715
ACH-000204,-0.642968481344485
ACH-000206,-0.45426646632893397
ACH-000207,-0.319141250258331
ACH-000208,-0.35145604940801595
ACH-000210,-0.4162254160627634
ACH-000211,-0.3670401526018967
ACH-000215,-0.2845548727562581
ACH-000221,-0.3373546957432691
ACH-000222,-0.25944028916973944
ACH-000223,-0.4339638458960116
ACH-000226,-0.31226891016782443
ACH-000227,-0.4389849342173479
ACH-000228,-0.35654264528192997
ACH-000231,-0.3450902097046221
ACH-000232,-0.4711634139164196
ACH-000233,-0.2437419969015496
ACH-000234,-0.4768171000276834
ACH-000235,-0.35435472504284365
ACH-000237,-0.3539270944171657
ACH-000238,-0.4183400946442082
ACH-000242,-0.034413079240650464
ACH-000243,-0.3186198839380681
ACH-000244,-0.4874202646810176
ACH-000246,-0.42726359245754203
ACH-000248,-0.13112433787691646
ACH-000250,-0.3924212474710604
ACH-000251,-0.3966761135121464
ACH-000252,-0.2866264414923247
ACH-000253,-0.3113172911881347
ACH-000255,-0.303226673141971
ACH-000256,-0.3791692597563304
ACH-000257,-0.3974700055018643
ACH-000258,-0.4206503475333793
ACH-000259,-0.3585002072836713
ACH-000260,-0.3828495894191425
ACH-000261,-0.4131813098829559
ACH-000262,-0.2812251932411084
ACH-000263,-0.4431092552996789
ACH-000264,-0.4542392443308938
ACH-000265,-0.29288825957608794
ACH-000266,-0.35574605745764737
ACH-000272,-0.3053286396609467
ACH-000274,-0.41674220761338704
ACH-000277,-0.4738073655445099
ACH-000278,-0.5039979570286217
ACH-000279,-0.3988869810176466
ACH-000280,-0.3095293610895116
ACH-000281,-0.2961328466883954
ACH-000288,-0.3487939253895722
ACH-000291,-0.28176309932456906
ACH-000293,-0.4139559220429511
ACH-000294,-0.2992776564020819
ACH-000295,-0.2486860996379984
ACH-000296,-0.5088451093369748
ACH-000302,-0.4629784064716519
ACH-000304,-0.284758448895792
ACH-000307,-0.291583125127142
ACH-000308,-0.3389233079404553
ACH-000310,-0.4500589479819224
ACH-000311,-0.20776130290146885
ACH-000312,-0.3744010033297975
ACH-000315,-0.27256518163884325
ACH-000316,-0.2659716215916802
ACH-000317,-0.27217696387117485
ACH-000318,-0.3218722776918322
ACH-000319,-0.17503574200165126
ACH-000320,-0.2512186267662512
ACH-000322,-0.4879206333870394
ACH-000323,-0.3261731624532788
ACH-000324,-0.3238531271036071
ACH-000329,-0.32461996918999403
ACH-000330,-0.2000465280032826
ACH-000331,-0.4186459252193663
ACH-000332,-0.4957380193469154
ACH-000334,-0.38479592081156816
ACH-000335,-0.1931024452996916
ACH-000336,-0.231457299978723
ACH-000337,-0.41164548132148815
ACH-000338,-0.240482657790833
ACH-000339,-0.4220039800715335
ACH-000341,-0.4272456197671228
ACH-000348,-0.3952532977485193
ACH-000350,-0.2111977994437481
ACH-000352,-0.4485747405370712
ACH-000356,-0.3499498783083916
ACH-000361,-0.362277844857617
ACH-000362,-0.4375966000158565
ACH-000363,-0.4248892541583064
ACH-000364,-0.43371929692642863
ACH-000365,-0.4149882632688094
ACH-000366,-0.4115133905407517
ACH-000368,-0.3574227045032034
ACH-000374,-0.42604103881363387
ACH-000375,-0.2646258879115639
ACH-000376,-0.31685009275977866
ACH-000381,-0.2752440343522491
ACH-000383,-0.3461946028877273
ACH-000387,-0.4945649894456097
ACH-000389,-0.2538095522949881
ACH-000390,-0.32315839592535445
ACH-000393,-0.28914633243651305
ACH-000395,-0.4814382430116885
ACH-000396,-0.4926105276088578
ACH-000397,-0.2981843292493363
ACH-000401,-0.2905015551818993
ACH-000402,-0.3420776605211849
ACH-000403,-0.4056899250951981
ACH-000404,-0.26988446705637525
ACH-000406,-0.2293295651687253
ACH-000407,-0.4151151487326023
ACH-000408,-0.23711373576746525
ACH-000410,-0.24703961427223295
ACH-000411,-0.4196842094741487
ACH-000414,-0.4367465919627295
ACH-000415,-0.2113005454137076
ACH-000416,-0.3578017939606345
ACH-000420,-0.3212524393833662
ACH-000421,-0.264043669232396
ACH-000424,-0.37365568860340015
ACH-000425,-0.4754537048882502
ACH-000426,-0.2875509179570929
ACH-000427,-0.3821599735474804
ACH-000433,-0.3295559504436543
ACH-000435,-0.3263824033422002
ACH-000436,-0.2550770755617696
ACH-000444,-0.2428724812874208
ACH-000445,-0.4378746473507962
ACH-000448,-0.337105490398791
ACH-000450,-0.4044466043541938
ACH-000452,-0.3778687360610101
ACH-000454,-0.44590196074488414
ACH-000458,-0.3256359924012433
ACH-000459,-0.09041898851118507
ACH-000460,-0.3251615667509563
ACH-000461,-0.44783191531473465
ACH-000463,-0.38874907995821256
ACH-000464,-0.2993612569073553
ACH-000466,-0.3111452293928891
ACH-000467,-0.3039309125783325
ACH-000468,-0.3537473350627361
ACH-000469,-0.3873409117661791
ACH-000470,-0.31587705770747343
ACH-000471,-0.26423489419458945
ACH-000472,-0.3988728333803964
ACH-000473,-0.16807245581640248
ACH-000475,-0.25747301471773604
ACH-000476,-0.2983467965298033
ACH-000477,-0.22012060361667407
ACH-000479,-0.4314015075098184
ACH-000480,-0.20970665294858906
ACH-000481,-0.327093374738266
ACH-000483,-0.43942505401954535
ACH-000484,-0.15925323232210944
ACH-000485,-0.3848883401975177
ACH-000486,-0.4155901090443177
ACH-000487,-0.31409990525861603
ACH-000488,-0.3389052031532652
ACH-000490,-0.5196479723902151
ACH-000491,-0.3324567965705225
ACH-000495,-0.2708620570193107
ACH-000496,-0.26664673354401713
ACH-000499,-0.37224700478417744
ACH-000500,-0.16558112164031216
ACH-000502,-0.3236336913277144
ACH-000503,-0.39447167193328375
ACH-000505,-0.3359890571840035
ACH-000507,-0.4148397565126602
ACH-000510,-0.2448241753136877
ACH-000511,-0.3380823396248113
ACH-000512,-0.33518798943018563
ACH-000516,-0.5335560584653479
ACH-000517,-0.3992268814405847
ACH-000518,-0.1803525833742693
ACH-000520,-0.4634758928435129
ACH-000521,-0.20474486676890286
ACH-000522,-0.3244543932955271
ACH-000524,-0.3157128420857349
ACH-000527,-0.33602551462200986
ACH-000528,-0.23503853067668104
ACH-000537,-0.2991009171839873
ACH-000541,-0.3265685263858797
ACH-000542,-0.4277557765897967
ACH-000544,-0.2565144648911573
ACH-000545,-0.3831028430804744
ACH-000547,-0.17039063609352278
ACH-000548,-0.4243851693090602
ACH-000549,-0.44290166423454
ACH-000550,-0.3880169892767241
ACH-000552,-0.3151510721551946
ACH-000556,-0.3472514010151926
ACH-000557,-0.5013497846793303
ACH-000569,-0.43765402392360586
ACH-000570,-0.30613208113124857
ACH-000571,-0.2566667021687082
ACH-000573,-0.21696008661922792
ACH-000576,-0.3170628373767999
ACH-000579,-0.5023429101510073
ACH-000580,-0.23657583242372465
ACH-000584,-0.3698029435809485
ACH-000585,-0.3096465686987022
ACH-000588,-0.2682773211891559
ACH-000589,-0.3879811849939017
ACH-000591,-0.3609839554274964
ACH-000593,-0.3478433415078937
ACH-000600,-0.33079321824338104
ACH-000601,-0.3987968288611626
ACH-000605,-0.3448355249602883
ACH-000606,-0.3674761313993135
ACH-000608,-0.4652624747563248
ACH-000614,-0.4439182201669578
ACH-000616,-0.5288702448081297
ACH-000618,-0.3561204386485233
ACH-000619,-0.20887885967359687
ACH-000620,-0.3916433762327627
ACH-000621,-0.3773156621532463
ACH-000622,-0.337875049805879
ACH-000623,-0.3561348127015592
ACH-000624,-0.3698495550217517
ACH-000627,-0.3160891026267903
ACH-000630,-0.2498326512140141
ACH-000631,-0.21684603943305325
ACH-000632,-0.3090805925964889
ACH-000633,-0.3486756849000763
ACH-000637,-0.4665970450039098
ACH-000638,-0.3351818915705829
ACH-000646,-0.2632120206013008
