,GRINA (2907)
ACH-000004,-0.12730824697253834
ACH-000005,-0.1810322587081125
ACH-000007,-0.13327221855277302
ACH-000009,-0.15148542688248634
ACH-000011,-0.19588381368513252
ACH-000012,-0.22246945792674092
ACH-000013,-0.07878516077049863
ACH-000014,-0.4313644200656056
ACH-000015,-0.06791423281864994
ACH-000017,-0.20203158579348493
ACH-000018,-0.12746251665274813
ACH-000019,-0.18905398904398504
ACH-000021,-0.25138783745155474
ACH-000022,-0.2520923750506408
ACH-000025,-0.13990582474294636
ACH-000028,-0.11571397107578099
ACH-000030,-0.12319193127262475
ACH-000035,-0.1037401730188592
ACH-000036,-0.298014784234246
ACH-000037,-0.15820265779212053
ACH-000039,-0.2415912761778136
ACH-000040,-0.23112627241985234
ACH-000041,-0.14382915517462266
ACH-000042,-0.15678903972919395
ACH-000045,-0.21167701383687745
ACH-000047,-0.1670119861969181
ACH-000052,-0.05285518348551304
ACH-000053,-0.23770100879437955
ACH-000054,-0.3372925589761796
ACH-000055,-0.07054710608409805
ACH-000060,-0.33388593380559034
ACH-000067,-0.2782947004170094
ACH-000070,-0.3392796599523791
ACH-000075,-0.17788170287777688
ACH-000078,-0.3000705054718009
ACH-000082,-0.2265236868541493
ACH-000085,-0.1783320604525483
ACH-000086,-0.12141964732327284
ACH-000087,-0.14588458841400978
ACH-000092,-0.2690594093092004
ACH-000095,-0.20679646134030027
ACH-000097,-0.1906498543218032
ACH-000098,-0.09462375209182013
ACH-000099,-0.29892456942801937
ACH-000108,-0.30149637925768474
ACH-000113,-0.15243768785873002
ACH-000116,-0.1934562449800055
ACH-000118,-0.21992116345810436
ACH-000120,-0.06575366273048652
ACH-000123,-0.3497039078938168
ACH-000127,-0.11553646378961975
ACH-000128,-0.15674130035603565
ACH-000132,-0.15958136479893514
ACH-000133,-0.1839578428493688
ACH-000137,-0.11282522836084713
ACH-000138,-0.18083286999875445
ACH-000142,-0.2841837982695664
ACH-000143,-0.2731776976462737
ACH-000146,-0.20812771541441327
ACH-000148,-0.21639457190500236
ACH-000150,-0.3526467296390235
ACH-000152,-0.2584462211775921
ACH-000153,-0.16460128822245196
ACH-000159,-0.2338902745968268
ACH-000160,-0.18047511710556136
ACH-000163,-0.22916990869905274
ACH-000167,-0.28260117878245666
ACH-000168,-0.1854215814234876
ACH-000169,-0.27416246872392275
ACH-000178,-0.2882636292143463
ACH-000183,-0.2772007827589125
ACH-000188,-0.12391516151441505
ACH-000189,-0.08167409512506561
ACH-000190,-0.17800214844287007
ACH-000198,-0.2516562782394034
ACH-000203,-0.1262624759963208
ACH-000204,-0.1760594657772265
ACH-000206,-0.2598427688344077
ACH-000207,-0.1897189635181029
ACH-000208,-0.2045416506797942
ACH-000210,-0.11614902165223982
ACH-000211,-0.2686895448706331
ACH-000215,-0.23944171812884704
ACH-000221,-0.17167719958850358
ACH-000222,-0.2988404466354346
ACH-000223,-0.25572579385721805
ACH-000226,-0.10981693100220608
ACH-000227,-0.3205098417259345
ACH-000228,-0.18926433443861693
ACH-000231,-0.2436592367094669
ACH-000232,-0.19355218312688627
ACH-000233,-0.13435571312284866
ACH-000234,-0.3333044761759223
ACH-000235,-0.21524937321537704
ACH-000237,-0.09382294380014204
ACH-000238,-0.17896028530490976
ACH-000242,-0.14208992968907894
ACH-000243,-0.18942625696813087
ACH-000244,-0.3478238686873146
ACH-000246,-0.3507523178593516
ACH-000248,-0.3398786729563704
ACH-000250,-0.23916365073095786
ACH-000251,-0.2605509791594709
ACH-000252,-0.2196221085023309
ACH-000253,-0.21554952632195445
ACH-000255,-0.16945786956080106
ACH-000256,-0.2880605476906911
ACH-000257,-0.4245011397899316
ACH-000258,-0.2540566099210727
ACH-000259,-0.25761626895668066
ACH-000260,-0.2513796903227149
ACH-000261,-0.19785953658577354
ACH-000262,-0.24858403198842735
ACH-000263,-0.4805668436629054
ACH-000264,-0.2293596289484217
ACH-000265,-0.18051097518738396
ACH-000266,-0.2552394196621597
ACH-000272,-0.25160826824312343
ACH-000274,-0.2473387739749995
ACH-000277,-0.5385501722846585
ACH-000278,-0.0695323253281927
ACH-000279,-0.14889437332234307
ACH-000280,-0.3223644981739426
ACH-000281,-0.2887432670122364
ACH-000288,-0.10240009531089478
ACH-000291,-0.30188625869255986
ACH-000293,-0.17039332018621606
ACH-000294,-0.2339037540588513
ACH-000295,-0.2815835512174508
ACH-000296,-0.032545518146623896
ACH-000302,-0.12889429693238882
ACH-000304,-0.23935386180693824
