,SDAD1 (55153)
ACH-000004,-0.4880401522774024
ACH-000005,-0.29982575326659944
ACH-000007,-0.7646814856762562
ACH-000009,-0.5982619573674536
ACH-000011,-0.5635827693156783
ACH-000012,-0.7976749938740892
ACH-000013,-0.4445450200413441
ACH-000014,-0.48017091964994
ACH-000015,-0.5304330206738095
ACH-000017,-0.5691898623568956
ACH-000018,-0.4258566108369329
ACH-000019,-0.5527198065860085
ACH-000021,-0.5098914262080557
ACH-000022,-0.5671902267558853
ACH-000025,-0.5120414237247999
ACH-000028,-0.4932996053600629
ACH-000030,-0.5953810430102693
ACH-000035,-0.5565318433750377
ACH-000036,-0.8949049681491966
ACH-000037,-0.7215173629846949
ACH-000039,-0.3371004767229718
ACH-000040,-0.481931160923345
ACH-000041,-0.3063518586937941
ACH-000042,-0.5287687544228571
ACH-000045,-0.3622108877122409
ACH-000047,-0.6056068077659821
ACH-000052,-0.6329189619308703
ACH-000053,-0.5019121290947324
ACH-000054,-0.7950175084832347
ACH-000055,-0.5355471953178298
ACH-000060,-0.6772229196914736
ACH-000067,-0.59452993262157
ACH-000070,-0.5364492406658535
ACH-000075,-0.5823533351698621
ACH-000078,-0.5978645265980196
ACH-000082,-0.5429514208511981
ACH-000085,-0.4659388065328854
ACH-000086,-0.791578121087614
ACH-000087,-0.8969964205252392
ACH-000092,-0.3780782630024197
ACH-000095,-0.5578410335889266
ACH-000097,-0.5703764986619302
ACH-000098,-0.6107063467964992
ACH-000099,-0.37699883034127785
ACH-000108,-0.5729674071983112
ACH-000113,-0.2670101807938509
ACH-000116,-0.6396288394310569
ACH-000118,-0.4977538817921742
ACH-000120,-0.629898378637875
ACH-000123,-0.4850830133656369
ACH-000127,-0.5621880043652759
ACH-000128,-0.7942736177052191
ACH-000132,-0.6325758894164428
ACH-000133,-0.6634747630677325
ACH-000137,-0.5129063031530725
ACH-000138,-0.4464505698465665
ACH-000142,-0.6118298333550206
ACH-000143,-0.7182479386335805
ACH-000146,-0.35491900104852303
ACH-000148,-0.6105038398879742
ACH-000150,-0.6411169460317965
ACH-000152,-0.5624605103865057
ACH-000153,-0.5768350659291057
ACH-000159,-0.7734546884423271
ACH-000160,-0.3468835748198789
ACH-000163,-0.6320513314416988
ACH-000167,-0.5359831652703277
ACH-000168,-0.461358629218238
ACH-000169,-0.7037476118593418
ACH-000178,-0.5600193107403456
ACH-000183,-0.4365677447890207
ACH-000188,-0.6134170057289439
ACH-000189,-0.8047954617436344
ACH-000190,-0.8389935429248837
ACH-000198,-0.4035456377779289
ACH-000203,-1.0030614544601135
ACH-000204,-0.7473140842280169
ACH-000206,-0.4377675616874396
ACH-000207,-0.42529596272150016
ACH-000208,-0.791985324579662
ACH-000210,-0.5485082885790152
ACH-000211,-0.4968416880247128
ACH-000215,-0.4859007283138642
ACH-000221,-0.4937386125055669
ACH-000222,-0.2332834870213857
ACH-000223,-0.5955788280548363
ACH-000226,-0.5336484903153759
ACH-000227,-0.35619360100350084
ACH-000228,-0.4563435816753263
ACH-000231,-0.6137006319284327
