,GLI4 (2738)
ACH-000004,0.10144996622879653
ACH-000005,-0.24535539787278085
ACH-000007,0.12518367769558286
ACH-000009,0.07088400839493869
ACH-000011,-0.21517284016089214
ACH-000012,0.010275129065106043
ACH-000013,-0.008288767739744025
ACH-000014,-0.20351241602803685
ACH-000015,0.09050375306017122
ACH-000017,-0.13006954180868138
ACH-000018,-0.2336496106534939
ACH-000019,-0.029152819771290375
ACH-000021,-0.04429603683098096
ACH-000022,-0.1182675089069304
ACH-000025,-0.23897677573701614
ACH-000028,-0.026629621086200032
ACH-000030,-0.06424293778676057
ACH-000035,-0.04097417791955037
ACH-000036,-0.13644159045999202
ACH-000037,-0.03672029146403431
ACH-000039,-0.17769088866457522
ACH-000040,-0.2478917906506536
ACH-000041,0.11790328180977752
ACH-000042,-0.1618468352971098
ACH-000045,-0.09259139090144748
ACH-000047,-0.2921850364332618
ACH-000052,0.11518901548336825
ACH-000053,-0.07137018544004861
ACH-000054,-0.10311352095072278
ACH-000055,0.08140834780412239
ACH-000060,-0.2845684618098682
ACH-000067,-0.007051070506122584
ACH-000070,-0.03709023880048277
ACH-000075,-0.35090193934837643
ACH-000078,-0.08833117668841069
ACH-000082,-0.03729883244434639
ACH-000085,-0.13930106621564334
ACH-000086,-0.1723362054236385
ACH-000087,0.2226162327124201
ACH-000092,-0.0642005155801048
ACH-000095,0.023488072724640298
ACH-000097,-0.13225782864188193
ACH-000098,-0.02180844304784033
ACH-000099,-0.0834930358450453
ACH-000108,-0.2373111754180719
ACH-000113,-0.12225888486014175
ACH-000116,-0.07471435447842932
ACH-000118,-0.17566077066040647
ACH-000120,0.09167240216819413
ACH-000123,-0.03170276745600288
ACH-000127,-0.010617295951484359
ACH-000128,-0.06719886508347582
ACH-000132,-0.00808779030444912
ACH-000133,0.04441996674523767
ACH-000137,0.02063377368164598
ACH-000138,-0.020174433225700898
ACH-000142,-0.01943468894096393
ACH-000143,-0.1143678375106107
ACH-000146,-0.07616502011231319
ACH-000148,-0.1561531072804619
ACH-000150,-0.5366453889356985
ACH-000152,-0.19857309551735436
ACH-000153,-0.06716076988014807
ACH-000159,-0.03365607842049676
ACH-000160,0.07218173065547041
ACH-000163,0.051032572480741833
ACH-000167,0.004713583299774971
ACH-000168,-0.1882976270252533
ACH-000169,-0.03287015837003071
ACH-000178,-0.2239795095425544
ACH-000183,0.04436670006242505
ACH-000188,-0.1390577679600443
ACH-000189,0.052026013504034
ACH-000190,-0.07690108527069071
ACH-000198,-0.02515907235381672
ACH-000203,-0.3300544028083705
ACH-000204,0.04662101982291
ACH-000206,0.037407856754633186
ACH-000207,-0.16319901991579633
ACH-000208,-0.2352891812804685
ACH-000210,0.049999691643343114
ACH-000211,-0.16542100964201012
ACH-000215,-0.036366097473884584
ACH-000221,0.12235171836669975
ACH-000222,-0.13797618155224511
ACH-000223,-0.10999796034026092
ACH-000226,-0.18450123767372892
ACH-000227,0.03597696275835018
ACH-000228,-0.0571350033795591
ACH-000231,-0.0565086854606953
ACH-000232,-0.06296191873998354
ACH-000233,-0.08585781449715453
ACH-000234,-0.2352050653803078
ACH-000235,-0.14000034557158694
ACH-000237,-0.07947578655332324
ACH-000238,-0.2146029869657566
ACH-000242,0.05585821748800551
ACH-000243,0.03691289155758546
ACH-000244,-0.04664993972635648
ACH-000246,-0.10395003041452827
ACH-000248,-0.33640360115381884
ACH-000250,-0.10922696178410904
ACH-000251,-0.059175559235456886
ACH-000252,0.007002475447298562
ACH-000253,-0.016620103040679252
ACH-000255,-0.02603410906934904
ACH-000256,-0.20769190171765906
ACH-000257,0.17352440909402936
ACH-000258,0.02704078319913198
ACH-000259,-0.08675983490337559
ACH-000260,-0.20926309245923008
ACH-000261,-0.13270228313083998
ACH-000262,-0.008039889074373094
ACH-000263,-0.019503343751881348
ACH-000264,-0.07460095450223464
ACH-000265,0.07482676902314804
ACH-000266,-0.18517549890223475
ACH-000272,-0.03518879851856293
ACH-000274,-0.04046969160245166
ACH-000277,0.008353565783839575
ACH-000278,-0.1574098568604785
ACH-000279,-0.13702976697586464
ACH-000280,-0.367005295905346
ACH-000281,0.049276383757007484
ACH-000288,0.06855753695453133
ACH-000291,-0.031151272119506482
ACH-000293,-0.048981531507632806
ACH-000294,0.08392197445078582
ACH-000295,-0.05661943460203332
ACH-000296,0.012555743709628786
ACH-000302,0.06789813004966345
ACH-000304,-0.1239627905128691
ACH-000307,-0.05280927263970184
ACH-000308,-0.15234275573012393
ACH-000310,-0.004682809520037616
ACH-000311,-0.1543685064911881
ACH-000312,0.07091656187861127
ACH-000315,0.1884466394592829
ACH-000316,-0.24604795104084246
ACH-000317,0.08988514801015107
ACH-000318,0.0063982951460517645
ACH-000319,-0.02405543061473622
ACH-000320,-0.05355191742324174
ACH-000322,-0.3448646353497803
ACH-000323,-0.12408968140465565
ACH-000324,-0.08569449367912144
ACH-000329,-0.12957166415887744
ACH-000330,-0.002976355360426372
ACH-000331,-0.08431530525194045
ACH-000332,-0.09776416071739676
ACH-000334,0.09393902138347747
ACH-000335,-0.07534105628860176
ACH-000336,-0.10270435986984096
ACH-000337,-0.1979160826725277
ACH-000338,-0.32698044299756424
ACH-000339,0.004778337918282603
ACH-000341,0.1014213943277637
ACH-000348,-0.07928104718574391
ACH-000350,-0.01899344115673464
ACH-000352,-0.10952849969462257
ACH-000356,-0.020891729955380016
ACH-000361,-0.12772559367340014
ACH-000362,-0.2422536715852928
ACH-000363,-0.07544587608212316
ACH-000364,0.005436818650643331
ACH-000365,0.0002263930906920558
ACH-000366,0.0070682817737296845
ACH-000368,-0.02126288992420941
ACH-000374,-0.0336764311404397
ACH-000375,-0.2921439288479958
