,PAFAH1B1 (5048)
ACH-000004,-1.88682779433508
ACH-000005,-1.7143654608227008
ACH-000007,-1.3083492810410762
ACH-000009,-1.2471966126001093
ACH-000011,-1.235392552702704
ACH-000012,-1.4754788305529032
ACH-000013,-1.7054009167081
ACH-000014,-1.3839778962299876
ACH-000015,-1.4829517136704244
ACH-000017,-1.4562719980593644
ACH-000018,-1.158414036024506
ACH-000019,-1.3121868152579108
ACH-000021,-1.3137577756939092
ACH-000022,-1.3796799513691946
ACH-000025,-1.3478717561600273
ACH-000028,-1.236826848254809
ACH-000030,-1.583329398659708
ACH-000035,-1.3122023622188217
ACH-000036,-1.4059733431195691
ACH-000037,-1.7044722340687928
ACH-000039,-1.7141881739928035
ACH-000040,-1.3019352541676827
ACH-000041,-1.4957052458768312
ACH-000042,-1.6627061085727428
ACH-000045,-1.3285417689166423
ACH-000047,-1.5017054105078125
ACH-000052,-1.3438165345424038
ACH-000053,-1.5193695734601769
ACH-000054,-1.2744453705107797
ACH-000055,-1.4901574041291652
ACH-000060,-1.545578621362088
ACH-000067,-1.5843743690093983
ACH-000070,-1.4298306565796266
ACH-000075,-1.2652294848164958
ACH-000078,-1.44076658195155
ACH-000082,-1.3173923953073283
ACH-000085,-1.682802139238595
ACH-000086,-1.353889514673883
ACH-000087,-1.3398079289037008
ACH-000092,-1.2542419404849696
ACH-000095,-1.372486414250421
ACH-000097,-1.4420731616665987
ACH-000098,-1.4157578244120474
ACH-000099,-1.3287153519592485
ACH-000108,-1.2610035134690618
ACH-000113,-1.3933885466781697
ACH-000116,-1.5475922521713903
ACH-000118,-1.4910168937422683
ACH-000120,-1.4217482345528465
ACH-000123,-1.24856010847932
ACH-000127,-1.4880046641798703
ACH-000128,-1.2407343332758118
ACH-000132,-1.3092198670470911
ACH-000133,-1.4609171069690872
ACH-000137,-1.3472899720292801
ACH-000138,-1.5189413859299692
ACH-000142,-1.2810952543530607
ACH-000143,-1.4941648018297529
ACH-000146,-1.7924224331184817
ACH-000148,-1.556438738947877
ACH-000150,-1.4334102184150257
ACH-000152,-1.3067713275398416
ACH-000153,-1.863735319526608
ACH-000159,-1.2399956656864513
ACH-000160,-1.3277294780137099
ACH-000163,-1.050795950366901
ACH-000167,-1.96039987849428
ACH-000168,-1.379874159601454
ACH-000169,-1.560751545480083
ACH-000178,-1.3913887033913377
ACH-000183,-1.714439365749678
ACH-000188,-1.3039814120082884
ACH-000189,-1.0301307685290038
ACH-000190,-1.3831254916128897
