,MASTL (84930)
ACH-000004,-1.7334188182645334
ACH-000005,-1.5029244126999517
ACH-000007,-1.402377404637518
ACH-000009,-1.394068265917877
ACH-000011,-0.8099381930818058
ACH-000012,-1.3333994099747326
ACH-000013,-0.4691568765569677
ACH-000014,-1.6402077319239634
ACH-000015,-0.902197832196479
ACH-000017,-1.422926249762978
ACH-000018,-1.1534573752934012
ACH-000019,-1.1642735989885131
ACH-000021,-1.4572955644058352
ACH-000022,-1.4454495030062633
ACH-000025,-1.3591497601216114
ACH-000028,-1.2837430643837011
ACH-000030,-1.4925569850330838
ACH-000035,-1.159188105818565
ACH-000036,-1.3388441155836044
ACH-000037,-1.0690263764100858
ACH-000039,-1.6405745821636577
ACH-000040,-1.4051676418398384
ACH-000041,-1.612665971041224
ACH-000042,-1.308773129945615
ACH-000045,-1.3258052406312089
ACH-000047,-1.3260566935254177
ACH-000052,-1.3673900331765274
ACH-000053,-1.2524530715689688
ACH-000054,-1.1806557603642565
ACH-000055,-1.1964795381943023
ACH-000060,-1.4080260676398897
ACH-000067,-1.2688374003369691
ACH-000070,-1.4160969792283131
ACH-000075,-1.3835530961926168
ACH-000078,-1.3402341245608078
ACH-000082,-1.3850462037503881
ACH-000085,-1.4084315584078329
ACH-000086,-1.29664456536381
ACH-000087,-1.4599341621395905
ACH-000092,-1.2514759251068324
ACH-000095,-1.4761847801261871
ACH-000097,-1.315542965862771
ACH-000098,-1.5996764063024862
ACH-000099,-1.3135056212862868
ACH-000108,-1.3448610609393703
ACH-000113,-1.1958988709326788
ACH-000116,-1.135890919855157
ACH-000118,-1.4362925778542743
ACH-000120,-1.2965289978645358
ACH-000123,-1.2440590177611224
ACH-000127,-1.2716368202925572
ACH-000128,-1.3127267734545367
ACH-000132,-1.6552775736473528
ACH-000133,-1.3191277167073874
ACH-000137,-1.4837490992614468
ACH-000138,-1.374029903701523
ACH-000142,-1.3647240167988344
ACH-000143,-1.4157754146943389
ACH-000146,-1.8347159953732408
ACH-000148,-1.7285961727948898
ACH-000150,-1.5319735728075623
ACH-000152,-1.296241141692812
ACH-000153,-1.4565045112302395
ACH-000159,-1.2733821102523335
ACH-000160,-1.2842956457864816
ACH-000163,-1.605791732668461
ACH-000167,-2.286799903243513
ACH-000168,-1.5644297166451342
ACH-000169,-1.4918683850876548
ACH-000178,-1.3461986386499385
ACH-000183,-1.480951293892771
ACH-000188,-1.3991159570250222
ACH-000189,-1.3495167944296305
ACH-000190,-1.5322768784086382
ACH-000198,-1.3820657677862005
ACH-000203,-1.429760415259154
ACH-000204,-1.2348756109144952
ACH-000206,-1.353922316325055
ACH-000207,-1.4499772032947245
ACH-000208,-1.3735288520732385
ACH-000210,-1.2145231198410842
ACH-000211,-1.102580188191126
ACH-000215,-1.4942275176026998
ACH-000221,-1.0114183748311416
ACH-000222,-1.3339665227651638
ACH-000223,-1.3746548340013751
ACH-000226,-1.1765852712227285
ACH-000227,-1.8331684564303248
ACH-000228,-1.0986876057885977
ACH-000231,-1.6036744369019789
ACH-000232,-1.365291956834379
ACH-000233,-1.3201924629364958
ACH-000234,-1.1122275146051324
ACH-000235,-1.3618229113423572
ACH-000237,-1.4622369499083985
ACH-000238,-1.602492127043016
ACH-000242,-1.3746529061917705
ACH-000243,-1.3110667852191331
ACH-000244,-1.3864403791301474
ACH-000246,-1.2668602296811893
ACH-000248,-1.3290298285787197
ACH-000250,-1.2863096470576905
ACH-000251,-1.0625679771867007
ACH-000252,-1.3736318476564973
ACH-000253,-1.305063326604902
ACH-000255,-1.4622225763877736
ACH-000256,-1.3601025266107445
ACH-000257,-1.6297418611109993
ACH-000258,-1.3380200405493083
ACH-000259,-1.6886859511129555
ACH-000260,-1.5085926592640229
ACH-000261,-0.9861094261972744
ACH-000262,-1.395684310694853
ACH-000263,-1.2322632091040997
ACH-000264,-1.5663325503806944
ACH-000265,-1.3419136239723977
ACH-000266,-1.1576206602171213
ACH-000272,-1.4172682878776366
ACH-000274,-1.5455638438760502
ACH-000277,-1.4376845985826052
ACH-000278,-1.5072138045261096
ACH-000279,-1.807366104466985
ACH-000280,-1.3611407254754182
ACH-000281,-1.4080274648230484
ACH-000288,-1.5497452850724551
ACH-000291,-0.8775234383658069
ACH-000293,-1.0185642338026208
ACH-000294,-2.105651657657516
ACH-000295,-1.4126521687881193
ACH-000296,-1.6220754288798065
ACH-000302,-0.39855814640230985
ACH-000304,-1.0772593012565679
ACH-000307,-1.3832274296169371
ACH-000308,-0.6963551456532442
ACH-000310,-1.7128387062035877
ACH-000311,-1.3585256493298394
ACH-000312,-1.4034667046555045
ACH-000315,-1.1678332819935335
ACH-000316,-1.5514188276386438
ACH-000317,-1.9683388940120436
ACH-000318,-1.0616579558791324
ACH-000319,-1.546604615174804
ACH-000320,-1.4755091622876253
ACH-000322,-1.4256724294905134
ACH-000323,-1.347072874318595
ACH-000324,-1.3524099074366465
ACH-000329,-1.3450823762943944
ACH-000330,-1.02234153638211
ACH-000331,-1.2786197279009484
ACH-000332,-1.4226517444540927
ACH-000334,-1.3988387839778702
ACH-000335,-1.4109783045597135
ACH-000336,-1.26929481760733
ACH-000337,-1.3666071242407276
ACH-000338,-1.5243284075819574
ACH-000339,-1.4057294198449808
ACH-000341,-1.6747974082313204
ACH-000348,-1.5223773396199685
ACH-000350,-1.2232449982812703
ACH-000352,-0.8986054570648306
ACH-000356,-1.2863944818066009
ACH-000361,-1.3136093440197532
ACH-000362,-1.4831461802709824
ACH-000363,-1.2423460611403296
ACH-000364,-1.1015125845108042
ACH-000365,-1.5068962064583795
ACH-000366,-1.358189631438972
ACH-000368,-1.6282687169851802
ACH-000374,-1.0973561997070589
ACH-000375,-1.304617773252246
