,SLX4 (84464)
ACH-000004,-0.2354757955431748
ACH-000005,-0.16640425694826003
ACH-000007,-0.14124361831213414
ACH-000009,-0.023527205679295792
ACH-000011,-0.16375699425150322
ACH-000012,-0.2309746283784201
ACH-000013,-0.13266328890380846
ACH-000014,-0.12133945018170128
ACH-000015,-0.2041900291819467
ACH-000017,-0.0708894763771059
ACH-000018,-0.23544955625211506
ACH-000019,-0.286952544323866
ACH-000021,-0.3323022295640096
ACH-000022,-0.13124062856152013
ACH-000025,-0.1916509443143083
ACH-000028,0.006593752668586811
ACH-000030,0.001828016550749703
ACH-000035,-0.2435968358575269
ACH-000036,-0.29173906329635035
ACH-000037,-0.1569082204406599
ACH-000039,-0.2852130770138592
ACH-000040,-0.33901317725451524
ACH-000041,0.02972825704317077
ACH-000042,-0.17659624897950213
ACH-000045,-0.24441194049141085
ACH-000047,-0.2873278191922294
ACH-000052,-0.10269300387941696
ACH-000053,-0.2520512417462815
ACH-000054,-0.2575889530633025
ACH-000055,-0.4505633363939986
ACH-000060,-0.26656394608385103
ACH-000067,-0.15200010898957006
ACH-000070,-0.25265649926879324
ACH-000075,-0.022146694581580192
ACH-000078,-0.21276990590936848
ACH-000082,-0.30422828544323144
ACH-000085,-0.08853524631597788
ACH-000086,-0.1677248167044979
ACH-000087,-0.4507196674185348
ACH-000092,-0.15158706915898787
ACH-000095,-0.18342001076430564
ACH-000097,-0.06176960442444504
ACH-000098,-0.25495313282850285
ACH-000099,-0.17929525801209534
ACH-000108,-0.2746385746186385
ACH-000113,-0.30335665387195004
ACH-000116,-0.24586964504382694
ACH-000118,-0.3451091008642205
ACH-000120,-0.371981438760525
ACH-000123,-0.10698462485859762
ACH-000127,-0.21854543197709755
ACH-000128,-0.031845005419819404
ACH-000132,-0.2106680791833914
ACH-000133,-0.15490973176888614
ACH-000137,-0.10968486484399954
ACH-000138,-0.02623338375237893
ACH-000142,-0.17985374460354792
ACH-000143,-0.00329852483661848
ACH-000146,-0.20837460613513464
ACH-000148,-0.3253031311444489
ACH-000150,-0.4564794292523278
ACH-000152,-0.2359394795559117
ACH-000153,-0.06385764496138258
ACH-000159,-0.1285244612221287
ACH-000160,-0.10188355534917977
ACH-000163,-0.37251274517291905
ACH-000167,-0.2721538786024971
ACH-000168,-0.4710036879322066
ACH-000169,-0.14660764921521152
ACH-000178,-0.2424751704986312
ACH-000183,-0.3485321476669443
ACH-000188,-0.013137092533117128
ACH-000189,-0.4685644717696476
ACH-000190,-0.11758624685598057
ACH-000198,-0.3247015328645492
ACH-000203,0.10569579172118236
ACH-000204,-0.21320407567456368
ACH-000206,-0.1816618033425151
ACH-000207,-0.13584348018225692
ACH-000208,-0.6059225813385516
ACH-000210,-0.35049555299430196
ACH-000211,-0.2295046171389872
ACH-000215,-0.1422771885375848
ACH-000221,-0.02243776655052241
ACH-000222,-0.2545339870212421
ACH-000223,-0.06607838275416349
ACH-000226,-0.2302612319621577
ACH-000227,-0.2539915331281106
ACH-000228,-0.22130292042254066
ACH-000231,-0.3096382115018985
ACH-000232,-0.18873911560648532
ACH-000233,-0.2693758705504737
ACH-000234,-0.05903148704046821
ACH-000235,-0.1484052703595992
ACH-000237,-0.2465831004529813
ACH-000238,-0.16528847897361285
ACH-000242,-0.15508650699971355
ACH-000243,-0.3049225595826039
ACH-000244,-0.4128774692994992
ACH-000246,-0.2303282326399963
ACH-000248,0.11885250325350165
ACH-000250,-0.219126959132241
ACH-000251,-0.2316629687504305
