,POC1A (25886)
ACH-000004,-0.15957082482734072
ACH-000005,-0.3622241411504035
ACH-000007,-0.05343436438070049
ACH-000009,-0.2995804904039447
ACH-000011,-0.10027597096431813
ACH-000012,-0.6971126504627457
ACH-000013,-0.19063213504314286
ACH-000014,-0.33223594580254906
ACH-000015,-0.4445193646895844
ACH-000017,-0.10017629082043616
ACH-000018,-0.4555503479969246
ACH-000019,-0.2495292029438381
ACH-000021,-0.2815996117506453
ACH-000022,-0.3760475460085986
ACH-000025,-0.3112524831523416
ACH-000028,-0.5904334411079692
ACH-000030,-0.3058726190378805
ACH-000035,-0.4911773526659614
ACH-000036,-0.6727945649425943
ACH-000037,-0.2458173513473831
ACH-000039,-0.271552163280355
ACH-000040,-0.3576389289449874
ACH-000041,-0.12460721929242748
ACH-000042,-0.24063323518985405
ACH-000045,-0.4307723344917279
ACH-000047,-0.21143259577946671
ACH-000052,-0.24020858110356585
ACH-000053,-0.28724736165898945
ACH-000054,-0.2522800935796222
ACH-000055,-0.2809473517762991
ACH-000060,-0.13926721125662853
ACH-000067,-0.3785575304187096
ACH-000070,-0.2689492132860255
ACH-000075,-0.4120375425647679
ACH-000078,-0.1288313176816165
ACH-000082,-0.11578217038393725
ACH-000085,-0.09021196109912036
ACH-000086,-0.27997352143904136
ACH-000087,-0.2857781280074673
ACH-000092,-0.17106176858000052
ACH-000095,-0.23124966337023306
ACH-000097,-0.07322194730492605
ACH-000098,-0.3222983043301459
ACH-000099,-0.2432421969376375
ACH-000108,-0.4144314939285995
ACH-000113,-0.3545132215008961
ACH-000116,-0.1607797251416415
ACH-000118,-0.3916162222900871
ACH-000120,-0.2914212674125753
ACH-000123,-0.34947708531978244
ACH-000127,-0.7054356941534792
ACH-000128,-0.6368551619514461
ACH-000132,-0.2601133981039472
ACH-000133,-0.2636686927618418
ACH-000137,-0.19207532576890649
ACH-000138,-0.2950185171341634
ACH-000142,-0.3933029064545866
ACH-000143,-0.1769505408769513
ACH-000146,-0.33708507217718475
ACH-000148,-0.2300440635558449
ACH-000150,-0.4632901550709438
ACH-000152,-0.4136539438203101
ACH-000153,-0.4250028621859368
ACH-000159,-0.5152321649433663
ACH-000160,-0.2736997632188952
ACH-000163,-0.3320350095539022
ACH-000167,-0.5161572252323825
ACH-000168,-0.18410988569654085
