,MGRN1 (23295)
ACH-000004,-0.09618427261838113
ACH-000005,-0.04263874251754292
ACH-000007,-0.0516146767061677
ACH-000009,0.07099600246289522
ACH-000011,-0.09506525283632446
ACH-000012,0.05400560451033203
ACH-000013,0.016405114764032513
ACH-000014,-0.01073449983297613
ACH-000015,-0.11036665761654676
ACH-000017,-0.13215486409475094
ACH-000018,-0.12559772188619905
ACH-000019,-0.007529106668220852
ACH-000021,-0.2406936287157525
ACH-000022,0.10710624517161396
ACH-000025,-0.4636499879392525
ACH-000028,-0.05431766718781971
ACH-000030,0.16375658549855754
ACH-000035,0.17615612090932334
ACH-000036,-0.2148476413760197
ACH-000037,-0.07630077496100332
ACH-000039,0.2387807839335277
ACH-000040,-0.07291774441505525
ACH-000041,0.07540919458964516
ACH-000042,0.02695921250251453
ACH-000045,-0.07502062421764089
ACH-000047,-0.22567193674301306
ACH-000052,-0.09637003130444168
ACH-000053,-0.02025946109219241
ACH-000054,-0.0024844789103701
ACH-000055,0.05313847977476476
ACH-000060,-0.011609952792279398
ACH-000067,-0.1849244964884441
ACH-000070,-0.02202393101732726
ACH-000075,-0.14895971878886854
ACH-000078,-0.004982830850756949
ACH-000082,-0.06368700072501901
ACH-000085,-0.15437347183206485
ACH-000086,0.03368683506691512
ACH-000087,-0.166695505660686
ACH-000092,-0.3621033351057792
ACH-000095,-0.060577853926854684
ACH-000097,-0.03842620542912646
ACH-000098,-0.4416418980658293
ACH-000099,0.0984024493624532
ACH-000108,-0.1832938415466672
ACH-000113,-0.050214022580241664
ACH-000116,-0.12094010991399705
ACH-000118,-0.05536999958819073
ACH-000120,-0.05352714570914804
ACH-000123,-0.045677985182504
ACH-000127,-0.110604427790541
ACH-000128,0.058829965801293536
ACH-000132,0.0030797360112248978
ACH-000133,-0.018367909021145074
ACH-000137,-0.04219810871031561
ACH-000138,-0.20307081659576956
ACH-000142,-0.07898368744246531
ACH-000143,0.0058857781120108974
ACH-000146,-0.06695335687112411
ACH-000148,-0.15853426687946698
ACH-000150,-0.4140889299046872
ACH-000152,-0.0012596322907308447
ACH-000153,0.19019371150224976
ACH-000159,0.03133264026700087
ACH-000160,0.10112113484136476
ACH-000163,-0.09190222043477103
ACH-000167,0.2643867592917585
ACH-000168,0.07675228967320284
ACH-000169,-0.023770262100909774
ACH-000178,-0.031593261125281234
ACH-000183,0.095949523263735
ACH-000188,-0.006383841682356325
ACH-000189,-0.1889444335330901
ACH-000190,-0.06218556449913984
ACH-000198,0.036892920754998566
ACH-000203,0.08783129996390747
ACH-000204,0.012848888761503531
