,OR4K13 (390433)
ACH-000004,0.020240030749586208
ACH-000005,-0.03390281311381979
ACH-000007,-0.04993003942420269
ACH-000009,-0.09243930291502342
ACH-000011,-0.11882285123091035
ACH-000012,-0.14535757312813485
ACH-000013,-0.0777423581370191
ACH-000014,-0.07979788262805339
ACH-000015,-0.13374883095830525
ACH-000017,-0.12347609896848137
ACH-000018,0.017280921707515277
ACH-000019,0.031364657184375526
ACH-000021,-0.13819646853840803
ACH-000022,-0.12166940647215907
ACH-000025,-0.12321703162125253
ACH-000028,-0.11414398408735026
ACH-000030,-0.13225613770741745
ACH-000035,-0.12859086283915394
ACH-000036,-0.024337594542744697
ACH-000037,-0.07117987288090617
ACH-000039,-0.13838308442778685
ACH-000040,-0.06956799930972526
ACH-000041,-0.002002273862210504
ACH-000042,-0.01047208891843322
ACH-000045,-0.10377967013740988
ACH-000047,-0.14614449483863226
ACH-000052,-0.04510089915650218
ACH-000053,-0.16368556441649196
ACH-000054,-0.07307969886885009
ACH-000055,-0.04284974234994993
ACH-000060,-0.1496365512695013
ACH-000067,-0.07777448094892707
ACH-000070,-0.08360966989988894
ACH-000075,-0.29473988465304873
ACH-000078,-0.04568990131161061
ACH-000082,-0.09318734853875987
ACH-000085,0.10857407738783782
ACH-000086,-0.12431643510099792
ACH-000087,-0.036033729155373416
ACH-000092,-0.2353065283013429
ACH-000095,-0.2194151285330612
ACH-000097,-0.22188119149765406
ACH-000098,-0.09307339981908233
ACH-000099,-0.1045028978020702
ACH-000108,-0.0917602774660551
ACH-000113,-0.21143431182627184
ACH-000116,-0.1461943923153985
ACH-000118,-0.07507464549888285
ACH-000120,-0.19499737049992025
ACH-000123,-0.2121337932344389
ACH-000127,-0.18475273730472164
ACH-000128,-0.07363630730078237
ACH-000132,0.04476127422898658
ACH-000133,-0.22168424155130131
ACH-000137,-0.05358441983012651
ACH-000138,-0.011698189229931835
ACH-000142,0.03205273924189592
ACH-000143,-0.09241041070232528
ACH-000146,-0.21825336822249716
ACH-000148,-0.11801625654852872
ACH-000150,-0.0004835094153147458
ACH-000152,-0.10093519858775203
ACH-000153,0.13859691114245298
ACH-000159,-0.14369768426544546
ACH-000160,-0.3038162880005513
ACH-000163,-0.15396397182104296
ACH-000167,0.19279482160304293
ACH-000168,-0.1807417409763431
ACH-000169,-0.07598136378725402
ACH-000178,-0.0821794592131949
ACH-000183,-0.1901022725656388
ACH-000188,-0.09660458997791364
ACH-000189,0.008399540630553625
ACH-000190,-0.23329304268963624
ACH-000198,-0.1895792137291908
ACH-000203,-0.4082113083515391
ACH-000204,-0.006413006221937381
ACH-000206,0.0004260400507774548
ACH-000207,-0.18228120856476365
ACH-000208,-0.19823285061845053
ACH-000210,-0.0921723395906532
ACH-000211,-0.22922355823701696
ACH-000215,-0.13527234929207374
ACH-000221,-0.2247017697942431
ACH-000222,-0.206250590272524
ACH-000223,-0.15887261892005214
ACH-000226,-0.22393146226428667
ACH-000227,-0.011635765338089936
ACH-000228,-0.13684170824909964
ACH-000231,-0.15198052582548116
ACH-000232,-0.15736645565144936
ACH-000233,-0.1072775998916921
ACH-000234,-0.0731314437119619
ACH-000235,-0.09486140969780407
ACH-000237,-0.022313256878002303
ACH-000238,-0.11622980506035832
ACH-000242,-0.11739691598517855
ACH-000243,-0.08476113230567743
ACH-000244,-0.0962623309429933
ACH-000246,-0.14768827017724526
ACH-000248,-0.11719743648220075
ACH-000250,-0.15473838369001916
ACH-000251,-0.0169869002200271
ACH-000252,-0.17732344716299892
ACH-000253,-0.1200729365164994
ACH-000255,-0.0991259061484409
ACH-000256,0.015723879870899786
ACH-000257,-0.4874672996976807
ACH-000258,-0.17911033113507513
ACH-000259,-0.02664420446754937
ACH-000260,-0.09431527590934648
ACH-000261,-0.17877296525152014
ACH-000262,-0.38924579028972056
ACH-000263,-0.02638421217637531
ACH-000264,-0.14114653425427734
ACH-000265,-0.23781178941868816
ACH-000266,0.01092082949137382
ACH-000272,-0.2105651262632305
ACH-000274,-0.031795474128988574
ACH-000277,0.017500013560996272
ACH-000278,-0.1341131884582112
ACH-000279,-0.1291515659568888
ACH-000280,-0.1167389057290586
ACH-000281,0.06393821247712664
ACH-000288,-0.04809743150625792
ACH-000291,-0.14300377965856745
ACH-000293,0.044067777039214
ACH-000294,-0.17751651168111218
ACH-000295,-0.09252676790630272
ACH-000296,-0.05411630620500701
ACH-000302,-0.1267989919053664
ACH-000304,-0.007032416858210433
ACH-000307,-0.05323141080397124
ACH-000308,-0.04581921007421829
ACH-000310,0.027622519048363884
ACH-000311,-0.0038837965386204366
ACH-000312,-0.07441447195417425
ACH-000315,0.04315267879020895
ACH-000316,-0.07171411831489667
ACH-000317,-0.2986262664098287
ACH-000318,-0.28149786192077314
ACH-000319,-0.22424597480174835
ACH-000320,-0.05749373544584504
ACH-000322,-0.07022334493958625
ACH-000323,-0.2033297329338142
ACH-000324,-0.2393333890353341
ACH-000329,0.00366324759121456
ACH-000330,-0.0733104279855722
ACH-000331,-0.06329619119962672
ACH-000332,-0.0637093824747823
ACH-000334,-0.026675498376453874
ACH-000335,-0.10275722669925512
ACH-000336,-0.22992629365031345
ACH-000337,-0.10543374137033636
ACH-000338,-0.3480994886541531
ACH-000339,-0.05033294015479239
ACH-000341,-0.21595990784428
ACH-000348,-0.1717876087541708
ACH-000350,-0.08592160559046129
ACH-000352,-0.2367509839982487
ACH-000356,-0.3939766238849282
ACH-000361,-0.09509990567229773
ACH-000362,-0.10308029634328154
ACH-000363,-0.02343173037282935
ACH-000364,0.019356418085506776
ACH-000365,-0.10362495892882154
ACH-000366,-0.07759030674309714
ACH-000368,-0.10057197554967462
ACH-000374,-0.050676934714069415
ACH-000375,-0.04103150319241138
ACH-000376,-0.1467749388334551
ACH-000381,-0.08141574539631677
ACH-000383,-0.15033018882434332
ACH-000387,-0.11310483173337718
ACH-000389,0.007714263885218615
ACH-000390,-0.12252339024976418
ACH-000393,-0.243756519714404
ACH-000395,-0.1524331518377156
ACH-000396,-0.10396749278521512
ACH-000397,-0.11453661358677562
ACH-000401,-0.15044044269858586
ACH-000402,-0.16084398277176176
ACH-000403,-0.06226329183010655
ACH-000404,-0.4864318574991188
ACH-000406,-0.11729289163057773
ACH-000407,-0.16275892893883862
ACH-000408,-0.09191581200909753
ACH-000410,-0.12476070396992285
ACH-000411,-0.22857914121416034
ACH-000414,-0.15346839462539374
ACH-000415,-0.16543939107051975
ACH-000416,-0.07987222268975172
ACH-000420,-0.272948945589766
ACH-000421,-0.14730502060822293
ACH-000424,-0.3266857532221593
ACH-000425,-0.120760952844124
ACH-000426,-0.1959996357818974
ACH-000427,-0.08654570416298718
ACH-000433,-0.11051359320243244
ACH-000435,-0.0937787140298976
ACH-000436,-0.05857591329451845
ACH-000444,-0.062121339826677925
ACH-000445,-0.09305665671248256
ACH-000448,-0.2026361205030768
ACH-000450,-0.0032924620621084142
ACH-000452,-0.036530730483809434
ACH-000454,-0.2398947973099471
ACH-000458,-0.09687666205709583
ACH-000459,-0.12632377349287818
ACH-000460,-0.19840089562821991
ACH-000461,-0.14987768040921667
ACH-000463,-0.06843695780839806
ACH-000464,0.02874927993995085
ACH-000466,-0.17397511132816335
ACH-000467,-0.10129216533751732
ACH-000468,0.052006433330072
ACH-000469,0.0006155234036333932
ACH-000470,0.0685787191893236
ACH-000471,-0.15547111753483386
ACH-000472,-0.14887483606472224
ACH-000473,-0.19033462315060667
ACH-000475,-0.1823227979983848
ACH-000476,-0.09760999705262223
ACH-000477,-0.29889268155961685
ACH-000479,-0.16081989072576414
ACH-000480,-0.16509136414860773
ACH-000481,-0.35053282845041833
ACH-000483,-0.14234183188658106
ACH-000484,-0.15657864219424042
ACH-000485,-0.09416401610298836
ACH-000486,-0.28358609584166505
ACH-000487,-0.08116725908250745
ACH-000488,-0.051604068547972726
ACH-000490,-0.08979218548139037
ACH-000491,-0.13893519473402502
ACH-000495,-0.2330363718209009
