,TRAIP (10293)
ACH-000004,-0.9683073456776348
ACH-000005,-0.6458484650655938
ACH-000007,-0.8571909268650696
ACH-000009,-0.7002496858361698
ACH-000011,-0.8567761456844261
ACH-000012,-0.7040185777044023
ACH-000013,-0.9380773476871684
ACH-000014,-0.8731448126823635
ACH-000015,-1.1453328837941514
ACH-000017,-0.5468381128148435
ACH-000018,-0.9623864518128484
ACH-000019,-0.758653098289324
ACH-000021,-1.1848970020213596
ACH-000022,-0.6920727223933429
ACH-000025,-0.8186211237047611
ACH-000028,-1.0445423854310676
ACH-000030,-0.6006480828866355
ACH-000035,-0.8692309325811173
ACH-000036,-1.0308950153488623
ACH-000037,-0.6635738230361728
ACH-000039,-0.748441372098535
ACH-000040,-0.9236470717516604
ACH-000041,-0.9036375896602772
ACH-000042,-0.6397823747948824
ACH-000045,-0.7458652425131899
ACH-000047,-1.2701915920374511
ACH-000052,-1.176205957059228
ACH-000053,-0.9546584338478784
ACH-000054,-0.7221275359904787
ACH-000055,-0.8805268305296085
ACH-000060,-0.9330308426461841
ACH-000067,-0.9548921491885352
ACH-000070,-0.946374658885846
ACH-000075,-0.7805312811437806
ACH-000078,-0.7806788163908592
ACH-000082,-0.8728445510656737
ACH-000085,-0.6139002934405547
ACH-000086,-0.6944862763398036
ACH-000087,-1.0799902180824852
ACH-000092,-1.0783217084079917
ACH-000095,-0.8484161798214667
ACH-000097,-0.9405345953747504
ACH-000098,-0.7642936726561962
ACH-000099,-0.9079436653574364
ACH-000108,-0.8195541602537539
ACH-000113,-0.8436724196892182
ACH-000116,-1.2437153827220946
ACH-000118,-0.9994458261478448
ACH-000120,-0.5537077014493631
ACH-000123,-0.9812059273142392
ACH-000127,-0.9394111815469136
ACH-000128,-0.7152700887415352
ACH-000132,-0.8871463823701744
ACH-000133,-1.1936288918113498
ACH-000137,-0.7994730193163748
ACH-000138,-0.9252651780733036
ACH-000142,-0.5883434104996514
ACH-000143,-0.8838341485540915
ACH-000146,-1.0022908739611258
ACH-000148,-1.0214621331457343
ACH-000150,-1.062350785967999
ACH-000152,-1.0858910608661734
ACH-000153,-1.0888621971516357
ACH-000159,-0.8033863714422168
ACH-000160,-1.2527310148874606
