,TROAP (10024)
ACH-000004,-0.09633843142636862
ACH-000005,-0.059935235404449526
ACH-000007,-0.2620176015395108
ACH-000009,-0.2797981069942082
ACH-000011,-0.27614310615095666
ACH-000012,-0.2574704317397514
ACH-000013,-0.15713423240661498
ACH-000014,-0.35518623335729904
ACH-000015,-0.1887562358523188
ACH-000017,-0.24138112187316274
ACH-000018,-0.1250707564190294
ACH-000019,-0.2408022173274401
ACH-000021,-0.28231018596313
ACH-000022,-0.04456789823345832
ACH-000025,-0.28265922942165805
ACH-000028,-0.45113069456665394
ACH-000030,-0.2374060223612245
ACH-000035,-0.3340412797179681
ACH-000036,-0.10619291144231473
ACH-000037,-0.3829454021288685
ACH-000039,-0.4014301905425722
ACH-000040,-0.10043853392086316
ACH-000041,-0.20380996186797148
ACH-000042,-0.09246016066363873
ACH-000045,-0.1901545429496031
ACH-000047,-0.2850472572777336
ACH-000052,-0.03445848857795512
ACH-000053,-0.13819705041781555
ACH-000054,-0.3630853293423352
ACH-000055,-0.5797016806378799
ACH-000060,-0.02503539943993742
ACH-000067,-0.3995770721795924
ACH-000070,-0.29398503394109865
ACH-000075,-0.2398021663052375
ACH-000078,-0.1965823740097228
ACH-000082,-0.35275909210875345
ACH-000085,-0.11121792415857568
ACH-000086,-0.4233426861162756
ACH-000087,-0.07218448927269328
ACH-000092,-0.30582514974312497
ACH-000095,-0.4120220990928096
ACH-000097,-0.19539174402040302
ACH-000098,-0.1108092241996506
ACH-000099,-0.2000026179889152
ACH-000108,-0.11091931048450264
ACH-000113,-0.2474797220451871
ACH-000116,-0.38528917006476654
ACH-000118,-0.3311714543112754
ACH-000120,-0.2266480757845491
ACH-000123,-0.05737757583316608
ACH-000127,-0.2300270379782623
ACH-000128,-0.22915240446034724
ACH-000132,-0.0895374456687021
ACH-000133,-0.2807607679792155
ACH-000137,-0.4113248064546406
ACH-000138,-0.1466516841503009
ACH-000142,-0.17654139390458576
ACH-000143,-0.05827571658121865
ACH-000146,-0.21649448304365068
ACH-000148,-0.3375586598911408
ACH-000150,-0.5050279940869763
ACH-000152,-0.2791990000152547
ACH-000153,-0.24074831741711064
ACH-000159,-0.21122479899261126
ACH-000160,-0.13588151616532002
ACH-000163,-0.1322254466822071
ACH-000167,-0.5490955526649495
ACH-000168,-0.1038770098671648
ACH-000169,-0.08798982493298886
ACH-000178,-0.19953130985209336
ACH-000183,-0.3678109593225041
ACH-000188,-0.36160175636305614
ACH-000189,-0.2200464398189491
ACH-000190,-0.3408307578972711
ACH-000198,-0.35301320920131457
ACH-000203,-0.5810872850017073
ACH-000204,-0.2161903480095829
ACH-000206,-0.08602078092529156
ACH-000207,-0.24816557401851874
ACH-000208,-0.25291583810961543
ACH-000210,-0.3274078500565776
ACH-000211,-0.2134306056239671
ACH-000215,-0.21577283905936329
ACH-000221,-0.4240229352876715
ACH-000222,-0.008242631413466985
ACH-000223,-0.293060622351162
ACH-000226,-0.39399105045983
ACH-000227,-0.17923070388873286
ACH-000228,-0.19168577061921105
ACH-000231,-0.2036335977952152
ACH-000232,-0.17425875951569744
ACH-000233,-0.2044989588546582
ACH-000234,-0.16013641435627834
ACH-000235,-0.1984602506075646
ACH-000237,-0.2702843839753309
ACH-000238,-0.26613257103527865
ACH-000242,-0.1726646754589283
ACH-000243,-0.1985678144046152
ACH-000244,-0.20300010613888725
ACH-000246,-0.12935010377433204
ACH-000248,-0.38258329599613417
ACH-000250,-0.04381466014077303
ACH-000251,-0.0843275611854986
ACH-000252,-0.20282781821657625
ACH-000253,-0.24708985430460875
ACH-000255,-0.2257294481135787
ACH-000256,-0.17689109385372015
ACH-000257,-0.11798129601077645
ACH-000258,-0.04911661319885169
ACH-000259,-0.1089236535478839
ACH-000260,-0.28304837107823244
ACH-000261,-0.4487419106462345
ACH-000262,-0.1295245222707634
ACH-000263,-0.17625634102558338
ACH-000264,-0.32923828301875296
ACH-000265,-0.1873700780345645
ACH-000266,-0.2311160096704699
ACH-000272,-0.046358316845515335
ACH-000274,-0.08086578065853643
ACH-000277,-0.1283847585871136
ACH-000278,-0.4236772731771045
ACH-000279,-0.24953855604058625
ACH-000280,-0.21614618192961432
ACH-000281,-0.16503990742200075
ACH-000288,-0.3185191780582509
ACH-000291,-0.08233519629785398
ACH-000293,-0.4330491065751997
ACH-000294,-0.04947132394368276
ACH-000295,-0.3199449426504094
ACH-000296,-0.41903763349910345
