,CHRND (1144)
ACH-000004,-0.18839359723448335
ACH-000005,-0.3096015006665373
ACH-000007,-0.24251277504518665
ACH-000009,-0.36176571062499424
ACH-000011,-0.23004435245754346
ACH-000012,-0.3365339221412684
ACH-000013,-0.2897404275366298
ACH-000014,-0.25920379997932913
ACH-000015,-0.2442986125265621
ACH-000017,-0.26103372050627466
ACH-000018,-0.304059624578032
ACH-000019,0.010529908494662288
ACH-000021,-0.28898751375190385
ACH-000022,-0.3406769071471375
ACH-000025,-0.19594176878854505
ACH-000028,-0.17558018114412766
ACH-000030,-0.3357221643914114
ACH-000035,-0.33189731717058546
ACH-000036,-0.30068518755834506
ACH-000037,-0.30798515547621996
ACH-000039,-0.3827033471160631
ACH-000040,-0.3098026530760463
ACH-000041,-0.18298456633021307
ACH-000042,-0.3914824975306708
ACH-000045,-0.4202002466071781
ACH-000047,-0.32019175817069345
ACH-000052,-0.27169205516344785
ACH-000053,-0.2909078647129171
ACH-000054,-0.2566970205628485
ACH-000055,-0.2190691306341695
ACH-000060,-0.18204992459414315
ACH-000067,-0.2759018483224344
ACH-000070,-0.08271932051896015
ACH-000075,-0.45028496418533215
ACH-000078,-0.3909469154740048
ACH-000082,-0.15935723017441447
ACH-000085,-0.2811264191082551
ACH-000086,-0.1829032226854535
ACH-000087,-0.07038197745708373
ACH-000092,-0.31991729235534905
ACH-000095,-0.41161277559342974
ACH-000097,-0.29326944134502075
ACH-000098,-0.394131977610454
ACH-000099,-0.2556103117861363
ACH-000108,-0.4141880475947682
ACH-000113,-0.3160738664783552
ACH-000116,-0.2337580117001993
ACH-000118,-0.19015845562414946
ACH-000120,-0.2566493777250075
ACH-000123,-0.1950049490962948
ACH-000127,-0.186030629613555
ACH-000128,-0.4525337004671899
ACH-000132,-0.3630001520640038
ACH-000133,-0.25435842553451216
ACH-000137,-0.14826794249650585
ACH-000138,-0.2868707636108999
ACH-000142,-0.1772393453697311
ACH-000143,-0.4100978878810204
ACH-000146,-0.2010294245040476
ACH-000148,-0.4340852572483549
ACH-000150,-0.36810593773085176
ACH-000152,-0.22106514337736144
ACH-000153,-0.4635520636897256
ACH-000159,-0.2636883024992126
ACH-000160,-0.34421751805096923
ACH-000163,-0.3407870436337868
ACH-000167,-0.5609519420817857
ACH-000168,-0.24967679076109625
ACH-000169,-0.28095141660449224
ACH-000178,-0.20165595991342472
ACH-000183,-0.31354597389209565
ACH-000188,-0.20673027935468347
