,HIST1H2AL (8332)
ACH-000004,0.07559003464563263
ACH-000005,0.09300207188814227
ACH-000007,0.14690116562143535
ACH-000009,-0.07302345081142016
ACH-000011,-0.21377296304969046
ACH-000012,-0.06007681622887155
ACH-000013,0.003642504424812756
ACH-000014,-0.17019049540966827
ACH-000015,0.07180082291181576
ACH-000017,-0.17120799952303756
ACH-000018,0.1545212184023904
ACH-000019,-0.1423014416032281
ACH-000021,0.009472286467370668
ACH-000022,-0.06794745047089408
ACH-000025,-0.008784676583863392
ACH-000028,-0.004531877248956722
ACH-000030,-0.037083118339532685
ACH-000035,-0.18499956226973052
ACH-000036,-0.1740172474139188
ACH-000037,-0.3483640379665587
ACH-000039,-0.08051023003389705
ACH-000040,-0.10200609188371557
ACH-000041,-0.013455185167694866
ACH-000042,-0.008872579021777165
ACH-000045,-0.17907263052938382
ACH-000047,-0.05718249601241805
ACH-000052,-0.1544438539115079
ACH-000053,-0.026360453181554597
ACH-000054,-0.21090468880916435
ACH-000055,0.08153221067394106
ACH-000060,-0.19616446206657856
ACH-000067,-0.2101670353858353
ACH-000070,-0.01544445189839892
ACH-000075,-0.014549145184535452
ACH-000078,-0.1507221247775236
ACH-000082,-0.14688126433965784
ACH-000085,-0.2376904366339301
ACH-000086,-0.05401863260073377
ACH-000087,-0.029398792875518158
ACH-000092,-0.018126500396950327
ACH-000095,-0.10319778284354306
ACH-000097,-0.004486263419622186
ACH-000098,-0.05588328685187585
ACH-000099,-0.10654948962063307
ACH-000108,-0.012971336222912343
ACH-000113,-0.05653559405837282
ACH-000116,-0.0474182734212363
ACH-000118,-0.056414596484873285
ACH-000120,0.041224442926963284
ACH-000123,-0.10564098573398734
ACH-000127,-0.0794523349099847
ACH-000128,-0.07838285603821643
ACH-000132,-0.0523880602270785
ACH-000133,-0.1352428984798357
ACH-000137,0.03408619252872095
ACH-000138,-0.10457548435121627
ACH-000142,0.013870101906496641
ACH-000143,-0.036638166797883946
ACH-000146,-0.16089741014813586
ACH-000148,0.04150146725548076
ACH-000150,0.10920923863452713
ACH-000152,-0.0684050286390882
ACH-000153,-0.08114674248953559
ACH-000159,-0.04710364524904512
ACH-000160,-0.09987138750219507
ACH-000163,0.1460342492106166
ACH-000167,-0.17776412108074607
ACH-000168,-0.13722947895302834
ACH-000169,0.06947505702958358
ACH-000178,-0.09541597596708692
ACH-000183,-0.10291276058167334
ACH-000188,-0.1390171790138066
ACH-000189,0.05354373673996814
ACH-000190,-0.13437833431494214
ACH-000198,-0.30230261749033466
ACH-000203,-0.09292003315927752
ACH-000204,0.2078684201071752
ACH-000206,-0.4619294326519556
ACH-000207,-0.09040918872364716
ACH-000208,-0.22347196214076007
ACH-000210,-0.18021718492205727
ACH-000211,-0.04547385654218823
ACH-000215,0.003844044618288229
ACH-000221,0.1742033035707879
ACH-000222,-0.039491892900334
ACH-000223,-0.2619716609553471
ACH-000226,-0.13301647878739556
ACH-000227,-0.04296203168068305
ACH-000228,0.027834687005256542
ACH-000231,-0.12448168306553027
ACH-000232,-0.0006975626964607402
ACH-000233,-0.12008157554200745
ACH-000234,-0.09652064128367273
ACH-000235,-0.06425104416721228
ACH-000237,-0.18605559120451445
ACH-000238,0.07779582541347277
ACH-000242,-0.1070956027215702
ACH-000243,-0.04989026750843197
ACH-000244,0.08120340622796028
ACH-000246,-0.08091848049899046
ACH-000248,-0.032471711070675896
ACH-000250,-0.136718320378767
ACH-000251,-0.08928265803078883
ACH-000252,-0.32194538244418186
ACH-000253,-0.0036192923377473905
ACH-000255,0.027045305860238983
ACH-000256,0.033792207538690965
ACH-000257,-0.2264194315266608
ACH-000258,0.07213695101088155
ACH-000259,-0.07422088848978624
ACH-000260,-0.05658888782631879
ACH-000261,-0.05012281953455108
ACH-000262,-0.07700407584483138
ACH-000263,-0.026308104493234584
ACH-000264,-0.06226290387849673
ACH-000265,-0.031049995375644818
ACH-000266,-0.06952027436871798
ACH-000272,-0.10064304514011398
ACH-000274,-0.07542000247867621
ACH-000277,-0.07116055363496575
ACH-000278,-0.1717290918368203
ACH-000279,-0.10659605874594072
ACH-000280,-0.14601844721957585
ACH-000281,-0.07861221760439446
ACH-000288,-0.06632974892816737
ACH-000291,0.06382742727305832
ACH-000293,0.0825332256952518
ACH-000294,-0.045077754791900314
ACH-000295,-0.2754600449753546
ACH-000296,0.014279374153148337
ACH-000302,-0.11530019631857485
ACH-000304,-0.3213207992915864
ACH-000307,-0.02793544332041386
ACH-000308,-0.10696221795107896
ACH-000310,-0.20821899472159686
ACH-000311,-0.08110097455009839
ACH-000312,-0.006845732888426874
ACH-000315,0.09902465922768157
ACH-000316,-0.13585085757242238
ACH-000317,-0.17283388144110054
ACH-000318,-0.14287673443619248
ACH-000319,-0.09713081329212243
ACH-000320,-0.1951120304810417
ACH-000322,-0.14600409248221846
ACH-000323,-0.05444551057439248
ACH-000324,-0.05207671158476685
ACH-000329,-0.15188976498632406
ACH-000330,0.14829336842395216
ACH-000331,-0.2278947044601211
ACH-000332,-0.05495846905687832
ACH-000334,-0.006620947990382479
ACH-000335,-0.1940215668720723
ACH-000336,-0.16442044912248374
ACH-000337,-0.11535467203561912
ACH-000338,0.18706379155365135
ACH-000339,-0.10067718110644197
ACH-000341,-0.029009183581070238
ACH-000348,-0.1754741345214077
ACH-000350,0.009936668984532044
ACH-000352,0.08073282821548038
ACH-000356,-0.0883013091479423
ACH-000361,-0.26690450891882234
ACH-000362,-0.3257824862331673
ACH-000363,-0.02108875752855171
ACH-000364,-0.10088542740237356
ACH-000365,0.0010593937405996175
ACH-000366,-0.041120061295124334
ACH-000368,-0.19220694293209625
ACH-000374,-0.14367288739557846
ACH-000375,0.06480971634065938
ACH-000376,-0.058994055469793014
ACH-000381,-0.2359461312033658
