,GARS (2617)
ACH-000004,-0.9728125946843468
ACH-000005,-1.2289431262831996
ACH-000007,-0.6070522475697337
ACH-000009,-0.7681003925251713
ACH-000011,-0.7131513370143541
ACH-000012,-0.8862550510969124
ACH-000013,-1.0593681350919948
ACH-000014,-1.0029704405158884
ACH-000015,-1.0129893481376355
ACH-000017,-0.7576517527629674
ACH-000018,-1.0272062728840885
ACH-000019,-0.7249930732278794
ACH-000021,-0.8273829691579435
ACH-000022,-0.8889184940442791
ACH-000025,-0.8393241811901216
ACH-000028,-0.801356892312386
ACH-000030,-0.7709669602551624
ACH-000035,-1.0345280945687636
ACH-000036,-0.7460316097130039
ACH-000037,-0.2703789874438423
ACH-000039,-1.0382369898661967
ACH-000040,-0.9468408744437108
ACH-000041,-1.2262714784956503
ACH-000042,-0.8676988570108679
ACH-000045,-0.8691822194381389
ACH-000047,-0.8546975898088148
ACH-000052,-0.8901204842452003
ACH-000053,-0.9359170796786233
ACH-000054,-0.8692824539724324
ACH-000055,-0.9536416862335814
ACH-000060,-0.9232731593345191
ACH-000067,-0.9454609915763792
ACH-000070,-0.9919740665935352
ACH-000075,-0.9179637535792304
ACH-000078,-0.8617759954195102
ACH-000082,-1.183825295732305
ACH-000085,-0.8853041673717114
ACH-000086,-0.8029117483554784
ACH-000087,-0.9755745350455152
ACH-000092,-0.7395322362781915
ACH-000095,-0.8659055372800172
ACH-000097,-0.9114845867239348
ACH-000098,-0.9437290348710698
ACH-000099,-0.8078362650615735
ACH-000108,-0.802187517607457
ACH-000113,-0.7586886397519862
ACH-000116,-1.0327045655336675
ACH-000118,-0.8916125307499032
ACH-000120,-1.0732006711252
ACH-000123,-0.8946862095160237
ACH-000127,-1.0032941931508534
ACH-000128,-1.1509280035764344
ACH-000132,-0.8650764581295042
ACH-000133,-0.8063475496614656
ACH-000137,-0.7571585620176619
ACH-000138,-1.0151869567874563
ACH-000142,-0.7061987693625136
ACH-000143,-0.8001530063726568
ACH-000146,-0.8940630277333531
ACH-000148,-1.0645918165688308
ACH-000150,-0.780878289561879
ACH-000152,-0.8547604531590438
ACH-000153,-1.056884149803058
ACH-000159,-0.7237610756895414
ACH-000160,-1.3419129723306351
ACH-000163,-1.0034135399447621
ACH-000167,-1.7150402125499309
ACH-000168,-0.7820750228397015
ACH-000169,-0.8235540423011498
ACH-000178,-0.7964895233761288
ACH-000183,-0.6121233330287256
ACH-000188,-0.7971885167783772
ACH-000189,-0.7108085169160421
ACH-000190,-0.9698905173540614
ACH-000198,-0.7544926696272587
ACH-000203,-0.7086794626232684
ACH-000204,-0.9489536938717432
ACH-000206,-1.166255471851963
ACH-000207,-1.0436587141437308
ACH-000208,-0.9493913823329434
ACH-000210,-0.8913066817808745
ACH-000211,-0.9250278947682752
ACH-000215,-0.7497472254460409
ACH-000221,-0.9876326655133721
ACH-000222,-0.921783794234426
ACH-000223,-0.9517175970820928
ACH-000226,-0.7412229435555265
ACH-000227,-0.7397819999798706
ACH-000228,-1.0752499538537443
ACH-000231,-0.7908540563719316
ACH-000232,-0.9008756549032362
ACH-000233,-0.9341058424754414
ACH-000234,-0.9323194272578694
ACH-000235,-0.9281814215383948
ACH-000237,-0.8406358463011273
ACH-000238,-1.030589022961754
ACH-000242,-1.3504707876447082
ACH-000243,-0.8500060659981074
ACH-000244,-0.9530617181830046
ACH-000246,-0.9232409533710138
ACH-000248,-0.886243581063125
ACH-000250,-0.8393754545183585
ACH-000251,-0.8078945964338319
ACH-000252,-1.0066721662786515
ACH-000253,-0.8658952611262996
ACH-000255,-0.6363110167616322
ACH-000256,-0.8438148186578962
ACH-000257,-1.0715049573844284
ACH-000258,-0.6593644334543277
ACH-000259,-0.8882774807268836
ACH-000260,-0.8659473015611391
ACH-000261,-0.7397144400343739
ACH-000262,-0.5411041104888732
ACH-000263,-0.7647273955756029
ACH-000264,-0.9034457364155049
ACH-000265,-0.9458155878550784
ACH-000266,-0.8442791604653586
ACH-000272,-0.8215668237129109
ACH-000274,-0.934775928213812
ACH-000277,-0.9425490813692056
ACH-000278,-0.8525706365376772
ACH-000279,-0.8985909445667459
ACH-000280,-0.9111783148179974
ACH-000281,-0.8095773384090169
ACH-000288,-0.980342635225106
ACH-000291,-1.1004040593601945
ACH-000293,-0.7577260358968793
ACH-000294,-1.1065314172134166
ACH-000295,-0.9750114034446551
ACH-000296,-0.7840709884830959
ACH-000302,-0.9726731407184688
ACH-000304,-0.6738139727334442
ACH-000307,-0.7825975172451493
ACH-000308,-0.9691453525874668
ACH-000310,-0.9874595216559151
ACH-000311,-0.8054327209737812
ACH-000312,-1.1145715002290673
ACH-000315,-0.7307647755649174
ACH-000316,-0.8117078680453148
ACH-000317,-0.7019222785597092
ACH-000318,-0.8929031261470542
ACH-000319,-0.7183157338739258
ACH-000320,-1.0903959341924607
ACH-000322,-0.9468878520652212
ACH-000323,-0.8865556613399171
ACH-000324,-0.9670316645386688
ACH-000329,-0.9780319236101817
ACH-000330,-1.1301957941891811
ACH-000331,-0.9536097191438584
ACH-000332,-0.6296799044813374
ACH-000334,-0.9053380751512868
ACH-000335,-0.7058956498685578
ACH-000336,-0.8551202079627662
ACH-000337,-0.7768313861927141
ACH-000338,-1.1634011568963687
ACH-000339,-0.8719540854399414
ACH-000341,-0.9826088108302864
ACH-000348,-1.0072309519973777
ACH-000350,-0.9453539886995418
