,FFAR2 (2867)
ACH-000004,-0.2441067524743984
ACH-000005,-0.2931856251925928
ACH-000007,-0.25939836679814365
ACH-000009,-0.184073885224763
ACH-000011,-0.12868426583883466
ACH-000012,-0.2803766128051149
ACH-000013,-0.3887759614628327
ACH-000014,-0.15483343633543942
ACH-000015,-0.3590178164271379
ACH-000017,-0.15990973961676547
ACH-000018,-0.3794413256046159
ACH-000019,-0.1820640005014036
ACH-000021,-0.26775798326150024
ACH-000022,-0.3968303776137455
ACH-000025,-0.12415142377824814
ACH-000028,-0.17537149640356395
ACH-000030,-0.2625359961550032
ACH-000035,-0.34596467033324685
ACH-000036,-0.1130766051616404
ACH-000037,-0.20232062158745084
ACH-000039,-0.30103517726364337
ACH-000040,-0.08726422639955643
ACH-000041,-0.23984524270172586
ACH-000042,-0.18833274911372908
ACH-000045,-0.15434928523949867
ACH-000047,-0.21555849015547954
ACH-000052,-0.3367317534413822
ACH-000053,-0.2579231399030325
ACH-000054,-0.044418675051475
ACH-000055,-0.24137266878671634
ACH-000060,0.009426361092018555
ACH-000067,-0.1145116639314772
ACH-000070,-0.0443689035128328
ACH-000075,-0.0987110985389863
ACH-000078,-0.2378580575487581
ACH-000082,-0.14798515305709042
ACH-000085,-0.2932701024466147
ACH-000086,-0.3006249878971878
ACH-000087,-0.14911807130238838
ACH-000092,-0.3520171405848197
ACH-000095,-0.08627039255996022
ACH-000097,-0.21314612525794432
ACH-000098,-0.3179952963779226
ACH-000099,-0.3049378668901001
ACH-000108,-0.3487274482414424
ACH-000113,-0.2561649841584908
ACH-000116,-0.16818957510522334
ACH-000118,-0.2433385761129041
ACH-000120,-0.2393614005304411
ACH-000123,-0.2031486802450093
ACH-000127,-0.19920359358107206
ACH-000128,-0.02149874444041233
ACH-000132,-0.06317785952059707
ACH-000133,-0.1429822153741162
ACH-000137,-0.3463153435658306
ACH-000138,-0.2868607916889205
ACH-000142,-0.13959544057692272
ACH-000143,-0.13133044562154295
ACH-000146,-0.2406125544621151
ACH-000148,-0.07879044218992001
ACH-000150,-0.20430463538384525
ACH-000152,-0.18346355802574227
