,ADPRH (141)
ACH-000004,-0.3005236120834188
ACH-000005,-0.20438531568191307
ACH-000007,-0.3777857113916401
ACH-000009,-0.2249490117638484
ACH-000011,-0.18165906275484292
ACH-000012,-0.052500296972748765
ACH-000013,-0.1062925978597342
ACH-000014,-0.3480542500001754
ACH-000015,-0.07247129180208838
ACH-000017,-0.07486331806808197
ACH-000018,-0.02398684168117474
ACH-000019,-0.3086148429162988
ACH-000021,-0.110857700668575
ACH-000022,-0.16302454709187802
ACH-000025,-0.2510107542912264
ACH-000028,-0.19999949011703305
ACH-000030,-0.17510322733686104
ACH-000035,-0.25283907425863394
ACH-000036,-0.2584182351617401
ACH-000037,-0.2309360095910599
ACH-000039,-0.2646450150565537
ACH-000040,-0.1744601395456051
ACH-000041,-0.17538400735664558
ACH-000042,-0.1143032378102418
ACH-000045,0.03893498627415412
ACH-000047,-0.14696706791980588
ACH-000052,-0.3060660405950583
ACH-000053,-0.1248193111562034
ACH-000054,-0.2180257625259841
ACH-000055,-0.19359927755434314
ACH-000060,-0.2535817342283459
ACH-000067,-0.14090375538637434
ACH-000070,-0.24277264260813286
ACH-000075,-0.2241323502403982
ACH-000078,-0.1137982511066026
ACH-000082,-0.12314073050000035
ACH-000085,-0.09390854695385327
ACH-000086,-0.26537141566333405
ACH-000087,-0.15191904066812773
ACH-000092,-0.1614830042758801
ACH-000095,-0.20695602169691565
ACH-000097,-0.2139701303376512
ACH-000098,-0.129930113275246
ACH-000099,-0.13276573091746205
ACH-000108,-0.0526793961316895
ACH-000113,-0.18469016134853575
ACH-000116,-0.16681139394890918
ACH-000118,-0.20109660788350914
ACH-000120,-0.041715101447760056
ACH-000123,-0.010417043982717452
ACH-000127,-0.11133290002467794
ACH-000128,-0.3065477169840308
ACH-000132,-0.14416764094108436
ACH-000133,-0.2787556258380695
ACH-000137,-0.10001694422687596
ACH-000138,-0.23021460911186514
ACH-000142,0.013744477970009777
ACH-000143,-0.24769634658414064
ACH-000146,-0.1457109944109956
ACH-000148,-0.2183359778548948
ACH-000150,-0.06091738655877162
ACH-000152,-0.21054294570289428
ACH-000153,-0.15705391497798982
ACH-000159,-0.25357054120961164
ACH-000160,-0.21122788912863685
ACH-000163,-0.06439218545330573
ACH-000167,-0.2797321073082295
ACH-000168,-0.10081711929202708
ACH-000169,-0.07548082606825282
ACH-000178,-0.1680703078527674
ACH-000183,-0.20482856524270612
ACH-000188,-0.16262494917896336
ACH-000189,-0.14396501108740778
ACH-000190,-0.10697053227028236
ACH-000198,-0.13349689870478054
ACH-000203,0.06489867603475809
ACH-000204,0.08437151629510141
ACH-000206,-0.21610378953572795
ACH-000207,-0.17486999850914187
ACH-000208,-0.3548805820976997
ACH-000210,-0.5263588648053421
ACH-000211,-0.22039268579347868
ACH-000215,-0.14719127845633675
ACH-000221,-0.383069071194189
ACH-000222,-0.24986424314700156
ACH-000223,-0.13307672695952535
ACH-000226,-0.12960536529381894
ACH-000227,-0.375886740367042
ACH-000228,-0.1875907307962898
ACH-000231,-0.2881591992755237
ACH-000232,-0.1952913502159404
ACH-000233,-0.11923623720556815
ACH-000234,-0.2742163269441161
ACH-000235,-0.13406074982894475
ACH-000237,-0.21606261953476005
ACH-000238,-0.07611629826557402
ACH-000242,-0.18131545249802866
ACH-000243,-0.16899279953580576
ACH-000244,-0.09446118558703127
ACH-000246,-0.13490857419932334
ACH-000248,0.009071105030451335
ACH-000250,-0.2578216126144889
ACH-000251,-0.3789932378631989
ACH-000252,-0.3142597714495226
ACH-000253,-0.1731101999947484
ACH-000255,-0.2127335332335325
ACH-000256,-0.09535064727115226
ACH-000257,-0.18946596369045107
ACH-000258,-0.08839366007377085
ACH-000259,-0.0683050439814105
ACH-000260,-0.2477204563331749
ACH-000261,-0.17851969029928674
ACH-000262,-0.07250217921370551
ACH-000263,-0.4421094643018807
ACH-000264,-0.1808194235036069
ACH-000265,-0.14073134705441093
ACH-000266,-0.1453193862800034
ACH-000272,-0.1734402193719986
ACH-000274,-0.292908852993752
ACH-000277,-0.2375867586490548
ACH-000278,-0.06300906310381935
ACH-000279,-0.16151766536174006
ACH-000280,-0.2696883349757584
ACH-000281,-0.19565525633368544
ACH-000288,-0.17256685966314533
ACH-000291,-0.1251716786673868
ACH-000293,-0.3313778339195325
ACH-000294,-0.10740960843585114
ACH-000295,-0.1760436273443594
ACH-000296,-0.03924818254957281
ACH-000302,-0.2846808526410162
ACH-000304,-0.15638427375779482
ACH-000307,-0.16877946771474414
ACH-000308,-0.07085110540010038
ACH-000310,-0.10569396206234627
ACH-000311,-0.16554746651619853
ACH-000312,-0.283037444859248
ACH-000315,-0.15287734492805954
ACH-000316,0.0379983947723374
ACH-000317,-0.1616318840749704
ACH-000318,-0.2269009891007793
ACH-000319,-0.18596832324737111
ACH-000320,-0.19219055184603834
ACH-000322,-0.24797312168140365
ACH-000323,-0.28178723704467845
ACH-000324,-0.19455317729709515
ACH-000329,-0.20086340015115894
ACH-000330,-0.09862850927028448
ACH-000331,-0.11892729030443862
ACH-000332,-0.1409514379871056
ACH-000334,-0.1279495414690436
