,KLK5 (25818)
ACH-000004,-0.4553158665212508
ACH-000005,-0.2572422091811178
ACH-000007,0.08923820273017136
ACH-000009,-0.16611236482190453
ACH-000011,0.12536444331053712
ACH-000012,-0.09836807452240187
ACH-000013,-0.15319104829703267
ACH-000014,-0.06433348144501505
ACH-000015,-0.24783365275915814
ACH-000017,-0.23224328174979195
ACH-000018,-0.04162203780502342
ACH-000019,0.06523559298274333
ACH-000021,-0.12255427339971264
ACH-000022,-0.27119356475622536
ACH-000025,-0.17208406690666467
ACH-000028,-0.3363437069588746
ACH-000030,-0.2172430096414256
ACH-000035,-0.2039969109091999
ACH-000036,-0.27010755306761164
ACH-000037,-0.2660353613482632
ACH-000039,-0.2172845270093671
ACH-000040,-0.1835640229906162
ACH-000041,0.03358211247966444
ACH-000042,-0.1779247401981292
ACH-000045,-0.01678539601119441
ACH-000047,-0.12166865649952845
ACH-000052,-0.2240885902396549
ACH-000053,-0.2574112468866792
ACH-000054,-0.2448671552259567
ACH-000055,-0.2661677836611122
ACH-000060,-0.036240411957391964
ACH-000067,-0.2553565410952025
ACH-000070,-0.38493896268179184
ACH-000075,-0.19120803194365454
ACH-000078,-0.3129837150689236
ACH-000082,-0.04880536932228792
ACH-000085,-0.09803530053156073
ACH-000086,-0.09981558056498717
ACH-000087,-0.060242909340588714
ACH-000092,-0.1509745083902567
ACH-000095,-0.15727654210183906
ACH-000097,-0.20271468037015966
ACH-000098,-0.2464312450210152
ACH-000099,-0.12915325026467994
ACH-000108,-0.0848914573407868
ACH-000113,-0.1738973840666452
ACH-000116,-0.02534606776523665
ACH-000118,-0.07844992358841807
ACH-000120,-0.0748367867068735
ACH-000123,-0.1721816496861365
ACH-000127,-0.1579397262433988
ACH-000128,-0.10845001414265397
ACH-000132,-0.09755388254774594
ACH-000133,-0.09961345587963108
ACH-000137,-0.2035133025629122
ACH-000138,-0.2673961649404844
ACH-000142,-0.12995710255248405
ACH-000143,-0.13405132964344685
ACH-000146,-0.17797544878353178
ACH-000148,-0.09807862258749772
ACH-000150,0.027691935844586662
ACH-000152,-0.08151483592544563
ACH-000153,-0.3516060298638506
ACH-000159,-0.2272930027018503
ACH-000160,-0.1793345040132404
ACH-000163,-0.1952658658812296
ACH-000167,-0.2575993347873932
ACH-000168,-0.22030135756880026
ACH-000169,-0.07540987908180775
ACH-000178,-0.15196894626040666
ACH-000183,-0.1900250981968292
ACH-000188,-0.1107292982070173
ACH-000189,-0.10615001196031912
ACH-000190,-0.21710785901795351
ACH-000198,-0.15315285412928076
ACH-000203,-0.2893789921450587
ACH-000204,-0.2647750564097448
ACH-000206,-0.03846214119380316
ACH-000207,-0.2188911645593241
ACH-000208,1.3423306256875281e-05
ACH-000210,-0.3469111477119054
ACH-000211,-0.20359660096312973
ACH-000215,-0.12556969743386565
ACH-000221,-0.16045935655566967
ACH-000222,-0.14996325805023816
ACH-000223,-0.16299239766941007
ACH-000226,-0.10088249176853004
ACH-000227,-0.03688962221204376
ACH-000228,-0.09012980584368976
ACH-000231,-0.04322726417218015
ACH-000232,-0.16874992335717953
ACH-000233,-0.37478646982737696
ACH-000234,-0.047024933892470734
ACH-000235,-0.06650123760980663
ACH-000237,-0.19581240774885456
ACH-000238,-0.26123999135527265
ACH-000242,-0.013684491147778005
ACH-000243,-0.04586819866211578
ACH-000244,-0.015372289466334831
ACH-000246,-0.1296104435662824
ACH-000248,-0.1875782014004476
ACH-000250,-0.1828035201648076
ACH-000251,-0.3435235081044084
ACH-000252,-0.16841979816980954
ACH-000253,-0.03011261140347762
ACH-000255,-0.12663291446452427
ACH-000256,0.009021229787754279
ACH-000257,-0.1509141211178167
ACH-000258,-0.01530333143027673
ACH-000259,-0.09543128890194344
ACH-000260,-0.24953276003419814
ACH-000261,-0.17366046207122265
ACH-000262,-0.36763516485453
ACH-000263,-0.11087802246113204
ACH-000264,-0.18138519471243175
ACH-000265,-0.1899530290164589
ACH-000266,-0.13216831346131125
ACH-000272,-0.1399284875044581
ACH-000274,-0.1123835684925193
ACH-000277,-0.0967398390119871
ACH-000278,-0.02765092215903062
ACH-000279,-0.17051715413383214
ACH-000280,-0.11272861054865024
ACH-000281,-0.1419196577803069
ACH-000288,-0.002561094430257155
ACH-000291,-0.22658738439277476
ACH-000293,-0.16377104496906816
ACH-000294,-0.3149658691234544
ACH-000295,-0.2714050176158921
ACH-000296,-0.20753038011102734
ACH-000302,-0.4175300069134726
ACH-000304,-0.14211787308163246
ACH-000307,-0.08892019189000376
ACH-000308,-0.16179072477012138
ACH-000310,-0.1831456644778653
ACH-000311,-0.05909389011341934
ACH-000312,-0.16277524701448154
ACH-000315,-0.5140445634800995
ACH-000316,-0.04222565580209258
ACH-000317,-0.2481891460915905
ACH-000318,-0.16208450618018636
ACH-000319,-0.1941322514581487
ACH-000320,-0.002085052260314525
ACH-000322,-0.0909166643893273
ACH-000323,-0.2088551910190688
ACH-000324,-0.18241795009521514
ACH-000329,-0.22412532939332194
ACH-000330,-0.1036362572896859
ACH-000331,0.0033451290237294733
ACH-000332,-0.13251717949790126
ACH-000334,-0.17741323004803322
ACH-000335,-0.3108292955453336
ACH-000336,-0.33029809807355914
ACH-000337,0.01927123367281705
ACH-000338,-0.08919127461620348
ACH-000339,-0.20371412896110214
ACH-000341,-0.1975333096350313
ACH-000348,-0.1908871796390071
ACH-000350,-0.20187049795406373
ACH-000352,-0.2557438979336213
ACH-000356,-0.19330031006156329
ACH-000361,-0.2847201027055994
ACH-000362,-0.057286713632250776
ACH-000363,-0.08167842828873233
ACH-000364,-0.2586243852354541
ACH-000365,-0.16193937718252585
ACH-000366,-0.2775407206667943
ACH-000368,-0.014179910644964397
ACH-000374,-0.16658553576664356
