,BHMT (635)
ACH-000004,-0.07098460136137083
ACH-000005,-0.04760936421403153
ACH-000007,-0.016697293226714673
ACH-000009,-0.07361205535100747
ACH-000011,0.07735305521601246
ACH-000012,-0.07525303192976382
ACH-000013,-0.06533464231178032
ACH-000014,0.025432554880850455
ACH-000015,-0.18019480139411756
ACH-000017,-0.061482552315842424
ACH-000018,-0.0012111169533436932
ACH-000019,-0.023519130367753733
ACH-000021,-0.16475431924705702
ACH-000022,-0.06348040374422144
ACH-000025,-0.04457331722227579
ACH-000028,0.0052438753504455045
ACH-000030,-0.09558061339361976
ACH-000035,-0.05368116184240091
ACH-000036,-0.005036558138895946
ACH-000037,-0.028968014889313637
ACH-000039,-0.034563369140084364
ACH-000040,-0.014203545702568371
ACH-000041,-0.14195010264754734
ACH-000042,-0.04197169897510165
ACH-000045,-0.1121269301914685
ACH-000047,-0.08928703251008188
ACH-000052,-0.0955282494797349
ACH-000053,-0.08475656509626726
ACH-000054,-0.11540186556715144
ACH-000055,-0.06823945024288099
ACH-000060,0.034460735788491216
ACH-000067,-0.0093428837556976
ACH-000070,-0.20267780301815025
ACH-000075,0.036406754903490136
ACH-000078,0.04431188909212982
ACH-000082,-0.03038717763001412
ACH-000085,-0.11424800297246115
ACH-000086,-0.04466582351667028
ACH-000087,0.009660335485409222
ACH-000092,-0.03362144185412965
ACH-000095,-0.09368481919501342
ACH-000097,-0.04802161592686765
ACH-000098,-0.09586147239470652
ACH-000099,0.06389792979964924
ACH-000108,-0.048433620479644786
ACH-000113,-0.07854999022695061
ACH-000116,-0.04310241637764484
ACH-000118,-0.048275384523675774
ACH-000120,0.03831214070691013
ACH-000123,-0.06572753051784183
ACH-000127,0.04271279497793873
ACH-000128,0.08214890427738486
ACH-000132,-0.060635502626272826
ACH-000133,0.041552657613047474
ACH-000137,-0.056571373380514385
ACH-000138,0.054273761852695473
ACH-000142,-0.032480294501855744
ACH-000143,-0.06370484253950418
ACH-000146,-0.13182703826989065
ACH-000148,-0.059925166759504676
ACH-000150,0.0601014149068935
ACH-000152,0.10901561947570733
ACH-000153,-0.03869968653442266
ACH-000159,0.031017599448698464
ACH-000160,-0.006858513995516533
ACH-000163,-0.07551495680946979
ACH-000167,0.08299082308168518
ACH-000168,-0.14734734801234287
ACH-000169,-0.018799961930359904
ACH-000178,0.031193695808029505
ACH-000183,-0.2497090216738768
ACH-000188,-0.0663391040059886
ACH-000189,0.22417520156356974
ACH-000190,-0.1472257114048025
ACH-000198,-0.022910876608154787
ACH-000203,-0.20045180525389092
ACH-000204,0.0018810892960243308
ACH-000206,-0.22441622975865694
ACH-000207,-0.0999559831195978
ACH-000208,-0.055180193141363784
ACH-000210,0.170392136367773
ACH-000211,-0.08787774965781958
ACH-000215,-0.03311537175389462
ACH-000221,0.061639208057807336
ACH-000222,0.11083080289054006
ACH-000223,0.0550086961608551
ACH-000226,0.02945819931715236
ACH-000227,-0.0039026712373112678
ACH-000228,-0.16165753254399948
ACH-000231,-0.046863469700846684
ACH-000232,-0.08114043415066018
