,MPO (4353)
ACH-000004,0.04548169991801986
ACH-000005,-0.328500600114167
ACH-000007,-0.0673384365864353
ACH-000009,-0.20758757702226632
ACH-000011,-0.11820755466634242
ACH-000012,-0.12300375263756165
ACH-000013,-0.18067863190114666
ACH-000014,-0.11481548425235576
ACH-000015,-0.21434491200502973
ACH-000017,-0.22228534741414346
ACH-000018,-0.03267809250108498
ACH-000019,-0.3109181370991754
ACH-000021,-0.14307368666210568
ACH-000022,-0.13174620223917988
ACH-000025,-0.16409101723611574
ACH-000028,-0.2259954782684891
ACH-000030,-0.1194619875610368
ACH-000035,-0.2991056798895122
ACH-000036,-0.1346585141655832
ACH-000037,-0.17830792277400276
ACH-000039,-0.27229423189356444
ACH-000040,-0.08239626419591305
ACH-000041,-0.17724105584864064
ACH-000042,-0.21271489118999795
ACH-000045,-0.1128282743476923
ACH-000047,-0.12333821754018685
ACH-000052,-0.0768145833299385
ACH-000053,-0.20396004226226844
ACH-000054,-0.1540177509628262
ACH-000055,-0.08733951575202815
ACH-000060,-0.19814169280190586
ACH-000067,-0.10816295721441722
ACH-000070,-0.07205901426233527
ACH-000075,-0.09628501149766748
ACH-000078,-0.32008544953143114
ACH-000082,-0.14818263680339291
ACH-000085,-0.23184965086316936
ACH-000086,-0.2127175150516471
ACH-000087,-0.2443421186798
ACH-000092,-0.08796371538190068
ACH-000095,-0.12192885302365605
ACH-000097,-0.10724021608418248
ACH-000098,-0.18366427733398213
ACH-000099,-0.1794885914175546
ACH-000108,-0.10317476368700593
ACH-000113,-0.11427475132287555
ACH-000116,-0.15168227127931266
ACH-000118,-0.15920450605280806
ACH-000120,-0.1487628962538759
ACH-000123,-0.15756728038476958
ACH-000127,-0.0749091633871527
ACH-000128,-0.07406568734620712
ACH-000132,-0.0348190080505859
ACH-000133,-0.15265755936448247
ACH-000137,-0.13811187272506156
ACH-000138,-0.3129890356067888
ACH-000142,-0.20202224835394414
ACH-000143,-0.16758244629999872
ACH-000146,-0.1295378604427156
ACH-000148,-0.12889389841806592
ACH-000150,-0.3108621961579016
ACH-000152,-0.14618600446554225
ACH-000153,-0.008515949448925897
ACH-000159,-0.04510218871587
ACH-000160,-0.06969058566542448
ACH-000163,-0.21750839797710425
ACH-000167,-0.10373732085156022
ACH-000168,-0.06866762932778765
ACH-000169,-0.08430838737375372
ACH-000178,-0.13748118291610334
ACH-000183,-0.09638740260445787
ACH-000188,-0.3614662019810441
ACH-000189,-0.22310584257787386
ACH-000190,-0.35211149876357345
ACH-000198,-0.08360697522500023
ACH-000203,-0.14639940384744687
ACH-000204,-0.027598846766288272
ACH-000206,-0.115621379895087
ACH-000207,-0.11400938741704633
ACH-000208,-0.12060715573531935
ACH-000210,-0.2229751824825288
ACH-000211,-0.1141100318511183
ACH-000215,-0.20408317125426692
ACH-000221,-0.04677191231512876
ACH-000222,-0.00036502185777341815
ACH-000223,-0.12900781125024754
ACH-000226,-0.17720192721015815
ACH-000227,-0.2881706405550563
ACH-000228,-0.23709361589948996
ACH-000231,-0.18778942697616732
ACH-000232,-0.04091242698718129
ACH-000233,-0.11287248867211967
ACH-000234,-0.14752632941272595
ACH-000235,-0.13042961405396444
ACH-000237,-0.12777456594248088
ACH-000238,-0.4917636610563013
ACH-000242,-0.1249657167437936
ACH-000243,-0.23401671283641096
ACH-000244,-0.2374561097376873
ACH-000246,-0.00035364886370245523
ACH-000248,-0.303745899090732
ACH-000250,-0.13540619279039404
ACH-000251,-0.2654717916648692
ACH-000252,0.07586540900172589
ACH-000253,-0.34927441962569145
ACH-000255,-0.22128585799930564
ACH-000256,-0.1979043414492419
ACH-000257,-0.09890092965032404
ACH-000258,-0.05685469764046425
ACH-000259,-0.07445148979476136
ACH-000260,-0.22384937605205932
ACH-000261,-0.092772525345132
ACH-000262,-0.06978290002922141
ACH-000263,-0.2918664351877469
ACH-000264,-0.22456813761737768
ACH-000265,-0.15296918419577027
ACH-000266,-0.06641409419332066
ACH-000272,-0.07869535215354606
ACH-000274,-0.3244431397944854
ACH-000277,-0.18198827828401667
ACH-000278,-0.08678137304988848
ACH-000279,-0.11413581200311634
ACH-000280,-0.14460920146603154
ACH-000281,-0.04847307102754278
ACH-000288,-0.22303982967929228
ACH-000291,-0.05741788659287458
ACH-000293,-0.11193904191650496
ACH-000294,0.4824068224003714
ACH-000295,-0.181394444924278
ACH-000296,-0.17602732514112798
ACH-000302,-0.012787173252985607
ACH-000304,-0.10716262543947698
ACH-000307,0.00119561973433137
ACH-000308,-0.10811618841116537
ACH-000310,-0.3739589214088612
ACH-000311,-0.006982901933849696
ACH-000312,-0.2108957102039724
ACH-000315,-0.1673750563572367
ACH-000316,-0.2392952946303755
ACH-000317,-0.14867016181452736
ACH-000318,-0.21230738313955164
ACH-000319,-0.2410702149436947
ACH-000320,0.05218062722120043
ACH-000322,-0.19895452298438476
ACH-000323,-0.09395292595634287
ACH-000324,-0.1364780513962299
ACH-000329,-0.19530074941784048
ACH-000330,-0.2546494967621524
ACH-000331,-0.17339586162030246
ACH-000332,-0.06610256160942153
ACH-000334,-0.25969793623792026
ACH-000335,-0.22074523935941545
ACH-000336,-0.13245521576080374
ACH-000337,-0.5116403306740009
ACH-000338,0.2633002797264275
ACH-000339,-0.16718123567375318
ACH-000341,-0.12892114418991893
ACH-000348,-0.1788414081787717
ACH-000350,-0.06480084266836132
ACH-000352,-0.1398307988766758
ACH-000356,-0.08809957801249065
ACH-000361,-0.2082032238059878
ACH-000362,-0.07215627093498557
ACH-000363,-0.13558432559928035
ACH-000364,-0.08040055261317086
ACH-000365,-0.19620405446370495
ACH-000366,-0.123128140392274
ACH-000368,0.04621356024125276
ACH-000374,-0.18335655653822727
ACH-000375,-0.05610420721414006
ACH-000376,-0.08495739029785099
ACH-000381,-0.05660299862353131
ACH-000383,-0.1797853194850002
ACH-000387,-0.22380187304303412
ACH-000389,-0.1566947949602845
ACH-000390,-0.2426063455089571
ACH-000393,-0.06341215999114919
ACH-000395,-0.1831281330734976
ACH-000396,-0.10453059629515143
ACH-000397,-0.1653439445419731
ACH-000401,-0.22470306053835093
ACH-000402,-0.2504905795558185
ACH-000403,-0.16880551459518142
ACH-000404,0.05140150867931874
ACH-000406,-0.10329053546819174
ACH-000407,-0.14702367469906927
ACH-000408,-0.11202614179043813
ACH-000410,-0.14245237031775956
ACH-000411,-0.17665113390718964
ACH-000414,-0.16031881556308306
ACH-000415,-0.34226194529754433
ACH-000416,-0.16715680852999232
ACH-000420,-0.17731568805150755
ACH-000421,-0.12526775813792754
ACH-000424,-0.28893753043837056
ACH-000425,-0.2247445026033895
ACH-000426,-0.04071510455439649
ACH-000427,-0.16482529152886244
ACH-000433,-0.08290756511052147
ACH-000435,-0.1135411226982906
ACH-000436,-0.013815120683932095
ACH-000444,-0.024833738108211927
ACH-000445,-0.21996582395535666
ACH-000448,-0.1195252483866489
ACH-000450,-0.32374568134253273
ACH-000452,-0.13162639122005107
ACH-000454,-0.09121471904936684
ACH-000458,-0.2631296502770343
ACH-000459,-0.12443181849147528
ACH-000460,-0.23091166556327675
ACH-000461,-0.0831523856457928
ACH-000463,-0.1206796781147784
ACH-000464,-0.18202430283441207
ACH-000466,-0.15600732710548182
ACH-000467,-0.1514831783695312
ACH-000468,-0.2068354630848626
ACH-000469,-0.09669528398432094
ACH-000470,-0.12076311817654654
ACH-000471,-0.10087531101672778
ACH-000472,-0.2187470183015181
ACH-000473,-0.15292236886590627
ACH-000475,-0.1396568987456591
ACH-000476,-0.0921358799043317
ACH-000477,-0.07266180599698498
ACH-000479,-0.09628898578973953
ACH-000480,-0.31099248734429197
ACH-000481,-0.10037776493363736
ACH-000483,-0.1863278678654707
ACH-000484,0.01283560804917056
ACH-000485,-0.25886090130286743
ACH-000486,-0.11970737255492248
ACH-000487,-0.22313151269469936
ACH-000488,-0.18890966490782135
ACH-000490,-0.1907561737189349
ACH-000491,-0.115917771802927
ACH-000495,0.031856948641612384
ACH-000496,-0.06996660689249255
ACH-000499,-0.2092651913628571
ACH-000500,-0.1335024366232449
ACH-000502,-0.3091185801640736
ACH-000503,-0.11052590882690523
ACH-000505,-0.17083935736598382
ACH-000507,-0.05641761432797021
ACH-000510,-0.12888082181573846
ACH-000511,-0.1798314577204821
ACH-000512,-0.0334436798919676
