,B4GALT7 (11285)
ACH-000004,0.029926111165851664
ACH-000005,-0.08540577208076787
ACH-000007,-0.15756958190318202
ACH-000009,-0.2589628248984952
ACH-000011,-0.05321244026856898
ACH-000012,-0.09084717396739972
ACH-000013,-0.10469343741765873
ACH-000014,-0.05031402942813784
ACH-000015,-0.3157933454196469
ACH-000017,-0.016951380734233544
ACH-000018,0.05848258513703158
ACH-000019,-0.26570868762944216
ACH-000021,-0.129951550576929
ACH-000022,-0.15510227007167274
ACH-000025,-0.062376245742088235
ACH-000028,-0.15206016263049582
ACH-000030,-0.019427723486606825
ACH-000035,-0.273134333460793
ACH-000036,-0.3676048889443127
ACH-000037,0.025583088000668955
ACH-000039,-0.3231958529914283
ACH-000040,-0.01876263600051793
ACH-000041,-0.0614078963572155
ACH-000042,-0.18415893361428765
ACH-000045,-0.17021504118803515
ACH-000047,-0.0805599715686302
ACH-000052,-0.15944356506888502
ACH-000053,-0.1281321454052332
ACH-000054,-0.2125771603477152
ACH-000055,-0.013615015354383114
ACH-000060,-0.08434880145036902
ACH-000067,-0.1424160789242633
ACH-000070,-0.1766782048491822
ACH-000075,-0.20176212217916686
ACH-000078,-0.14863982587667485
ACH-000082,-0.3104404417222155
ACH-000085,-0.10074792341223418
ACH-000086,-0.23205553252382544
ACH-000087,-0.23126207467941146
ACH-000092,-0.2389867475126509
ACH-000095,-0.1352753283982959
ACH-000097,-0.2196730207304589
ACH-000098,-0.3777305352384938
ACH-000099,-0.32029727317320034
ACH-000108,-0.21684888768419872
ACH-000113,-0.13694478368301574
ACH-000116,-0.1766338484939606
ACH-000118,0.08298585601508214
ACH-000120,-0.17402838001188506
ACH-000123,-0.15455835555358285
ACH-000127,-0.07825304034863426
ACH-000128,-0.2153118998955492
ACH-000132,-0.3239884817656763
ACH-000133,-0.19597746151462575
ACH-000137,-0.1515856385286985
ACH-000138,-0.2020992521059128
ACH-000142,-0.2703745094901601
ACH-000143,-0.22867416905655216
ACH-000146,-0.0931504152189142
ACH-000148,-0.1174601253424886
ACH-000150,-0.2984603852267861
ACH-000152,-0.2301036820121685
ACH-000153,-0.08752694674771802
ACH-000159,-0.2181209579669144
ACH-000160,-0.1260264453285401
ACH-000163,-0.09418198108078736
ACH-000167,-0.18058395579551065
ACH-000168,-0.33468610100041496
ACH-000169,-0.11861859239654028
ACH-000178,-0.31601673483354104
ACH-000183,0.02469180009224148
ACH-000188,-0.2802950081069404
ACH-000189,-0.138154053846429
ACH-000190,-0.12935403904931425
ACH-000198,-0.05467871673952057
ACH-000203,-0.5127040446046486
ACH-000204,-0.20358809753513896
ACH-000206,-0.11086087603885926
ACH-000207,-0.3559127260513014
ACH-000208,-0.05050807730999662
ACH-000210,-0.14269467532661875
ACH-000211,-0.19936630505847447
ACH-000215,0.014129087873149109
ACH-000221,-0.1289514683473433
ACH-000222,-0.2360971705984453
ACH-000223,-0.2222189723473808
ACH-000226,-0.15568009682533904
ACH-000227,-0.22400230591637427
ACH-000228,-0.16028786646827853
ACH-000231,-0.1425201610785081
ACH-000232,-0.2936892146612274
ACH-000233,-0.2260859997479685
ACH-000234,-0.301781304055133
ACH-000235,0.041966655201775935
ACH-000237,-0.15510856534520098
ACH-000238,-0.19495056813375355
ACH-000242,0.00621716226640217
ACH-000243,-0.27936934292454063
ACH-000244,-0.13007471464622616
ACH-000246,-0.15342410919786753
ACH-000248,-0.2186224059746933
ACH-000250,-0.27543041644533056
ACH-000251,-0.5458681117381902
ACH-000252,-0.09161843333893477
ACH-000253,-0.05508053346666487
ACH-000255,-0.2838355183112021
ACH-000256,-0.28443700943044903
ACH-000257,-0.02987556648455447
ACH-000258,-0.17669885730014498
ACH-000259,-0.27061248252926057
ACH-000260,-0.04766477799089163
ACH-000261,-0.3491544331490406
ACH-000262,-0.16488323688418152
ACH-000263,-0.00018290432587831016
ACH-000264,-0.05909698518459115
ACH-000265,-0.03319075468035515
ACH-000266,-0.07967122707975331
ACH-000272,-0.1581922590656577
ACH-000274,-0.24928553427632716
ACH-000277,-0.4489136496191932
ACH-000278,-0.18050184130111616
ACH-000279,-0.09163740895910154
ACH-000280,-0.26235753974749304
ACH-000281,-0.006676735731042791
ACH-000288,-0.1850123770165067
ACH-000291,-0.15692638925940736
ACH-000293,-0.18474016096025211
ACH-000294,0.049097729242148516
ACH-000295,-0.4656828461765324
ACH-000296,-0.05311036753257743
ACH-000302,-0.10493834416246586
ACH-000304,-0.06226200291190955
ACH-000307,-0.3648959776706057
ACH-000308,-0.0793627229705658
ACH-000310,-0.20465388335949355
ACH-000311,-0.2628846436908324
ACH-000312,-0.15818603896505665
ACH-000315,-0.3186905243742407
ACH-000316,-0.07870032329683277
ACH-000317,-0.009620253021241918
ACH-000318,-0.15246841034659847
