,SRM (6723)
ACH-000004,-0.16144994201164686
ACH-000005,0.05603431676965434
ACH-000007,-0.19136544863189686
ACH-000009,-0.2330269174594996
ACH-000011,0.1006424114637004
ACH-000012,-0.08139012403058943
ACH-000013,-0.04428720557851965
ACH-000014,-0.055065381830380934
ACH-000015,-0.1447381863581774
ACH-000017,-0.5152767010009199
ACH-000018,-0.12248756940883974
ACH-000019,-0.20288754680996776
ACH-000021,-0.09986239743660796
ACH-000022,0.04647921688304405
ACH-000025,-0.08740714731126614
ACH-000028,0.010082536871196323
ACH-000030,-0.18506798097406396
ACH-000035,-0.254209290190429
ACH-000036,-0.18761782924660395
ACH-000037,0.006086303074018445
ACH-000039,-0.03141419639227081
ACH-000040,-0.3271975108579846
ACH-000041,-0.14169301917267288
ACH-000042,-0.02718300338177877
ACH-000045,0.059410273935794164
ACH-000047,-0.029682310585197144
ACH-000052,-0.14908906197276006
ACH-000053,-0.2317104356126869
ACH-000054,-0.18962276961509653
ACH-000055,0.2291049097404997
ACH-000060,-0.09803616941928342
ACH-000067,-0.2775698841097633
ACH-000070,-0.2812402323083201
ACH-000075,-0.15643428639283982
ACH-000078,-0.09320239398521103
ACH-000082,-0.03149753608663665
ACH-000085,0.10452740079184827
ACH-000086,-0.2603367424081776
ACH-000087,-0.08931747079343358
ACH-000092,-0.136810043244005
ACH-000095,-0.16657458594536456
ACH-000097,-0.3976781821728749
ACH-000098,-0.02085533381685156
ACH-000099,-0.3340328503170798
ACH-000108,-0.4678603008954303
ACH-000113,0.06862202967489604
ACH-000116,0.00293554771937954
ACH-000118,-0.2298136714846084
ACH-000120,-0.2561552981240588
ACH-000123,0.029364756174271714
ACH-000127,-0.1490506910774707
ACH-000128,-0.2405873562464487
ACH-000132,-0.007005495445697815
ACH-000133,-0.2486212465857523
ACH-000137,-0.06470775917037956
ACH-000138,-0.1747612688610039
ACH-000142,-0.14916272581868303
ACH-000143,-0.061266118977510914
ACH-000146,-0.03234265909038828
ACH-000148,-0.10932894601311748
ACH-000150,-0.1416912214923373
ACH-000152,-0.059980662136305214
ACH-000153,-0.1935082121070075
ACH-000159,-0.24433290779002484
ACH-000160,-0.12673670367951595
ACH-000163,-0.11931304975131073
ACH-000167,-0.3914241751531076
ACH-000168,0.12351252255737892
ACH-000169,0.11461796736658693
ACH-000178,-0.029673623346390607
ACH-000183,-0.462332424338165
ACH-000188,-0.10058294319094976
ACH-000189,-0.4959558343760313
ACH-000190,-0.30568217485494165
