,SHCBP1L (81626)
ACH-000004,-0.06430980050947177
ACH-000005,0.056507683935254835
ACH-000007,-0.10808631650221108
ACH-000009,0.08134752964650624
ACH-000011,-0.006193381307160521
ACH-000012,-0.06094744777984746
ACH-000013,0.052886140017724986
ACH-000014,-0.04368894371671117
ACH-000015,0.09432245354798513
ACH-000017,0.10820818161565868
ACH-000018,-0.14824361090770874
ACH-000019,0.003858740923790083
ACH-000021,0.02716420442391603
ACH-000022,0.016912170122533484
ACH-000025,0.0907767643292974
ACH-000028,0.11439410150931408
ACH-000030,0.09770285118214014
ACH-000035,-0.011854006319376732
ACH-000036,0.01406583072036108
ACH-000037,0.13597151643433614
ACH-000039,0.12776368684364806
ACH-000040,-0.018362416396271432
ACH-000041,0.13747909764319735
ACH-000042,0.0017378485490444355
ACH-000045,0.019923437569477828
ACH-000047,-0.009739455382071785
ACH-000052,-0.06170528325246444
ACH-000053,0.01799288287457829
ACH-000054,0.02499505953312298
ACH-000055,-0.08831664931675143
ACH-000060,0.22938298132468934
ACH-000067,0.08704096563653907
ACH-000070,-0.07209628337648273
ACH-000075,0.048647072248193805
ACH-000078,0.1805062862999702
ACH-000082,0.07059064893971961
ACH-000085,-0.09826916970661254
ACH-000086,-0.004929016087627174
ACH-000087,-0.09250071601262384
ACH-000092,-0.022690417394437445
ACH-000095,-0.07580410996781002
ACH-000097,-0.028345735727729412
ACH-000098,0.05142128028548477
ACH-000099,0.057621079572321085
ACH-000108,0.01722172678459746
ACH-000113,0.10580762920412606
ACH-000116,0.08321967232975402
ACH-000118,0.07367110155646951
ACH-000120,-0.02550232278966234
ACH-000123,0.04313603105824964
ACH-000127,-0.003964904879847338
ACH-000128,-0.04447223806962331
ACH-000132,-0.005494048989101752
ACH-000133,-0.06018537449448099
ACH-000137,0.09257404062194624
ACH-000138,0.10706271274790627
ACH-000142,0.19933075620092053
ACH-000143,0.07353737683073455
ACH-000146,0.11315894133730288
ACH-000148,-0.040658674668740465
ACH-000150,0.0633868525878185
ACH-000152,0.059002307973919865
ACH-000153,0.1357614256414175
ACH-000159,0.11970550279151465
ACH-000160,0.14029148844869804
ACH-000163,-0.09749688956727558
ACH-000167,0.134491026724857
ACH-000168,0.0373511415443855
ACH-000169,-0.05406213419421629
ACH-000178,0.14476443481640847
ACH-000183,0.04624184911041948
ACH-000188,0.06341845755750182
ACH-000189,0.1962703366837402
ACH-000190,-0.052071019448567436
ACH-000198,0.056174521357108126
ACH-000203,-0.060600424192455975
ACH-000204,0.06148287821989434
ACH-000206,0.05685037001762237
ACH-000207,0.19596525842081536
ACH-000208,0.11650416219363995
ACH-000210,0.00847031510490562
ACH-000211,-0.01565754448777365
ACH-000215,0.07271867256164956
ACH-000221,0.1035224884925842
ACH-000222,0.27957772237353196
ACH-000223,-0.14859162145855292
ACH-000226,-0.0925732203765309
ACH-000227,0.0564481538261482
ACH-000228,0.1493239475748949
ACH-000231,0.012892099831288755
ACH-000232,0.041858821711839085
ACH-000233,0.04610709464663335
ACH-000234,0.032775722913890984
ACH-000235,-0.1149882092583119
ACH-000237,0.1509154371184531
ACH-000238,-0.0763531476958282
ACH-000242,0.15715188736501232
ACH-000243,0.02552747559723657
ACH-000244,0.07732484828555776
ACH-000246,0.09937644349633984
ACH-000248,0.05811517367944832
ACH-000250,0.009967259079618677
ACH-000251,0.0002753941431153166
ACH-000252,-0.13620695944246486
ACH-000253,-0.07097470853491551
ACH-000255,0.1258537783939318
ACH-000256,-0.1434407197552526
ACH-000257,-0.0024119465960872897
ACH-000258,0.08449269027706448
ACH-000259,-0.02756970000372396
ACH-000260,0.13873061879958148
ACH-000261,0.13453524574771325
ACH-000262,0.07086345577067338
ACH-000263,0.13214424023988708
ACH-000264,0.055196844228755856
ACH-000265,0.047956341363833886
ACH-000266,0.0015808608091767752
ACH-000272,0.06322684131710128
ACH-000274,0.06348813878166193
