,ECD (11319)
ACH-000004,-1.2685319641016288
ACH-000005,-1.100480861195669
ACH-000007,-1.2183483281326761
ACH-000009,-0.9736296517069244
ACH-000011,-0.7258314441680831
ACH-000012,-0.8652328124095404
ACH-000013,-0.7004129537686001
ACH-000014,-1.3737906376132432
ACH-000015,-0.849629506495672
ACH-000017,-0.6129913522476864
ACH-000018,-1.0972410997764368
ACH-000019,-1.1885831471271762
ACH-000021,-1.2189360525677315
ACH-000022,-1.0501717430891608
ACH-000025,-1.091004622647382
ACH-000028,-0.9992135000755562
ACH-000030,-0.7712853027959575
ACH-000035,-1.212801061748824
ACH-000036,-0.7615787227652246
ACH-000037,-1.050524459474306
ACH-000039,-1.054481393987997
ACH-000040,-0.7957605819733131
ACH-000041,-0.9146825339100436
ACH-000042,-1.1404581174589523
ACH-000045,-0.8817064479204014
ACH-000047,-1.0521530009817457
ACH-000052,-1.0928568667684146
ACH-000053,-1.167149871044056
ACH-000054,-1.0720462165570364
ACH-000055,-1.2187192272455805
ACH-000060,-1.0622358153555371
ACH-000067,-1.0992772518451728
ACH-000070,-1.1168100296764871
ACH-000075,-1.3099175968324133
ACH-000078,-1.096660506022525
ACH-000082,-1.3750903421307283
ACH-000085,-1.0454731336595362
ACH-000086,-1.17710907131552
ACH-000087,-1.108374166713105
ACH-000092,-0.7001890021851213
ACH-000095,-1.2476853872964535
ACH-000097,-1.1089527360545988
ACH-000098,-1.1852093208997758
ACH-000099,-1.0940655624242603
ACH-000108,-1.036576596873149
ACH-000113,-1.021470611460579
ACH-000116,-1.003602068872924
ACH-000118,-0.7525770257585741
ACH-000120,-1.0962192818048229
ACH-000123,-0.9820820703831228
ACH-000127,-1.1106073025231042
ACH-000128,-1.07535103094508
ACH-000132,-1.1139926874824968
ACH-000133,-1.0886685088166728
ACH-000137,-1.4777114713698996
ACH-000138,-0.8851903437960759
ACH-000142,-1.0721421049857351
ACH-000143,-1.1945730973038196
ACH-000146,-1.2283675211753708
ACH-000148,-1.0125856907794917
ACH-000150,-1.0652620589654822
ACH-000152,-1.0543857362987363
ACH-000153,-0.9811438369146598
ACH-000159,-1.1716093145879858
ACH-000160,-0.7780561175822824
ACH-000163,-0.9536550492084171
ACH-000167,-1.0886041108042819
ACH-000168,-0.8556254424332037
ACH-000169,-1.1289559152546234
ACH-000178,-0.9629841870401618
ACH-000183,-1.2348541919819371
ACH-000188,-1.055603003128487
ACH-000189,-0.9904357317189886
ACH-000190,-0.7597988497625281
ACH-000198,-1.1065727974462791
ACH-000203,-0.8476609934111536
ACH-000204,-0.9823023298705656
ACH-000206,-0.8558471477904945
ACH-000207,-1.01401719431534
ACH-000208,-1.09835921071789
ACH-000210,-1.2182031239483233
ACH-000211,-1.1369667776485275
ACH-000215,-1.1873558868747451
ACH-000221,-1.122570438844799
ACH-000222,-1.106506729368017
ACH-000223,-1.285774384680084
ACH-000226,-1.0350803127192212
ACH-000227,-1.0222814889303191
ACH-000228,-1.2256604003820384
ACH-000231,-1.1418214843275805
ACH-000232,-1.0865959639249412
ACH-000233,-1.0893735829532494
ACH-000234,-0.9781089892769356
ACH-000235,-1.0326207751213263
ACH-000237,-0.9085484289986636
ACH-000238,-0.9664264929075348
ACH-000242,-1.1193537616405336
ACH-000243,-0.9822546892821796
ACH-000244,-1.082867224804983
ACH-000246,-1.1419267956661658
ACH-000248,-0.6283028212569182
ACH-000250,-1.0895034216291324
ACH-000251,-1.0752494542033495
ACH-000252,-1.2062743528106483
ACH-000253,-1.1339485700355254
ACH-000255,-0.8779405332590249
ACH-000256,-1.4063363808624052
ACH-000257,-1.1532382301224386
ACH-000258,-0.8801895829886119
ACH-000259,-1.010009955878686
ACH-000260,-1.0628797202435687
ACH-000261,-0.9996039665510932
ACH-000262,-1.221440568681086
ACH-000263,-0.9466404271725748
ACH-000264,-1.3001580446484298
ACH-000265,-0.967989735885222
ACH-000266,-1.096484544483758
ACH-000272,-0.9008152425577964
ACH-000274,-1.1105893174651218
ACH-000277,-1.179326113319958
ACH-000278,-1.0306732484146741
ACH-000279,-1.205668047744112
ACH-000280,-0.8816374242759039
ACH-000281,-1.1487961665818691
ACH-000288,-1.079994022059377
ACH-000291,-0.9679291081406556
ACH-000293,-1.1493137706872427
ACH-000294,-0.9632363414656994
ACH-000295,-1.0509619504050485
ACH-000296,-1.1291575378173746
ACH-000302,-1.0499601641670129
ACH-000304,-0.9853834604317308
ACH-000307,-0.9523314354734636
ACH-000308,-1.260774827593395
ACH-000310,-1.0343719052859006
ACH-000311,-0.7930724655525092
ACH-000312,-0.9270930069295212
ACH-000315,-1.2171540972774484
ACH-000316,-0.9254312244301852
ACH-000317,-0.7161697866825135
ACH-000318,-0.7580012849176486
ACH-000319,-1.2284871380646285
ACH-000320,-0.8524976959667537
ACH-000322,-1.1261276485053444
ACH-000323,-1.4406125365931457
ACH-000324,-0.8742335729155754
ACH-000329,-1.1774640392097844
ACH-000330,-1.0926688809661924
ACH-000331,-1.003159501010015
ACH-000332,-1.012805077423749
ACH-000334,-0.8585539833134128
ACH-000335,-1.152597660063066
ACH-000336,-1.0103901352741291
ACH-000337,-0.997220235799662
ACH-000338,-0.5516637497549842
ACH-000339,-1.08599286277338
ACH-000341,-0.9007194321649292
ACH-000348,-1.0844000966394525
ACH-000350,-0.7497399518545527
ACH-000352,-0.8587202331885331
ACH-000356,-1.1190920746658868
ACH-000361,-1.1501972044157096
ACH-000362,-0.7501437215043945
ACH-000363,-1.1276579033629146
ACH-000364,-1.0465406644628832
ACH-000365,-1.1692044082148936
ACH-000366,-1.048865811448229
ACH-000368,-1.1706110732329544
ACH-000374,-1.0889278791180528
ACH-000375,-1.0626769838156944
ACH-000376,-1.0522748024336577
ACH-000381,-0.8838142067562731
ACH-000383,-1.035515711621295
ACH-000387,-0.7885956707666677
ACH-000389,-0.9961310196837484
ACH-000390,-1.1616048842190312
ACH-000393,-0.9206811467953954
ACH-000395,-0.9168039651737384
ACH-000396,-1.1045067149066994
ACH-000397,-0.9258925053654644
ACH-000401,-1.0962795555718468
ACH-000402,-1.0073767073134008
ACH-000403,-1.2359101384506863
ACH-000404,-1.1479760399160588
ACH-000406,-1.0825488192431418
ACH-000407,-0.9224073861189284
ACH-000408,-1.1012085868192838
ACH-000410,-1.081139293291728
ACH-000411,-0.9365865797874828
ACH-000414,-0.9554328896732118
ACH-000415,-1.083126588717582
ACH-000416,-1.1460413318600815
ACH-000420,-0.5838877492721102
ACH-000421,-1.1214007424061407
ACH-000424,-0.9190188726208904
ACH-000425,-1.1820462014319189
ACH-000426,-1.0264805824149603
ACH-000427,-0.9237541326115112
ACH-000433,-1.1670879215842422
ACH-000435,-0.7925667439849856
ACH-000436,-0.902386055227546
ACH-000444,-0.77511584440975
ACH-000445,-1.2455904444178458
ACH-000448,-0.7022308535710544
ACH-000450,-1.020100548686821
ACH-000452,-1.036622318858955
ACH-000454,-0.9495680873946032
ACH-000458,-1.1380162203643147
ACH-000459,-1.0995287621464067
ACH-000460,-1.0094687624325431
ACH-000461,-0.5664075984585124
ACH-000463,-0.91189225499981
ACH-000464,-0.8921860213016309
ACH-000466,-0.7854707987620482
ACH-000467,-1.110836324988454
ACH-000468,-1.0121649220399522
ACH-000469,-0.8335528688155219
ACH-000470,-1.344924721026134
ACH-000471,-0.8252217995583462
ACH-000472,-0.8260013365109162
ACH-000473,-1.1634388814588517
ACH-000475,-0.9535337289658116
ACH-000476,-0.586175871353213
ACH-000477,-0.6030413683560957
ACH-000479,-1.402691894208267
ACH-000480,-0.7393884455769457
