,PAICS (10606)
ACH-000004,-0.8292100617631604
ACH-000005,-0.930171037515382
ACH-000007,-0.5941735621408403
ACH-000009,-0.4608821898961073
ACH-000011,-0.53752016766939
ACH-000012,-0.16636734094436803
ACH-000013,0.02055628890514357
ACH-000014,-0.479866894930624
ACH-000015,-0.2987593303644958
ACH-000017,-0.8057439656437313
ACH-000018,-0.3207570205726627
ACH-000019,-0.5431715255619526
ACH-000021,-0.13016026254982085
ACH-000022,-0.40108029555892544
ACH-000025,-0.6615643816800231
ACH-000028,-0.6136819239403609
ACH-000030,-0.9570116488389676
ACH-000035,-0.3633218280302394
ACH-000036,-0.07564164325720321
ACH-000037,-0.5034099553897827
ACH-000039,-0.09697399853047116
ACH-000040,-0.3085590525616804
ACH-000041,-0.4919441416404115
ACH-000042,-0.2868192719253725
ACH-000045,-0.5288238095739803
ACH-000047,-0.5635863883945122
ACH-000052,-0.11451771794130534
ACH-000053,-0.7810375828150968
ACH-000054,-0.24883691139258896
ACH-000055,-0.03236861935954837
ACH-000060,-0.15157565863556474
ACH-000067,-0.27508592567792417
ACH-000070,-0.7243935911641192
ACH-000075,-0.42262826567088496
ACH-000078,-0.273082517638805
ACH-000082,-0.2831725442173688
ACH-000085,-0.012050918838375724
ACH-000086,-0.09970708174344764
ACH-000087,-0.3775785180626586
ACH-000092,-0.19210711229955266
ACH-000095,0.0243528338434902
ACH-000097,-0.6859389662813992
ACH-000098,-0.3050561946029597
ACH-000099,-0.4961023239096497
ACH-000108,-0.8390527334829736
ACH-000113,0.2222474802994907
ACH-000116,-0.15348382332642985
ACH-000118,0.14225700430987162
ACH-000120,-0.034641028042583955
ACH-000123,-0.2370852285180068
ACH-000127,-0.7916341693183885
ACH-000128,-0.3762032711478892
ACH-000132,-0.19840823987554174
ACH-000133,-0.21165873554537573
ACH-000137,-0.2729680729637019
ACH-000138,-0.6105431027425068
ACH-000142,-0.3899279219460813
ACH-000143,-0.2408099513130043
ACH-000146,-0.6398066426078725
ACH-000148,-0.18967812007129006
ACH-000150,0.029142124648967812
ACH-000152,-0.2498050062352046
ACH-000153,-0.3788123251343484
ACH-000159,-0.7238419582521223
ACH-000160,-0.3933657519225817
ACH-000163,-0.4748505988911572
ACH-000167,-0.17581155557544714
ACH-000168,-0.4384698070696745
ACH-000169,-0.19877370768953767
ACH-000178,-0.6086968278508201
ACH-000183,-0.6652499194385532
ACH-000188,-0.09376751148568788
ACH-000189,-0.5665757499298735
ACH-000190,-0.2371780120536164
ACH-000198,-0.4142901146644843
ACH-000203,-0.6393785336553588
ACH-000204,-0.3276800150661417
ACH-000206,-0.4619905484940388
ACH-000207,-0.4424666393332106
ACH-000208,-0.2528518104070121
ACH-000210,-0.35363402686090045
ACH-000211,-0.2528968305711424
