,PLA2G4E (123745)
ACH-000004,-0.08338163932042783
ACH-000005,0.07491401571011097
ACH-000007,0.06280222832413095
ACH-000009,-0.2050267283305317
ACH-000011,-0.18013690077560066
ACH-000012,-0.23821752679101016
ACH-000013,-0.10663670061571523
ACH-000014,-0.2546285427046705
ACH-000015,-0.15143398195909666
ACH-000017,-0.02699134027194182
ACH-000018,-0.03915405536190497
ACH-000019,-0.09603401311858692
ACH-000021,-0.0901681975650178
ACH-000022,-0.17063021303101136
ACH-000025,-0.12463766704937415
ACH-000028,0.02790999562195072
ACH-000030,-0.17837778694877382
ACH-000035,0.0006372782991050515
ACH-000036,-0.07088596987616666
ACH-000037,-0.1227736290073244
ACH-000039,-0.3989487755661371
ACH-000040,-0.17363961195219213
ACH-000041,-0.2374063313704028
ACH-000042,-0.015648740127956248
ACH-000045,-0.060416926476903623
ACH-000047,-0.18724122910896576
ACH-000052,-0.07887497857509766
ACH-000053,-0.06714912491817415
ACH-000054,-0.14954346667055954
ACH-000055,0.0012547252729964132
ACH-000060,-0.16267646958093282
ACH-000067,-0.1047741049809449
ACH-000070,-0.09326277664608204
ACH-000075,-0.1314996573788778
ACH-000078,-0.19730253399201736
ACH-000082,-0.1444528694383799
ACH-000085,-0.10846721813810976
ACH-000086,-0.1544958390546202
ACH-000087,0.00788693248681224
ACH-000092,-0.0705291244360554
ACH-000095,-0.07743149412571561
ACH-000097,-0.060838541731406424
ACH-000098,-0.02578169268589819
ACH-000099,-0.2209496384716912
ACH-000108,-0.1533993850061386
ACH-000113,-0.1438817726437151
ACH-000116,-0.2071502300279668
ACH-000118,0.02142144485511344
ACH-000120,-0.04349596958604747
ACH-000123,-0.1468566380191712
ACH-000127,-0.1445085593349849
ACH-000128,-0.18967063457546274
ACH-000132,-0.24186507445797964
ACH-000133,-0.11012792171410013
ACH-000137,-0.10151825714641696
ACH-000138,-0.003739703657168981
ACH-000142,-0.18307522956848926
ACH-000143,-0.15654397850494164
ACH-000146,-0.21291471292626196
ACH-000148,-0.0295432477508642
ACH-000150,-0.09125649625469996
ACH-000152,-0.06283839581127931
ACH-000153,-0.2636425346300587
ACH-000159,-0.014347576563092362
ACH-000160,-0.21145589477899676
ACH-000163,-0.11269628723004448
ACH-000167,0.05597954222375556
ACH-000168,-0.1875826819079786
ACH-000169,-0.09367915991360312
ACH-000178,-0.1028880516308236
ACH-000183,-0.09159858170473313
ACH-000188,-0.17535193082740844
ACH-000189,-0.03232356431454547
ACH-000190,-0.29334197831620906
ACH-000198,-0.20839036856777116
ACH-000203,-0.5509774257924039
ACH-000204,-0.5021586346397054
ACH-000206,-0.23667049836496465
ACH-000207,-0.3146982732026721
ACH-000208,-0.116513005486666
ACH-000210,-0.2386493018555043
ACH-000211,-0.1054435052604096
ACH-000215,-0.05871839167495735
ACH-000221,-0.1757374389821255
ACH-000222,-0.21003453825928128
ACH-000223,-0.16048092280535706
ACH-000226,-0.1003886275316239
ACH-000227,-0.14350009767307734
ACH-000228,-0.19042835894112328
ACH-000231,-0.0825620806203023
ACH-000232,-0.0888356076759345
ACH-000233,-0.1297395838407391
ACH-000234,-0.2189965987622716
ACH-000235,-0.15290371664044558
ACH-000237,-0.046458716686799455
ACH-000238,-0.2070503022997438
ACH-000242,-0.14198752572080595
ACH-000243,-0.16325741002775254
ACH-000244,-0.17433816662313248
ACH-000246,-0.11662648404133147
ACH-000248,-0.17305439534813916
ACH-000250,-0.1648358088903543
ACH-000251,-0.1851975683294598
ACH-000252,-0.12955780779647225
ACH-000253,-0.01285662317074672
ACH-000255,-0.20681872270847268
ACH-000256,-0.06510768080410599
ACH-000257,-0.28777444417237824
ACH-000258,-0.32553617845356103
ACH-000259,-0.11787076627276125
ACH-000260,-0.1848343016823847
ACH-000261,-0.17572033586543692
ACH-000262,-0.058454531850107135
ACH-000263,-0.2179659994885272
ACH-000264,-0.15409957448550285
ACH-000265,-0.2400345577683617
ACH-000266,-0.11534378439375555
ACH-000272,-0.2217956088858816
ACH-000274,-0.20378705416151735
ACH-000277,-0.1710534107698223
ACH-000278,-0.07546753207780528
ACH-000279,-0.2128116194188628
ACH-000280,-0.050519946580443884
ACH-000281,-0.032947212020078075
ACH-000288,-0.0614293341014488
ACH-000291,-0.14903056660027386
ACH-000293,-0.06073480217238957
ACH-000294,-0.2886877674029893
ACH-000295,-0.2292857815263829
ACH-000296,-0.15513983520708907
ACH-000302,-0.1941927806287692
ACH-000304,-0.2221238936201762
ACH-000307,-0.06083196269165765
ACH-000308,-0.15644049370912533
ACH-000310,-0.20897706721934697
ACH-000311,-0.0976125955963821
ACH-000312,-0.18086853375770048
ACH-000315,-0.10313319013175144
ACH-000316,-0.03729985013904792
ACH-000317,-0.06964530730733265
ACH-000318,-0.12439594832252665
ACH-000319,-0.2658752598678981
ACH-000320,-0.011646250622370373
ACH-000322,0.016871706688841366
ACH-000323,-0.09988240102005824
ACH-000324,-0.041721925138467286
ACH-000329,-0.15735210044873668
ACH-000330,-0.10564941092247022
ACH-000331,-0.18117106814458447
ACH-000332,-0.0387735809289668
ACH-000334,-0.024145011939628303
ACH-000335,-0.10561942031913847
ACH-000336,-0.110140802066588
ACH-000337,0.050324242255968286
ACH-000338,-0.3487304754025629
ACH-000339,-0.08753499253102645
ACH-000341,-0.13038117621849862
ACH-000348,-0.16973979054477886
ACH-000350,-0.16171454741929747
ACH-000352,-0.024024932634024904
ACH-000356,-0.014731613785597791
ACH-000361,-0.34131545646598216
ACH-000362,-0.1859667640317437
ACH-000363,-0.17832060887371562
ACH-000364,-0.12546050075568185
ACH-000365,-0.15019248838367072
ACH-000366,-0.16280743846833431
ACH-000368,-0.04528038647467767
ACH-000374,-0.1410257733642616
ACH-000375,-0.2758830069259504
ACH-000376,-0.12689013077521302
ACH-000381,-0.012873312792343387
ACH-000383,-0.19159974983219585
ACH-000387,-0.08649701247129128
ACH-000389,0.06610443680248344
ACH-000390,-0.15930945062042065
ACH-000393,-0.1333176027858055
ACH-000395,-0.06481534891614094
ACH-000396,0.0677289734757193
ACH-000397,0.010753522719828592
ACH-000401,-0.004510457517725176
ACH-000402,-0.34496345786288946
ACH-000403,-0.1523033745879195
ACH-000404,-0.3944523729597729
ACH-000406,-0.044431374637860295
ACH-000407,-0.19703376244043225
ACH-000408,-0.0644063957741332
ACH-000410,-0.16510786845164893
ACH-000411,-0.05396617073307
ACH-000414,-0.03364358929564516
ACH-000415,-0.1260302354382135
ACH-000416,-0.08892323438465215
ACH-000420,-0.29610672398786403
ACH-000421,-0.09014848770898322
ACH-000424,-0.2574957403523819
ACH-000425,-0.07135707687639875
ACH-000426,-0.19224062930229172
ACH-000427,-0.11788369987098192
ACH-000433,-0.032491570673774096
ACH-000435,-0.04555894937822468
