,CREBZF (58487)
ACH-000004,-0.2320431459525329
ACH-000005,-0.17898351870355764
ACH-000007,0.024100950307741845
ACH-000009,-0.2260507006932293
ACH-000011,-0.30236223555253405
ACH-000012,-0.053278574403424775
ACH-000013,-0.1197793784358928
ACH-000014,-0.07073757968954053
ACH-000015,-0.09708795198294473
ACH-000017,-0.14741325492287194
ACH-000018,-0.1838596111271395
ACH-000019,-0.27320139587971026
ACH-000021,-0.08479991894173032
ACH-000022,-0.07657862596755012
ACH-000025,0.00019849014599759642
ACH-000028,-0.1882540262558469
ACH-000030,-0.2113328207078376
ACH-000035,-0.12837211874406287
ACH-000036,-0.1811080221378503
ACH-000037,-0.06850526476485279
ACH-000039,-0.2227532557306854
ACH-000040,-0.19309433850950025
ACH-000041,-0.04478425978012684
ACH-000042,-0.15216681668916074
ACH-000045,-0.1934982941342132
ACH-000047,-0.06584617500888375
ACH-000052,-0.2983821527385511
ACH-000053,-0.1647508881253811
ACH-000054,-0.12667196927880126
ACH-000055,-0.06041468538610621
ACH-000060,-0.001253665563321434
ACH-000067,0.017285017227198666
ACH-000070,0.05188364659344658
ACH-000075,-0.06124605326892212
ACH-000078,0.03616862748773228
ACH-000082,-0.12563856626095948
ACH-000085,-0.15553263905252987
ACH-000086,-0.1322658868888854
ACH-000087,-0.17926606547385388
ACH-000092,-0.06974978664281183
ACH-000095,-0.07295097931524944
ACH-000097,-0.3244188956339289
ACH-000098,-0.18583772710732424
ACH-000099,-0.0683387511819561
ACH-000108,-0.08683063837790292
ACH-000113,-0.2659872354171812
ACH-000116,-0.1838873684330543
ACH-000118,-0.17436223042090193
ACH-000120,-0.09693260734784877
ACH-000123,-0.2001637903137844
ACH-000127,-0.1254955615654658
ACH-000128,-0.1682946758703065
ACH-000132,-0.21102982107595197
ACH-000133,-0.1323514957060375
ACH-000137,-0.08087295742732874
ACH-000138,-0.14168453878963613
ACH-000142,-0.12214134616734015
ACH-000143,-0.05151937922985896
ACH-000146,-0.12478349989748055
ACH-000148,-0.08528228592498606
ACH-000150,-0.06913374119844537
ACH-000152,-0.1885861137025526
ACH-000153,0.02887549701865873
ACH-000159,-0.13816786082198568
ACH-000160,-0.06995201951686011
ACH-000163,-0.0292121230044599
ACH-000167,-0.2974800579925735
ACH-000168,-0.1188197804450956
ACH-000169,-0.09275401775062106
ACH-000178,-0.07538023276267987
ACH-000183,-0.24915613703713585
ACH-000188,-0.09784463272464994
ACH-000189,-0.269254933639426
ACH-000190,-0.01845280388238221
ACH-000198,-0.22318044511982527
ACH-000203,-0.2313117375571495
ACH-000204,-0.08915453434338337
ACH-000206,-0.2558246333374519
ACH-000207,-0.40613870223984794
ACH-000208,-0.00329491325944026
ACH-000210,-0.2196580913519536
ACH-000211,-0.07624924307565074
ACH-000215,-0.08721584020365229
ACH-000221,-0.07266648962031744
ACH-000222,-0.0730910754498891
ACH-000223,-0.04879904307005942
ACH-000226,-0.11708405040795697
ACH-000227,-0.023485806412339917
ACH-000228,-0.4513079359410743
ACH-000231,-0.1651956729751637
ACH-000232,-0.2095091452601328
ACH-000233,-0.11661762390335223
ACH-000234,-0.07486492704361045
ACH-000235,-0.12410656752876875
ACH-000237,-0.23530724254523894
ACH-000238,-0.16806729483034796
ACH-000242,-0.045384889572734295
ACH-000243,-0.06340969551944665
ACH-000244,-0.03596994583534857
ACH-000246,-0.14206006528694484
ACH-000248,-0.03405564370444046
ACH-000250,-0.10565109294417008
ACH-000251,-0.25865371172683
ACH-000252,-0.14385911582932345
ACH-000253,-0.12115758981274788
ACH-000255,-0.15641945165901472
ACH-000256,-0.14127425042912814
ACH-000257,-0.15681344432859148
ACH-000258,0.061516681350867325
ACH-000259,-0.02041871548781549
ACH-000260,-0.07031126714958083
ACH-000261,-0.07348500065174259
ACH-000262,-0.03410678256317321
ACH-000263,0.11448294868455608
ACH-000264,-0.16069577043298874
ACH-000265,-0.23439388760138255
ACH-000266,-0.1105054997813541
ACH-000272,-0.036726939687644115
ACH-000274,-0.038516834028327215
ACH-000277,-0.10092469762204297
ACH-000278,-0.3062027848185553
ACH-000279,-0.16542056086620108
ACH-000280,-0.08655330581574082
ACH-000281,-0.1029659273951257
ACH-000288,-0.12268119784960616
ACH-000291,0.023182497544053327
ACH-000293,-0.27475114608338885
ACH-000294,-0.2731191443967335
ACH-000295,-0.035473945718768475
ACH-000296,0.08684188522200126
ACH-000302,-0.08937497361417503
ACH-000304,0.01698927155957802
ACH-000307,-0.10888096791585043
ACH-000308,-0.15183161999547162
ACH-000310,-0.014313879091897769
ACH-000311,-0.1367420474373365
ACH-000312,-0.279516965513934
ACH-000315,-0.1409366864184491
ACH-000316,-0.13412909706600487
ACH-000317,-0.11064205214897943
ACH-000318,0.017864362168134633
ACH-000319,-0.1913820704760327
ACH-000320,-0.2284925635026701
ACH-000322,-0.099497555893196
ACH-000323,-0.08713045874179437
ACH-000324,-0.01899099624980259
ACH-000329,-0.08025064585040895
ACH-000330,-0.12125870119642812
ACH-000331,-0.2458868386887837
ACH-000332,-0.15810998196923498
ACH-000334,-0.1736922909342618
ACH-000335,-0.2943347454994535
ACH-000336,-0.27273906243208595
ACH-000337,0.1516689940517708
ACH-000338,-0.1059622268013197
ACH-000339,0.01570543299846985
ACH-000341,0.09671634058226836
ACH-000348,-0.07635258939622053
ACH-000350,-0.21456222835827715
ACH-000352,-0.15661924348018574
ACH-000356,-0.11049584692585633
ACH-000361,0.13873431783630227
ACH-000362,-0.21524645658831965
ACH-000363,-0.15986252265857295
ACH-000364,-0.17614944450646344
ACH-000365,-0.0717462433278822
ACH-000366,-0.2734731512772025
