,DFFA (1676)
ACH-000004,-0.1256814066892342
ACH-000005,0.3475059147875256
ACH-000007,-0.011596306955429831
ACH-000009,-0.0250976738766043
ACH-000011,0.055600830766973766
ACH-000012,0.07313508720219032
ACH-000013,0.08237837109951131
ACH-000014,-0.1608705715668826
ACH-000015,0.029575495240870237
ACH-000017,-0.044821160684239865
ACH-000018,-0.012025152032393623
ACH-000019,0.08330238065468391
ACH-000021,-0.06611166607239988
ACH-000022,-0.035323273850380095
ACH-000025,-0.13157465651903255
ACH-000028,0.017343022731288838
ACH-000030,-0.07460388595565252
ACH-000035,-0.21893645478928908
ACH-000036,0.035231196218283516
ACH-000037,0.004038215749928034
ACH-000039,0.11000888040860117
ACH-000040,-0.22879174465845156
ACH-000041,-0.11503330422983495
ACH-000042,-0.12118173548776387
ACH-000045,0.13118826647645887
ACH-000047,0.09592763487951217
ACH-000052,-0.1531407010066817
ACH-000053,-0.05816933280643277
ACH-000054,-0.04404668765648896
ACH-000055,-0.009726202902369332
ACH-000060,-0.2463730244201264
ACH-000067,-0.16985546770945786
ACH-000070,-0.12013905130112985
ACH-000075,0.04471585861909735
ACH-000078,0.05635272992174814
ACH-000082,-0.06708088120146427
ACH-000085,0.07975857468845454
ACH-000086,-0.0802167528746026
ACH-000087,-0.005250942205360671
ACH-000092,-0.048822804970359616
ACH-000095,-0.08947252960551777
ACH-000097,-0.09652744081976583
ACH-000098,-0.09039381175867647
ACH-000099,0.055774189124625485
ACH-000108,-0.1438593557068251
ACH-000113,-0.011210718302841606
ACH-000116,-0.07528264788350529
ACH-000118,-0.008514765582188102
ACH-000120,0.011617363211975158
ACH-000123,0.048851328507747815
ACH-000127,0.030534187261142542
ACH-000128,-0.1313107856588584
ACH-000132,0.027175333140570437
ACH-000133,-0.07257980340221823
ACH-000137,0.04788705310027936
ACH-000138,-0.06878910467396733
ACH-000142,0.1127288246323238
ACH-000143,0.1640506570005638
ACH-000146,-0.06313366400256598
ACH-000148,-0.005208813874033057
ACH-000150,-0.2274216174714584
ACH-000152,-0.08846486398310084
ACH-000153,-0.23690632964948294
ACH-000159,-0.058688154034514016
ACH-000160,0.08887115776651035
ACH-000163,0.022535398897697616
ACH-000167,0.17069157493415052
ACH-000168,-0.1418354627533565
ACH-000169,0.017153155569725343
ACH-000178,-0.18208345189692235
ACH-000183,-0.14998386345725406
ACH-000188,-0.2083554331937316
ACH-000189,0.14389640523220876
