,APC2 (10297)
ACH-000004,-0.06306917035076111
ACH-000005,-0.32940367116074915
ACH-000007,-0.18611562828235453
ACH-000009,-0.13166882391158544
ACH-000011,-0.14670857192486256
ACH-000012,-0.16759674813350772
ACH-000013,-0.14145400532657054
ACH-000014,-0.05591404304938584
ACH-000015,-0.15152498957491353
ACH-000017,-0.15277724922990346
ACH-000018,-0.05040450509793384
ACH-000019,-0.07857407636753902
ACH-000021,-0.2433638316783256
ACH-000022,-0.3903662511050144
ACH-000025,-0.1787694816119591
ACH-000028,-0.17381181600574858
ACH-000030,-0.09957655430012624
ACH-000035,-0.18790927993745407
ACH-000036,-0.2358030187357711
ACH-000037,-0.14077718379454712
ACH-000039,-0.07760880273643864
ACH-000040,-0.06234236550230756
ACH-000041,-0.1391854296533236
ACH-000042,-0.0907263956046705
ACH-000045,-0.35154995238958336
ACH-000047,-0.1388745130493235
ACH-000052,-0.07001322082543808
ACH-000053,-0.0812398960195706
ACH-000054,-0.16609520210036854
ACH-000055,0.005476512955869526
ACH-000060,-0.07990669520529688
ACH-000067,-0.11331457431888832
ACH-000070,0.03617633320939365
ACH-000075,-0.2982083262584748
ACH-000078,-0.21201515990299893
ACH-000082,-0.12281391373070485
ACH-000085,-0.1960689011868952
ACH-000086,-0.15214768097701573
ACH-000087,-0.17031800841439593
ACH-000092,-0.15732765661297474
ACH-000095,-0.1565834672440949
ACH-000097,-0.04123715372680595
ACH-000098,-0.2032150277897726
ACH-000099,-0.2717848307800589
ACH-000108,-0.0913264746145798
ACH-000113,-0.2035417643775667
ACH-000116,-0.1176600016076686
ACH-000118,-0.2182941966062656
ACH-000120,-0.15377593622138433
ACH-000123,-0.082137659905853
ACH-000127,-0.2406428838595704
ACH-000128,-0.1865185344333475
ACH-000132,-0.1290205899246971
ACH-000133,-0.11604136769529208
ACH-000137,-0.19026458039726205
ACH-000138,-0.2867820800298028
ACH-000142,-0.34724953192971425
ACH-000143,-0.17582675223514785
ACH-000146,-0.1904167944535788
ACH-000148,-0.12488694826051955
ACH-000150,-0.10114939501770956
ACH-000152,-0.0015375966962133914
ACH-000153,0.12543306415168445
ACH-000159,-0.04699497984654534
ACH-000160,0.020134786967840827
ACH-000163,-0.0046388305107511844
ACH-000167,-0.05189209024403583
ACH-000168,-0.027438033021538282
ACH-000169,-0.2019719466161442
ACH-000178,-0.2058298172217298
ACH-000183,-0.1440286051205602
ACH-000188,-0.15606820894214604
ACH-000189,-0.11045276827997692
ACH-000190,-0.17585471632814192
ACH-000198,-0.13248029311003778
ACH-000203,-0.5520823852347377
ACH-000204,-0.13713862094156584
ACH-000206,-0.04884298662957861
ACH-000207,-0.058564928332907024
ACH-000208,-0.18639269168425224
ACH-000210,0.10204335824778267
ACH-000211,-0.2089096297571262
ACH-000215,-0.2084106976432753
ACH-000221,-0.05085210934844588
ACH-000222,-0.2509657847726912
ACH-000223,-0.21415542539521834
ACH-000226,-0.1212004525620378
ACH-000227,-0.1377310281970522
ACH-000228,0.04694467322581368
ACH-000231,-0.038533486549565385
ACH-000232,-0.13516991899540426
ACH-000233,-0.2507485063650455
ACH-000234,-0.3805867599949674
ACH-000235,-0.14835268875501872
ACH-000237,-0.16264451712365674
ACH-000238,-0.09404892726610233
ACH-000242,-0.2406374986723749
ACH-000243,-0.07058336995436493
ACH-000244,-0.13711890264683707
ACH-000246,-0.20284765711920288
ACH-000248,-0.3348664844088558
ACH-000250,-0.14280775414488214
ACH-000251,-0.1345423752241949
ACH-000252,-0.07063349968434939
ACH-000253,-0.21590899486099926
ACH-000255,-0.15871418170201548
ACH-000256,-0.0005815338501773552
ACH-000257,-0.09134213998569628
ACH-000258,-0.10799466333730558
ACH-000259,-0.21904913732697812
ACH-000260,-0.28806985316173256
ACH-000261,-0.09636294051251833
ACH-000262,-0.11334978143621666
ACH-000263,-0.20480493632419133
ACH-000264,-0.2119232827351568
ACH-000265,-0.05196187954549794
ACH-000266,-0.24442586405984246
ACH-000272,-0.17224564594885247
ACH-000274,-0.12448481994401644
ACH-000277,-0.24682255407093795
ACH-000278,-0.1790234944968785
ACH-000279,-0.12916692848322395
ACH-000280,-0.14957890381097425
ACH-000281,-0.07159871103639945
ACH-000288,-0.0074745914771124685
ACH-000291,-0.2149592778346748
ACH-000293,-0.2495819803761785
ACH-000294,-0.04733917880035361
ACH-000295,-0.19739421435092136
ACH-000296,-0.12217913280811453
ACH-000302,-0.2982403179593235
ACH-000304,-0.31070618728125265
ACH-000307,-0.12423598598794727
ACH-000308,-0.1486847477759363
ACH-000310,-0.05153664553753226
ACH-000311,-0.2257240782517726
ACH-000312,-0.17696049605653053
ACH-000315,-0.3396337228118626
ACH-000316,-0.06207916009014228
ACH-000317,-0.19827345053694512
ACH-000318,-0.0134699227413703
ACH-000319,-0.2869557272541253
ACH-000320,-0.22025956062653987
ACH-000322,-0.01694391487193889
ACH-000323,-0.039923114000039374
ACH-000324,-0.08054160529776005
ACH-000329,-0.061806517228412475
ACH-000330,-0.414400157294009
ACH-000331,-0.06387827802451836
ACH-000332,-0.13916918122201738
ACH-000334,0.02682740822398251
ACH-000335,-0.3981794602497775
ACH-000336,0.014030349871117856
ACH-000337,0.05281783301181875
ACH-000338,-0.25344540421543443
