,ATP6V1H (51606)
ACH-000004,-0.5984427701649052
ACH-000005,-0.4477775272057545
ACH-000007,-0.6038979593752214
ACH-000009,-0.5347512140477403
ACH-000011,-0.4182649375760484
ACH-000012,-0.7538588397992391
ACH-000013,-0.5113557469433933
ACH-000014,-0.4752889429109182
ACH-000015,-0.5594718155137944
ACH-000017,-0.4243433712189015
ACH-000018,-0.21971594329723468
ACH-000019,-0.5627720115735461
ACH-000021,-0.5900098640872136
ACH-000022,-0.3956140527239904
ACH-000025,-0.5035008311331989
ACH-000028,-0.5740199222299752
ACH-000030,-0.7055998492905127
ACH-000035,-0.620571189836429
ACH-000036,-0.3732536063959527
ACH-000037,-0.1995873565796665
ACH-000039,-0.6490417209081079
ACH-000040,-0.3984045663983405
ACH-000041,-0.4267033359837801
ACH-000042,-0.4608356190795099
ACH-000045,-0.5748392528749536
ACH-000047,-0.4542249806847322
ACH-000052,-0.06829378186960085
ACH-000053,-0.5807644833354312
ACH-000054,-0.5520375839842403
ACH-000055,-0.6660969293448832
ACH-000060,-0.7068610999858669
ACH-000067,-0.3594754271059696
ACH-000070,-0.5598960343792665
ACH-000075,-0.4940379899822605
ACH-000078,-0.2286276169609985
ACH-000082,-0.5157998823684621
ACH-000085,-0.7602109533340365
ACH-000086,-0.6397869812746485
ACH-000087,-0.6284035158842657
ACH-000092,-0.6613939359268982
ACH-000095,-0.38420402862588254
ACH-000097,-0.4743430910652405
ACH-000098,-0.5580994009373429
ACH-000099,-0.3636427635004216
ACH-000108,-0.5643232880258108
ACH-000113,-0.4390681436827736
ACH-000116,-0.54830088236768
ACH-000118,-0.6621768652495218
ACH-000120,-0.5573256104655032
ACH-000123,-0.7327464355993626
ACH-000127,-0.5561892360104079
ACH-000128,-0.42595760609830224
ACH-000132,-0.5615167662502704
ACH-000133,-0.4747990587920821
ACH-000137,-0.2640834667459188
ACH-000138,-0.5707308629508329
ACH-000142,-0.548626927198041
ACH-000143,-0.7146374177301585
ACH-000146,-0.5209303001230492
ACH-000148,-0.452890394191647
ACH-000150,-0.6121349051457045
ACH-000152,-0.4339445095610771
ACH-000153,-0.4567416634555618
ACH-000159,-0.7903731248288055
ACH-000160,-0.4434045540092066
ACH-000163,-0.2142595414995604
ACH-000167,-0.7245703400920702
ACH-000168,-0.1628832315020654
ACH-000169,-0.6676770714728244
ACH-000178,-0.6160973410594205
ACH-000183,-0.5700190724900812
ACH-000188,-0.6817689054891302
ACH-000189,-0.6729746402786695
ACH-000190,-0.8991483565971854
ACH-000198,-0.4622723494403626
ACH-000203,-0.7781826561180637
ACH-000204,-0.5157174181696208
ACH-000206,-0.5695221562890463
ACH-000207,-0.8084722226088603
ACH-000208,-0.7483333930960113
ACH-000210,-0.3164624578739729
ACH-000211,-0.4759247984935305
ACH-000215,-0.5998814043747028
ACH-000221,-0.5721786625695591
ACH-000222,-0.5092314199394713
ACH-000223,-0.5310123516030123
ACH-000226,-0.7496396768172471
ACH-000227,-0.3186969091126325
ACH-000228,-0.5654470467174202
ACH-000231,-0.5694183882192693
ACH-000232,-0.45025238092428826
ACH-000233,-0.4654523928404877
ACH-000234,-0.6718805202463225
ACH-000235,-0.5914379963749575
ACH-000237,-0.4561705770323955
ACH-000238,-0.4200048365807594
ACH-000242,-0.3703631971244022
ACH-000243,-0.736261762324381
ACH-000244,-0.5085583872075775
ACH-000246,-0.625641788947125
ACH-000248,-0.32092296275428944
ACH-000250,-0.7012804892230488
ACH-000251,-1.032616588346138
ACH-000252,-0.8266257700683415
ACH-000253,-0.5724441101044822
ACH-000255,-0.5054776895936302
ACH-000256,-0.8745028571880465
ACH-000257,-0.5517121032836565
ACH-000258,-0.4799367450890335
ACH-000259,-0.5551152945300781
ACH-000260,-0.5445648810328539
ACH-000261,-0.7611270705287008
ACH-000262,-0.43740007707418216
ACH-000263,-0.5485007655197345
ACH-000264,-0.6161784407009225
ACH-000265,-0.4294537307618744
ACH-000266,-0.8231713267788338
ACH-000272,-0.5810709716785094
ACH-000274,-0.18682956477919527
ACH-000277,-0.9527014651911287
ACH-000278,-0.6179115579196078
ACH-000279,-0.5053117065605995
ACH-000280,-0.55783871692304
ACH-000281,-0.4808765956664547
ACH-000288,-0.5078152766719043
ACH-000291,-0.5555245928775095
ACH-000293,-0.6929793012231702
ACH-000294,-0.6807807259693306
ACH-000295,-0.5232684752980148
ACH-000296,-0.8535346362168813
ACH-000302,-0.4373927724945307
ACH-000304,-0.5101026149521669
ACH-000307,-0.6610605374085761
ACH-000308,-0.7543294139221417
ACH-000310,-0.2220861336191504
ACH-000311,-0.4659961602833146
ACH-000312,-0.4732852250267336
ACH-000315,-0.4882315484839018
ACH-000316,-0.6738733267480457
ACH-000317,-0.6829019774140354
ACH-000318,-0.4804487015670668
ACH-000319,-0.4896687822261986
ACH-000320,-0.5109246871980273
ACH-000322,-0.5461778892297571
ACH-000323,0.00016459100347102765
ACH-000324,-0.4242713391512032
ACH-000329,-0.28861010811240384
ACH-000330,-0.6264679224958867
ACH-000331,-0.8326317007715803
ACH-000332,-0.5316266007640147
ACH-000334,-0.2109564693767944
ACH-000335,-0.7284671863611123
