,FOXS1 (2307)
ACH-000004,-0.43930000961853655
ACH-000005,-0.2396480315928694
ACH-000007,-0.17977040251912385
ACH-000009,-0.14729946185773835
ACH-000011,-0.08608704210834994
ACH-000012,-0.023603827215791656
ACH-000013,-0.0015999175212600054
ACH-000014,-0.12550971644050546
ACH-000015,-0.03621396409823577
ACH-000017,-0.1902925002316813
ACH-000018,-0.046071790414631976
ACH-000019,-0.11321495531149395
ACH-000021,-0.07567822178769243
ACH-000022,-0.12031082438437585
ACH-000025,-0.1951999906913724
ACH-000028,-0.07929546960005626
ACH-000030,-0.2101191466042837
ACH-000035,-0.3450342194088209
ACH-000036,-0.2314207198978596
ACH-000037,-0.028954756124179738
ACH-000039,-0.234302760719632
ACH-000040,-0.10043548023497907
ACH-000041,-0.21513318573014167
ACH-000042,-0.36386083548094056
ACH-000045,0.005097905917024821
ACH-000047,-0.1566989921721987
ACH-000052,-0.2741668024047526
ACH-000053,-0.2091048474589281
ACH-000054,-0.02171833291171811
ACH-000055,-0.0010371122754678477
ACH-000060,-0.29078303146564144
ACH-000067,-0.12621019376090747
ACH-000070,-0.06490707529739996
ACH-000075,-0.3126804216303857
ACH-000078,-0.033718712473008665
ACH-000082,-0.1234981199400722
ACH-000085,0.16980901470234214
ACH-000086,-0.029873089462669707
ACH-000087,-0.02878858724367603
ACH-000092,-0.15619972240534438
ACH-000095,-0.014924420654942231
ACH-000097,-0.12630984143398227
ACH-000098,0.04530971841820328
ACH-000099,-0.2109533869876687
ACH-000108,-0.3495580988694515
ACH-000113,-0.15482468428549692
ACH-000116,-0.20156793598601494
ACH-000118,-0.2656126226994419
ACH-000120,0.07336896361045994
ACH-000123,-0.1639490175219015
ACH-000127,-0.025759624943932455
ACH-000128,-0.18553147483577115
ACH-000132,0.02853275428458305
ACH-000133,-0.17901161831019993
ACH-000137,-0.07393008058929817
ACH-000138,-0.002342298606556662
ACH-000142,-0.013218546846669432
ACH-000143,-0.056782352223259
ACH-000146,-0.0981664401095082
ACH-000148,-0.12459194578508907
ACH-000150,-0.04865079578636107
ACH-000152,-0.2259325411192863
ACH-000153,-0.2934013918201097
ACH-000159,-0.07427118704787848
ACH-000160,-0.06207934979311532
ACH-000163,-0.3816352405076459
ACH-000167,-0.2273936835780152
ACH-000168,-0.06603405419679474
ACH-000169,-0.005625005697816007
ACH-000178,-0.050384704946789885
ACH-000183,-0.07773091525279888
ACH-000188,-0.15141540530680106
ACH-000189,-0.14245804269404191
ACH-000190,-0.007319278759902253
ACH-000198,-0.10561077578403204
ACH-000203,0.4659459676144285
ACH-000204,-0.18070502096933788
ACH-000206,-0.11412036799752813
ACH-000207,0.02825821166520852
ACH-000208,-0.02351292422359962
ACH-000210,-0.10428941591529534
ACH-000211,-0.11713923689766699
ACH-000215,-0.20655207283483895
ACH-000221,-0.03126033149209462
ACH-000222,-0.12339850292479412
ACH-000223,-0.0008760560009766442
ACH-000226,-0.19206839021806246
ACH-000227,-0.03940104883989146
ACH-000228,-0.10599951330611627
ACH-000231,-0.24870476702237654
ACH-000232,-0.13723741892897642
ACH-000233,-0.17848427799348335
ACH-000234,-0.17775137465923385
ACH-000235,-0.09942128123255374
ACH-000237,-0.06532453143393738
ACH-000238,-0.007996771527729266
ACH-000242,-0.4073544645183991
ACH-000243,-0.14932083377360555
ACH-000244,0.008988225805199191
ACH-000246,-0.08678869932742678
ACH-000248,0.06419473377298518
ACH-000250,-0.1237687848553109
ACH-000251,-0.02212495087756357
ACH-000252,-0.08056336584889179
ACH-000253,-0.20021193868129
ACH-000255,-0.3409794560246601
ACH-000256,0.008883104977743245
ACH-000257,-0.1864424983775554
ACH-000258,-0.029101737925985145
ACH-000259,-0.03907458946487686
ACH-000260,-0.24740312617565316
ACH-000261,-0.24295864318889585
ACH-000262,-0.22403147487421352
ACH-000263,-0.010920526596166678
ACH-000264,-0.23325283674924285
ACH-000265,-0.13042891545695262
ACH-000266,-0.020849610246480615
ACH-000272,-0.0941934490804922
ACH-000274,-0.2116169837279776
ACH-000277,-0.2055919006668349
ACH-000278,0.05945182648092081
ACH-000279,0.028901610861827118
ACH-000280,-0.1498509607307314
ACH-000281,-0.08290673363234434
ACH-000288,-0.06816001367411395
ACH-000291,-0.2504672286167429
ACH-000293,0.0019243073919144567
ACH-000294,-0.1389659260392576
ACH-000295,-0.1898424081843464
ACH-000296,-0.12091375232938155
ACH-000302,-0.06485555022285311
ACH-000304,-0.11682268981561385
ACH-000307,0.006359796880591231
ACH-000308,-0.14360246805669102
ACH-000310,-0.06848649860477961
ACH-000311,-0.09737127777929444
ACH-000312,-0.07574273171735194
ACH-000315,-0.20543043685003265
ACH-000316,-0.13717923255556205
ACH-000317,-0.2178242960913161
ACH-000318,0.044734982498365335
ACH-000319,0.09926695083849776
ACH-000320,-0.12306624193142665
ACH-000322,0.06496866003185359
ACH-000323,-0.01823111852243051
ACH-000324,-0.060615104863927224
ACH-000329,-0.15037465541689718
ACH-000330,-0.1561868208309649
ACH-000331,-0.06789804621173609
ACH-000332,-0.09728688134246134
ACH-000334,-0.1457248591535369
ACH-000335,0.05586605711460365
ACH-000336,-0.051654808593036006
ACH-000337,-0.042016849620442255
ACH-000338,-0.4178545158999845
ACH-000339,0.08426729047811887
ACH-000341,-0.06071364397883682
ACH-000348,-0.23854627155779604
ACH-000350,-0.24589015503573894
ACH-000352,-0.13547217223599392
ACH-000356,-0.3662918338484128
ACH-000361,-0.24628311167760605
ACH-000362,-0.19607358080516507
ACH-000363,-0.1967374435847617
ACH-000364,0.14766430142467582
ACH-000365,-0.3002592509793617
ACH-000366,-0.1429604444968801
ACH-000368,-0.20825275290671516
ACH-000374,-0.22251576765751366
ACH-000375,-0.3097550791593185
ACH-000376,-0.3471189265286941
ACH-000381,-0.17631475063548285
ACH-000383,-0.10358686704105476
ACH-000387,-0.3106532952387873
ACH-000389,-0.005834525816053918
ACH-000390,-0.005903404680133258
ACH-000393,-0.019684066481145502
ACH-000395,0.03021767967575245
ACH-000396,-0.2926697712014216
ACH-000397,0.012955778892724205
ACH-000401,-0.2620172400908749
ACH-000402,0.1013262127693906
ACH-000403,-0.16903938529227294
ACH-000404,-0.12546550152080335
ACH-000406,-0.10113371337479367
ACH-000407,-0.23621987713970255
ACH-000408,-0.2439794073372148
ACH-000410,-0.12280189642126955
ACH-000411,-0.04694684290668171
ACH-000414,-0.041870720278506295
ACH-000415,-0.10705006031287913
ACH-000416,0.061323246703781364
ACH-000420,0.032956429005837826
ACH-000421,-0.04564130253819015
ACH-000424,-0.2115983076032497
ACH-000425,0.0006141502581981114
ACH-000426,0.00819941994274638
ACH-000427,-0.2048866142375112
ACH-000433,-0.18148082554590705
ACH-000435,0.17719569935184853
ACH-000436,-0.07968537172083721
ACH-000444,-0.20613665864008945
ACH-000445,0.0018427242598738477
ACH-000448,-0.11571843378035775
ACH-000450,0.18562415999329385
ACH-000452,-0.1269752443029941
ACH-000454,-0.020643970938714968
ACH-000458,0.011343948451600444
ACH-000459,-0.1527613432644764
ACH-000460,-0.008521867382735757
ACH-000461,-0.09905934724091772
ACH-000463,-0.2113862430726944
ACH-000464,-0.15846518982877192
ACH-000466,-0.23370899407544904
ACH-000467,-0.2372208319742383
ACH-000468,-0.1377357599751599
ACH-000469,-0.22587822303267174
ACH-000470,-0.22304773109575174
ACH-000471,-0.1382729568489124
ACH-000472,-0.1712751114600723
ACH-000473,-0.039901364244487966
ACH-000475,-0.009876347632691785
ACH-000476,0.06717496991591186
ACH-000477,-0.17722556057862734
ACH-000479,-0.12305815187483125
ACH-000480,-0.08764471044415834
ACH-000481,-0.2187520729241916
ACH-000483,-0.04068423333478161
ACH-000484,0.10079911781352492
ACH-000485,-0.16619648722135782
ACH-000486,-0.07641250896870506
ACH-000487,-0.15839231181528718
ACH-000488,-0.08398418211409657
ACH-000490,-0.23419369997610645
ACH-000491,-0.2551582500435696
ACH-000495,-0.05343287026161081
ACH-000496,-0.14919684733629848
ACH-000499,-0.2697479179588753
ACH-000500,0.14779922410824906
ACH-000502,-0.03589689725219716
ACH-000503,0.07881573143737364
ACH-000505,-0.08538512178505286
ACH-000507,-0.20995263075852516
ACH-000510,-0.3103305816565556
ACH-000511,-0.14213079764911848
ACH-000512,-0.23570832743400194
ACH-000516,-0.2293340710048313
ACH-000517,-0.04434529111060335
ACH-000518,-0.20651502249398665
ACH-000520,-0.15503017491072218
ACH-000521,-0.17294603080745247
ACH-000522,-0.10126862518739774
ACH-000524,-0.11220603270784783
ACH-000527,-0.26600908933492445
ACH-000528,-0.05311046824309711
ACH-000537,-0.1480753392387406
ACH-000541,-0.10431373037393388
ACH-000542,-0.05917576209412372
ACH-000544,-0.16122803526588214
ACH-000545,-0.01292787071664192
ACH-000547,-0.2964149028062608
ACH-000548,-0.04279924205690612
ACH-000549,-0.2078291117970195
ACH-000550,-0.032730117953451536
ACH-000552,-0.026578273397649142
ACH-000556,-0.01751699646318883
ACH-000557,-0.2855960706224962
ACH-000569,-0.005918780297641652
ACH-000570,-0.16925609574570435
ACH-000571,-0.15377642079840625
ACH-000573,-0.07606969508121714
ACH-000576,-0.012098918561104314
ACH-000579,0.07512870142369635
ACH-000580,-0.2497739198894111
ACH-000584,-0.030879275451822088
ACH-000585,-0.03691515790667592
ACH-000588,-0.4689014372731496
ACH-000589,-0.11136264089238432
ACH-000591,-0.222081605587476
ACH-000593,-0.051586494486873136
ACH-000600,-0.10900103537725878
ACH-000601,-0.040769702594410866
ACH-000605,-0.3159395755796311
ACH-000606,-0.07479763626706581
ACH-000608,-0.200115427126908
ACH-000614,-0.05847266135925814
ACH-000616,-0.13656517198102613
ACH-000618,-0.07542056573815056
ACH-000619,-0.07462669949776718
ACH-000620,-0.026709343244896964
ACH-000621,-0.042475715451587986
ACH-000622,-0.19623806466433305
ACH-000623,-0.2386171368608689
ACH-000624,0.0010733524021669118
ACH-000627,-0.106971192022251
ACH-000630,0.04668606724679796
ACH-000631,-0.1309203781373122
ACH-000632,-0.17776700237221474
ACH-000633,-0.014354715350853581
ACH-000637,-0.01766967726946479
ACH-000638,-0.08894013656597424
ACH-000646,-0.1825433863863923
ACH-000647,-0.10966174060841287
ACH-000648,-0.12605208182942046
ACH-000649,-0.1017946030704268
