,SCGB1C1 (147199)
ACH-000004,-0.24021934263301395
ACH-000005,-0.425254861454694
ACH-000007,-0.39437715007662505
ACH-000009,-0.5975693285171225
ACH-000011,-0.5974382868557947
ACH-000012,-0.4738472433483337
ACH-000013,-0.2461615983661371
ACH-000014,-0.6937901081456487
ACH-000015,-0.33652412372697416
ACH-000017,-0.4684320287798859
ACH-000018,-0.539111674603034
ACH-000019,-0.3815599491248779
ACH-000021,-0.2702738909680238
ACH-000022,-0.4089741844671442
ACH-000025,-0.6245112483457941
ACH-000028,-0.4687706074867294
ACH-000030,-0.4917173810224861
ACH-000035,-0.4184616087085536
ACH-000036,-0.6721739841770401
ACH-000037,-0.5582299708176237
ACH-000039,-0.6000816126311883
ACH-000040,-0.5361645805535755
ACH-000041,-0.300755363080128
ACH-000042,-0.5584804314824746
ACH-000045,-0.32674988887631745
ACH-000047,-0.4732458812131782
ACH-000052,-0.25921377643964594
ACH-000053,-0.5043774546269357
ACH-000054,-0.5507378911978718
ACH-000055,-0.4573916660667738
ACH-000060,-0.5719771514059446
ACH-000067,-0.6304817856055942
ACH-000070,-0.3628904257491489
ACH-000075,-0.7071720175394379
ACH-000078,-0.6560432379185436
ACH-000082,-0.5098927436397928
ACH-000085,-0.6098548531536663
ACH-000086,-0.4347078682890726
ACH-000087,-0.4207442647335011
ACH-000092,-0.4357815872643261
ACH-000095,-0.61440155779764
ACH-000097,-0.3525705096701408
ACH-000098,-0.44459699114667295
ACH-000099,-0.7465179533167181
ACH-000108,-0.4988884562039936
ACH-000113,-0.3740377969351107
ACH-000116,-0.513693579551194
ACH-000118,-0.2410093741095692
ACH-000120,-0.4161095810737798
ACH-000123,-0.5631901038451439
ACH-000127,-0.28345863833182416
ACH-000128,-0.4828635732884885
ACH-000132,-0.4757618574073586
ACH-000133,-0.4791264696359094
ACH-000137,-0.5230819802710658
ACH-000138,-0.4615389840086097
ACH-000142,-0.7344759855278634
ACH-000143,-0.3632398748562195
ACH-000146,-0.4213205765832151
ACH-000148,-0.6031042737302494
ACH-000150,-0.6589390727032076
ACH-000152,-0.47406995432987
ACH-000153,-0.3596776051677715
ACH-000159,-0.5068540471939403
ACH-000160,-0.29126561909525844
ACH-000163,-0.4393490188793988
ACH-000167,-0.08791785400297675
ACH-000168,-0.8845962228626459
ACH-000169,-0.5032526961445541
ACH-000178,-0.5442968265927631
ACH-000183,-0.4661985042696332
ACH-000188,-0.4556022336133634
ACH-000189,-0.4370817516481469
ACH-000190,-0.6416991955762666
ACH-000198,-0.5754172365859989
ACH-000203,-0.5428612040188123
ACH-000204,-0.43669453827039795
ACH-000206,-0.2607775694153388
ACH-000207,-0.9816755380002476
ACH-000208,-0.40021919381216
ACH-000210,-0.6048339802933494
ACH-000211,-0.5936851210692788
ACH-000215,-0.5455981942080136
ACH-000221,-0.25015074998283204
ACH-000222,-0.5126118421992157
ACH-000223,-0.6071006726978708
ACH-000226,-0.463203969649831
ACH-000227,-0.4397717610664024
ACH-000228,-0.4307689061066254
ACH-000231,-0.512211880675438
ACH-000232,-0.4285839668943767
ACH-000233,-0.5676630799146997
ACH-000234,-0.5808574229603439
ACH-000235,-0.4848247697022482
ACH-000237,-0.5386742041450782
ACH-000238,-0.6465530894203975
ACH-000242,-0.3629708569881457
ACH-000243,-0.44809617792537504
ACH-000244,-0.593509264283203
ACH-000246,-0.5434200952175471
ACH-000248,-0.30908408819301925
ACH-000250,-0.6923517377639483
ACH-000251,-0.35442228774517515
ACH-000252,-0.18688385838489
ACH-000253,-0.8794663889619091
ACH-000255,-0.1236097258175348
ACH-000256,-0.7367640897387056
ACH-000257,-0.6054332823830857
ACH-000258,-0.6458866155867732
ACH-000259,-0.6245832394124123
ACH-000260,-0.4473929615551653
ACH-000261,-0.43598204241108335
ACH-000262,-0.5180862519611573
ACH-000263,-0.3974722279721524
ACH-000264,-0.6338800907933961
ACH-000265,-0.2928493261361582
ACH-000266,-0.4916900066514519
ACH-000272,-0.4386485106816842
ACH-000274,-0.4903150231898064
ACH-000277,-0.4957094031563414
ACH-000278,-0.36222492083060776
ACH-000279,-0.4717494587857389
ACH-000280,-0.5931627500768817
ACH-000281,-0.4178352762182392
ACH-000288,-0.8412573903813142
ACH-000291,-0.3715602597509448
ACH-000293,-0.8181279077904371
ACH-000294,-0.5284416465414137
ACH-000295,-0.5933627021091527
ACH-000296,-0.576825127939105
ACH-000302,-0.2960229342401285
ACH-000304,-0.652819366056993
ACH-000307,-0.3348988489721163
ACH-000308,-0.5096332095309476
ACH-000310,-0.6280901567110285
ACH-000311,-0.5091966135054161
ACH-000312,-0.3991658737538952
ACH-000315,-0.2612936898057155
ACH-000316,-0.5474564277543306
ACH-000317,-0.3684712125290445
ACH-000318,-0.3194964700016269
ACH-000319,-0.5349026185776741
ACH-000320,-0.4510286669106096
ACH-000322,-0.5108680911885906
ACH-000323,-0.5534670314987868
ACH-000324,-0.4117298140704968
ACH-000329,-0.5581432641135016
ACH-000330,-0.4605184751650013
ACH-000331,-0.42795041703568826
ACH-000332,-0.6368712135168411
ACH-000334,-0.6287343977404256
ACH-000335,-0.48330681824309707
ACH-000336,-0.6051085223929216
ACH-000337,-0.3622378347463249
ACH-000338,-0.3853899210198485
ACH-000339,-0.4937979984474122
ACH-000341,-0.3942173041308081
ACH-000348,-0.4010718802355481
ACH-000350,-0.6253541874236346
ACH-000352,-0.5201237439689425
ACH-000356,-0.3197363155062548
ACH-000361,-0.4296389486042349
ACH-000362,-0.4080731875278814
ACH-000363,-0.5350370525455654
ACH-000364,-0.2754942995114922
ACH-000365,-0.4519796501638012
ACH-000366,-0.5002473503038619
ACH-000368,-0.4124334535259559
ACH-000374,-0.3675969763897567
ACH-000375,-0.6924440683726161
ACH-000376,-0.4732988004616739
ACH-000381,-0.6509688856944575
ACH-000383,-0.4988571280110379
ACH-000387,-0.5265834655092639
ACH-000389,-0.5341620578647105
ACH-000390,-0.3686590071789298
ACH-000393,-0.5464328462127995
ACH-000395,-0.4291221112157417
ACH-000396,-0.3436334917531636
ACH-000397,-0.5430674488873208
ACH-000401,-0.27835814044313056
ACH-000402,-0.4328495342286423
ACH-000403,-0.6881762434860985
ACH-000404,-0.551691648127899
ACH-000406,-0.3867968318572528
ACH-000407,-0.5818233306734673
ACH-000408,-0.3212257299946542
ACH-000410,-0.24075567322752306
ACH-000411,-0.6331616248220494
ACH-000414,-0.5953592385236818
ACH-000415,-0.3026526336660693
ACH-000416,-0.5862545009340409
ACH-000420,-0.5238012151314511
ACH-000421,-0.2928131825820015
ACH-000424,-0.5721443515401472
ACH-000425,-0.3186767970668045
ACH-000426,-0.3159029654373507
ACH-000427,-0.4486678152352953
ACH-000433,-0.4982448134052327
ACH-000435,-0.31052568473464426
ACH-000436,-0.4771401517585795
ACH-000444,-0.3589827313859966
ACH-000445,-0.8026521679654645
ACH-000448,-0.3914670164619666
ACH-000450,-0.3792521417494433
ACH-000452,-0.4270954394799071
ACH-000454,-0.3400695339639494
ACH-000458,-0.4925064890402712
ACH-000459,-0.6048474314252984
ACH-000460,-0.5690804823298196
ACH-000461,-0.436178447125156
ACH-000463,-0.5454976080454841
ACH-000464,-0.3752989173295032
ACH-000466,-0.6024470013435478
ACH-000467,-0.5682961324887512
ACH-000468,-0.4828782297290926
ACH-000469,-0.532740057544846
ACH-000470,-0.5142734004626024
ACH-000471,-0.4132136304997716
ACH-000472,-0.4361852560978398
ACH-000473,-0.4749245257560668
ACH-000475,-0.5845444168890638
ACH-000476,-0.4301864844869233
ACH-000477,-0.5422693986771602
