,RAB4B (53916)
ACH-000004,-0.10363552728906238
ACH-000005,0.12707923213358793
ACH-000007,-0.4188216486728304
ACH-000009,-0.3055002144027818
ACH-000011,-0.18913392875408475
ACH-000012,-0.22491749115572432
ACH-000013,-0.26663338591358
ACH-000014,-0.15794464084925508
ACH-000015,-0.2876700136655225
ACH-000017,-0.14688580417909985
ACH-000018,-0.07059827328688352
ACH-000019,-0.16676463127186286
ACH-000021,-0.15383378781584384
ACH-000022,-0.08454644271472743
ACH-000025,-0.12599365697711642
ACH-000028,-0.3091796718351771
ACH-000030,-0.13635865259528396
ACH-000035,-0.19336752179195274
ACH-000036,-0.16696669008495255
ACH-000037,-0.19276008420292245
ACH-000039,-0.1531663262010758
ACH-000040,-0.1865261274981729
ACH-000041,-0.16315473618346996
ACH-000042,-0.17764630463742453
ACH-000045,-0.19491123029113855
ACH-000047,-0.12822613104729794
ACH-000052,-0.09547961038261377
ACH-000053,-0.2008717117933087
ACH-000054,-0.15476374747782468
ACH-000055,-0.09307818970334424
ACH-000060,-0.0873559560417635
ACH-000067,-0.08381946291636573
ACH-000070,0.009779390211614909
ACH-000075,-0.2817385199050333
ACH-000078,-0.2058600313404905
ACH-000082,-0.22434403084778407
ACH-000085,-0.2011641929227284
ACH-000086,-0.16019252265453962
ACH-000087,-0.02408880117341337
ACH-000092,-0.14957656736246816
ACH-000095,-0.07562351911798712
ACH-000097,-0.2221717194713786
ACH-000098,-0.31641379576903184
ACH-000099,-0.12566413303904955
ACH-000108,-0.1816325489322064
ACH-000113,-0.27051308703884425
ACH-000116,-0.13668984456066344
ACH-000118,-0.11255460943528063
ACH-000120,-0.23071772204122526
ACH-000123,-0.15426963843684308
ACH-000127,-0.05184161503536276
ACH-000128,-0.13393262431218794
ACH-000132,-0.28520818992229224
ACH-000133,-0.2782165909805404
ACH-000137,-0.1925297503157017
ACH-000138,-0.23039663608615066
ACH-000142,-0.21220005532859668
ACH-000143,-0.07797736947494548
ACH-000146,-0.059464566203252675
ACH-000148,-0.3185908635087781
ACH-000150,-0.13716927298435602
ACH-000152,-0.09306816095171884
ACH-000153,-0.3390380992488525
ACH-000159,-0.06973363672348998
ACH-000160,-0.07896567157237852
ACH-000163,-0.1574293404663358
ACH-000167,0.06664171135121584
ACH-000168,-0.2821661841497538
ACH-000169,-0.16999637271340265
ACH-000178,-0.14808257925936702
ACH-000183,-0.2069369711723992
ACH-000188,-0.08011867171186783
ACH-000189,-0.11989720378310882
ACH-000190,-0.2958658826430366
ACH-000198,-0.27649804199752337
ACH-000203,-0.6506601685738774
ACH-000204,-0.32586752480115605
ACH-000206,-0.11364837197743975
ACH-000207,-0.11680834589048555
ACH-000208,0.11744874592866544
ACH-000210,-0.3700940459254673
ACH-000211,-0.08828727043620642
ACH-000215,-0.14048882666191734
ACH-000221,-0.13959162577337736
ACH-000222,-0.0739588702165039
ACH-000223,-0.1876520255523198
ACH-000226,-0.12340869171940222
ACH-000227,-0.3384986632920246
ACH-000228,-0.37041643993827694
ACH-000231,-0.12694126063913058
ACH-000232,-0.1613995344456447
ACH-000233,-0.2339144812221349
ACH-000234,-0.14714495340834155
ACH-000235,-0.1649552622713516
ACH-000237,-0.17372100368333154
ACH-000238,-0.030915481215125745
ACH-000242,-0.05665705849087769
ACH-000243,-0.15431933945833665
ACH-000244,-0.31554849162626863
ACH-000246,-0.1752447875882109
ACH-000248,-0.1767776592938982
ACH-000250,-0.2948681803696634
ACH-000251,-0.15231604229146514
ACH-000252,-0.2624846459636556
ACH-000253,-0.18600130825574146
ACH-000255,-0.32984221634480443
ACH-000256,-0.1723785999576361
ACH-000257,-0.16654295697989666
ACH-000258,-0.04874108053668153
ACH-000259,-0.17204421733172826
ACH-000260,-0.13481954984800135
ACH-000261,-0.10818713110637354
ACH-000262,-0.2227813640444437
ACH-000263,-0.2510140354604506
ACH-000264,-0.030375041532912914
ACH-000265,-0.2615409077527639
ACH-000266,-0.17730145980404305
ACH-000272,-0.1874303581111574
ACH-000274,-0.1354915160187976
ACH-000277,-0.2313150764647401
ACH-000278,-0.11058190612947777
ACH-000279,-0.1261562896063612
ACH-000280,-0.12286322235637685
ACH-000281,-0.16512521509643424
ACH-000288,-0.08799143466286721
ACH-000291,-0.12275280560323412
ACH-000293,-0.23153796708281124
ACH-000294,-0.2459564243279497
ACH-000295,-0.06357644631821043
ACH-000296,-0.20466754932386555
ACH-000302,-0.3494746014434958
ACH-000304,-0.07552301967348732
ACH-000307,-0.11229395303274672
ACH-000308,-0.2429575020365415
ACH-000310,-0.2463633994206946
ACH-000311,-0.12339834350764915
ACH-000312,-0.16201769049097328
ACH-000315,-0.026951935150239317
ACH-000316,-0.07967049120389501
ACH-000317,-0.012186915377006608
ACH-000318,-0.0976747232013333
ACH-000319,-0.4533419665899192
ACH-000320,-0.11015947895950524
ACH-000322,-0.06705333380308429
ACH-000323,-0.09983328066362088
ACH-000324,-0.3120949428656405
ACH-000329,-0.15242285129580427
ACH-000330,-0.3134629961778076
ACH-000331,-0.08642580365325389
ACH-000332,-0.2081630062585283
ACH-000334,-0.2028852950015377
ACH-000335,-0.031918598690069716
ACH-000336,-0.2963594061582322
ACH-000337,-0.2139404509746535
ACH-000338,-0.5525169844184421
ACH-000339,-0.23174192938683236
ACH-000341,0.05263724619182898
ACH-000348,-0.16823412816687233
ACH-000350,-0.2768678302955582
ACH-000352,-0.15934055065220756
ACH-000356,-0.33188687044092785
ACH-000361,-0.1117067381352731
ACH-000362,-0.2530390696433742
ACH-000363,-0.09977133792335342
ACH-000364,-0.07361664399864452
ACH-000365,-0.17570912068458974
ACH-000366,-0.29345407143969754
ACH-000368,-0.17657268867372086
ACH-000374,0.04179959450070602
ACH-000375,-0.2931182700725882
ACH-000376,-0.26706615349651075
ACH-000381,-0.15249437935760204
ACH-000383,-0.21206740337262736
ACH-000387,-0.19975815307427086
ACH-000389,-0.11909974700769288
ACH-000390,-0.11927063637266708
ACH-000393,-0.13775172091047316
ACH-000395,-0.12295837864027485
ACH-000396,-0.16412406298959298
ACH-000397,-0.19624341925047045
ACH-000401,-0.3265711464580212
ACH-000402,-0.04791687561167998
ACH-000403,-0.22204438800554
ACH-000404,0.009507697481104893
ACH-000406,-0.0978912592511606
ACH-000407,-0.1163595462489617
ACH-000408,-0.26089801521685585
ACH-000410,-0.17241970638705162
ACH-000411,-0.13577728643913042
ACH-000414,-0.10121075173260922
ACH-000415,-0.15509254694457106
ACH-000416,-0.14278668722069732
ACH-000420,-0.15095502166716615
ACH-000421,-0.24770707033945105
ACH-000424,-0.29743205551917073
ACH-000425,-0.18872268447683468
ACH-000426,-0.3105216779217439
ACH-000427,0.0212454808690067
ACH-000433,-0.10894396044707556
ACH-000435,0.07855078372688451
ACH-000436,-0.046799904977002135
ACH-000444,-0.1362996268584531
ACH-000445,-0.2523859713540012
ACH-000448,-0.1935219230228668
ACH-000450,-0.09389347710996736
ACH-000452,-0.18423525796912774
ACH-000454,-0.16301092665366
ACH-000458,-0.1358669074333044
ACH-000459,0.0379318787788463
ACH-000460,-0.25976458126088525
ACH-000461,-0.20863974496127533
ACH-000463,-0.3379756027628853
ACH-000464,-0.15426888641297629
ACH-000466,-0.3080676647867389
ACH-000467,-0.0492825112987863
ACH-000468,-0.26128549348524993
ACH-000469,-0.1254618383322853
ACH-000470,-0.2915255742737673
ACH-000471,-0.2108511679162537
ACH-000472,-0.224496243737115
ACH-000473,-0.1558623410644512
ACH-000475,-0.19004901655815493
ACH-000476,-0.1747276904747958
ACH-000477,-0.1768208512273194
ACH-000479,-0.02933443585396728
ACH-000480,-0.2457732756200375
ACH-000481,-0.22486159291428973
ACH-000483,-0.052005553891036116
ACH-000484,-0.3593192600018905
ACH-000485,-0.2196689804967825
ACH-000486,-0.31000227519844903
ACH-000487,-0.3678859167823623
ACH-000488,-0.12417867689803208
ACH-000490,-0.18948038470473105
ACH-000491,-0.2655450293603597
ACH-000495,-0.0338137437225789
ACH-000496,-0.21468933136983906
ACH-000499,-0.20985169030484652
ACH-000500,-0.4590665278757745
ACH-000502,-0.11295967017628275
ACH-000503,-0.2983833649782564
ACH-000505,-0.08046520132717162
ACH-000507,-0.04297825448406193
ACH-000510,-0.3487434149646475
ACH-000511,-0.0983620518706794
ACH-000512,-0.2823222810315926
ACH-000516,-0.19429543612514585
ACH-000517,-0.20638109455662515
ACH-000518,-0.20605817637394544
ACH-000520,-0.08652017321304786
ACH-000521,-0.022504777832672844
ACH-000522,-0.17024620569556695
ACH-000524,-0.2405113296984056
ACH-000527,-0.2997507097245272
ACH-000528,-0.09664798874728456
ACH-000537,-0.2350688871039774
ACH-000541,-0.062311671488159324
ACH-000542,-0.1955373062157955
ACH-000544,-0.11212481315994743
ACH-000545,-0.03523247079676915
ACH-000547,-0.2777298212858107
ACH-000548,-0.2463017488160905
ACH-000549,-0.19349716954840526
ACH-000550,-0.08137389167039996
ACH-000552,0.010798637953111324
ACH-000556,-0.1006416398212286
ACH-000557,-0.1853890419974629
ACH-000569,-0.1986993094345996
ACH-000570,-0.14301816853475902
ACH-000571,-0.13267997982427054
ACH-000573,-0.16378820448208412
ACH-000576,-0.029339087653770624
ACH-000579,-0.11662812719410845
ACH-000580,-0.07949539920105496
ACH-000584,-0.29577337660641834
ACH-000585,-0.2654953020649025
ACH-000588,-0.2692825403749019
ACH-000589,-0.17290870108055073
ACH-000591,-0.16136226809727736
ACH-000593,-0.1530250525378672
ACH-000600,-0.1404577812964359
ACH-000601,-0.13390205236000666
ACH-000605,-0.2666871396484129
ACH-000606,-0.03653650316596304
ACH-000608,-0.275446308130707
ACH-000614,-0.07553301285436888
ACH-000616,-0.1608911751007177
ACH-000618,-0.11612147885778
ACH-000619,-0.08685514966631784
ACH-000620,-0.2546856854771363
ACH-000621,-0.15861582477355365
ACH-000622,-0.22297503166605898
ACH-000623,-0.10262111233559876
ACH-000624,-0.2618786001641597
ACH-000627,-0.11845585521307672
ACH-000630,-0.13569872299349792
ACH-000631,-0.2219063165287765
ACH-000632,-0.05102443585176895
ACH-000633,-0.06129626297752998
ACH-000637,-0.2016880268109403
ACH-000638,-0.11821546665774048
ACH-000646,-0.2200117780051622
ACH-000647,-0.09316600097391574
ACH-000648,-0.05287544549763285
ACH-000649,-0.06461453194518578
ACH-000651,-0.3711749671190347
ACH-000652,-0.16469676879685352
ACH-000653,-0.27743015162308754
ACH-000657,-0.2416433848897119
ACH-000658,-0.2149781887795738
ACH-000661,-0.3272047143059844
ACH-000662,-0.11082862796446744
ACH-000663,-0.24533506931247956
ACH-000665,-0.08883782363493098
ACH-000671,-0.17695943281111773
ACH-000672,-0.2456402554103861
ACH-000673,-0.17260851344148054
ACH-000676,-0.08493691675214947
ACH-000677,-0.21411968277513616
ACH-000681,-0.26038556183957834
ACH-000683,-0.17312167853399116
ACH-000684,0.10814939995884187
ACH-000688,-0.33833387431958056
ACH-000693,-0.1815245095404198
ACH-000694,-0.17250262054591733
ACH-000695,-0.1900348285260345
ACH-000696,-0.2678777318983287
ACH-000697,-0.28347757246091904
ACH-000699,-0.13846677704479174
ACH-000701,-0.3127131398706521
ACH-000706,-0.07739903109614611
ACH-000711,-0.2281382857661432
ACH-000713,-0.12098503401023193
ACH-000714,-0.4198994847131799
ACH-000718,-0.10913940238458504
ACH-000720,-0.1547875509771058
ACH-000721,-0.14901019728489218
ACH-000724,-0.1749789099983176
ACH-000725,-0.19424237888824072
ACH-000732,-0.1064733060228276
ACH-000734,-0.1924558229259029
ACH-000735,-0.2045343728294143
ACH-000736,-0.07950459190641752
ACH-000738,-0.13910659887926294
ACH-000746,-0.11201903471661376
ACH-000747,-0.2290036365584528
ACH-000748,-0.29731632418621856
ACH-000753,-0.11994001913444848
ACH-000756,-0.33256377748030524
ACH-000757,-0.29847298115384896
ACH-000758,-0.2691910248036357
ACH-000760,-0.1929035222830211
ACH-000762,-0.19428965793973585
ACH-000763,-0.28270055727525417
ACH-000764,-0.21523120433949453
ACH-000765,-0.07942622320942977
ACH-000766,-0.18034203761318712
ACH-000767,-0.2646292983662909
ACH-000768,-0.14045518310411648
ACH-000769,-0.21803599033397655
ACH-000770,-0.1729856882272632
ACH-000771,-0.14002235915637226
ACH-000773,-0.13125936892731668
ACH-000776,-0.2107159302432843
ACH-000777,-0.28208490717881
ACH-000778,-0.3475165097943634
ACH-000781,-0.18357484260280835
ACH-000782,-0.15271806828190354
ACH-000783,-0.15402873611687648
ACH-000784,-0.2981700709421788
ACH-000785,-0.21481865147071366
ACH-000787,-0.1224528313437902
ACH-000788,-0.16399210707627074
ACH-000791,-0.15041832451192294
ACH-000792,-0.23114306902564924
ACH-000794,-0.14601626278898416
ACH-000796,-0.18824821305943493
ACH-000798,-0.3380924467943508
ACH-000799,-0.3108059124268152
ACH-000800,-0.21519860387239234
ACH-000802,-0.24424771404758175
ACH-000804,-0.0747162941360035
ACH-000805,-0.33840402187003626
ACH-000809,-0.06405835776109069
ACH-000810,-0.08428673305212284
ACH-000811,-0.11508911648634748
ACH-000817,-0.08303764791280199
ACH-000819,-0.3308464276663564
ACH-000820,0.16634569558544235
ACH-000821,-0.11551947673903128
ACH-000822,-0.29146137271033623
ACH-000823,-0.26472126497711884
ACH-000824,-0.33389064011166114
ACH-000827,-0.12333699687165114
ACH-000829,-0.19354200928504434
ACH-000831,-0.19722085838160613
ACH-000832,-0.14987733517258453
ACH-000833,-0.16025440040774347
ACH-000834,-0.26684063987795137
ACH-000835,-0.2257549525252217
ACH-000836,-0.27480871896230313
ACH-000837,-0.2150955749998756
ACH-000838,-0.1509007438922301
ACH-000839,-0.08082562390684561
ACH-000840,-0.2832420655854105
ACH-000841,-0.16435084859078405
ACH-000843,-0.2486883116721705
ACH-000846,-0.04168137442548222
ACH-000847,-0.11351519272287044
ACH-000848,-0.13310977833829726
ACH-000849,-0.0877890400206956
ACH-000851,-0.11353600499390888
ACH-000855,-0.11701703277154325
ACH-000856,-0.2449483037012605
ACH-000858,-0.2328618003170319
ACH-000859,-0.11662472314083633
ACH-000861,-0.4840325974678144
ACH-000862,-0.24293597320630214
ACH-000865,-0.20356181533979814
ACH-000866,-0.08816411163362707
ACH-000867,-0.15428771610428965
ACH-000869,-0.08407827712162623
ACH-000872,-0.17014900010672002
ACH-000873,-0.2693030098831258
ACH-000876,-0.177546257975516
ACH-000878,0.02452682101390836
ACH-000880,-0.1358944015667471
ACH-000881,-0.13531503205901854
ACH-000882,-0.248827437450848
ACH-000884,-0.0589817120837163
ACH-000885,-0.20004972644111987
ACH-000887,-0.19425172846924332
ACH-000889,-0.14122534708639356
ACH-000896,-0.18857933387418507
ACH-000898,-0.17399814243704032
ACH-000900,-0.17948296366373187
ACH-000901,-0.2656858804152352
ACH-000905,-0.1888533795856938
ACH-000906,-0.2019326528116354
ACH-000907,-0.20207000404857792
ACH-000910,-0.13614088257725926
ACH-000911,-0.18692684965871306
ACH-000912,-0.2464955821957918
ACH-000913,-0.1220379384759951
ACH-000915,-0.2489789211302203
ACH-000916,-0.3606293399491925
ACH-000917,-0.2975785274831362
ACH-000920,-0.1014626492673856
ACH-000921,-0.10348157768814344
ACH-000924,-0.10624449294420013
ACH-000926,-0.20816369204299728
ACH-000928,-0.14982328740800435
ACH-000929,-0.2518904164142737
ACH-000932,-0.16665470858356973
ACH-000935,-0.09617834193307086
ACH-000936,-0.2428965072093471
ACH-000937,-0.101702562142283
ACH-000938,-0.21686437159490485
ACH-000939,-0.07456300187601922
ACH-000941,-0.2834299945805035
ACH-000943,-0.1639719255950612
ACH-000946,-0.3057888949134511
ACH-000947,-0.2433172642092168
ACH-000948,-0.18567269935107247
ACH-000950,-0.028699421045009037
ACH-000953,-0.15083524795705702
ACH-000954,-0.2470536507856321
ACH-000957,-0.0732440202481736
ACH-000958,-0.03513326151496913
ACH-000960,-0.22755825325727025
ACH-000963,-0.030385191591865156
ACH-000968,-0.08312425079601465
ACH-000969,-0.18274231236354735
ACH-000972,-0.5231008535278621
ACH-000973,-0.19288315701883926
ACH-000974,-0.14886975330278596
ACH-000978,-0.093148692763093
ACH-000984,-0.2992248038287909
ACH-000986,-0.06615246196184495
ACH-000988,-0.1706801837385167
ACH-000993,-0.07499241749734395
ACH-000994,-0.21944209873521184
ACH-000996,-0.22273525359350796
ACH-001001,-0.13792731025043062
ACH-001020,-0.17080141917354305
ACH-001028,-0.12320839551071842
ACH-001031,-0.2587779776585778
ACH-001038,-0.18312743047077348
ACH-001048,-0.1274268086965139
ACH-001050,-0.16821594456525912
ACH-001053,-0.1313523265827067
ACH-001054,-0.2296070994982807
ACH-001061,-0.11132401166354122
ACH-001067,-0.16310903790573875
ACH-001075,-0.22167897257299046
ACH-001096,-0.18403827321821614
ACH-001111,0.04169992809771311
ACH-001119,-0.25306540290415397
ACH-001128,-0.20180931820167025
ACH-001134,-0.14325121199021615
ACH-001151,-0.2302182818106041
ACH-001163,-0.11522677362835845
ACH-001164,-0.217394412820191
ACH-001183,-0.035123455740307036
ACH-001192,-0.3133264579543801
ACH-001193,0.02984733333759572
ACH-001196,-0.12594418203469482
ACH-001197,-0.09606314737620217
ACH-001205,-0.1401299699602228
ACH-001211,-0.2587192499213857
ACH-001212,0.1074308026931018
ACH-001228,-0.1910645579044413
ACH-001232,-0.1748669196910211
ACH-001239,-0.07376793997506101
ACH-001270,-0.2899518135823856
ACH-001274,-0.05026641058645986
ACH-001275,-0.2114482803648752
ACH-001277,-0.20603991094286608
ACH-001278,-0.054150739907509286
ACH-001280,-0.1219233539265682
ACH-001283,-0.23182452609534515
ACH-001289,-0.2658507233540681
ACH-001300,-0.2118714042384412
ACH-001301,-0.2073419141164492
ACH-001302,0.06761504135553208
ACH-001306,-0.0064363647393256545
ACH-001318,-0.21442221788581065
ACH-001322,-0.07139268958974887
ACH-001328,-0.11014770346914486
ACH-001332,-0.235538926860836
ACH-001336,-0.05023973581428951
ACH-001346,-0.08635253088551534
ACH-001353,-0.133188269554925
ACH-001354,-0.2940903504024127
ACH-001367,-0.10422538094615487
ACH-001368,-0.11868769472991275
ACH-001374,-0.3467064999682577
ACH-001377,-0.03766801005069635
ACH-001380,-0.20130416539281207
ACH-001391,-0.3457568019372865
ACH-001408,-0.1460534888980376
ACH-001430,-0.0004570576748915161
ACH-001431,-0.3173485128943856
ACH-001450,0.08149788783552993
ACH-001496,-0.12345985111687613
ACH-001500,-0.1951243700653344
ACH-001523,-0.08535313049683907
ACH-001532,-0.23666192136786846
ACH-001550,-0.09592050442890504
ACH-001552,-0.16759415948440545
ACH-001554,-0.1757404805190413
ACH-001654,-0.3147549358609084
ACH-001735,-0.17656188234317907
ACH-001736,0.016860430007133116
ACH-001737,-0.12252003549795687
ACH-001740,-0.056152359744503264
ACH-001745,-0.29147949560132985
ACH-001765,-0.12764453457091735
