,MEMO1 (51072)
ACH-000004,-0.5864178511098368
ACH-000005,-0.2529619387361864
ACH-000007,-0.2748435275775479
ACH-000009,-0.1287363984584096
ACH-000011,-0.6741023069226056
ACH-000012,-0.4501904635935549
ACH-000013,-0.3993328171916892
ACH-000014,0.00551520928997766
ACH-000015,-0.03609114985734261
ACH-000017,-0.32517788404919784
ACH-000018,-0.1851265080999414
ACH-000019,-0.3958875320039724
ACH-000021,-0.15964031458276842
ACH-000022,-0.1201999033964832
ACH-000025,-0.3836713347295541
ACH-000028,-0.5294161795949832
ACH-000030,-0.4473852701184535
ACH-000035,-0.3950189225547719
ACH-000036,-0.6163365639979156
ACH-000037,-0.39115717884522494
ACH-000039,-0.13781129142815987
ACH-000040,-0.2904911156156265
ACH-000041,-0.29797678210234474
ACH-000042,-0.3059508482786359
ACH-000045,-0.32116580158129066
ACH-000047,-0.5183318638144572
ACH-000052,-0.008738590502618151
ACH-000053,-0.05045258408461956
ACH-000054,-0.3660007056108811
ACH-000055,-0.326689156583062
ACH-000060,-0.33844213942801105
ACH-000067,-0.17960178401514268
ACH-000070,-0.1677819982205858
ACH-000075,-0.21781567037208052
ACH-000078,-0.4146856064406091
ACH-000082,-0.4899604810945809
ACH-000085,-0.5189121441754548
ACH-000086,-0.3517605962647233
ACH-000087,-0.4264985567526742
ACH-000092,-0.6380168647250921
ACH-000095,-0.28795125761109674
ACH-000097,-0.4478932720739925
ACH-000098,-0.32988604500565977
ACH-000099,-0.4250023680332781
ACH-000108,-0.2743600598813116
ACH-000113,-0.002904245591807638
ACH-000116,-0.5614720898484594
ACH-000118,-0.5057694551282726
ACH-000120,-0.43952512833326707
ACH-000123,-0.30446523464237085
ACH-000127,-0.31221031804610194
ACH-000128,-0.325575833181524
ACH-000132,-0.3232680511038449
ACH-000133,-0.3082621244982349
ACH-000137,-0.1724060657773991
ACH-000138,-0.2721739254975781
ACH-000142,-0.4503181509443777
ACH-000143,-0.2799852652594768
ACH-000146,-0.14913665163671866
ACH-000148,-0.25074861572988777
ACH-000150,-0.6092705340657485
ACH-000152,-0.4122468101843812
ACH-000153,-0.2760633307264542
ACH-000159,-0.34879440791222543
ACH-000160,0.21862208183359366
ACH-000163,-0.09119029488613542
ACH-000167,0.6597021306121683
ACH-000168,-0.23132085049491816
ACH-000169,-0.17964859872925826
ACH-000178,-0.5349719435552984
ACH-000183,-0.13476472832149625
ACH-000188,-0.5450619071356321
ACH-000189,-0.31412798057136304
ACH-000190,0.11629737081431232
ACH-000198,-0.20884533637770167
ACH-000203,-0.3284656252151357
ACH-000204,-0.011602554852825684
ACH-000206,-0.4245227206783179
ACH-000207,0.047491641749003055
ACH-000208,-0.3654537144063956
ACH-000210,-0.17339902872925392
ACH-000211,-0.2652514607850677
ACH-000215,-0.3236887151247501
ACH-000221,-0.25197276732284835
ACH-000222,-0.26564685646445485
ACH-000223,-0.4186265721166696
ACH-000226,-0.3227181504473029
ACH-000227,-0.11208810808698184
ACH-000228,-0.30477597896863684
ACH-000231,-0.5102311149190337
ACH-000232,-0.35799109304345483
ACH-000233,-0.11611640055963605
ACH-000234,-0.3348993894621081
ACH-000235,-0.3608447975585873
ACH-000237,-0.3760039791779894
ACH-000238,-0.7125628425963103
ACH-000242,-0.7030392524640635
ACH-000243,-0.3328251713101905
ACH-000244,-0.5144212067641584
ACH-000246,-0.4509953346978337
ACH-000248,-0.4722925169362483
ACH-000250,-0.2245969690153204
ACH-000251,-0.7037913650182296
ACH-000252,-0.24341816526615154
ACH-000253,-0.2673757059479385
ACH-000255,-0.35398389527155805
ACH-000256,-0.4101416681473618
ACH-000257,-0.20779361023423548
ACH-000258,-0.4808479215304865
ACH-000259,-0.3755375126636975
ACH-000260,-0.30280326114333755
ACH-000261,-0.2336567961720881
ACH-000262,-0.17120904241034496
ACH-000263,-0.5845104822808671
ACH-000264,-0.3662572271161805
ACH-000265,-0.366512560035128
ACH-000266,-0.1614474282668125
ACH-000272,-0.2139924145177438
ACH-000274,-0.4904119505679784
ACH-000277,-0.4026633826399686
ACH-000278,-0.3244444655996574
ACH-000279,-0.18202953648922945
ACH-000280,-0.3047747901095735
ACH-000281,-0.2607890363778117
ACH-000288,-0.487125614904114
ACH-000291,-0.363970151928093
ACH-000293,-0.12696490536602265
ACH-000294,-0.02943766886753385
ACH-000295,-0.7114265360045393
ACH-000296,-0.3032834737836351
ACH-000302,-0.3533767380103295
ACH-000304,-0.15650655707967834
ACH-000307,-0.12691047900786906
ACH-000308,-0.4388553866779394
ACH-000310,-0.43115647705390425
ACH-000311,-0.6038262046121983
ACH-000312,-0.377847614857886
ACH-000315,-0.33002552688039943
ACH-000316,0.01025758974035437
ACH-000317,-0.5140552557538773
ACH-000318,-0.3443533272160784
ACH-000319,-0.1149771160186802
ACH-000320,-0.4296553145299673
ACH-000322,-0.2825244333097335
ACH-000323,-0.15159048283202792
ACH-000324,-0.261005045217459
ACH-000329,-0.2951257947218261
ACH-000330,-0.3240907092349892
ACH-000331,-0.5060974801306517
ACH-000332,-0.2195739498583288
ACH-000334,-0.2292351830676203
